ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
0;Forecast;2017;;;;;;;;;;;168589;1.61;149426;81.77;80.1;83.35;19.88;18.53;21.1;232700;150929;81771
1;Forecast;2018;17182442.0;3807179.0;10135733.0;3239530.0;22.2;59.0;18.9;69.5;37.6;32.0;170277;1.61;150885;81.93;80.34;83.45;19.99;18.7;21.16;218097;157741;60356
2;Forecast;2019;17262190.0;3786602.0;10159709.0;3315878.0;21.9;58.9;19.2;69.9;37.3;32.6;172185;1.61;152508;82.09;80.54;83.58;20.09;18.84;21.23;215043;163090;51953
3;Forecast;2020;17333820.0;3764572.0;10176884.0;3392364.0;21.7;58.7;19.6;70.3;37.0;33.3;174058;1.61;154253;82.25;80.71;83.72;20.19;18.96;21.32;214187;167713;46474
4;Forecast;2021;17400098.0;3738510.0;10192466.0;3469122.0;21.5;58.6;19.9;70.7;36.7;34.0;177369;1.63;156107;82.4;80.86;83.88;20.28;19.06;21.42;214488;171870;42618
5;Forecast;2022;17463978.0;3718811.0;10196948.0;3548219.0;21.3;58.4;20.3;71.3;36.5;34.8;180361;1.65;158035;82.55;81.02;84.03;20.38;19.17;21.52;215882;175751;40131
6;Forecast;2023;17526434.0;3703064.0;10195236.0;3628135.0;21.1;58.2;20.7;71.9;36.3;35.6;183732;1.67;160000;82.7;81.19;84.18;20.48;19.29;21.61;217431;179332;38099
7;Forecast;2024;17588264.0;3691156.0;10187262.0;3709847.0;21.0;57.9;21.1;72.6;36.2;36.4;186504;1.69;161861;82.86;81.34;84.35;20.59;19.4;21.72;218775;182517;36258
8;Forecast;2025;17649166.0;3688120.0;10166521.0;3794525.0;20.9;57.6;21.5;73.6;36.3;37.3;189026;1.71;163795;83.02;81.51;84.51;20.7;19.51;21.83;220520;185256;35264
9;Forecast;2026;17709660.0;3693197.0;10138359.0;3878104.0;20.9;57.2;21.9;74.7;36.4;38.3;191269;1.72;165805;83.18;81.67;84.67;20.81;19.63;21.94;221301;187619;33682
10;Forecast;2027;17768806.0;3701901.0;10101658.0;3965248.0;20.8;56.9;22.3;75.9;36.6;39.3;193006;1.73;167898;83.34;81.84;84.84;20.92;19.75;22.05;221856;189760;32096
11;Forecast;2028;17826010.0;3715249.0;10059392.0;4051370.0;20.8;56.4;22.7;77.2;36.9;40.3;194466;1.74;170068;83.51;82.0;85.0;21.04;19.87;22.17;222115;191039;31076
12;Forecast;2029;17881484.0;3726193.0;10016536.0;4138754.0;20.8;56.0;23.1;78.5;37.2;41.3;195459;1.75;172311;83.67;82.16;85.17;21.15;19.98;22.29;222144;192096;30048
13;Forecast;2030;17934678.0;3738015.0;9969957.0;4226706.0;20.8;55.6;23.6;79.9;37.5;42.4;196038;1.75;174601;83.83;82.31;85.34;21.26;20.09;22.42;222326;192992;29334
14;Forecast;2031;17985448.0;3750737.0;9927830.0;4306882.0;20.9;55.2;23.9;81.2;37.8;43.4;196096;1.75;176927;83.99;82.46;85.52;21.38;20.2;22.54;222393;193727;28666
15;Forecast;2032;18033282.0;3767748.0;9885057.0;4380478.0;20.9;54.8;24.3;82.4;38.1;44.3;195590;1.75;179251;84.15;82.61;85.69;21.5;20.31;22.67;222505;194347;28158
16;Forecast;2033;18077780.0;3787830.0;9840194.0;4449755.0;21.0;54.4;24.6;83.7;38.5;45.2;195034;1.75;181556;84.31;82.76;85.86;21.62;20.42;22.8;222498;194863;27635
17;Forecast;2034;18118892.0;3811802.0;9789046.0;4518044.0;21.0;54.0;24.9;85.1;38.9;46.2;194564;1.75;183821;84.47;82.91;86.04;21.74;20.53;22.93;222573;195340;27233
18;Forecast;2035;18156868.0;3831538.0;9731634.0;4593696.0;21.1;53.6;25.3;86.6;39.4;47.2;193730;1.75;186034;84.63;83.06;86.21;21.85;20.64;23.06;222587;195765;26822
19;Forecast;2036;18191384.0;3854888.0;9675665.0;4660832.0;21.2;53.2;25.6;88.0;39.8;48.2;192585;1.75;188169;84.79;83.21;86.38;21.97;20.74;23.19;222555;196116;26439
20;Forecast;2037;18222238.0;3875409.0;9631510.0;4715321.0;21.3;52.9;25.9;89.2;40.2;49.0;191257;1.75;190209;84.95;83.36;86.55;22.09;20.85;23.32;222488;196383;26105
21;Forecast;2038;18249390.0;3897929.0;9595040.0;4756421.0;21.4;52.6;26.1;90.2;40.6;49.6;189883;1.75;192127;85.11;83.51;86.71;22.21;20.96;23.45;222439;196604;25835
22;Forecast;2039;18272982.0;3917598.0;9576907.0;4778477.0;21.4;52.4;26.2;90.8;40.9;49.9;188518;1.75;193901;85.26;83.65;86.88;22.33;21.07;23.57;222467;196746;25721
