ID;Productgroepen;Perioden;Verkoopwaarde_1;Hoeveelheid_2;AanvullendeHoeveelheid_3
0;13 Metaalertsen;1993 1e kwartaal;;;
1;13 Metaalertsen;1993 2e kwartaal;;;
2;13 Metaalertsen;1993 3e kwartaal;;;
3;13 Metaalertsen;1993 4e kwartaal;;;
4;13 Metaalertsen;1993 totaal;;;
5;13 Metaalertsen;1994 1e kwartaal;;;
6;13 Metaalertsen;1994 2e kwartaal;;;
7;13 Metaalertsen;1994 3e kwartaal;;;
8;13 Metaalertsen;1994 4e kwartaal;;;
9;13 Metaalertsen;1994 totaal;;;
10;13 Metaalertsen;1995 1e kwartaal;;;
11;13 Metaalertsen;1995 2e kwartaal;;;
12;13 Metaalertsen;1995 3e kwartaal;;;
13;13 Metaalertsen;1995 4e kwartaal;;;
14;13 Metaalertsen;1995 totaal;;;
15;13 Metaalertsen;1996 1e kwartaal;;;
16;13 Metaalertsen;1996 2e kwartaal;;;
17;13 Metaalertsen;1996 3e kwartaal;;;
18;13 Metaalertsen;1996 4e kwartaal;;;
19;13 Metaalertsen;1996 totaal;;;
20;13 Metaalertsen;1997 1e kwartaal;;;
21;13 Metaalertsen;1997 2e kwartaal;;;
22;13 Metaalertsen;1997 3e kwartaal;;;
23;13 Metaalertsen;1997 4e kwartaal;;;
24;13 Metaalertsen;1997 totaal;;;
25;13 Metaalertsen;1998 1e kwartaal;;;
26;13 Metaalertsen;1998 2e kwartaal;;;
27;13 Metaalertsen;1998 3e kwartaal;;;
28;13 Metaalertsen;1998 4e kwartaal;;;
29;13 Metaalertsen;1998 totaal;;;
30;13 Metaalertsen;1999 1e kwartaal;;;
31;13 Metaalertsen;1999 2e kwartaal;;;
32;13 Metaalertsen;1999 3e kwartaal;;;
33;13 Metaalertsen;1999 4e kwartaal;;;
34;13 Metaalertsen;1999 totaal;;;
35;13 Metaalertsen;2000 1e kwartaal;;;
36;13 Metaalertsen;2000 2e kwartaal;;;
37;13 Metaalertsen;2000 3e kwartaal;;;
38;13 Metaalertsen;2000 4e kwartaal;;;
39;13 Metaalertsen;2000 totaal;;;
40;13 Metaalertsen;2001 1e kwartaal;;;
41;13 Metaalertsen;2001 2e kwartaal;;;
42;13 Metaalertsen;2001 3e kwartaal;;;
43;13 Metaalertsen;2001 4e kwartaal;;;
44;13 Metaalertsen;2001 totaal;;;
45;13 Metaalertsen;2002 1e kwartaal;;;
46;13 Metaalertsen;2002 2e kwartaal;;;
47;13 Metaalertsen;2002 3e kwartaal;;;
48;13 Metaalertsen;2002 4e kwartaal;;;
49;13 Metaalertsen;2002 totaal;;;
50;13 Metaalertsen;2003 1e kwartaal;;;
51;13 Metaalertsen;2003 2e kwartaal;;;
52;13 Metaalertsen;2003 3e kwartaal;;;
53;13 Metaalertsen;2003 4e kwartaal;;;
54;13 Metaalertsen;2003 totaal;;;
55;13 Metaalertsen;2004 totaal;;;
56;13 Metaalertsen;2005 totaal;;;
57;13 Metaalertsen;2006 totaal;;;
58;13 Metaalertsen;2007 totaal;;;
59;13.1 Ijzererts;1993 1e kwartaal;;;
60;13.1 Ijzererts;1993 2e kwartaal;;;
61;13.1 Ijzererts;1993 3e kwartaal;;;
62;13.1 Ijzererts;1993 4e kwartaal;;;
63;13.1 Ijzererts;1993 totaal;;;
64;13.1 Ijzererts;1994 1e kwartaal;;;
65;13.1 Ijzererts;1994 2e kwartaal;;;
66;13.1 Ijzererts;1994 3e kwartaal;;;
67;13.1 Ijzererts;1994 4e kwartaal;;;
68;13.1 Ijzererts;1994 totaal;;;
69;13.1 Ijzererts;1995 1e kwartaal;;;
70;13.1 Ijzererts;1995 2e kwartaal;;;
71;13.1 Ijzererts;1995 3e kwartaal;;;
72;13.1 Ijzererts;1995 4e kwartaal;;;
73;13.1 Ijzererts;1995 totaal;;;
74;13.1 Ijzererts;1996 1e kwartaal;;;
75;13.1 Ijzererts;1996 2e kwartaal;;;
76;13.1 Ijzererts;1996 3e kwartaal;;;
77;13.1 Ijzererts;1996 4e kwartaal;;;
78;13.1 Ijzererts;1996 totaal;;;
79;13.1 Ijzererts;1997 1e kwartaal;;;
80;13.1 Ijzererts;1997 2e kwartaal;;;
81;13.1 Ijzererts;1997 3e kwartaal;;;
82;13.1 Ijzererts;1997 4e kwartaal;;;
83;13.1 Ijzererts;1997 totaal;;;
84;13.1 Ijzererts;1998 1e kwartaal;;;
85;13.1 Ijzererts;1998 2e kwartaal;;;
86;13.1 Ijzererts;1998 3e kwartaal;;;
87;13.1 Ijzererts;1998 4e kwartaal;;;
88;13.1 Ijzererts;1998 totaal;;;
89;13.1 Ijzererts;1999 1e kwartaal;;;
90;13.1 Ijzererts;1999 2e kwartaal;;;
91;13.1 Ijzererts;1999 3e kwartaal;;;
92;13.1 Ijzererts;1999 4e kwartaal;;;
93;13.1 Ijzererts;1999 totaal;;;
94;13.1 Ijzererts;2000 1e kwartaal;;;
95;13.1 Ijzererts;2000 2e kwartaal;;;
96;13.1 Ijzererts;2000 3e kwartaal;;;
97;13.1 Ijzererts;2000 4e kwartaal;;;
98;13.1 Ijzererts;2000 totaal;;;
99;13.1 Ijzererts;2001 1e kwartaal;0.0;;
100;13.1 Ijzererts;2001 2e kwartaal;0.0;;
101;13.1 Ijzererts;2001 3e kwartaal;0.0;;
102;13.1 Ijzererts;2001 4e kwartaal;0.0;;
103;13.1 Ijzererts;2001 totaal;0.0;;
104;13.1 Ijzererts;2002 1e kwartaal;0.0;;
105;13.1 Ijzererts;2002 2e kwartaal;0.0;;
106;13.1 Ijzererts;2002 3e kwartaal;0.0;;
107;13.1 Ijzererts;2002 4e kwartaal;0.0;;
108;13.1 Ijzererts;2002 totaal;0.0;;
109;13.1 Ijzererts;2003 1e kwartaal;;;
110;13.1 Ijzererts;2003 2e kwartaal;;;
111;13.1 Ijzererts;2003 3e kwartaal;;;
112;13.1 Ijzererts;2003 4e kwartaal;;;
113;13.1 Ijzererts;2003 totaal;0.0;;
114;13.1 Ijzererts;2004 totaal;0.0;;
115;13.1 Ijzererts;2005 totaal;0.0;;
116;13.1 Ijzererts;2006 totaal;0.0;;
117;13.1 Ijzererts;2007 totaal;0.0;;
118;13.10.10.30 [mln kg] Ijzererts en..;1993 1e kwartaal;;;
119;13.10.10.30 [mln kg] Ijzererts en..;1993 2e kwartaal;;;
120;13.10.10.30 [mln kg] Ijzererts en..;1993 3e kwartaal;;;
121;13.10.10.30 [mln kg] Ijzererts en..;1993 4e kwartaal;;;
122;13.10.10.30 [mln kg] Ijzererts en..;1993 totaal;;;
123;13.10.10.30 [mln kg] Ijzererts en..;1994 1e kwartaal;;;
124;13.10.10.30 [mln kg] Ijzererts en..;1994 2e kwartaal;;;
125;13.10.10.30 [mln kg] Ijzererts en..;1994 3e kwartaal;;;
126;13.10.10.30 [mln kg] Ijzererts en..;1994 4e kwartaal;;;
127;13.10.10.30 [mln kg] Ijzererts en..;1994 totaal;;;
128;13.10.10.30 [mln kg] Ijzererts en..;1995 1e kwartaal;;;
129;13.10.10.30 [mln kg] Ijzererts en..;1995 2e kwartaal;;;
130;13.10.10.30 [mln kg] Ijzererts en..;1995 3e kwartaal;;;
131;13.10.10.30 [mln kg] Ijzererts en..;1995 4e kwartaal;;;
132;13.10.10.30 [mln kg] Ijzererts en..;1995 totaal;;;
133;13.10.10.30 [mln kg] Ijzererts en..;1996 1e kwartaal;;;
134;13.10.10.30 [mln kg] Ijzererts en..;1996 2e kwartaal;;;
135;13.10.10.30 [mln kg] Ijzererts en..;1996 3e kwartaal;;;
136;13.10.10.30 [mln kg] Ijzererts en..;1996 4e kwartaal;;;
137;13.10.10.30 [mln kg] Ijzererts en..;1996 totaal;;;
138;13.10.10.30 [mln kg] Ijzererts en..;1997 1e kwartaal;;;
139;13.10.10.30 [mln kg] Ijzererts en..;1997 2e kwartaal;;;
140;13.10.10.30 [mln kg] Ijzererts en..;1997 3e kwartaal;;;
141;13.10.10.30 [mln kg] Ijzererts en..;1997 4e kwartaal;;;
142;13.10.10.30 [mln kg] Ijzererts en..;1997 totaal;;;
143;13.10.10.30 [mln kg] Ijzererts en..;1998 1e kwartaal;;;
144;13.10.10.30 [mln kg] Ijzererts en..;1998 2e kwartaal;;;
145;13.10.10.30 [mln kg] Ijzererts en..;1998 3e kwartaal;;;
146;13.10.10.30 [mln kg] Ijzererts en..;1998 4e kwartaal;;;
147;13.10.10.30 [mln kg] Ijzererts en..;1998 totaal;;;
148;13.10.10.30 [mln kg] Ijzererts en..;1999 1e kwartaal;;;
149;13.10.10.30 [mln kg] Ijzererts en..;1999 2e kwartaal;;;
150;13.10.10.30 [mln kg] Ijzererts en..;1999 3e kwartaal;;;
151;13.10.10.30 [mln kg] Ijzererts en..;1999 4e kwartaal;;;
152;13.10.10.30 [mln kg] Ijzererts en..;1999 totaal;;;
153;13.10.10.30 [mln kg] Ijzererts en..;2000 1e kwartaal;;;
154;13.10.10.30 [mln kg] Ijzererts en..;2000 2e kwartaal;;;
155;13.10.10.30 [mln kg] Ijzererts en..;2000 3e kwartaal;;;
156;13.10.10.30 [mln kg] Ijzererts en..;2000 4e kwartaal;;;
157;13.10.10.30 [mln kg] Ijzererts en..;2000 totaal;;;
158;13.10.10.30 [mln kg] Ijzererts en..;2001 1e kwartaal;0.0;;
159;13.10.10.30 [mln kg] Ijzererts en..;2001 2e kwartaal;0.0;;
160;13.10.10.30 [mln kg] Ijzererts en..;2001 3e kwartaal;0.0;;
161;13.10.10.30 [mln kg] Ijzererts en..;2001 4e kwartaal;0.0;;
162;13.10.10.30 [mln kg] Ijzererts en..;2001 totaal;0.0;0.0;
163;13.10.10.30 [mln kg] Ijzererts en..;2002 1e kwartaal;0.0;;
164;13.10.10.30 [mln kg] Ijzererts en..;2002 2e kwartaal;0.0;;
165;13.10.10.30 [mln kg] Ijzererts en..;2002 3e kwartaal;0.0;;
166;13.10.10.30 [mln kg] Ijzererts en..;2002 4e kwartaal;0.0;;
167;13.10.10.30 [mln kg] Ijzererts en..;2002 totaal;0.0;0.0;
168;13.10.10.30 [mln kg] Ijzererts en..;2003 1e kwartaal;;;
169;13.10.10.30 [mln kg] Ijzererts en..;2003 2e kwartaal;;;
170;13.10.10.30 [mln kg] Ijzererts en..;2003 3e kwartaal;;;
171;13.10.10.30 [mln kg] Ijzererts en..;2003 4e kwartaal;;;
172;13.10.10.30 [mln kg] Ijzererts en..;2003 totaal;0.0;0.0;
173;13.10.10.30 [mln kg] Ijzererts en..;2004 totaal;0.0;;
174;13.10.10.30 [mln kg] Ijzererts en..;2005 totaal;0.0;;
175;13.10.10.30 [mln kg] Ijzererts en..;2006 totaal;0.0;;
176;13.10.10.30 [mln kg] Ijzererts en..;2007 totaal;0.0;;
177;13.10.10.50 [kg] Ijzererts en..;1993 1e kwartaal;0.0;;
178;13.10.10.50 [kg] Ijzererts en..;1993 2e kwartaal;0.0;;
179;13.10.10.50 [kg] Ijzererts en..;1993 3e kwartaal;0.0;;
180;13.10.10.50 [kg] Ijzererts en..;1993 4e kwartaal;0.0;;
181;13.10.10.50 [kg] Ijzererts en..;1993 totaal;0.0;0.0;
182;13.10.10.50 [kg] Ijzererts en..;1994 1e kwartaal;0.0;;
183;13.10.10.50 [kg] Ijzererts en..;1994 2e kwartaal;0.0;;
184;13.10.10.50 [kg] Ijzererts en..;1994 3e kwartaal;0.0;;
185;13.10.10.50 [kg] Ijzererts en..;1994 4e kwartaal;0.0;;
186;13.10.10.50 [kg] Ijzererts en..;1994 totaal;0.0;0.0;
187;13.10.10.50 [kg] Ijzererts en..;1995 1e kwartaal;0.0;;
188;13.10.10.50 [kg] Ijzererts en..;1995 2e kwartaal;0.0;;
189;13.10.10.50 [kg] Ijzererts en..;1995 3e kwartaal;0.0;;
190;13.10.10.50 [kg] Ijzererts en..;1995 4e kwartaal;0.0;;
191;13.10.10.50 [kg] Ijzererts en..;1995 totaal;0.0;0.0;
192;13.10.10.50 [kg] Ijzererts en..;1996 1e kwartaal;0.0;;
193;13.10.10.50 [kg] Ijzererts en..;1996 2e kwartaal;0.0;;
194;13.10.10.50 [kg] Ijzererts en..;1996 3e kwartaal;0.0;;
195;13.10.10.50 [kg] Ijzererts en..;1996 4e kwartaal;0.0;;
196;13.10.10.50 [kg] Ijzererts en..;1996 totaal;0.0;0.0;
197;13.10.10.50 [kg] Ijzererts en..;1997 1e kwartaal;0.0;;
198;13.10.10.50 [kg] Ijzererts en..;1997 2e kwartaal;0.0;;
199;13.10.10.50 [kg] Ijzererts en..;1997 3e kwartaal;0.0;;
200;13.10.10.50 [kg] Ijzererts en..;1997 4e kwartaal;0.0;;
201;13.10.10.50 [kg] Ijzererts en..;1997 totaal;0.0;0.0;
202;13.10.10.50 [kg] Ijzererts en..;1998 1e kwartaal;0.0;;
203;13.10.10.50 [kg] Ijzererts en..;1998 2e kwartaal;0.0;;
204;13.10.10.50 [kg] Ijzererts en..;1998 3e kwartaal;0.0;;
205;13.10.10.50 [kg] Ijzererts en..;1998 4e kwartaal;0.0;;
206;13.10.10.50 [kg] Ijzererts en..;1998 totaal;0.0;0.0;
207;13.10.10.50 [kg] Ijzererts en..;1999 1e kwartaal;0.0;;
208;13.10.10.50 [kg] Ijzererts en..;1999 2e kwartaal;0.0;;
209;13.10.10.50 [kg] Ijzererts en..;1999 3e kwartaal;0.0;;
210;13.10.10.50 [kg] Ijzererts en..;1999 4e kwartaal;0.0;;
211;13.10.10.50 [kg] Ijzererts en..;1999 totaal;0.0;0.0;
212;13.10.10.50 [kg] Ijzererts en..;2000 1e kwartaal;0.0;;
