ID;Huishoudenskenmerken;Perioden;HuishoudensMetMeerDanTweeAutoS_1;HuishoudensMetTweeAutoS_2;HuishoudensMetEenAuto_3;HuishoudenMetMotorrijwiel_4;HuishoudensMetBromfiets_5;HuishoudensMetSnorfiets_6;HuishoudensMetFiets_7;HuishoudensMetOverigGeenVoertuig_8
0;Totaal huishouden;1985;1.0;9.5;58.7;0.3;2.1;0.0;20.5;7.8
1;Totaal huishouden;1986;1.2;9.0;58.9;0.3;2.1;0.0;21.9;6.6
2;Totaal huishouden;1987;1.3;10.5;60.6;0.4;2.0;0.0;18.0;7.3
3;Totaal huishouden;1988;1.4;11.4;59.4;0.3;1.9;0.0;19.1;6.5
4;Totaal huishouden;1989;1.4;11.5;59.9;0.4;1.4;0.0;19.0;6.4
5;Totaal huishouden;1990;1.2;11.8;60.0;0.3;1.8;0.0;18.9;6.0
6;Totaal huishouden;1991;1.1;12.2;60.0;0.4;1.3;0.0;19.0;6.1
7;Totaal huishouden;1992;1.0;12.4;59.2;0.6;1.3;0.0;19.0;6.4
8;Totaal huishouden;1993;1.1;12.8;60.2;0.4;1.3;0.0;18.7;5.5
9;Totaal huishouden;1994;1.1;13.0;59.8;0.5;1.2;0.6;18.7;5.1
10;Totaal huishouden;1995;1.0;13.3;59.5;0.5;1.1;0.7;18.5;5.4
11;Totaal huishouden;1996;1.0;13.7;59.9;0.4;1.1;0.6;18.3;4.9
12;Totaal huishouden;1997;1.1;14.4;59.5;0.5;1.0;0.6;18.0;5.0
13;Totaal huishouden;1998;1.1;15.7;58.5;0.4;1.0;0.6;17.8;4.8
14;Totaal huishouden;1999;1.6;16.1;57.2;0.3;0.9;0.7;16.2;7.1
15;Totaal huishouden;2000;1.7;17.1;56.0;0.2;0.8;0.8;16.2;7.2
16;Totaal huishouden;2001;1.8;17.8;56.1;0.2;0.8;0.7;15.8;6.8
17;Totaal huishouden;2002;2.1;18.9;55.6;0.2;0.7;0.5;14.9;7.1
18;Totaal huishouden;2003;2.1;19.0;55.9;0.2;0.7;0.5;14.9;6.8
19;Totaal huishouden;2004;2.2;20.5;55.8;0.1;0.4;0.4;13.1;7.4
20;Totaal huishouden;2005;2.1;21.01;54.23;0.15;0.76;0.49;14.23;7.02
21;Totaal huishouden;2006;2.19;21.04;54.76;0.24;0.69;0.46;14.02;6.6
22;Totaal huishouden;2007;2.27;21.8;55.21;0.21;0.57;0.42;13.49;6.03
23;Stedelijkheid:Zeer sterk stedelijk;1985;;;;;;;;
24;Stedelijkheid:Zeer sterk stedelijk;1986;;;;;;;;
25;Stedelijkheid:Zeer sterk stedelijk;1987;;;;;;;;
26;Stedelijkheid:Zeer sterk stedelijk;1988;;;;;;;;
27;Stedelijkheid:Zeer sterk stedelijk;1989;;;;;;;;
28;Stedelijkheid:Zeer sterk stedelijk;1990;;;;;;;;
29;Stedelijkheid:Zeer sterk stedelijk;1991;;;;;;;;
30;Stedelijkheid:Zeer sterk stedelijk;1992;;;;;;;;
31;Stedelijkheid:Zeer sterk stedelijk;1993;;;;;;;;
32;Stedelijkheid:Zeer sterk stedelijk;1994;0.4;6.5;49.5;0.7;1.2;0.4;30.8;10.5
33;Stedelijkheid:Zeer sterk stedelijk;1995;0.2;6.8;48.1;0.7;1.4;0.7;31.5;10.5
34;Stedelijkheid:Zeer sterk stedelijk;1996;0.3;6.7;48.4;0.8;1.3;0.5;32.3;9.8
35;Stedelijkheid:Zeer sterk stedelijk;1997;0.2;7.2;47.6;0.7;1.2;0.8;32.3;10.0
36;Stedelijkheid:Zeer sterk stedelijk;1998;0.4;7.5;47.7;0.7;1.2;0.5;32.7;9.2
37;Stedelijkheid:Zeer sterk stedelijk;1999;0.5;7.8;48.8;0.5;1.0;0.7;27.0;13.8
38;Stedelijkheid:Zeer sterk stedelijk;2000;0.7;7.9;47.7;0.4;1.0;0.9;27.0;14.4
39;Stedelijkheid:Zeer sterk stedelijk;2001;0.5;8.0;49.6;0.4;0.7;0.6;27.6;12.6
40;Stedelijkheid:Zeer sterk stedelijk;2002;0.7;9.4;48.7;0.3;0.8;0.5;26.1;13.4
41;Stedelijkheid:Zeer sterk stedelijk;2003;0.7;9.6;49.6;0.3;0.9;0.4;26.1;12.5
42;Stedelijkheid:Zeer sterk stedelijk;2004;0.6;10.6;51.4;0.3;0.6;0.5;22.8;13.2
43;Stedelijkheid:Zeer sterk stedelijk;2005;;;;;;;;
44;Stedelijkheid:Zeer sterk stedelijk;2006;;;;;;;;
45;Stedelijkheid:Zeer sterk stedelijk;2007;;;;;;;;
46;Stedelijkheid:Sterk stedelijk;1985;;;;;;;;
47;Stedelijkheid:Sterk stedelijk;1986;;;;;;;;
48;Stedelijkheid:Sterk stedelijk;1987;;;;;;;;
49;Stedelijkheid:Sterk stedelijk;1988;;;;;;;;
50;Stedelijkheid:Sterk stedelijk;1989;;;;;;;;
51;Stedelijkheid:Sterk stedelijk;1990;;;;;;;;
52;Stedelijkheid:Sterk stedelijk;1991;;;;;;;;
53;Stedelijkheid:Sterk stedelijk;1992;;;;;;;;
54;Stedelijkheid:Sterk stedelijk;1993;;;;;;;;
55;Stedelijkheid:Sterk stedelijk;1994;0.6;10.7;59.1;0.7;1.4;0.8;22.0;4.7
56;Stedelijkheid:Sterk stedelijk;1995;0.7;10.3;59.5;0.6;1.4;0.9;21.2;5.4
57;Stedelijkheid:Sterk stedelijk;1996;0.6;11.3;60.4;0.5;1.5;0.8;19.9;5.0
58;Stedelijkheid:Sterk stedelijk;1997;0.6;11.9;59.4;0.6;1.2;0.8;20.3;5.2
59;Stedelijkheid:Sterk stedelijk;1998;0.7;13.4;58.6;0.5;1.2;0.8;19.4;5.3
60;Stedelijkheid:Sterk stedelijk;1999;1.2;13.9;58.0;0.3;1.0;0.7;17.7;7.2
61;Stedelijkheid:Sterk stedelijk;2000;1.2;15.1;56.6;0.2;1.0;0.9;17.9;7.1
62;Stedelijkheid:Sterk stedelijk;2001;1.3;15.9;57.1;0.3;1.0;0.8;16.6;7.0
63;Stedelijkheid:Sterk stedelijk;2002;1.4;16.6;57.8;0.2;1.1;0.5;15.2;7.1
64;Stedelijkheid:Sterk stedelijk;2003;1.5;16.8;57.5;0.3;1.0;0.6;15.7;6.6
65;Stedelijkheid:Sterk stedelijk;2004;1.6;18.0;58.2;0.2;0.4;0.6;13.5;7.5
66;Stedelijkheid:Sterk stedelijk;2005;;;;;;;;
67;Stedelijkheid:Sterk stedelijk;2006;;;;;;;;
68;Stedelijkheid:Sterk stedelijk;2007;;;;;;;;
69;Stedelijkheid:Matig stedelijk;1985;;;;;;;;
70;Stedelijkheid:Matig stedelijk;1986;;;;;;;;
71;Stedelijkheid:Matig stedelijk;1987;;;;;;;;
72;Stedelijkheid:Matig stedelijk;1988;;;;;;;;
73;Stedelijkheid:Matig stedelijk;1989;;;;;;;;
74;Stedelijkheid:Matig stedelijk;1990;;;;;;;;
75;Stedelijkheid:Matig stedelijk;1991;;;;;;;;
76;Stedelijkheid:Matig stedelijk;1992;;;;;;;;
77;Stedelijkheid:Matig stedelijk;1993;;;;;;;;
78;Stedelijkheid:Matig stedelijk;1994;1.0;14.6;63.8;0.5;1.0;0.5;14.7;3.9
79;Stedelijkheid:Matig stedelijk;1995;0.9;14.5;64.0;0.6;1.0;0.6;14.5;4.0
80;Stedelijkheid:Matig stedelijk;1996;1.0;14.9;63.7;0.4;1.1;0.7;14.8;3.5
81;Stedelijkheid:Matig stedelijk;1997;1.1;15.8;63.9;0.3;0.8;0.5;13.6;4.0
82;Stedelijkheid:Matig stedelijk;1998;1.0;17.7;62.8;0.4;1.0;0.6;13.2;3.2
83;Stedelijkheid:Matig stedelijk;1999;1.9;17.7;59.8;0.2;0.8;0.8;13.5;5.3
84;Stedelijkheid:Matig stedelijk;2000;1.7;19.3;58.6;0.2;0.7;0.8;13.3;5.4
85;Stedelijkheid:Matig stedelijk;2001;2.0;20.0;58.3;0.2;0.7;0.8;12.7;5.3
86;Stedelijkheid:Matig stedelijk;2002;2.4;20.8;57.5;0.2;0.6;0.6;12.6;5.4
87;Stedelijkheid:Matig stedelijk;2003;2.4;21.2;58.4;0.1;0.6;0.5;11.4;5.3
88;Stedelijkheid:Matig stedelijk;2004;2.2;23.3;57.3;0.0;0.4;0.3;10.5;6.0
89;Stedelijkheid:Matig stedelijk;2005;;;;;;;;
90;Stedelijkheid:Matig stedelijk;2006;;;;;;;;
91;Stedelijkheid:Matig stedelijk;2007;;;;;;;;
92;Stedelijkheid:Weinig stedelijk;1985;;;;;;;;
93;Stedelijkheid:Weinig stedelijk;1986;;;;;;;;
94;Stedelijkheid:Weinig stedelijk;1987;;;;;;;;
95;Stedelijkheid:Weinig stedelijk;1988;;;;;;;;
96;Stedelijkheid:Weinig stedelijk;1989;;;;;;;;
97;Stedelijkheid:Weinig stedelijk;1990;;;;;;;;
98;Stedelijkheid:Weinig stedelijk;1991;;;;;;;;
99;Stedelijkheid:Weinig stedelijk;1992;;;;;;;;
100;Stedelijkheid:Weinig stedelijk;1993;;;;;;;;
101;Stedelijkheid:Weinig stedelijk;1994;1.6;16.7;65.1;0.3;1.1;0.7;12.1;2.4
102;Stedelijkheid:Weinig stedelijk;1995;1.5;18.0;64.5;0.4;0.8;0.6;11.3;2.9
103;Stedelijkheid:Weinig stedelijk;1996;1.5;18.3;64.6;0.3;0.8;0.6;11.3;2.6
104;Stedelijkheid:Weinig stedelijk;1997;1.6;19.2;64.3;0.4;0.6;0.7;10.9;2.3
105;Stedelijkheid:Weinig stedelijk;1998;1.7;21.0;62.3;0.3;0.7;0.7;10.8;2.6
