ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijferOngecorrigeerd_1;IndexcijferKalendergecorrigeerd_2;IndexcijferSeizoengecorrigeerd_3;OntwikkelingOngecorrigeerd_4;OntwikkelingKalendergecorrigeerd_5;OntwikkelingSeizoengecorrigeerd_6
0;F Bouwnijverheid;2005 januari ;70.5;74.4;82.6;-3.8;4.2;3.7
1;F Bouwnijverheid;2005 februari;79.9;81.0;81.0;1.0;3.5;3.4
2;F Bouwnijverheid;2005 maart;88.0;89.3;80.0;-2.5;2.4;2.0
3;F Bouwnijverheid;2005 1e kwartaal;79.5;81.6;81.2;-1.7;3.3;3.1
4;F Bouwnijverheid;2005 april;91.7;87.9;82.4;9.7;5.4;4.3
5;F Bouwnijverheid;2005 mei;83.7;88.0;85.7;10.1;10.8;10.8
6;F Bouwnijverheid;2005 juni;94.7;92.2;83.0;6.8;6.9;7.2
7;F Bouwnijverheid;2005 2e kwartaal;90.0;89.3;83.7;8.8;7.7;7.4
8;F Bouwnijverheid;2005 juli;75.5;77.9;84.1;0.7;4.3;3.4
9;F Bouwnijverheid;2005 augustus;48.3;47.1;80.4;14.1;9.7;9.4
10;F Bouwnijverheid;2005 september;102.7;101.3;82.3;6.9;6.9;6.8
11;F Bouwnijverheid;2005 3e kwartaal;75.5;75.4;82.2;6.1;6.6;6.4
12;F Bouwnijverheid;2005 oktober;93.9;96.8;84.0;2.7;2.7;3.7
13;F Bouwnijverheid;2005 november;96.3;94.8;84.9;3.7;3.7;4.6
14;F Bouwnijverheid;2005 december;68.7;67.2;88.3;3.4;6.2;7.3
15;F Bouwnijverheid;2005 4e kwartaal;86.3;86.2;85.7;3.3;4.0;5.2
16;F Bouwnijverheid;2005;82.8;83.1;83.2;4.1;5.3;5.5
17;F Bouwnijverheid;2006 januari;71.7;74.3;82.1;1.7;-0.2;-0.7
18;F Bouwnijverheid;2006 februari;82.8;83.5;83.4;3.6;3.1;2.9
19;F Bouwnijverheid;2006 maart;95.3;92.8;83.9;8.2;3.9;4.9
20;F Bouwnijverheid;2006 1e kwartaal;83.3;83.5;83.1;4.8;2.4;2.4
21;F Bouwnijverheid;2006 april;86.2;87.7;81.7;-6.0;-0.2;-0.8
22;F Bouwnijverheid;2006 mei;91.7;87.7;84.8;9.6;-0.3;-1.0
23;F Bouwnijverheid;2006 juni;92.9;93.5;84.5;-1.9;1.4;1.8
24;F Bouwnijverheid;2006 2e kwartaal;90.3;89.6;83.7;0.3;0.3;0.0
25;F Bouwnijverheid;2006 juli;76.2;79.3;85.4;0.9;1.8;1.6
26;F Bouwnijverheid;2006 augustus;51.5;49.8;84.4;6.5;5.7;5.0
27;F Bouwnijverheid;2006 september;107.2;108.3;88.4;4.3;7.0;7.4
28;F Bouwnijverheid;2006 3e kwartaal;78.3;79.1;86.0;3.7;4.9;4.6
29;F Bouwnijverheid;2006 oktober;97.4;97.8;85.5;3.8;1.1;1.9
30;F Bouwnijverheid;2006 november;99.5;98.0;88.6;3.3;3.3;4.4
31;F Bouwnijverheid;2006 december;69.6;69.5;91.9;1.3;3.4;4.1
32;F Bouwnijverheid;2006 4e kwartaal;88.8;88.4;88.7;2.9;2.5;3.5
33;F Bouwnijverheid;2006;85.2;85.2;85.4;2.8;2.4;2.6
34;F Bouwnijverheid;2007 januari;79.3;79.0;86.4;10.5;6.4;5.2
35;F Bouwnijverheid;2007 februari;91.2;91.8;91.4;10.2;9.9;9.5
36;F Bouwnijverheid;2007 maart;103.0;102.3;92.8;8.1;10.2;10.6
37;F Bouwnijverheid;2007 1e kwartaal;91.2;91.0;90.2;9.5;9.0;8.5
38;F Bouwnijverheid;2007 april;94.9;97.2;90.1;10.1;10.8;10.2
39;F Bouwnijverheid;2007 mei;95.4;94.3;91.2;4.0;7.5;7.5
40;F Bouwnijverheid;2007 juni;101.5;101.4;91.8;9.2;8.5;8.6
