ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaleOrderontvangst_1;OrderontvangstBinnenland_2;OrderontvangstBuitenland_3;TotaleOrderontvangst_4;OrderontvangstBinnenland_5;OrderontvangstBuitenland_6
0;C Industrie;2005 januari;84.0;86.1;83.0;;;
1;C Industrie;2005 februari;87.5;86.1;88.1;;;
2;C Industrie;2005 maart;93.8;96.8;92.6;;;
3;C Industrie;2005 1e kwartaal;88.4;89.7;87.9;;;
4;C Industrie;2005 april;85.6;87.2;84.9;;;
5;C Industrie;2005 mei;85.9;90.9;83.7;;;
6;C Industrie;2005 juni;92.4;94.3;91.5;;;
7;C Industrie;2005 2e kwartaal;88.0;90.8;86.7;;;
8;C Industrie;2005 juli;82.1;83.6;81.4;;;
9;C Industrie;2005 augustus;81.6;81.2;81.8;;;
10;C Industrie;2005 september;99.7;94.1;102.2;;;
11;C Industrie;2005 3e kwartaal;87.8;86.3;88.5;;;
12;C Industrie;2005 oktober;90.8;96.3;88.3;;;
13;C Industrie;2005 november;95.4;99.8;93.5;;;
14;C Industrie;2005 december;98.9;98.1;99.3;;;
15;C Industrie;2005 4e kwartaal;95.0;98.1;93.7;;;
16;C Industrie;2005;89.8;91.2;89.2;;;
17;C Industrie;2006 januari;96.4;95.1;97.0;14.8;10.5;16.9
18;C Industrie;2006 februari;96.6;99.9;95.2;10.4;16.0;8.1
19;C Industrie;2006 maart;118.3;115.8;119.4;26.1;19.6;28.9
20;C Industrie;2006 1e kwartaal;103.8;103.6;103.9;17.3;15.5;18.2
21;C Industrie;2006 april;100.0;102.4;98.8;16.8;17.4;16.4
22;C Industrie;2006 mei;105.9;109.0;104.4;23.3;19.9;24.7
23;C Industrie;2006 juni;113.8;111.7;114.8;23.2;18.5;25.5
24;C Industrie;2006 2e kwartaal;106.6;107.7;106.0;21.1;18.6;22.3
25;C Industrie;2006 juli;102.1;104.1;101.2;24.4;24.5;24.3
26;C Industrie;2006 augustus;104.1;103.9;104.3;27.6;28.0;27.5
27;C Industrie;2006 september;107.5;102.8;109.7;7.8;9.2;7.3
28;C Industrie;2006 3e kwartaal;104.6;103.6;105.1;19.1;20.0;18.8
29;C Industrie;2006 oktober;107.0;107.9;106.8;17.8;12.0;21.0
30;C Industrie;2006 november;110.7;112.7;110.0;16.0;12.9;17.6
31;C Industrie;2006 december;110.3;107.2;111.7;11.5;9.3;12.5
32;C Industrie;2006 4e kwartaal;109.3;109.3;109.5;15.0;11.4;16.9
33;C Industrie;2006;106.1;106.0;106.1;18.1;16.3;19.0
34;C Industrie;2007 januari;109.5;107.6;110.3;13.6;13.1;13.7
35;C Industrie;2007 februari;109.9;111.2;109.3;13.8;11.3;14.8
36;C Industrie;2007 maart;126.8;118.9;130.4;7.2;2.7;9.2
37;C Industrie;2007 1e kwartaal;115.4;112.6;116.7;11.2;8.7;12.3
38;C Industrie;2007 april;111.2;109.3;112.1;11.2;6.7;13.5
39;C Industrie;2007 mei;115.3;126.2;110.4;8.9;15.8;5.7
40;C Industrie;2007 juni;118.5;119.3;118.2;4.1;6.8;3.0
41;C Industrie;2007 2e kwartaal;115.0;118.3;113.6;7.9;9.8;7.1
42;C Industrie;2007 juli;109.1;107.9;109.6;6.9;3.7;8.3
43;C Industrie;2007 augustus;111.9;106.7;114.2;7.5;2.7;9.5
44;C Industrie;2007 september;116.6;122.0;114.2;8.5;18.7;4.1
45;C Industrie;2007 3e kwartaal;112.5;112.2;112.7;7.6;8.3;7.2
46;C Industrie;2007 oktober;118.1;122.5;116.1;10.4;13.5;8.7
47;C Industrie;2007 november;113.7;117.0;112.2;2.7;3.8;2.0
48;C Industrie;2007 december;113.6;115.0;112.9;3.0;7.3;1.1
49;C Industrie;2007 4e kwartaal;115.1;118.2;113.7;5.3;8.1;3.9
50;C Industrie;2007;114.5;115.3;114.2;8.0;8.7;7.6
51;C Industrie;2008 januari;117.1;110.7;119.9;6.9;2.9;8.7
52;C Industrie;2008 februari;121.0;115.0;123.7;10.1;3.4;13.2
53;C Industrie;2008 maart;114.6;117.3;113.4;-9.6;-1.3;-13.0
54;C Industrie;2008 1e kwartaal;117.6;114.3;119.0;1.9;1.6;2.0
55;C Industrie;2008 april;115.0;117.2;114.1;3.4;7.2;1.8
56;C Industrie;2008 mei;107.2;111.6;105.3;-7.0;-11.6;-4.6
57;C Industrie;2008 juni;115.8;123.0;112.5;-2.3;3.1;-4.8
58;C Industrie;2008 2e kwartaal;112.7;117.3;110.6;-2.0;-0.8;-2.6
59;C Industrie;2008 juli;110.4;115.0;108.3;1.2;6.6;-1.2
60;C Industrie;2008 augustus;100.7;109.7;96.6;-10.0;2.8;-15.4
61;C Industrie;2008 september;115.8;123.6;112.4;-0.7;1.3;-1.6
62;C Industrie;2008 3e kwartaal;109.0;116.1;105.8;-3.2;3.5;-6.1
63;C Industrie;2008 oktober;105.3;116.3;100.4;-10.8;-5.1;-13.5
64;C Industrie;2008 november;87.9;97.2;83.7;-22.7;-16.9;-25.4
65;C Industrie;2008 december;79.1;83.8;76.9;-30.4;-27.1;-31.9
66;C Industrie;2008 4e kwartaal;90.8;99.1;87.0;-21.2;-16.1;-23.5
67;C Industrie;2008;107.5;111.7;105.6;-6.1;-3.1;-7.5
68;C Industrie;2009 januari;77.3;82.3;75.0;-34.0;-25.7;-37.4
69;C Industrie;2009 februari;73.3;79.9;70.3;-39.4;-30.5;-43.2
70;C Industrie;2009 maart;83.7;91.4;80.2;-27.0;-22.1;-29.3
71;C Industrie;2009 1e kwartaal;78.1;84.5;75.2;-33.6;-26.1;-36.8
72;C Industrie;2009 april;70.3;81.6;65.2;-38.9;-30.4;-42.9
73;C Industrie;2009 mei;78.1;84.7;75.1;-27.1;-24.1;-28.7
74;C Industrie;2009 juni;85.7;91.8;82.9;-26.0;-25.4;-26.3
75;C Industrie;2009 2e kwartaal;78.0;86.0;74.4;-30.7;-26.6;-32.8
76;C Industrie;2009 juli;82.4;93.6;77.3;-25.4;-18.6;-28.6
77;C Industrie;2009 augustus;75.3;77.1;74.6;-25.2;-29.7;-22.8
78;C Industrie;2009 september;90.2;96.7;87.2;-22.1;-21.8;-22.4
79;C Industrie;2009 3e kwartaal;82.6;89.1;79.7;-24.2;-23.2;-24.6
80;C Industrie;2009 oktober;88.8;97.6;84.9;-15.7;-16.1;-15.4
81;C Industrie;2009 november;90.6;98.9;86.8;3.1;1.7;3.7
82;C Industrie;2009 december;93.8;107.3;87.8;18.6;28.0;14.2
83;C Industrie;2009 4e kwartaal;91.1;101.3;86.5;0.3;2.2;-0.6
84;C Industrie;2009;82.5;90.2;78.9;-23.3;-19.2;-25.2
85;C Industrie;2010 januari;80.9;88.8;77.5;4.7;7.9;3.3
86;C Industrie;2010 februari;85.8;88.3;84.8;17.1;10.5;20.6
87;C Industrie;2010 maart;102.3;100.5;103.0;22.2;10.0;28.4
88;C Industrie;2010 1e kwartaal;89.7;92.5;88.4;14.8;9.5;17.6
89;C Industrie;2010 april;97.9;97.4;98.1;39.3;19.4;50.5
90;C Industrie;2010 mei;93.8;96.8;92.5;20.1;14.3;23.2
91;C Industrie;2010 juni;109.2;109.4;109.1;27.4;19.2;31.6
92;C Industrie;2010 2e kwartaal;100.3;101.2;99.9;28.5;17.6;34.3
93;C Industrie;2010 juli;99.9;96.8;101.2;21.2;3.4;30.9
94;C Industrie;2010 augustus;94.3;90.9;95.7;25.2;17.9;28.3
95;C Industrie;2010 september;111.2;112.4;110.6;23.3;16.2;26.8
96;C Industrie;2010 3e kwartaal;101.8;100.0;102.5;23.2;12.2;28.6
97;C Industrie;2010 oktober;104.5;102.5;105.4;17.7;5.0;24.1
98;C Industrie;2010 november;104.2;105.3;103.7;15.0;6.5;19.5
99;C Industrie;2010 december;116.1;111.0;118.4;23.8;3.4;34.9
100;C Industrie;2010 4e kwartaal;108.3;106.3;109.2;18.9;4.9;26.2
101;C Industrie;2010;100.0;100.0;100.0;21.3;10.8;26.7
102;C Industrie;2011 januari;103.6;104.1;103.4;28.1;17.2;33.4
103;C Industrie;2011 februari;108.6;109.0;108.4;26.6;23.4;27.8
104;C Industrie;2011 maart;122.6;123.5;122.2;19.8;22.9;18.6
105;C Industrie;2011 1e kwartaal;111.6;112.2;111.3;24.5;21.3;25.9
106;C Industrie;2011 april;105.1;111.3;102.4;7.4;14.3;4.4
107;C Industrie;2011 mei;110.4;114.0;108.8;17.7;17.8;17.6
108;C Industrie;2011 juni;113.3;111.4;114.1;3.8;1.8;4.6
109;C Industrie;2011 2e kwartaal;109.6;112.2;108.4;9.3;10.9;8.5
110;C Industrie;2011 juli;102.0;106.9;99.9;2.1;10.4;-1.3
111;C Industrie;2011 augustus;96.8;99.4;95.6;2.7;9.4;-0.1
112;C Industrie;2011 september;107.3;107.3;107.3;-3.5;-4.5;-3.0
113;C Industrie;2011 3e kwartaal;102.0;104.5;100.9;0.2;4.5;-1.5
114;C Industrie;2011 oktober;103.0;102.2;103.3;-1.4;-0.3;-2.0
115;C Industrie;2011 november;102.1;103.4;101.4;-2.0;-1.8;-2.2
116;C Industrie;2011 december;105.8;98.6;108.8;-8.9;-11.2;-8.1
117;C Industrie;2011 4e kwartaal;103.6;101.4;104.5;-4.3;-4.6;-4.3
118;C Industrie;2011;106.7;107.6;106.3;6.7;7.6;6.3
119;C Industrie;2012 januari;106.6;107.1;106.3;2.9;2.9;2.8
120;C Industrie;2012 februari;107.7;112.9;105.5;-0.8;3.6;-2.7
121;C Industrie;2012 maart;116.9;119.3;115.9;-4.6;-3.4;-5.2
122;C Industrie;2012 1e kwartaal;110.4;113.1;109.2;-1.1;0.8;-1.9
123;C Industrie;2012 april;104.4;107.8;102.9;-0.7;-3.1;0.5
124;C Industrie;2012 mei;110.2;114.4;108.4;-0.2;0.4;-0.4
125;C Industrie;2012 juni;115.3;112.6;116.5;1.8;1.1;2.1
126;C Industrie;2012 2e kwartaal;110.0;111.6;109.3;0.3;-0.6;0.8
127;C Industrie;2012 juli;104.7;103.5;105.3;2.6;-3.2;5.4
128;C Industrie;2012 augustus;104.5;101.5;105.8;8.0;2.1;10.7
129;C Industrie;2012 september;107.8;107.3;108.0;0.5;0.0;0.7
130;C Industrie;2012 3e kwartaal;105.7;104.1;106.4;3.6;-0.4;5.4
131;C Industrie;2012 oktober;107.3;110.1;106.0;4.2;7.7;2.6
132;C Industrie;2012 november;107.7;111.3;105.8;5.5;7.6;4.3
133;C Industrie;2012 december;104.9;99.8;107.0;-0.9;1.2;-1.7
134;C Industrie;2012 4e kwartaal;106.6;107.1;106.3;2.9;5.6;1.7
135;C Industrie;2012;108.2;109.0;107.8;1.4;1.3;1.4
136;C Industrie;2013 januari;102.8;101.3;103.3;-3.6;-5.4;-2.8
137;C Industrie;2013 februari;99.5;99.8;99.3;-7.6;-11.6;-5.9
138;C Industrie;2013 maart;111.7;105.6;114.3;-4.4;-11.5;-1.4
139;C Industrie;2013 1e kwartaal;104.7;102.2;105.6;-5.2;-9.6;-3.3
140;C Industrie;2013 april;96.4;96.1;96.5;-7.7;-10.9;-6.2
141;C Industrie;2013 mei;102.3;104.1;101.4;-7.2;-9.0;-6.5
142;C Industrie;2013 juni;113.7;106.3;116.9;-1.4;-5.6;0.3
143;C Industrie;2013 2e kwartaal;104.1;102.2;104.9;-5.3;-8.5;-4.0
144;C Industrie;2013 juli;114.6;108.1;117.4;9.5;4.4;11.5
145;C Industrie;2013 augustus;101.5;99.8;102.2;-2.9;-1.7;-3.4
146;C Industrie;2013 september;119.3;108.7;123.9;10.7;1.3;14.7
147;C Industrie;2013 3e kwartaal;111.8;105.5;114.5;5.8;1.4;7.6
148;C Industrie;2013 oktober;110.5;105.4;112.7;3.0;-4.3;6.3
149;C Industrie;2013 november;102.7;99.4;104.1;-4.6;-10.7;-1.6
150;C Industrie;2013 december;120.3;109.3;125.1;14.7;9.5;16.9
151;C Industrie;2013 4e kwartaal;111.2;104.7;114.0;4.3;-2.2;7.2
152;C Industrie;2013;107.9;103.7;109.8;-0.2;-4.9;1.8
153;13 Textielindustrie;2005 januari;106.1;118.8;100.5;;;
154;13 Textielindustrie;2005 februari;109.4;117.7;105.8;;;
155;13 Textielindustrie;2005 maart;123.0;141.2;114.9;;;
156;13 Textielindustrie;2005 1e kwartaal;112.8;125.9;107.1;;;
157;13 Textielindustrie;2005 april;106.6;115.0;102.8;;;
158;13 Textielindustrie;2005 mei;102.2;102.7;102.0;;;
159;13 Textielindustrie;2005 juni;110.3;115.4;108.0;;;
160;13 Textielindustrie;2005 2e kwartaal;106.4;111.0;104.3;;;
161;13 Textielindustrie;2005 juli;101.9;118.1;94.5;;;
162;13 Textielindustrie;2005 augustus;88.8;98.0;84.8;;;
163;13 Textielindustrie;2005 september;112.6;114.4;112.0;;;
164;13 Textielindustrie;2005 3e kwartaal;101.1;110.2;97.1;;;
165;13 Textielindustrie;2005 oktober;104.2;109.1;102.1;;;
166;13 Textielindustrie;2005 november;113.5;118.7;111.2;;;
167;13 Textielindustrie;2005 december;113.6;116.2;112.5;;;
168;13 Textielindustrie;2005 4e kwartaal;110.4;114.7;108.6;;;
169;13 Textielindustrie;2005;107.7;115.4;104.3;;;
170;13 Textielindustrie;2006 januari;114.2;116.0;113.3;7.6;-2.4;12.7
171;13 Textielindustrie;2006 februari;113.3;126.6;107.4;3.6;7.6;1.5
172;13 Textielindustrie;2006 maart;128.4;144.3;121.2;4.4;2.2;5.5
173;13 Textielindustrie;2006 1e kwartaal;118.6;129.0;114.0;5.1;2.4;6.4
174;13 Textielindustrie;2006 april;113.1;136.4;102.6;6.1;18.6;-0.2
175;13 Textielindustrie;2006 mei;117.6;137.1;108.9;15.1;33.5;6.8
176;13 Textielindustrie;2006 juni;124.9;142.3;117.2;13.2;23.3;8.5
177;13 Textielindustrie;2006 2e kwartaal;118.5;138.6;109.6;11.4;24.8;5.1
178;13 Textielindustrie;2006 juli;106.7;124.7;98.6;4.7;5.6;4.3
179;13 Textielindustrie;2006 augustus;92.2;98.2;89.5;3.8;0.2;5.5
180;13 Textielindustrie;2006 september;127.7;144.3;120.3;13.4;26.1;7.4
181;13 Textielindustrie;2006 3e kwartaal;108.9;122.4;102.8;7.7;11.1;5.9
182;13 Textielindustrie;2006 oktober;120.5;126.7;117.8;15.6;16.1;15.4
183;13 Textielindustrie;2006 november;126.1;138.9;120.4;11.1;17.0;8.3
184;13 Textielindustrie;2006 december;99.6;111.7;94.2;-12.3;-3.9;-16.3
185;13 Textielindustrie;2006 4e kwartaal;115.4;125.8;110.8;4.5;9.7;2.0
186;13 Textielindustrie;2006;115.4;128.9;109.3;7.1;11.7;4.8
187;13 Textielindustrie;2007 januari;113.4;129.4;106.2;-0.7;11.6;-6.3
188;13 Textielindustrie;2007 februari;112.8;124.0;107.8;-0.4;-2.1;0.4
189;13 Textielindustrie;2007 maart;134.7;149.6;128.1;4.9;3.7;5.7
190;13 Textielindustrie;2007 1e kwartaal;120.3;134.3;114.0;1.4;4.2;0.1
191;13 Textielindustrie;2007 april;113.6;124.3;108.8;0.4;-8.9;6.0
192;13 Textielindustrie;2007 mei;118.4;137.7;109.8;0.7;0.4;0.8
193;13 Textielindustrie;2007 juni;130.2;133.5;128.7;4.2;-6.2;9.8
194;13 Textielindustrie;2007 2e kwartaal;120.7;131.8;115.8;1.9;-4.9;5.7
195;13 Textielindustrie;2007 juli;106.4;111.1;104.2;-0.3;-10.9;5.7
196;13 Textielindustrie;2007 augustus;104.4;108.3;102.7;13.2;10.3;14.7
197;13 Textielindustrie;2007 september;109.6;122.5;103.9;-14.2;-15.1;-13.6
198;13 Textielindustrie;2007 3e kwartaal;106.8;114.0;103.6;-1.9;-6.9;0.8
199;13 Textielindustrie;2007 oktober;121.6;136.2;115.0;0.9;7.5;-2.4
200;13 Textielindustrie;2007 november;120.5;131.3;115.7;-4.4;-5.5;-3.9
201;13 Textielindustrie;2007 december;93.3;104.9;88.0;-6.3;-6.1;-6.6
202;13 Textielindustrie;2007 4e kwartaal;111.8;124.1;106.2;-3.1;-1.3;-4.1
203;13 Textielindustrie;2007;114.9;126.1;109.9;-0.4;-2.2;0.6
204;13 Textielindustrie;2008 januari;111.5;120.4;107.5;-1.7;-7.0;1.2
205;13 Textielindustrie;2008 februari;110.1;116.9;107.0;-2.4;-5.7;-0.7
206;13 Textielindustrie;2008 maart;118.0;128.9;113.2;-12.4;-13.8;-11.6
207;13 Textielindustrie;2008 1e kwartaal;113.2;122.1;109.2;-5.9;-9.1;-4.2
208;13 Textielindustrie;2008 april;115.9;128.1;110.5;2.0;3.1;1.6
209;13 Textielindustrie;2008 mei;107.8;112.8;105.6;-9.0;-18.1;-3.8
210;13 Textielindustrie;2008 juni;116.0;126.3;111.3;-10.9;-5.4;-13.5
211;13 Textielindustrie;2008 2e kwartaal;113.2;122.4;109.1;-6.2;-7.2;-5.7
212;13 Textielindustrie;2008 juli;98.8;107.6;94.9;-7.1;-3.2;-8.9
213;13 Textielindustrie;2008 augustus;92.1;91.6;92.3;-11.8;-15.4;-10.1
214;13 Textielindustrie;2008 september;111.0;115.0;109.2;1.3;-6.1;5.1
215;13 Textielindustrie;2008 3e kwartaal;100.6;104.7;98.8;-5.8;-8.1;-4.6
216;13 Textielindustrie;2008 oktober;106.1;118.7;100.5;-12.7;-12.8;-12.6
217;13 Textielindustrie;2008 november;97.5;113.2;90.4;-19.1;-13.8;-21.9
218;13 Textielindustrie;2008 december;88.8;101.5;83.3;-4.8;-3.2;-5.3
219;13 Textielindustrie;2008 4e kwartaal;97.5;111.1;91.4;-12.8;-10.5;-14.0
220;13 Textielindustrie;2008;106.1;115.1;102.1;-7.6;-8.7;-7.1
221;13 Textielindustrie;2009 januari;84.8;96.3;79.7;-23.9;-20.0;-25.9
222;13 Textielindustrie;2009 februari;92.7;108.8;85.6;-15.8;-6.9;-20.0
223;13 Textielindustrie;2009 maart;94.8;113.3;86.4;-19.7;-12.1;-23.7
224;13 Textielindustrie;2009 1e kwartaal;90.8;106.1;83.9;-19.8;-13.1;-23.2
225;13 Textielindustrie;2009 april;91.6;106.4;85.1;-21.0;-16.9;-23.0
226;13 Textielindustrie;2009 mei;88.5;99.4;83.7;-17.9;-11.9;-20.7
227;13 Textielindustrie;2009 juni;95.5;101.0;93.0;-17.7;-20.0;-16.4
