ID;Jaren;TotaalAantalVerzoekenOmSurseance_1;LandbouwJachtEnBosbouw_2;Visserij_3;Delfstoffenwinning_4;TotaalAantalVerzoekenOmSurseance_5;VoedingsmiddelenEnDranken_6;Textiel_7;KledingBereidenEnVervenVanBont_8;LeerEnLederwaren_9;HoutKurkRietEnVlechtwerk_10;PapierKartonEnPapierEnKartonwaren_11;UitgeverijenDrukkerijenEnReproductie_12;ChemischeProducten_13;RubberEnKunststof_14;GlasAardewerkCementproducten_15;Metaalproducten_16;MachinesEnApparaten_17;OverigeElektrischeApparaten_18;MedischeEnOptischeApparaten_19;AutoSAanhangwagensEnOpleggers_20;OverigeTransportmiddelen_21;MeubelsEnOverigeGoederen_22;Bouwnijverheid_23;TotaalAantalVerzoekenOmSurseance_24;HandelInEnReparatieVanAutoS_25;GroothandelEnHandelsbemiddeling_26;DetailhandelEnReparatie_27;Horeca_28;TotaalAantalVerzoekenOmSurseance_29;VervoerOverLand_30;DienstverleningTBVHetVervoer_31;OverigVervoerOpslagEnCommunicatie_32;TotaalAantalVerzoekenOmSurseance_33;FinancieleInstellingen_34;Activiteiten_35;TotaalAantalVerzoekenOmSurseance_36;VerhuurVanEnHandelInOnroerendGoed_37;VerhuurVanTransportmiddelen_38;Computerservice_39;SpeurEnOntwikkelingswerk_40;OverigeZakelijkeDienstverlening_41;Onderwijs_42;GezondheidsEnWelzijnszorg_43;TotaalAantalVerzoekenOmSurseance_44;Milieudienstverlening_45;Werkgeversorganisaties_46;CultuurSportEnRecreatie_47;OverigeDienstverlening_48
0;1994;459;14;1;0;76;6;1;3;2;3;1;10;1;2;6;10;14;2;4;0;0;8;69;116;8;60;48;23;30;23;5;2;26;14;12;76;12;4;9;0;51;3;4;9;1;0;6;2
1;1995;393;16;1;0;63;4;3;4;0;5;1;10;0;5;1;10;7;3;0;0;2;4;30;125;15;70;40;19;24;12;8;4;10;4;6;69;7;2;7;2;51;2;4;13;1;2;7;3
2;1996;420;11;0;0;67;8;3;1;0;4;1;7;0;1;0;10;8;3;3;1;6;11;48;108;2;69;37;30;28;15;6;7;19;7;12;78;11;2;11;0;54;0;3;17;1;0;13;3
3;1997;389;8;1;0;66;14;3;1;0;4;0;4;0;3;4;8;9;3;0;3;1;7;49;107;13;59;35;17;22;13;4;5;13;4;9;67;7;2;8;0;50;4;0;17;2;1;10;4
