ID;Sector;Perioden;Totaal_1;Bedrijven_2;Overheid_3;HogerOnderwijsinstellingen_4;PrivateNonProfitOrganisaties_5;TotaalBuitenland_6;BedrijvenBuitenland_7;OverigeBuitenland_8;FundamenteelOnderzoek_9;ToegepastOnderzoek_10;ExperimenteleOntwikkeling_11;LopendeKosten_12;RDInvesteringen_13;UitgavenRDUitbesteedAanBuitenland_14
0;Alle sectoren;2011;12235;6239;4167;38;405;1385;944;442;;;;11309;926;1139
1;Alle sectoren;2012;12512;6451;4057;53;384;1567;1079;488;;;;11681;832;1462
2;Alle sectoren;2013;12746;6516;4251;37;390;1551;1033;518;;;;11822;924;1582
3;Alle sectoren;2014;13268;6778;4402;22;386;1679;1112;567;;;;12239;1029;1473
4;Alle sectoren;2015;13696;6663;4537;22;350;2124;1433;691;;;;12639;1057;1886
5;Alle sectoren;2016;14142;7358;4432;19;364;1970;1319;650;;;;13167;977;2705
6;Alle sectoren;2017;14675;7683;4556;25;378;2034;1346;688;;;;13652;1024;2550
7;Bedrijven;2011;6922;5692;264;5;48;913;852;61;801.0;2585.0;3536.0;6472;450;1131
8;Bedrijven;2012;7078;5851;156;10;31;1029;962;67;784.0;2872.0;3421.0;6678;400;1442
9;Bedrijven;2013;7095;5946;143;17;32;957;898;59;834.0;3183.0;3077.0;6656;438;1559
10;Bedrijven;2014;7433;6199;131;8;28;1067;986;82;781.0;3370.0;3282.0;6942;491;1447
11;Bedrijven;2015;7669;6096;143;6;11;1414;1266;148;763.0;3222.0;3684.0;7098;571;1841
12;Bedrijven;2016;8242;6765;137;7;12;1321;1184;136;833.0;3398.0;4012.0;7636;607;2685
13;Bedrijven;2017;8626;7084;161;11;17;1353;1198;155;884.0;3580.0;4162.0;8035;591;2530
14;Instellingen;2011;1319;221;792;33;55;218;92;126;446.0;737.0;136.0;1199;121;8
15;Instellingen;2012;1482;271;858;43;52;259;116;142;430.0;862.0;190.0;1347;135;20
16;Instellingen;2013;1559;258;954;20;50;277;136;141;442.0;901.0;215.0;1417;142;22
17;Instellingen;2014;1572;251;989;14;53;265;127;138;413.0;943.0;217.0;1428;144;26
18;Instellingen;2015;1634;222;1007;16;49;340;167;173;412.0;1022.0;200.0;1505;129;45
19;Instellingen;2016;1596;257;993;12;51;283;135;148;424.0;974.0;198.0;1492;105;20
20;Instellingen;2017;1674;248;1045;14;62;306;148;157;383.0;1092.0;199.0;1567;107;20
21;Hoger onderwijs;2011;3994;326;3111;0;302;255;0;255;;;;3638;356;0
22;Hoger onderwijs;2012;3953;329;3043;0;302;279;0;279;;;;3656;297;0
23;Hoger onderwijs;2013;4092;311;3154;0;309;318;0;318;;;;3749;343;0
24;Hoger onderwijs;2014;4262;329;3282;0;304;347;0;347;;;;3869;393;0
25;Hoger onderwijs;2015;4393;345;3388;0;290;370;0;370;;;;4036;357;0
26;Hoger onderwijs;2016;4304;336;3302;0;301;366;0;366;;;;4039;265;0
27;Hoger onderwijs;2017;4375;350;3350;0;300;375;0;375;;;;4050;325;0
