ID;Perioden;TotaalBaten_1;TotaalBatenLopendeRekening_2;Heffingen_3;OverigeBaten_4;BatenKapitaalrekening_5;TotaalLasten_6;LastenLopendeRekening_7;LastenKapitaalrekening_8;SaldoVanBatenEnLasten_9;TotaalSchuldPer31December_10;VasteSchuld_11;VlottendeSchuld_12
0;1936;;;;;;;;;;;34;
1;1937;;;7.0;;;;;;;;34;
2;1938;;;7.0;;;;;;;;34;
3;1939;;;7.0;;;;;;;;33;
4;1940;;;8.0;;;;;;;;33;
5;1941;;;8.0;;;;;;;;32;
6;1942;;;9.0;;;;;;;;31;
7;1943;;;9.0;;;;;;;;30;
8;1944;;;10.0;;;;;;;;27;
9;1945;;;10.0;;;;;;;;25;
10;1946;;;11.0;;;;;;;35.0;25;10.0
11;1947;;;13.0;;;;;;;37.0;26;11.0
12;1948;;;14.0;;;;;;;42.0;28;14.0
13;1949;;;15.0;;;;;;;46.0;30;16.0
14;1950;;;15.0;;;;;;;47.0;32;15.0
15;1951;;;17.0;;;;;;;48.0;32;16.0
16;1952;26.0;21.0;18.0;3.0;5.0;30.0;20.0;10.0;-3.0;53.0;38;15.0
17;1953;39.0;24.0;20.0;4.0;16.0;47.0;21.0;26.0;-8.0;59.0;42;17.0
18;1954;38.0;25.0;20.0;5.0;14.0;46.0;24.0;22.0;-8.0;63.0;45;18.0
19;1955;38.0;26.0;21.0;5.0;12.0;46.0;26.0;20.0;-8.0;72.0;48;24.0
20;1956;41.0;28.0;23.0;5.0;13.0;49.0;27.0;22.0;-8.0;78.0;52;26.0
21;1957;44.0;32.0;26.0;6.0;12.0;51.0;31.0;20.0;-8.0;84.0;53;31.0
22;1958;43.0;33.0;27.0;6.0;11.0;50.0;32.0;18.0;-6.0;93.0;64;29.0
23;1959;49.0;35.0;28.0;7.0;14.0;56.0;32.0;24.0;-7.0;95.0;72;23.0
24;1960;47.0;36.0;30.0;6.0;11.0;55.0;35.0;20.0;-8.0;100.0;75;25.0
25;1961;51.0;39.0;30.0;9.0;12.0;66.0;38.0;28.0;-15.0;109.0;83;26.0
26;1962;60.0;42.0;34.0;8.0;18.0;68.0;40.0;28.0;-8.0;114.0;83;31.0
27;1963;64.0;46.0;37.0;9.0;18.0;77.0;44.0;33.0;-13.0;123.0;87;36.0
28;1964;73.0;47.0;40.0;7.0;26.0;90.0;54.0;36.0;-18.0;131.0;93;38.0
29;1965;85.0;58.0;45.0;13.0;28.0;103.0;58.0;45.0;-18.0;138.0;99;39.0
30;1966;92.0;64.0;54.0;10.0;28.0;117.0;71.0;46.0;-25.0;145.0;104;41.0
31;1967;105.0;72.0;61.0;11.0;34.0;128.0;73.0;55.0;-23.0;154.0;111;43.0
32;1968;118.0;81.0;67.0;14.0;38.0;143.0;82.0;61.0;-25.0;161.0;117;44.0
33;1969;139.0;95.0;77.0;18.0;44.0;166.0;96.0;71.0;-27.0;169.0;123;46.0
34;1970;166.0;113.0;83.0;30.0;53.0;198.0;117.0;82.0;-32.0;180.0;132;48.0
35;1971;206.0;139.0;93.0;46.0;67.0;246.0;150.0;96.0;-40.0;364.0;285;79.0
36;1972;238.0;162.0;118.0;44.0;77.0;282.0;173.0;109.0;-44.0;430.0;336;94.0
37;1973;295.0;199.0;146.0;53.0;96.0;343.0;214.0;129.0;-49.0;507.0;380;127.0
38;1974;364.0;245.0;182.0;63.0;118.0;416.0;262.0;154.0;-52.0;714.0;496;218.0
39;1975;399.0;270.0;218.0;52.0;128.0;452.0;288.0;164.0;-54.0;730.0;586;144.0
40;1976;470.0;320.0;277.0;43.0;150.0;524.0;336.0;188.0;-54.0;888.0;716;172.0
41;1977;489.0;368.0;331.0;37.0;121.0;574.0;361.0;213.0;-85.0;983.0;817;166.0
42;1978;542.0;406.0;372.0;34.0;136.0;595.0;382.0;213.0;-53.0;1051.0;861;190.0
43;1979;573.0;435.0;396.0;39.0;138.0;664.0;432.0;232.0;-91.0;1220.0;932;288.0
44;1980;687.0;506.0;444.0;62.0;181.0;811.0;520.0;291.0;-124.0;1303.0;975;328.0
45;1981;801.0;575.0;511.0;64.0;226.0;871.0;584.0;287.0;-70.0;1408.0;1144;264.0
46;1982;863.0;642.0;578.0;64.0;221.0;891.0;618.0;273.0;-28.0;1435.0;1202;233.0
47;1983;880.0;676.0;609.0;67.0;204.0;973.0;629.0;344.0;-93.0;1529.0;1317;212.0
48;1984;942.0;695.0;623.0;72.0;247.0;979.0;656.0;323.0;-37.0;1631.0;1379;252.0
49;1985;985.0;706.0;631.0;75.0;279.0;1038.0;687.0;351.0;-53.0;1732.0;1437;295.0
50;1986;1057.0;716.0;636.0;80.0;341.0;1099.0;698.0;401.0;-42.0;1777.0;1420;357.0
