ID;Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;RittenPerPersoonPerDagGemiddeld_1;AfgelegdeAfstandPerRitGemiddeld_2;ReisduurPerRit_3
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;1999;3.41;10.96;23.72
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2000;3.35;11.0;23.73
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2001;3.3;10.99;23.67
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2002;3.3;11.01;23.49
4;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2003;3.3;11.04;23.65
5;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2004;3.29;11.03;23.58
6;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2005;3.23;11.07;23.69
7;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2006;3.25;11.01;23.69
8;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2007;3.2;11.07;23.88
9;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2008;3.17;10.82;23.41
10;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2009;3.2;10.9;23.58
11;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2010;3.21;10.93;23.5
12;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2011;3.09;11.21;23.76
13;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2012;3.11;11.13;23.84
14;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2013;3.12;11.19;23.64
15;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2014;3.13;11.23;24.07
16;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2015;3.03;11.36;24.14
17;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2016;2.99;11.34;24.1
18;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2017;2.95;11.5;24.12
19;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2018;3.04;11.55;24.15
20;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2019;2.97;11.64;24.18
21;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2020;2.48;9.67;24.46
22;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2021;2.62;10.0;26.03
23;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2022;2.86;10.22;24.88
24;Totaal mannen en vrouwen;10000;Totaal;Totaal;Waarde;2023;2.93;10.59;24.63
25;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;1999;3.29;10.51;22.83
26;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2000;3.23;10.52;22.8
27;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2001;3.19;10.54;22.79
28;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2002;3.19;10.55;22.64
29;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2003;3.19;10.58;22.79
30;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2004;3.19;10.61;22.87
31;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2005;3.13;10.62;23.05
32;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2006;3.15;10.61;22.98
33;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2007;3.1;10.64;23.24
34;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2008;3.07;10.38;22.7
35;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2009;3.11;10.51;22.95
36;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2010;3.14;10.6;23.01
37;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2011;3.02;10.88;23.31
38;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2012;3.04;10.81;23.37
39;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2013;3.05;10.88;23.19
40;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2014;3.05;10.94;23.64
41;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2015;2.96;11.05;23.72
42;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2016;2.92;11.05;23.69
43;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2017;2.89;11.19;23.67
44;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2018;3.02;11.39;23.91
45;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2019;2.95;11.48;23.95
46;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2020;2.46;9.5;24.15
47;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2021;2.6;9.84;25.72
48;Totaal mannen en vrouwen;10000;Totaal;Totaal;Ondergrens 95%-interval;2022;2.84;10.09;24.65
