ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total;The Netherlands;1965;1836
1;Listed monuments total;The Netherlands;1966;9663
2;Listed monuments total;The Netherlands;1967;16142
3;Listed monuments total;The Netherlands;1968;19492
4;Listed monuments total;The Netherlands;1969;21303
5;Listed monuments total;The Netherlands;1970;29025
6;Listed monuments total;The Netherlands;1971;32227
7;Listed monuments total;The Netherlands;1972;33932
8;Listed monuments total;The Netherlands;1973;36881
9;Listed monuments total;The Netherlands;1974;37901
10;Listed monuments total;The Netherlands;1975;38844
11;Listed monuments total;The Netherlands;1976;39892
12;Listed monuments total;The Netherlands;1977;40332
13;Listed monuments total;The Netherlands;1978;40840
14;Listed monuments total;The Netherlands;1979;41180
15;Listed monuments total;The Netherlands;1980;41569
16;Listed monuments total;The Netherlands;1981;41767
17;Listed monuments total;The Netherlands;1982;41982
18;Listed monuments total;The Netherlands;1983;42198
19;Listed monuments total;The Netherlands;1984;42595
20;Listed monuments total;The Netherlands;1985;42893
21;Listed monuments total;The Netherlands;1986;43070
22;Listed monuments total;The Netherlands;1987;43167
23;Listed monuments total;The Netherlands;1988;43311
24;Listed monuments total;The Netherlands;1989;43380
25;Listed monuments total;The Netherlands;1990;43500
26;Listed monuments total;The Netherlands;1991;43736
27;Listed monuments total;The Netherlands;1992;44088
28;Listed monuments total;The Netherlands;1993;44531
29;Listed monuments total;The Netherlands;1994;45175
30;Listed monuments total;The Netherlands;1995;45645
31;Listed monuments total;The Netherlands;1996;46065
32;Listed monuments total;The Netherlands;1997;47184
33;Listed monuments total;The Netherlands;1998;48418
34;Listed monuments total;The Netherlands;1999;50221
35;Listed monuments total;The Netherlands;2000;52024
36;Listed monuments total;The Netherlands;2001;55432
37;Listed monuments total;The Netherlands;2002;59339
38;Listed monuments total;The Netherlands;2003;60048
39;Listed monuments total;The Netherlands;2004;61076
40;Listed monuments total;The Netherlands;2005;61893
41;Listed monuments total;The Netherlands;2006;62673
42;Listed monuments total;The Netherlands;2007;62960
43;Listed monuments total;The Netherlands;2008;63100
44;Listed monuments total;The Netherlands;2009;63183
45;Listed monuments total;The Netherlands;2010;63479
46;Listed monuments total;The Netherlands;2011;63710
47;Listed monuments total;The Netherlands;2012;63971
48;Listed monuments total;The Netherlands;2013;63161
49;Listed monuments total;The Netherlands;2014;63201
50;Listed monuments total;The Netherlands;2015;63283
51;Listed monuments total;The Netherlands;2016;63406
52;Listed monuments total;The Netherlands;2017;63424
53;Listed monuments total;The Netherlands;2018;63366
54;Listed monuments total;The Netherlands;2019;63322
55;Listed monuments total;The Netherlands;2020;63273
56;Listed monuments total;The Netherlands;2021;63276
57;Listed monuments total;The Netherlands;2022;63241
58;Listed monuments total;Noord-Nederland (LD);1965;409
59;Listed monuments total;Noord-Nederland (LD);1966;924
60;Listed monuments total;Noord-Nederland (LD);1967;1686
61;Listed monuments total;Noord-Nederland (LD);1968;2406
62;Listed monuments total;Noord-Nederland (LD);1969;2414
63;Listed monuments total;Noord-Nederland (LD);1970;2722
64;Listed monuments total;Noord-Nederland (LD);1971;3599
65;Listed monuments total;Noord-Nederland (LD);1972;3823
66;Listed monuments total;Noord-Nederland (LD);1973;4317
67;Listed monuments total;Noord-Nederland (LD);1974;4378
68;Listed monuments total;Noord-Nederland (LD);1975;4683
69;Listed monuments total;Noord-Nederland (LD);1976;4856
70;Listed monuments total;Noord-Nederland (LD);1977;4918
71;Listed monuments total;Noord-Nederland (LD);1978;5015
72;Listed monuments total;Noord-Nederland (LD);1979;5091
73;Listed monuments total;Noord-Nederland (LD);1980;5135
74;Listed monuments total;Noord-Nederland (LD);1981;5171
75;Listed monuments total;Noord-Nederland (LD);1982;5232
76;Listed monuments total;Noord-Nederland (LD);1983;5318
77;Listed monuments total;Noord-Nederland (LD);1984;5353
78;Listed monuments total;Noord-Nederland (LD);1985;5428
79;Listed monuments total;Noord-Nederland (LD);1986;5456
80;Listed monuments total;Noord-Nederland (LD);1987;5469
81;Listed monuments total;Noord-Nederland (LD);1988;5492
82;Listed monuments total;Noord-Nederland (LD);1989;5519
83;Listed monuments total;Noord-Nederland (LD);1990;5539
84;Listed monuments total;Noord-Nederland (LD);1991;5596
85;Listed monuments total;Noord-Nederland (LD);1992;5617
86;Listed monuments total;Noord-Nederland (LD);1993;5640
87;Listed monuments total;Noord-Nederland (LD);1994;5979
88;Listed monuments total;Noord-Nederland (LD);1995;6337
89;Listed monuments total;Noord-Nederland (LD);1996;6394
90;Listed monuments total;Noord-Nederland (LD);1997;6579
91;Listed monuments total;Noord-Nederland (LD);1998;6860
92;Listed monuments total;Noord-Nederland (LD);1999;7263
93;Listed monuments total;Noord-Nederland (LD);2000;7490
94;Listed monuments total;Noord-Nederland (LD);2001;8162
95;Listed monuments total;Noord-Nederland (LD);2002;8240
96;Listed monuments total;Noord-Nederland (LD);2003;8366
97;Listed monuments total;Noord-Nederland (LD);2004;8450
98;Listed monuments total;Noord-Nederland (LD);2005;8555
99;Listed monuments total;Noord-Nederland (LD);2006;8579
100;Listed monuments total;Noord-Nederland (LD);2007;8589
101;Listed monuments total;Noord-Nederland (LD);2008;8588
102;Listed monuments total;Noord-Nederland (LD);2009;8586
103;Listed monuments total;Noord-Nederland (LD);2010;8592
104;Listed monuments total;Noord-Nederland (LD);2011;8598
105;Listed monuments total;Noord-Nederland (LD);2012;8595
106;Listed monuments total;Noord-Nederland (LD);2013;8509
107;Listed monuments total;Noord-Nederland (LD);2014;8503
108;Listed monuments total;Noord-Nederland (LD);2015;8494
109;Listed monuments total;Noord-Nederland (LD);2016;8492
110;Listed monuments total;Noord-Nederland (LD);2017;8487
111;Listed monuments total;Noord-Nederland (LD);2018;8481
112;Listed monuments total;Noord-Nederland (LD);2019;8474
113;Listed monuments total;Noord-Nederland (LD);2020;8464
114;Listed monuments total;Noord-Nederland (LD);2021;8460
115;Listed monuments total;Noord-Nederland (LD);2022;8455
116;Listed monuments total;Oost-Nederland (LD);1965;448
117;Listed monuments total;Oost-Nederland (LD);1966;1354
118;Listed monuments total;Oost-Nederland (LD);1967;1921
119;Listed monuments total;Oost-Nederland (LD);1968;2488
120;Listed monuments total;Oost-Nederland (LD);1969;2539
121;Listed monuments total;Oost-Nederland (LD);1970;2882
122;Listed monuments total;Oost-Nederland (LD);1971;4167
123;Listed monuments total;Oost-Nederland (LD);1972;4770
124;Listed monuments total;Oost-Nederland (LD);1973;5379
125;Listed monuments total;Oost-Nederland (LD);1974;5477
126;Listed monuments total;Oost-Nederland (LD);1975;5613
127;Listed monuments total;Oost-Nederland (LD);1976;5759
128;Listed monuments total;Oost-Nederland (LD);1977;5869
129;Listed monuments total;Oost-Nederland (LD);1978;6016
130;Listed monuments total;Oost-Nederland (LD);1979;6053
131;Listed monuments total;Oost-Nederland (LD);1980;6145
132;Listed monuments total;Oost-Nederland (LD);1981;6194
133;Listed monuments total;Oost-Nederland (LD);1982;6232
134;Listed monuments total;Oost-Nederland (LD);1983;6255
135;Listed monuments total;Oost-Nederland (LD);1984;6274
136;Listed monuments total;Oost-Nederland (LD);1985;6306
137;Listed monuments total;Oost-Nederland (LD);1986;6346
138;Listed monuments total;Oost-Nederland (LD);1987;6372
139;Listed monuments total;Oost-Nederland (LD);1988;6393
140;Listed monuments total;Oost-Nederland (LD);1989;6389
141;Listed monuments total;Oost-Nederland (LD);1990;6389
142;Listed monuments total;Oost-Nederland (LD);1991;6429
143;Listed monuments total;Oost-Nederland (LD);1992;6471
144;Listed monuments total;Oost-Nederland (LD);1993;6519
145;Listed monuments total;Oost-Nederland (LD);1994;6606
146;Listed monuments total;Oost-Nederland (LD);1995;6623
147;Listed monuments total;Oost-Nederland (LD);1996;6626
148;Listed monuments total;Oost-Nederland (LD);1997;6814
149;Listed monuments total;Oost-Nederland (LD);1998;6950
150;Listed monuments total;Oost-Nederland (LD);1999;7438
151;Listed monuments total;Oost-Nederland (LD);2000;7931
152;Listed monuments total;Oost-Nederland (LD);2001;8338
153;Listed monuments total;Oost-Nederland (LD);2002;9117
154;Listed monuments total;Oost-Nederland (LD);2003;9201
155;Listed monuments total;Oost-Nederland (LD);2004;9471
156;Listed monuments total;Oost-Nederland (LD);2005;9932
157;Listed monuments total;Oost-Nederland (LD);2006;10284
158;Listed monuments total;Oost-Nederland (LD);2007;10416
159;Listed monuments total;Oost-Nederland (LD);2008;10468
160;Listed monuments total;Oost-Nederland (LD);2009;10480
161;Listed monuments total;Oost-Nederland (LD);2010;10624
162;Listed monuments total;Oost-Nederland (LD);2011;10663
163;Listed monuments total;Oost-Nederland (LD);2012;10792
164;Listed monuments total;Oost-Nederland (LD);2013;10521
165;Listed monuments total;Oost-Nederland (LD);2014;10574
166;Listed monuments total;Oost-Nederland (LD);2015;10619
167;Listed monuments total;Oost-Nederland (LD);2016;10622
168;Listed monuments total;Oost-Nederland (LD);2017;10627
169;Listed monuments total;Oost-Nederland (LD);2018;10618
170;Listed monuments total;Oost-Nederland (LD);2019;10607
171;Listed monuments total;Oost-Nederland (LD);2020;10601
172;Listed monuments total;Oost-Nederland (LD);2021;10601
173;Listed monuments total;Oost-Nederland (LD);2022;10593
174;Listed monuments total;West-Nederland (LD);1965;487
175;Listed monuments total;West-Nederland (LD);1966;3192
176;Listed monuments total;West-Nederland (LD);1967;6018
177;Listed monuments total;West-Nederland (LD);1968;7689
178;Listed monuments total;West-Nederland (LD);1969;9332
179;Listed monuments total;West-Nederland (LD);1970;16101
180;Listed monuments total;West-Nederland (LD);1971;16741
181;Listed monuments total;West-Nederland (LD);1972;17404
182;Listed monuments total;West-Nederland (LD);1973;18761
183;Listed monuments total;West-Nederland (LD);1974;19291
184;Listed monuments total;West-Nederland (LD);1975;19656
185;Listed monuments total;West-Nederland (LD);1976;20173
186;Listed monuments total;West-Nederland (LD);1977;20375
187;Listed monuments total;West-Nederland (LD);1978;20561
188;Listed monuments total;West-Nederland (LD);1979;20651
189;Listed monuments total;West-Nederland (LD);1980;20761
190;Listed monuments total;West-Nederland (LD);1981;20838
191;Listed monuments total;West-Nederland (LD);1982;20911
192;Listed monuments total;West-Nederland (LD);1983;20962
193;Listed monuments total;West-Nederland (LD);1984;21029
194;Listed monuments total;West-Nederland (LD);1985;21183
195;Listed monuments total;West-Nederland (LD);1986;21238
196;Listed monuments total;West-Nederland (LD);1987;21281
197;Listed monuments total;West-Nederland (LD);1988;21350
198;Listed monuments total;West-Nederland (LD);1989;21380
199;Listed monuments total;West-Nederland (LD);1990;21477
200;Listed monuments total;West-Nederland (LD);1991;21601
201;Listed monuments total;West-Nederland (LD);1992;21848
202;Listed monuments total;West-Nederland (LD);1993;22166
203;Listed monuments total;West-Nederland (LD);1994;22357
204;Listed monuments total;West-Nederland (LD);1995;22404
205;Listed monuments total;West-Nederland (LD);1996;22664
206;Listed monuments total;West-Nederland (LD);1997;22884
207;Listed monuments total;West-Nederland (LD);1998;23505
208;Listed monuments total;West-Nederland (LD);1999;24258
209;Listed monuments total;West-Nederland (LD);2000;24891
210;Listed monuments total;West-Nederland (LD);2001;26296
211;Listed monuments total;West-Nederland (LD);2002;27494
212;Listed monuments total;West-Nederland (LD);2003;27781
213;Listed monuments total;West-Nederland (LD);2004;28171
214;Listed monuments total;West-Nederland (LD);2005;28372
215;Listed monuments total;West-Nederland (LD);2006;28623
216;Listed monuments total;West-Nederland (LD);2007;28722
217;Listed monuments total;West-Nederland (LD);2008;28814
218;Listed monuments total;West-Nederland (LD);2009;28876
219;Listed monuments total;West-Nederland (LD);2010;29003
220;Listed monuments total;West-Nederland (LD);2011;29164
221;Listed monuments total;West-Nederland (LD);2012;29301
222;Listed monuments total;West-Nederland (LD);2013;29007
223;Listed monuments total;West-Nederland (LD);2014;29016
224;Listed monuments total;West-Nederland (LD);2015;29034
225;Listed monuments total;West-Nederland (LD);2016;29155
226;Listed monuments total;West-Nederland (LD);2017;29174
227;Listed monuments total;West-Nederland (LD);2018;29136
228;Listed monuments total;West-Nederland (LD);2019;29118
229;Listed monuments total;West-Nederland (LD);2020;29091
230;Listed monuments total;West-Nederland (LD);2021;29100
231;Listed monuments total;West-Nederland (LD);2022;29090
232;Listed monuments total;Zuid-Nederland (LD);1965;492
233;Listed monuments total;Zuid-Nederland (LD);1966;4193
234;Listed monuments total;Zuid-Nederland (LD);1967;6517
235;Listed monuments total;Zuid-Nederland (LD);1968;6909
236;Listed monuments total;Zuid-Nederland (LD);1969;7018
237;Listed monuments total;Zuid-Nederland (LD);1970;7320
238;Listed monuments total;Zuid-Nederland (LD);1971;7720
239;Listed monuments total;Zuid-Nederland (LD);1972;7935
240;Listed monuments total;Zuid-Nederland (LD);1973;8424
241;Listed monuments total;Zuid-Nederland (LD);1974;8755
242;Listed monuments total;Zuid-Nederland (LD);1975;8892
243;Listed monuments total;Zuid-Nederland (LD);1976;9104
244;Listed monuments total;Zuid-Nederland (LD);1977;9170
245;Listed monuments total;Zuid-Nederland (LD);1978;9248
246;Listed monuments total;Zuid-Nederland (LD);1979;9385
247;Listed monuments total;Zuid-Nederland (LD);1980;9528
248;Listed monuments total;Zuid-Nederland (LD);1981;9564
249;Listed monuments total;Zuid-Nederland (LD);1982;9607
250;Listed monuments total;Zuid-Nederland (LD);1983;9663
251;Listed monuments total;Zuid-Nederland (LD);1984;9939
252;Listed monuments total;Zuid-Nederland (LD);1985;9976
253;Listed monuments total;Zuid-Nederland (LD);1986;10030
254;Listed monuments total;Zuid-Nederland (LD);1987;10045
255;Listed monuments total;Zuid-Nederland (LD);1988;10076
256;Listed monuments total;Zuid-Nederland (LD);1989;10092
257;Listed monuments total;Zuid-Nederland (LD);1990;10095
258;Listed monuments total;Zuid-Nederland (LD);1991;10110
259;Listed monuments total;Zuid-Nederland (LD);1992;10152
260;Listed monuments total;Zuid-Nederland (LD);1993;10206
261;Listed monuments total;Zuid-Nederland (LD);1994;10233
262;Listed monuments total;Zuid-Nederland (LD);1995;10281
263;Listed monuments total;Zuid-Nederland (LD);1996;10381
264;Listed monuments total;Zuid-Nederland (LD);1997;10907
265;Listed monuments total;Zuid-Nederland (LD);1998;11103
266;Listed monuments total;Zuid-Nederland (LD);1999;11262
267;Listed monuments total;Zuid-Nederland (LD);2000;11712
268;Listed monuments total;Zuid-Nederland (LD);2001;12636
269;Listed monuments total;Zuid-Nederland (LD);2002;14488
270;Listed monuments total;Zuid-Nederland (LD);2003;14700
271;Listed monuments total;Zuid-Nederland (LD);2004;14984
272;Listed monuments total;Zuid-Nederland (LD);2005;15034
273;Listed monuments total;Zuid-Nederland (LD);2006;15187
274;Listed monuments total;Zuid-Nederland (LD);2007;15233
275;Listed monuments total;Zuid-Nederland (LD);2008;15230
276;Listed monuments total;Zuid-Nederland (LD);2009;15241
277;Listed monuments total;Zuid-Nederland (LD);2010;15260
278;Listed monuments total;Zuid-Nederland (LD);2011;15285
279;Listed monuments total;Zuid-Nederland (LD);2012;15283
280;Listed monuments total;Zuid-Nederland (LD);2013;15124
281;Listed monuments total;Zuid-Nederland (LD);2014;15108
282;Listed monuments total;Zuid-Nederland (LD);2015;15136
283;Listed monuments total;Zuid-Nederland (LD);2016;15136
284;Listed monuments total;Zuid-Nederland (LD);2017;15135
285;Listed monuments total;Zuid-Nederland (LD);2018;15130
286;Listed monuments total;Zuid-Nederland (LD);2019;15122
287;Listed monuments total;Zuid-Nederland (LD);2020;15116
288;Listed monuments total;Zuid-Nederland (LD);2021;15114
289;Listed monuments total;Zuid-Nederland (LD);2022;15102
290;Listed monuments total;Groningen (PV);1965;0
291;Listed monuments total;Groningen (PV);1966;0
292;Listed monuments total;Groningen (PV);1967;0
293;Listed monuments total;Groningen (PV);1968;84
294;Listed monuments total;Groningen (PV);1969;84
295;Listed monuments total;Groningen (PV);1970;106
296;Listed monuments total;Groningen (PV);1971;499
297;Listed monuments total;Groningen (PV);1972;642
298;Listed monuments total;Groningen (PV);1973;1051
299;Listed monuments total;Groningen (PV);1974;1059
300;Listed monuments total;Groningen (PV);1975;1151
301;Listed monuments total;Groningen (PV);1976;1266
302;Listed monuments total;Groningen (PV);1977;1299
303;Listed monuments total;Groningen (PV);1978;1349
304;Listed monuments total;Groningen (PV);1979;1360
305;Listed monuments total;Groningen (PV);1980;1384
306;Listed monuments total;Groningen (PV);1981;1411
307;Listed monuments total;Groningen (PV);1982;1431
308;Listed monuments total;Groningen (PV);1983;1442
309;Listed monuments total;Groningen (PV);1984;1456
310;Listed monuments total;Groningen (PV);1985;1464
311;Listed monuments total;Groningen (PV);1986;1473
312;Listed monuments total;Groningen (PV);1987;1478
313;Listed monuments total;Groningen (PV);1988;1482
314;Listed monuments total;Groningen (PV);1989;1503
315;Listed monuments total;Groningen (PV);1990;1502
316;Listed monuments total;Groningen (PV);1991;1506
317;Listed monuments total;Groningen (PV);1992;1508
318;Listed monuments total;Groningen (PV);1993;1512
319;Listed monuments total;Groningen (PV);1994;1513
320;Listed monuments total;Groningen (PV);1995;1800
321;Listed monuments total;Groningen (PV);1996;1801
322;Listed monuments total;Groningen (PV);1997;1809
323;Listed monuments total;Groningen (PV);1998;1913
324;Listed monuments total;Groningen (PV);1999;2098
325;Listed monuments total;Groningen (PV);2000;2195
326;Listed monuments total;Groningen (PV);2001;2618
327;Listed monuments total;Groningen (PV);2002;2647
328;Listed monuments total;Groningen (PV);2003;2689
329;Listed monuments total;Groningen (PV);2004;2720
330;Listed monuments total;Groningen (PV);2005;2775
331;Listed monuments total;Groningen (PV);2006;2783
332;Listed monuments total;Groningen (PV);2007;2784
333;Listed monuments total;Groningen (PV);2008;2784
334;Listed monuments total;Groningen (PV);2009;2784
335;Listed monuments total;Groningen (PV);2010;2791
336;Listed monuments total;Groningen (PV);2011;2799
337;Listed monuments total;Groningen (PV);2012;2799
338;Listed monuments total;Groningen (PV);2013;2770
339;Listed monuments total;Groningen (PV);2014;2769
340;Listed monuments total;Groningen (PV);2015;2770
341;Listed monuments total;Groningen (PV);2016;2771
342;Listed monuments total;Groningen (PV);2017;2770
343;Listed monuments total;Groningen (PV);2018;2770
344;Listed monuments total;Groningen (PV);2019;2767
345;Listed monuments total;Groningen (PV);2020;2764
346;Listed monuments total;Groningen (PV);2021;2764
347;Listed monuments total;Groningen (PV);2022;2764
348;Listed monuments total;Fryslân (PV);1965;85
349;Listed monuments total;Fryslân (PV);1966;594
350;Listed monuments total;Fryslân (PV);1967;1354
351;Listed monuments total;Fryslân (PV);1968;1976
352;Listed monuments total;Fryslân (PV);1969;1978
353;Listed monuments total;Fryslân (PV);1970;2259
354;Listed monuments total;Fryslân (PV);1971;2729
355;Listed monuments total;Fryslân (PV);1972;2807
356;Listed monuments total;Fryslân (PV);1973;2879
357;Listed monuments total;Fryslân (PV);1974;2931
358;Listed monuments total;Fryslân (PV);1975;3125
359;Listed monuments total;Fryslân (PV);1976;3182
360;Listed monuments total;Fryslân (PV);1977;3205
361;Listed monuments total;Fryslân (PV);1978;3225
362;Listed monuments total;Fryslân (PV);1979;3270
363;Listed monuments total;Fryslân (PV);1980;3281
364;Listed monuments total;Fryslân (PV);1981;3283
365;Listed monuments total;Fryslân (PV);1982;3292
366;Listed monuments total;Fryslân (PV);1983;3342
367;Listed monuments total;Fryslân (PV);1984;3352
368;Listed monuments total;Fryslân (PV);1985;3360
369;Listed monuments total;Fryslân (PV);1986;3369
370;Listed monuments total;Fryslân (PV);1987;3374
371;Listed monuments total;Fryslân (PV);1988;3389
372;Listed monuments total;Fryslân (PV);1989;3393
373;Listed monuments total;Fryslân (PV);1990;3398
374;Listed monuments total;Fryslân (PV);1991;3439
375;Listed monuments total;Fryslân (PV);1992;3447
376;Listed monuments total;Fryslân (PV);1993;3455
377;Listed monuments total;Fryslân (PV);1994;3490
378;Listed monuments total;Fryslân (PV);1995;3487
379;Listed monuments total;Fryslân (PV);1996;3540
380;Listed monuments total;Fryslân (PV);1997;3612
381;Listed monuments total;Fryslân (PV);1998;3670
382;Listed monuments total;Fryslân (PV);1999;3884
383;Listed monuments total;Fryslân (PV);2000;4010
384;Listed monuments total;Fryslân (PV);2001;4239
385;Listed monuments total;Fryslân (PV);2002;4285
386;Listed monuments total;Fryslân (PV);2003;4348
387;Listed monuments total;Fryslân (PV);2004;4365
388;Listed monuments total;Fryslân (PV);2005;4401
389;Listed monuments total;Fryslân (PV);2006;4417
390;Listed monuments total;Fryslân (PV);2007;4419
391;Listed monuments total;Fryslân (PV);2008;4418
392;Listed monuments total;Fryslân (PV);2009;4418
393;Listed monuments total;Fryslân (PV);2010;4417
394;Listed monuments total;Fryslân (PV);2011;4415
395;Listed monuments total;Fryslân (PV);2012;4414
396;Listed monuments total;Fryslân (PV);2013;4365
397;Listed monuments total;Fryslân (PV);2014;4353
398;Listed monuments total;Fryslân (PV);2015;4352
399;Listed monuments total;Fryslân (PV);2016;4349
400;Listed monuments total;Fryslân (PV);2017;4344
401;Listed monuments total;Fryslân (PV);2018;4339
402;Listed monuments total;Fryslân (PV);2019;4336
403;Listed monuments total;Fryslân (PV);2020;4332
404;Listed monuments total;Fryslân (PV);2021;4328
405;Listed monuments total;Fryslân (PV);2022;4324
406;Listed monuments total;Drenthe (PV);1965;324
407;Listed monuments total;Drenthe (PV);1966;330
408;Listed monuments total;Drenthe (PV);1967;332
409;Listed monuments total;Drenthe (PV);1968;346
410;Listed monuments total;Drenthe (PV);1969;352
411;Listed monuments total;Drenthe (PV);1970;357
412;Listed monuments total;Drenthe (PV);1971;371
413;Listed monuments total;Drenthe (PV);1972;374
414;Listed monuments total;Drenthe (PV);1973;387
415;Listed monuments total;Drenthe (PV);1974;388
416;Listed monuments total;Drenthe (PV);1975;407
417;Listed monuments total;Drenthe (PV);1976;408
418;Listed monuments total;Drenthe (PV);1977;414
419;Listed monuments total;Drenthe (PV);1978;441
420;Listed monuments total;Drenthe (PV);1979;461
421;Listed monuments total;Drenthe (PV);1980;470
422;Listed monuments total;Drenthe (PV);1981;477
423;Listed monuments total;Drenthe (PV);1982;509
424;Listed monuments total;Drenthe (PV);1983;534
425;Listed monuments total;Drenthe (PV);1984;545
426;Listed monuments total;Drenthe (PV);1985;604
427;Listed monuments total;Drenthe (PV);1986;614
428;Listed monuments total;Drenthe (PV);1987;617
429;Listed monuments total;Drenthe (PV);1988;621
430;Listed monuments total;Drenthe (PV);1989;623
431;Listed monuments total;Drenthe (PV);1990;639
432;Listed monuments total;Drenthe (PV);1991;651
433;Listed monuments total;Drenthe (PV);1992;662
434;Listed monuments total;Drenthe (PV);1993;673
435;Listed monuments total;Drenthe (PV);1994;976
436;Listed monuments total;Drenthe (PV);1995;1050
437;Listed monuments total;Drenthe (PV);1996;1053
438;Listed monuments total;Drenthe (PV);1997;1158
439;Listed monuments total;Drenthe (PV);1998;1277
440;Listed monuments total;Drenthe (PV);1999;1281
441;Listed monuments total;Drenthe (PV);2000;1285
442;Listed monuments total;Drenthe (PV);2001;1305
443;Listed monuments total;Drenthe (PV);2002;1308
444;Listed monuments total;Drenthe (PV);2003;1329
445;Listed monuments total;Drenthe (PV);2004;1365
446;Listed monuments total;Drenthe (PV);2005;1379
447;Listed monuments total;Drenthe (PV);2006;1379
448;Listed monuments total;Drenthe (PV);2007;1386
449;Listed monuments total;Drenthe (PV);2008;1386
450;Listed monuments total;Drenthe (PV);2009;1384
451;Listed monuments total;Drenthe (PV);2010;1384
452;Listed monuments total;Drenthe (PV);2011;1384
453;Listed monuments total;Drenthe (PV);2012;1382
454;Listed monuments total;Drenthe (PV);2013;1374
455;Listed monuments total;Drenthe (PV);2014;1381
456;Listed monuments total;Drenthe (PV);2015;1372
457;Listed monuments total;Drenthe (PV);2016;1372
458;Listed monuments total;Drenthe (PV);2017;1373
459;Listed monuments total;Drenthe (PV);2018;1372
460;Listed monuments total;Drenthe (PV);2019;1371
461;Listed monuments total;Drenthe (PV);2020;1368
462;Listed monuments total;Drenthe (PV);2021;1368
463;Listed monuments total;Drenthe (PV);2022;1367
464;Listed monuments total;Overijssel (PV);1965;117
465;Listed monuments total;Overijssel (PV);1966;275
466;Listed monuments total;Overijssel (PV);1967;599
467;Listed monuments total;Overijssel (PV);1968;1049
468;Listed monuments total;Overijssel (PV);1969;1059
469;Listed monuments total;Overijssel (PV);1970;1065
470;Listed monuments total;Overijssel (PV);1971;1357
471;Listed monuments total;Overijssel (PV);1972;1931
472;Listed monuments total;Overijssel (PV);1973;2360
473;Listed monuments total;Overijssel (PV);1974;2365
474;Listed monuments total;Overijssel (PV);1975;2438
475;Listed monuments total;Overijssel (PV);1976;2474
476;Listed monuments total;Overijssel (PV);1977;2522
477;Listed monuments total;Overijssel (PV);1978;2605
478;Listed monuments total;Overijssel (PV);1979;2623
479;Listed monuments total;Overijssel (PV);1980;2666
480;Listed monuments total;Overijssel (PV);1981;2681
481;Listed monuments total;Overijssel (PV);1982;2701
482;Listed monuments total;Overijssel (PV);1983;2707
483;Listed monuments total;Overijssel (PV);1984;2710
484;Listed monuments total;Overijssel (PV);1985;2731
485;Listed monuments total;Overijssel (PV);1986;2754
486;Listed monuments total;Overijssel (PV);1987;2762
487;Listed monuments total;Overijssel (PV);1988;2769
488;Listed monuments total;Overijssel (PV);1989;2768
489;Listed monuments total;Overijssel (PV);1990;2765
490;Listed monuments total;Overijssel (PV);1991;2799
491;Listed monuments total;Overijssel (PV);1992;2822
492;Listed monuments total;Overijssel (PV);1993;2824
493;Listed monuments total;Overijssel (PV);1994;2883
494;Listed monuments total;Overijssel (PV);1995;2900
495;Listed monuments total;Overijssel (PV);1996;2902
496;Listed monuments total;Overijssel (PV);1997;3083
497;Listed monuments total;Overijssel (PV);1998;3203
498;Listed monuments total;Overijssel (PV);1999;3580
499;Listed monuments total;Overijssel (PV);2000;3626
500;Listed monuments total;Overijssel (PV);2001;3653
501;Listed monuments total;Overijssel (PV);2002;3773
502;Listed monuments total;Overijssel (PV);2003;3781
503;Listed monuments total;Overijssel (PV);2004;3834
504;Listed monuments total;Overijssel (PV);2005;3981
505;Listed monuments total;Overijssel (PV);2006;4080
506;Listed monuments total;Overijssel (PV);2007;4121
507;Listed monuments total;Overijssel (PV);2008;4146
508;Listed monuments total;Overijssel (PV);2009;4153
509;Listed monuments total;Overijssel (PV);2010;4161
510;Listed monuments total;Overijssel (PV);2011;4161
511;Listed monuments total;Overijssel (PV);2012;4162
512;Listed monuments total;Overijssel (PV);2013;4061
513;Listed monuments total;Overijssel (PV);2014;4059
514;Listed monuments total;Overijssel (PV);2015;4060
515;Listed monuments total;Overijssel (PV);2016;4059
516;Listed monuments total;Overijssel (PV);2017;4055
517;Listed monuments total;Overijssel (PV);2018;4048
518;Listed monuments total;Overijssel (PV);2019;4045
519;Listed monuments total;Overijssel (PV);2020;4044
520;Listed monuments total;Overijssel (PV);2021;4044
521;Listed monuments total;Overijssel (PV);2022;4040
522;Listed monuments total;Flevoland (PV);1965;2
523;Listed monuments total;Flevoland (PV);1966;2
524;Listed monuments total;Flevoland (PV);1967;2
525;Listed monuments total;Flevoland (PV);1968;2
526;Listed monuments total;Flevoland (PV);1969;3
527;Listed monuments total;Flevoland (PV);1970;3
528;Listed monuments total;Flevoland (PV);1971;3
529;Listed monuments total;Flevoland (PV);1972;3
530;Listed monuments total;Flevoland (PV);1973;27
531;Listed monuments total;Flevoland (PV);1974;27
532;Listed monuments total;Flevoland (PV);1975;27
533;Listed monuments total;Flevoland (PV);1976;27
534;Listed monuments total;Flevoland (PV);1977;27
535;Listed monuments total;Flevoland (PV);1978;27
536;Listed monuments total;Flevoland (PV);1979;27
537;Listed monuments total;Flevoland (PV);1980;32
538;Listed monuments total;Flevoland (PV);1981;33
539;Listed monuments total;Flevoland (PV);1982;33
540;Listed monuments total;Flevoland (PV);1983;34
541;Listed monuments total;Flevoland (PV);1984;34
