ID;ConsumerPriceIndex;Periods;PriceIndex_1;MonthOnMonthChange_2;YearOnYearChange_3
0;Total all purchases;2006 January;98.68;;
1;Total all purchases;2006 February;99.06;0.4;
2;Total all purchases;2006 March;99.84;0.8;
3;Total all purchases;2006 April;100.3;0.5;
4;Total all purchases;2006 May;100.38;0.1;
5;Total all purchases;2006 June;100.02;-0.4;
6;Total all purchases;2006 July;99.83;-0.2;
7;Total all purchases;2006 August;100.36;0.5;
8;Total all purchases;2006 September;100.74;0.4;
9;Total all purchases;2006 October;100.49;-0.2;
10;Total all purchases;2006 November;100.33;-0.2;
11;Total all purchases;2006 December;99.96;-0.4;
12;Total all purchases;2006;100.0;;
13;Total all purchases;2007 January;100.08;0.1;1.4
14;Total all purchases;2007 February;100.54;0.5;1.5
15;Total all purchases;2007 March;101.63;1.1;1.8
16;Total all purchases;2007 April;102.12;0.5;1.8
17;Total all purchases;2007 May;102.19;0.1;1.8
18;Total all purchases;2007 June;101.77;-0.4;1.7
19;Total all purchases;2007 July;101.29;-0.5;1.5
20;Total all purchases;2007 August;101.47;0.2;1.1
21;Total all purchases;2007 September;102.07;0.6;1.3
22;Total all purchases;2007 October;102.11;0.0;1.6
23;Total all purchases;2007 November;102.26;0.1;1.9
24;Total all purchases;2007 December;101.83;-0.4;1.9
25;Total all purchases;2007;101.61;;1.6
26;Total all purchases;2008 January;102.11;0.3;2.0
27;Total all purchases;2008 February;102.8;0.7;2.2
28;Total all purchases;2008 March;103.82;1.0;2.2
29;Total all purchases;2008 April;104.2;0.4;2.0
30;Total all purchases;2008 May;104.57;0.4;2.3
31;Total all purchases;2008 June;104.38;-0.2;2.6
32;Total all purchases;2008 July;104.54;0.2;3.2
33;Total all purchases;2008 August;104.74;0.2;3.2
34;Total all purchases;2008 September;105.19;0.4;3.1
35;Total all purchases;2008 October;104.95;-0.2;2.8
36;Total all purchases;2008 November;104.57;-0.4;2.3
37;Total all purchases;2008 December;103.81;-0.7;1.9
38;Total all purchases;2008;104.14;;2.5
39;Total all purchases;2009 January;104.08;0.3;1.9
40;Total all purchases;2009 February;104.81;0.7;2.0
41;Total all purchases;2009 March;105.86;1.0;2.0
42;Total all purchases;2009 April;106.1;0.2;1.8
43;Total all purchases;2009 May;106.24;0.1;1.6
44;Total all purchases;2009 June;105.87;-0.3;1.4
45;Total all purchases;2009 July;104.74;-1.1;0.2
46;Total all purchases;2009 August;105.03;0.3;0.3
47;Total all purchases;2009 September;105.59;0.5;0.4
48;Total all purchases;2009 October;105.69;0.1;0.7
49;Total all purchases;2009 November;105.58;-0.1;1.0
50;Total all purchases;2009 December;104.96;-0.6;1.1
51;Total all purchases;2009;105.38;;1.2
52;Total all purchases;2010 January;104.93;0.0;0.8
53;Total all purchases;2010 February;105.68;0.7;0.8
54;Total all purchases;2010 March;106.93;1.2;1.0
55;Total all purchases;2010 April;107.29;0.3;1.1
56;Total all purchases;2010 May;107.25;0.0;1.0
57;Total all purchases;2010 June;106.74;-0.5;0.8
58;Total all purchases;2010 July;106.44;-0.3;1.6
59;Total all purchases;2010 August;106.6;0.2;1.5
60;Total all purchases;2010 September;107.26;0.6;1.6
61;Total all purchases;2010 October;107.35;0.1;1.6
62;Total all purchases;2010 November;107.22;-0.1;1.6
63;Total all purchases;2010 December;106.99;-0.2;1.9
64;Total all purchases;2010;106.72;;1.3
65;Total all purchases;2011 January before recalculation;107.0;0.0;2.0
66;Total all purchases;2011 February before recalculation;107.74;0.7;1.9
67;Total all purchases;2011 March before recalculation;109.02;1.2;2.0
68;Total all purchases;2011 April before recalculation;109.54;0.5;2.1
69;Total all purchases;2011 May before recalculation;109.71;0.2;2.3
70;Total all purchases;2011 June before recalculation;109.18;-0.5;2.3
71;Total all purchases;2011 July before recalculation;109.23;0.0;2.6
