ID;Verkopen;Perioden;TotaalVerkoopwaarden_1;Elektriciteit_2;Aardgas_3;WaterGeenEnergie_4;OverigeVerkoopwaarden_5;Elektriciteit_6;Aardgas_7;Water_8
0;Totaal verkopen;1990 1e kwartaal;4118.0;2449.0;1340.0;209.0;119.0;52064.0;7948.0;385.0
1;Totaal verkopen;1990 2e kwartaal;3246.0;2326.0;599.0;221.0;100.0;49605.0;3540.0;427.0
2;Totaal verkopen;1990 3e kwartaal;3093.0;2368.0;407.0;223.0;94.0;50842.0;2354.0;430.0
3;Totaal verkopen;1990 4e kwartaal;4050.0;2446.0;1258.0;211.0;134.0;55451.0;7396.0;394.0
4;Totaal verkopen;1990;14506.0;9589.0;3605.0;864.0;448.0;207962.0;21238.0;1635.0
5;Totaal verkopen;1991 1e kwartaal;4877.0;2646.0;1867.0;217.0;146.0;56847.0;9907.0;376.0
6;Totaal verkopen;1991 2e kwartaal;3636.0;2420.0;872.0;234.0;109.0;52421.0;4660.0;413.0
7;Totaal verkopen;1991 3e kwartaal;3134.0;2438.0;381.0;221.0;94.0;55627.0;2057.0;408.0
8;Totaal verkopen;1991 4e kwartaal;4524.0;2632.0;1546.0;212.0;135.0;58818.0;8028.0;386.0
9;Totaal verkopen;1991;16171.0;10137.0;4665.0;884.0;485.0;223713.0;24653.0;1583.0
10;Totaal verkopen;1992 1e kwartaal;4776.0;2634.0;1778.0;233.0;131.0;57948.0;9514.0;388.0
11;Totaal verkopen;1992 2e kwartaal;3456.0;2416.0;668.0;254.0;117.0;54169.0;3659.0;425.0
12;Totaal verkopen;1992 3e kwartaal;3260.0;2496.0;404.0;246.0;113.0;54392.0;2217.0;415.0
13;Totaal verkopen;1992 4e kwartaal;4585.0;2680.0;1513.0;241.0;152.0;59163.0;8148.0;388.0
14;Totaal verkopen;1992;16077.0;10226.0;4364.0;974.0;512.0;225672.0;23538.0;1615.0
15;Totaal verkopen;1993 1e kwartaal;4813.0;2720.0;1706.0;256.0;131.0;57852.0;9886.0;388.0
16;Totaal verkopen;1993 2e kwartaal;3431.0;2458.0;594.0;271.0;108.0;53880.0;3484.0;421.0
17;Totaal verkopen;1993 3e kwartaal;3377.0;2558.0;460.0;255.0;104.0;54886.0;2749.0;389.0
18;Totaal verkopen;1993 4e kwartaal;4758.0;2798.0;1551.0;248.0;161.0;60038.0;9145.0;376.0
19;Totaal verkopen;1993;16379.0;10535.0;4310.0;1030.0;505.0;226655.0;25264.0;1575.0
20;Totaal verkopen;1994 1e kwartaal;5071.0;2889.0;1783.0;260.0;138.0;59165.0;10102.0;367.0
21;Totaal verkopen;1994 2e kwartaal;3772.0;2626.0;746.0;281.0;120.0;56271.0;4348.0;407.0
22;Totaal verkopen;1994 3e kwartaal;3395.0;2584.0;423.0;280.0;107.0;57872.0;2613.0;417.0
23;Totaal verkopen;1994 4e kwartaal;4587.0;2877.0;1285.0;270.0;154.0;60820.0;7325.0;392.0
24;Totaal verkopen;1994;16825.0;10976.0;4238.0;1091.0;519.0;234127.0;24388.0;1583.0
25;Totaal verkopen;1995 1e kwartaal;5129.0;2892.0;1729.0;322.0;186.0;59201.0;9889.0;374.0
26;Totaal verkopen;1995 2e kwartaal;3949.0;2705.0;743.0;330.0;171.0;56910.0;4353.0;413.0
27;Totaal verkopen;1995 3e kwartaal;3642.0;2703.0;413.0;349.0;177.0;58551.0;2411.0;436.0
28;Totaal verkopen;1995 4e kwartaal;4919.0;2956.0;1453.0;319.0;189.0;61415.0;8592.0;390.0
29;Totaal verkopen;1995;17638.0;11255.0;4340.0;1320.0;724.0;236076.0;25246.0;1613.0
30;Totaal verkopen;1996 1e kwartaal;5689.0;2988.0;2192.0;333.0;176.0;60526.0;12767.0;385.0
31;Totaal verkopen;1996 2e kwartaal;4034.0;2749.0;765.0;373.0;148.0;56058.0;4425.0;445.0
32;Totaal verkopen;1996 3e kwartaal;3677.0;2690.0;472.0;344.0;171.0;56145.0;2709.0;407.0
33;Totaal verkopen;1996 4e kwartaal;5204.0;3034.0;1624.0;326.0;221.0;62192.0;9054.0;380.0
34;Totaal verkopen;1996;18605.0;11461.0;5052.0;1375.0;716.0;234921.0;28955.0;1618.0
35;Totaal verkopen;1997 1e kwartaal;5946.0;3437.0;1958.0;345.0;206.0;70676.0;10547.0;399.0
36;Totaal verkopen;1997 2e kwartaal;4700.0;3343.0;818.0;352.0;188.0;67388.0;4359.0;408.0
37;Totaal verkopen;1997 3e kwartaal;4206.0;3244.0;422.0;353.0;187.0;67996.0;2234.0;419.0
38;Totaal verkopen;1997 4e kwartaal;5669.0;3514.0;1542.0;349.0;264.0;73458.0;8227.0;386.0
39;Totaal verkopen;1997;20521.0;13538.0;4739.0;1400.0;844.0;279518.0;25366.0;1611.0
40;Totaal verkopen;1998 1e kwartaal;5646.0;3276.0;1794.0;358.0;219.0;68162.0;9298.0;385.0
41;Totaal verkopen;1998 2e kwartaal;4659.0;3331.0;766.0;367.0;194.0;70522.0;3992.0;402.0
42;Totaal verkopen;1998 3e kwartaal;4136.0;3114.0;478.0;368.0;176.0;66214.0;2648.0;394.0
43;Totaal verkopen;1998 4e kwartaal;5679.0;3423.0;1648.0;355.0;253.0;75058.0;9245.0;380.0
44;Totaal verkopen;1998;20119.0;13145.0;4686.0;1447.0;843.0;279956.0;25183.0;1561.0
45;Totaal verkopen;1999 1e kwartaal;5571.0;2997.0;1961.0;382.0;231.0;62221.0;11303.0;387.0
46;Totaal verkopen;1999 2e kwartaal;3958.0;2537.0;736.0;418.0;267.0;53985.0;4303.0;429.0
47;Totaal verkopen;1999 3e kwartaal;3727.0;2621.0;427.0;403.0;276.0;55105.0;2561.0;424.0
48;Totaal verkopen;1999 4e kwartaal;5351.0;2906.0;1571.0;392.0;483.0;59727.0;9551.0;407.0
49;Totaal verkopen;1999;18607.0;11062.0;4696.0;1594.0;1256.0;231039.0;27718.0;1647.0
50;Totaal verkopen;2000 1e kwartaal;6366.0;;;;;;;
51;Totaal verkopen;2000 2e kwartaal;4854.0;;;;;;;
52;Totaal verkopen;2000 3e kwartaal;4909.0;;;;;;;
53;Totaal verkopen;2000 4e kwartaal;6198.0;;;;;;;
54;Totaal verkopen;2000;22327.0;;;;;;;
55;Totaal verkopen;2001 1e kwartaal;7548.0;;;;;;;
56;Totaal verkopen;2001 2e kwartaal;5606.0;;;;;;;
57;Totaal verkopen;2001 3e kwartaal;5234.0;;;;;;;
58;Totaal verkopen;2001 4e kwartaal;7167.0;;;;;;;
59;Totaal verkopen;2001;25555.0;;;;;;;
60;Totaal verkopen;2002 1e kwartaal;7992.0;;;;;;;
