ID;EigenaarHuurder;Huishoudenskenmerken;Woningkenmerken;Regiokenmerken;Perioden;AantalHuishoudens_1;TotaleWoonlasten_2;NettoWoonlasten_3;BijkomendeWoonlasten_4;Woonquote_5;TotaleWoonlasten_6;NettoWoonlasten_7;BijkomendeWoonlasten_8;Woonquote_9
0;Totaal;Totaal;Totaal ;Nederland;2018;7006.3;811.0;606.0;206.0;26.8;690.0;492.0;198.0;24.8
1;Totaal;Totaal;Totaal ;Nederland;2019;7075.5;831.0;617.0;214.0;26.4;708.0;501.0;204.0;24.3
2;Totaal;Totaal;Totaal ;Nederland;2020;7152.4;823.0;629.0;194.0;25.2;693.0;506.0;185.0;23.0
3;Totaal;Totaal;Totaal ;Nederland;2021;7221.3;847.0;637.0;210.0;25.3;717.0;514.0;199.0;22.9
4;Totaal;Totaal;Totaal ;Nederland;2022;7297.9;790.0;611.0;178.0;22.3;688.0;505.0;171.0;20.1
5;Totaal;Totaal;Totaal ;Groningen (PV);2018;244.2;725.0;517.0;209.0;27.4;631.0;424.0;202.0;25.6
6;Totaal;Totaal;Totaal ;Groningen (PV);2019;246.1;740.0;525.0;215.0;27.0;645.0;430.0;207.0;25.1
7;Totaal;Totaal;Totaal ;Groningen (PV);2020;248.5;730.0;536.0;194.0;25.6;629.0;437.0;185.0;23.8
8;Totaal;Totaal;Totaal ;Groningen (PV);2021;251.3;758.0;548.0;210.0;26.1;658.0;450.0;200.0;23.9
9;Totaal;Totaal;Totaal ;Groningen (PV);2022;253.2;709.0;532.0;177.0;22.9;634.0;445.0;170.0;20.9
10;Totaal;Totaal;Totaal ;Fryslân (PV);2018;271.7;718.0;505.0;213.0;26.2;624.0;415.0;206.0;24.2
11;Totaal;Totaal;Totaal ;Fryslân (PV);2019;274.0;735.0;514.0;220.0;25.8;638.0;421.0;213.0;23.7
12;Totaal;Totaal;Totaal ;Fryslân (PV);2020;275.9;727.0;526.0;202.0;24.5;624.0;427.0;193.0;22.4
13;Totaal;Totaal;Totaal ;Fryslân (PV);2021;277.9;749.0;531.0;218.0;24.7;648.0;435.0;209.0;22.4
14;Totaal;Totaal;Totaal ;Fryslân (PV);2022;280.4;701.0;516.0;185.0;21.7;621.0;431.0;179.0;19.7
15;Totaal;Totaal;Totaal ;Drenthe (PV);2018;203.8;758.0;537.0;221.0;26.2;659.0;443.0;214.0;24.1
16;Totaal;Totaal;Totaal ;Drenthe (PV);2019;205.2;769.0;544.0;225.0;25.7;670.0;449.0;217.0;23.6
17;Totaal;Totaal;Totaal ;Drenthe (PV);2020;206.7;760.0;555.0;204.0;24.3;654.0;454.0;195.0;22.3
18;Totaal;Totaal;Totaal ;Drenthe (PV);2021;208.0;784.0;563.0;221.0;24.4;676.0;459.0;211.0;22.1
19;Totaal;Totaal;Totaal ;Drenthe (PV);2022;210.1;739.0;542.0;197.0;21.8;655.0;455.0;189.0;19.8
20;Totaal;Totaal;Totaal ;Overijssel (PV);2018;458.4;782.0;570.0;212.0;26.6;681.0;474.0;204.0;24.6
21;Totaal;Totaal;Totaal ;Overijssel (PV);2019;463.1;797.0;580.0;218.0;26.1;696.0;482.0;210.0;24.1
22;Totaal;Totaal;Totaal ;Overijssel (PV);2020;468.1;788.0;590.0;198.0;24.9;680.0;487.0;189.0;22.8
23;Totaal;Totaal;Totaal ;Overijssel (PV);2021;472.8;813.0;597.0;216.0;25.1;706.0;495.0;206.0;22.7
24;Totaal;Totaal;Totaal ;Overijssel (PV);2022;476.2;766.0;577.0;189.0;22.2;680.0;486.0;181.0;20.2
25;Totaal;Totaal;Totaal ;Flevoland (PV);2018;154.0;817.0;613.0;204.0;26.6;732.0;532.0;200.0;24.4
26;Totaal;Totaal;Totaal ;Flevoland (PV);2019;156.3;836.0;625.0;211.0;26.0;745.0;540.0;205.0;23.7
27;Totaal;Totaal;Totaal ;Flevoland (PV);2020;158.8;832.0;638.0;194.0;24.9;728.0;539.0;188.0;22.5
28;Totaal;Totaal;Totaal ;Flevoland (PV);2021;161.2;850.0;644.0;206.0;24.8;746.0;544.0;200.0;22.1
29;Totaal;Totaal;Totaal ;Flevoland (PV);2022;164.7;790.0;616.0;174.0;21.7;707.0;527.0;172.0;19.5
30;Totaal;Totaal;Totaal ;Gelderland (PV);2018;817.2;812.0;604.0;208.0;26.5;697.0;498.0;199.0;24.5
31;Totaal;Totaal;Totaal ;Gelderland (PV);2019;827.2;828.0;612.0;216.0;26.0;714.0;507.0;206.0;24.0
