ID;RegioIndeling2021;Leeftijd;Geslacht;Perioden;TotaleBevolking_1
0;Nederland;Totaal;Totaal mannen en vrouwen;2023;17735.8
1;Nederland;Totaal;Totaal mannen en vrouwen;2024;17868.2
2;Nederland;Totaal;Totaal mannen en vrouwen;2025;17980.5
3;Nederland;Totaal;Totaal mannen en vrouwen;2026;18088.1
4;Nederland;Totaal;Totaal mannen en vrouwen;2027;18191.8
5;Nederland;Totaal;Totaal mannen en vrouwen;2028;18290.9
6;Nederland;Totaal;Totaal mannen en vrouwen;2029;18387.4
7;Nederland;Totaal;Totaal mannen en vrouwen;2030;18480.1
8;Nederland;Totaal;Totaal mannen en vrouwen;2031;18569.3
9;Nederland;Totaal;Totaal mannen en vrouwen;2032;18655.7
10;Nederland;Totaal;Totaal mannen en vrouwen;2033;18738.4
11;Nederland;Totaal;Totaal mannen en vrouwen;2034;18817.7
12;Nederland;Totaal;Totaal mannen en vrouwen;2035;18892.9
13;Nederland;Totaal;Totaal mannen en vrouwen;2036;18964.9
14;Nederland;Totaal;Totaal mannen en vrouwen;2037;19032.9
15;Nederland;Totaal;Totaal mannen en vrouwen;2038;19096.6
16;Nederland;Totaal;Totaal mannen en vrouwen;2039;19156.2
17;Nederland;Totaal;Totaal mannen en vrouwen;2040;19212.2
18;Nederland;Totaal;Totaal mannen en vrouwen;2041;19264.9
19;Nederland;Totaal;Totaal mannen en vrouwen;2042;19314.3
20;Nederland;Totaal;Totaal mannen en vrouwen;2043;19360.8
21;Nederland;Totaal;Totaal mannen en vrouwen;2044;19405.0
22;Nederland;Totaal;Totaal mannen en vrouwen;2045;19446.6
23;Nederland;Totaal;Totaal mannen en vrouwen;2046;19486.4
24;Nederland;Totaal;Totaal mannen en vrouwen;2047;19524.4
25;Nederland;Totaal;Totaal mannen en vrouwen;2048;19560.7
26;Nederland;Totaal;Totaal mannen en vrouwen;2049;19595.9
27;Nederland;Totaal;Totaal mannen en vrouwen;2050;19630.0
28;Groningen (PV);Totaal;Totaal mannen en vrouwen;2023;590.0
29;Groningen (PV);Totaal;Totaal mannen en vrouwen;2024;592.3
30;Groningen (PV);Totaal;Totaal mannen en vrouwen;2025;593.9
31;Groningen (PV);Totaal;Totaal mannen en vrouwen;2026;596.1
32;Groningen (PV);Totaal;Totaal mannen en vrouwen;2027;597.9
33;Groningen (PV);Totaal;Totaal mannen en vrouwen;2028;599.1
34;Groningen (PV);Totaal;Totaal mannen en vrouwen;2029;599.7
35;Groningen (PV);Totaal;Totaal mannen en vrouwen;2030;599.9
36;Groningen (PV);Totaal;Totaal mannen en vrouwen;2031;599.6
37;Groningen (PV);Totaal;Totaal mannen en vrouwen;2032;599.1
38;Groningen (PV);Totaal;Totaal mannen en vrouwen;2033;598.7
39;Groningen (PV);Totaal;Totaal mannen en vrouwen;2034;598.2
40;Groningen (PV);Totaal;Totaal mannen en vrouwen;2035;597.7
41;Groningen (PV);Totaal;Totaal mannen en vrouwen;2036;597.0
42;Groningen (PV);Totaal;Totaal mannen en vrouwen;2037;596.1
43;Groningen (PV);Totaal;Totaal mannen en vrouwen;2038;595.2
44;Groningen (PV);Totaal;Totaal mannen en vrouwen;2039;594.2
45;Groningen (PV);Totaal;Totaal mannen en vrouwen;2040;593.0
46;Groningen (PV);Totaal;Totaal mannen en vrouwen;2041;591.9
47;Groningen (PV);Totaal;Totaal mannen en vrouwen;2042;590.7
48;Groningen (PV);Totaal;Totaal mannen en vrouwen;2043;589.5
49;Groningen (PV);Totaal;Totaal mannen en vrouwen;2044;588.2
50;Groningen (PV);Totaal;Totaal mannen en vrouwen;2045;586.9
51;Groningen (PV);Totaal;Totaal mannen en vrouwen;2046;585.6
52;Groningen (PV);Totaal;Totaal mannen en vrouwen;2047;584.2
53;Groningen (PV);Totaal;Totaal mannen en vrouwen;2048;582.8
54;Groningen (PV);Totaal;Totaal mannen en vrouwen;2049;581.5
55;Groningen (PV);Totaal;Totaal mannen en vrouwen;2050;580.1
56;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2023;652.8
57;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2024;653.3
58;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2025;653.1
59;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2026;652.8
60;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2027;652.7
61;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2028;652.6
62;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2029;652.6
63;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2030;652.5
64;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2031;652.5
65;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2032;652.6
66;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2033;652.6
67;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2034;652.5
68;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2035;652.4
69;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2036;652.2
70;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2037;652.0
71;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2038;651.6
72;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2039;651.1
73;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2040;650.5
74;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2041;649.8
75;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2042;649.0
76;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2043;648.1
77;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2044;647.1
78;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2045;646.1
79;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2046;645.0
80;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2047;643.9
81;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2048;642.7
82;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2049;641.5
83;Fryslân (PV);Totaal;Totaal mannen en vrouwen;2050;640.3
84;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2023;494.5
85;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2024;494.0
86;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2025;492.7
87;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2026;491.4
88;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2027;490.4
89;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2028;489.6
90;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2029;488.9
91;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2030;488.4
92;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2031;488.1
93;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2032;487.9
94;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2033;487.8
95;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2034;487.6
96;Drenthe (PV);Totaal;Totaal mannen en vrouwen;2035;487.4
