ID;Geslacht;Startjaar;Vooropleiding;Peilmoment;StudierichtingDiploma;OnderwijspositiePeilmoment;TotaalStudentenStartjaar_1;TotaalGediplomeerden_2;AssociateDegree_3;Bachelor_4;TotaalGediplomeerden_5;AssociateDegree_6;Bachelor_7;NietGediplomeerden_8;NietGediplomeerdenRelatief_9
0;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;Totaal;Totaal onderwijspositie;93798.0;920;209;711;1;0;1;92878.0;99.0
1;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;Totaal;Totaal studenten in hbo op peilmoment ;76712.0;86;71;15;0;0;0;76626.0;100.0
2;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;Totaal;Totaal studenten uit hbo op peilmoment ;17086.0;834;138;696;5;1;4;16252.0;95.0
3;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;01 Onderwijs;Totaal onderwijspositie;;58;0;58;0;0;0;;
4;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;01 Onderwijs;Totaal studenten in hbo op peilmoment ;;4;0;4;0;0;0;;
5;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;01 Onderwijs;Totaal studenten uit hbo op peilmoment ;;54;0;54;0;0;0;;
6;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;011 Onderwijskunde, lerarenopleiding...;Totaal onderwijspositie;;58;0;58;0;0;0;;
7;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;011 Onderwijskunde, lerarenopleiding...;Totaal studenten in hbo op peilmoment ;;4;0;4;0;0;0;;
8;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;011 Onderwijskunde, lerarenopleiding...;Totaal studenten uit hbo op peilmoment ;;54;0;54;0;0;0;;
9;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0110 Onderwijskunde, lerarenopl. z.n.d.;Totaal onderwijspositie;;0;0;0;0;0;0;;
10;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0110 Onderwijskunde, lerarenopl. z.n.d.;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
11;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0110 Onderwijskunde, lerarenopl. z.n.d.;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
12;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0111 Onderwijskunde;Totaal onderwijspositie;;2;0;2;0;0;0;;
13;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0111 Onderwijskunde;Totaal studenten in hbo op peilmoment ;;2;0;2;0;0;0;;
14;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0111 Onderwijskunde;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
15;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0112 Opleiding kleuterleidsters;Totaal onderwijspositie;;0;0;0;0;0;0;;
16;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0112 Opleiding kleuterleidsters;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
17;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0112 Opleiding kleuterleidsters;Totaal studenten uit hbo op peilmoment ;;0;0;0;0;0;0;;
18;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0113 Lerarenopleiding basisonderwijs,...;Totaal onderwijspositie;;1;0;1;0;0;0;;
19;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0113 Lerarenopleiding basisonderwijs,...;Totaal studenten in hbo op peilmoment ;;0;0;0;0;0;0;;
20;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0113 Lerarenopleiding basisonderwijs,...;Totaal studenten uit hbo op peilmoment ;;1;0;1;0;0;0;;
21;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0114 Lerarenopleiding algemene en ber...;Totaal onderwijspositie;;55;0;55;0;0;0;;
22;Totaal geslacht;2008;Totaal vooropleiding;1 jaar na startjaar;0114 Lerarenopleiding algemene en ber...;Totaal studenten in hbo op peilmoment ;;2;0;2;0;0;0;;
