ID;Regions;Periods;AllCountries_1;Netherlands_2;TotalForeignCountries_3;EuropeExcludingTheNetherlands_4;Germany_5;Belgium_6;UnitedKingdom_7;France_8;Switzerland_9;Italy_10;Spain_11;Denmark_12;Sweden_13;OtherCountriesEuroZone_14;OtherEuropeanCountries_15;America_16;Asia_17;AustraliaAndOceania_18;Africa_19;AllCountries_20;Netherlands_21;TotalForeignCountries_22;EuropeExcludingTheNetherlands_23;Germany_24;Belgium_25;UnitedKingdom_26;France_27;Switzerland_28;Italy_29;Spain_30;Denmark_31;Sweden_32;OtherCountriesEuroZone_33;OtherEuropeanCountries_34;America_35;Asia_36;AustraliaAndOceania_37;Africa_38
173;Nederland;2008 1st Quarter;5437.8;3355.3;2082.5;1704.5;447.7;237.1;402.0;122.6;27.6;78.9;86.3;27.9;22.7;95.0;156.5;223.8;117.1;19.1;18.0;12752.1;8124.3;4627.8;3968.5;1434.7;556.0;762.3;235.7;50.5;158.6;174.0;56.4;40.6;193.9;305.9;391.6;198.6;37.7;31.5
174;Nederland;2008 April;2350.9;1465.0;885.9;719.1;186.7;88.4;161.7;71.0;14.7;30.4;25.2;18.9;13.7;36.6;71.8;97.7;53.8;8.2;6.9;5863.0;3763.6;2099.4;1778.2;580.3;235.7;352.2;166.7;30.9;61.1;50.1;42.0;27.2;82.1;150.0;186.8;101.4;17.0;16.0
175;Nederland;2008 May;3240.2;2193.2;1047.0;872.6;339.2;106.4;157.7;58.2;16.8;32.1;30.1;14.7;10.7;39.7;67.0;106.6;48.7;10.4;8.7;9513.1;6972.6;2540.5;2221.6;1095.6;248.0;336.3;111.2;35.6;63.3;59.3;30.7;19.5;89.1;133.1;198.3;86.2;19.8;14.6
176;Nederland;2008 June;2774.3;1901.1;873.2;688.8;236.4;82.8;141.3;41.1;12.7;25.9;30.0;12.5;10.0;33.2;63.0;112.1;52.2;12.8;7.3;8259.1;6041.0;2218.1;1874.5;919.1;205.4;283.3;74.6;25.2;53.4;62.7;24.4;17.4;74.1;134.7;206.2;97.5;25.4;14.7
177;Nederland;2008 2nd Quarter;8365.4;5559.4;2806.1;2280.6;762.2;277.6;460.7;170.4;44.2;88.4;85.3;46.1;34.4;109.5;201.8;316.3;154.6;31.5;23.0;23635.2;16777.2;6858.0;5874.4;2595.0;689.1;971.8;352.5;91.6;177.8;172.2;97.0;64.2;245.3;417.9;591.2;285.0;62.2;45.2
178;Nederland;2008 July;2966.2;1874.1;1092.1;907.9;365.1;118.7;146.6;52.8;18.7;30.1;39.7;21.1;12.7;36.5;66.0;110.8;52.9;13.1;7.4;11805.1;8321.6;3483.5;3118.1;1822.8;360.5;318.2;105.0;45.7;65.1;89.0;58.4;26.5;84.7;142.2;222.8;99.3;27.7;15.7
179;Nederland;2008 August;3358.9;2234.8;1124.1;959.4;345.8;136.6;148.0;63.3;14.3;67.0;60.5;10.7;7.5;41.1;64.6;89.3;55.2;11.6;8.6;13567.9;10201.7;3366.2;3033.9;1467.5;426.9;370.4;143.2;35.9;160.1;148.4;25.2;14.2;102.0;140.1;174.8;115.0;23.1;19.3
180;Nederland;2008 September;2626.5;1757.3;869.2;700.8;253.6;83.7;134.4;38.2;13.2;25.3;30.7;11.7;11.0;32.6;66.3;99.8;49.4;12.1;7.2;7201.2;5049.6;2151.6;1850.6;950.6;188.5;259.6;67.2;25.1;50.6;66.5;22.0;19.3;68.5;132.7;176.7;86.4;23.7;14.2
181;Nederland;2008 3rd Quarter;8951.6;5866.2;3085.5;2568.2;964.5;339.0;429.0;154.2;46.2;122.4;130.9;43.5;31.3;110.1;196.9;299.8;157.5;36.8;23.2;32574.1;23572.9;9001.2;8002.6;4241.0;975.9;948.2;315.4;106.7;275.8;303.9;105.6;60.0;255.2;415.0;574.3;300.6;74.4;49.3
182;Nederland;2008 October;2654.4;1730.8;923.6;761.5;284.5;98.1;134.7;45.3;15.1;26.5;26.4;14.7;10.1;35.0;71.2;94.5;49.4;10.7;7.5;7096.6;4747.1;2349.5;2064.7;1101.1;248.6;256.6;79.2;32.3;48.9;51.4;27.1;17.4;67.1;135.1;162.3;87.7;20.5;14.3
183;Nederland;2008 November;1991.4;1318.3;673.1;540.8;118.4;93.5;119.1;44.0;9.9;25.0;19.4;10.4;8.9;30.1;62.1;75.1;43.1;7.1;7.0;4324.3;2979.3;1345.0;1109.0;304.9;213.0;207.3;79.0;16.7;46.0;35.7;18.4;14.4;59.1;114.4;130.1;78.9;13.9;13.1
184;Nederland;2008 December;1701.5;1167.8;533.7;429.4;91.7;63.3;93.3;38.3;8.6;29.1;19.6;5.6;4.9;24.4;50.4;58.5;34.1;6.5;5.2;4069.9;2984.0;1085.9;902.4;246.1;134.3;171.1;68.4;16.3;60.2;38.3;9.5;8.2;50.6;99.4;100.7;60.6;12.9;9.3
185;Nederland;2008 4th Quarter;6347.3;4216.9;2130.4;1731.6;494.6;254.9;347.2;127.6;33.6;80.6;65.4;30.7;23.9;89.5;183.7;228.0;126.7;24.3;19.7;15490.8;10710.4;4780.4;4076.1;1652.1;595.9;635.0;226.6;65.2;155.2;125.4;55.0;40.0;176.9;349.0;393.1;227.3;47.2;36.7
186;Nederland;2008;29102.1;18997.8;10104.3;8284.9;2669.0;1108.5;1638.9;574.8;151.6;370.4;368.0;148.2;112.3;404.2;738.9;1068.0;556.0;111.7;83.8;84452.3;59184.7;25267.5;21921.6;9922.7;2816.8;3317.3;1130.2;314.0;767.3;775.4;313.9;204.8;871.3;1487.7;1950.2;1011.6;221.5;162.6
187;Nederland;2009 January;1522.9;990.9;532.0;434.4;121.9;61.0;87.4;34.3;7.7;25.3;15.6;5.9;5.1;24.0;46.2;56.0;31.2;5.8;4.7;3485.4;2340.9;1144.5;967.4;355.8;136.7;160.1;62.5;13.6;53.5;30.0;10.6;8.0;47.1;89.4;100.0;56.0;12.5;8.6
