ID;LandVanLading;LandVanLossing;Perioden;LadingtonkilometersTotaal_1;LadingtonkilometersInNederland_2;LadingtonkilometersInBuitenland_3;TotaalVervoerdGewicht_4;LandbouwproductenDieren_5;VoedingsproductenVeevoeder_6;VasteBrandstoffen_7;AardolienAardolieproducten_8;ErtsenEnMetaalresiduen_9;MetalenMetalenHalffabricaten_10;RuweMineralenEnBouwmaterialen_11;Meststoffen_12;ChemischeProducten_13;OverigeGoederenEnFabricaten_14;Containervervoer_15
13;Totaal geladen;Totaal gelost;2009;75156.0;35638.0;39518.0;271527.0;9361.0;15812.0;21184.0;52158.0;17954.0;7879.0;78115.0;5565.0;35228.0;28271.0;2362.0
14;Totaal geladen;Totaal gelost;2010;;;;346901.0;;;;;;;;;;;
15;Totaal geladen;Totaal gelost;2011;;;;351783.0;;;;;;;;;;;
16;Totaal geladen;Totaal gelost;2012;;;;350069.0;;;;;;;;;;;
17;Totaal geladen;Nederland;1996;23250.0;13621.0;9629.0;136595.0;6414.0;12298.0;5314.0;18394.0;3051.0;2707.0;68905.0;2385.0;6997.0;10129.0;491.0
18;Totaal geladen;Nederland;1997;25831.0;15803.0;10028.0;147156.0;5552.0;10482.0;5524.0;19387.0;3010.0;3073.0;77293.0;2098.0;7624.0;13113.0;788.0
19;Totaal geladen;Nederland;1998;25981.0;16379.0;9602.0;149964.0;5732.0;14533.0;5643.0;16564.0;1992.0;3530.0;77695.0;2541.0;7856.0;13880.0;891.0
20;Totaal geladen;Nederland;1999;27939.0;17815.0;10124.0;151768.0;7044.0;11355.0;4502.0;16081.0;2609.0;2508.0;79457.0;2561.0;7648.0;18003.0;1369.0
21;Totaal geladen;Nederland;2000;26415.0;16754.0;9661.0;152355.0;7160.0;10677.0;2670.0;16064.0;2989.0;2546.0;79333.0;2620.0;8611.0;19685.0;1576.0
22;Totaal geladen;Nederland;2001;29694.0;17670.0;12024.0;164511.0;7952.0;11131.0;2982.0;22857.0;2578.0;3964.0;81617.0;2132.0;10050.0;19248.0;1708.0
23;Totaal geladen;Nederland;2002;28042.0;17976.0;10066.0;155199.0;7696.0;11085.0;3181.0;22237.0;2544.0;3132.0;73276.0;2161.0;10303.0;19585.0;1637.0
24;Totaal geladen;Nederland;2003;27321.0;17893.0;9428.0;146202.0;6536.0;8989.0;4125.0;21458.0;2949.0;3061.0;66977.0;2043.0;9959.0;20106.0;1450.0
25;Totaal geladen;Nederland;2004;29765.0;19263.0;10502.0;159280.0;6881.0;10670.0;4510.0;25503.0;3715.0;3759.0;65959.0;2262.0;11551.0;24469.0;1511.0
26;Totaal geladen;Nederland;2005;29773.0;18738.0;11035.0;155782.0;5846.0;10553.0;4037.0;26877.0;3164.0;3338.0;60529.0;2065.0;12270.0;27102.0;1559.0
27;Totaal geladen;Nederland;2006;30144.0;18933.0;11211.0;161855.0;6087.0;10751.0;3990.0;27472.0;2885.0;3665.0;60031.0;1785.0;12092.0;33095.0;1597.0
28;Totaal geladen;Nederland;2007;33061.0;19837.0;13224.0;171676.0;7144.0;8904.0;5147.0;26999.0;3310.0;3969.0;61310.0;2045.0;32075.0;20773.0;1680.0
29;Totaal geladen;Nederland;2008;31492.0;19519.0;11973.0;162705.0;7210.0;9749.0;4396.0;25990.0;2678.0;3607.0;64028.0;2006.0;23557.0;19484.0;1647.0
30;Totaal geladen;Nederland;2009;28039.0;17262.0;10777.0;147668.0;7032.0;8684.0;3696.0;24967.0;2310.0;2717.0;59240.0;1798.0;20995.0;16230.0;1379.0
31;Totaal geladen;Nederland;2010;;;;168973.0;;;;;;;;;;;
32;Totaal geladen;Nederland;2011;;;;171949.0;;;;;;;;;;;
33;Totaal geladen;Nederland;2012;;;;170199.0;;;;;;;;;;;
34;Totaal geladen;Buitenland, totaal;1996;59983.0;21903.0;38080.0;152956.0;3082.0;8543.0;14894.0;35441.0;34434.0;5734.0;21469.0;5152.0;11731.0;12477.0;243.0
35;Totaal geladen;Buitenland, totaal;1997;67906.0;25213.0;42693.0;172979.0;3221.0;9401.0;18479.0;38702.0;36903.0;4489.0;23923.0;7074.0;12355.0;18433.0;1144.0
36;Totaal geladen;Buitenland, totaal;1998;64362.0;24335.0;40027.0;167494.0;2636.0;8738.0;20106.0;34892.0;37315.0;6959.0;22540.0;5985.0;11331.0;16992.0;1315.0
37;Totaal geladen;Buitenland, totaal;1999;62307.0;23632.0;38675.0;160613.0;3105.0;8320.0;18574.0;33000.0;34665.0;4931.0;22419.0;6162.0;12142.0;17294.0;1604.0
38;Totaal geladen;Buitenland, totaal;2000;64447.0;24543.0;39904.0;162706.0;2905.0;8339.0;20624.0;30501.0;33499.0;5974.0;22780.0;6298.0;13272.0;18515.0;1715.0
39;Totaal geladen;Buitenland, totaal;2001;68184.0;24257.0;43927.0;168979.0;2511.0;10084.0;24792.0;33507.0;33600.0;7160.0;22219.0;5498.0;12605.0;17001.0;1603.0
40;Totaal geladen;Buitenland, totaal;2002;62349.0;22933.0;39416.0;158808.0;2267.0;9202.0;25328.0;29339.0;33167.0;5471.0;19218.0;5715.0;15002.0;14099.0;1462.0
41;Totaal geladen;Buitenland, totaal;2003;60661.0;22977.0;37684.0;158277.0;2991.0;8748.0;22445.0;29495.0;33858.0;6464.0;18138.0;4480.0;14369.0;17288.0;1339.0
42;Totaal geladen;Buitenland, totaal;2004;63305.0;24300.0;39005.0;168889.0;2939.0;8345.0;25802.0;30586.0;35495.0;7817.0;18887.0;4260.0;14603.0;20155.0;1542.0
43;Totaal geladen;Buitenland, totaal;2005;62437.0;24328.0;38109.0;168495.0;1960.0;8595.0;23871.0;30220.0;34073.0;8609.0;19459.0;4138.0;15462.0;22109.0;1624.0
44;Totaal geladen;Buitenland, totaal;2006;62485.0;24644.0;37841.0;168931.0;2068.0;8048.0;25323.0;31526.0;33260.0;8508.0;19142.0;4195.0;15909.0;20949.0;1598.0
45;Totaal geladen;Buitenland, totaal;2007;62879.0;25199.0;37680.0;169669.0;2680.0;8314.0;25452.0;25947.0;32843.0;9717.0;22029.0;4742.0;18097.0;19849.0;1629.0
46;Totaal geladen;Buitenland, totaal;2008;62040.0;24926.0;37114.0;167073.0;2856.0;8534.0;25045.0;27858.0;32916.0;8455.0;21925.0;4722.0;16753.0;18009.0;1418.0
47;Totaal geladen;Buitenland, totaal;2009;47118.0;18376.0;28742.0;123859.0;2329.0;7128.0;17488.0;27192.0;15644.0;5162.0;18875.0;3767.0;14233.0;12041.0;983.0
48;Totaal geladen;Buitenland, totaal;2010;;;;177928.0;;;;;;;;;;;
49;Totaal geladen;Buitenland, totaal;2011;;;;179835.0;;;;;;;;;;;
50;Totaal geladen;Buitenland, totaal;2012;;;;179870.0;;;;;;;;;;;
51;Totaal geladen;België;1996;13503.0;6395.0;7108.0;51277.0;1334.0;2387.0;2401.0;11406.0;3420.0;3135.0;14733.0;2241.0;4882.0;5338.0;204.0
52;Totaal geladen;België;1997;15277.0;6969.0;8308.0;52815.0;1677.0;2575.0;2607.0;8333.0;3337.0;1990.0;15151.0;3554.0;4458.0;9133.0;431.0
53;Totaal geladen;België;1998;14490.0;6831.0;7659.0;53680.0;1508.0;2333.0;2651.0;9999.0;3345.0;2586.0;15578.0;2935.0;4287.0;8459.0;517.0
54;Totaal geladen;België;1999;15675.0;7159.0;8516.0;55231.0;2067.0;2466.0;2446.0;10480.0;3240.0;1948.0;16264.0;2877.0;4353.0;9090.0;677.0
55;Totaal geladen;België;2000;16465.0;7661.0;8804.0;55261.0;1775.0;2609.0;2886.0;8141.0;3600.0;2489.0;16481.0;2930.0;4553.0;9798.0;730.0
56;Totaal geladen;België;2001;15442.0;7037.0;8405.0;55480.0;1274.0;2931.0;3350.0;10169.0;3221.0;2725.0;15365.0;2625.0;4251.0;9569.0;772.0
57;Totaal geladen;België;2002;13789.0;6436.0;7353.0;51684.0;1361.0;2852.0;2813.0;9656.0;4627.0;2083.0;13203.0;2115.0;4775.0;8200.0;726.0
58;Totaal geladen;België;2003;16707.0;7326.0;9381.0;58955.0;1833.0;2422.0;3034.0;11643.0;5241.0;3481.0;11935.0;1833.0;5220.0;12314.0;788.0
59;Totaal geladen;België;2004;17526.0;7719.0;9807.0;62787.0;1921.0;2240.0;3676.0;13409.0;4430.0;3618.0;12429.0;1596.0;5465.0;14003.0;899.0
60;Totaal geladen;België;2005;17595.0;8081.0;9514.0;65017.0;1252.0;2605.0;3724.0;12836.0;4362.0;4017.0;13304.0;1550.0;5915.0;15454.0;959.0
61;Totaal geladen;België;2006;16954.0;7984.0;8970.0;62175.0;1140.0;2295.0;3513.0;13494.0;3701.0;3635.0;13033.0;1673.0;5758.0;13934.0;928.0
62;Totaal geladen;België;2007;19389.0;9914.0;9475.0;67713.0;1574.0;2769.0;3428.0;13230.0;3807.0;4571.0;15595.0;2150.0;7893.0;12696.0;967.0
63;Totaal geladen;België;2008;18867.0;9781.0;9086.0;66171.0;1749.0;3061.0;3567.0;12318.0;4799.0;3920.0;15599.0;2158.0;7477.0;11522.0;883.0
64;Totaal geladen;België;2009;14692.0;7695.0;6997.0;53398.0;1439.0;2488.0;1786.0;12423.0;2305.0;2656.0;14122.0;1837.0;6527.0;7814.0;610.0
65;Totaal geladen;België;2010;;;;68359.0;;;;;;;;;;;
66;Totaal geladen;België;2011;;;;70665.0;;;;;;;;;;;
67;Totaal geladen;België;2012;;;;70441.0;;;;;;;;;;;
68;Totaal geladen;Duitsland;1996;34346.0;13242.0;21104.0;87040.0;1246.0;5470.0;10085.0;20671.0;28197.0;1323.0;5870.0;2307.0;6294.0;5578.0;22.0
69;Totaal geladen;Duitsland;1997;39825.0;15861.0;23964.0;105609.0;1174.0;6159.0;13676.0;25944.0;31711.0;1503.0;7743.0;2869.0;6960.0;7871.0;641.0
70;Totaal geladen;Duitsland;1998;36682.0;14996.0;21686.0;98586.0;725.0;5535.0;15004.0;20274.0;32354.0;2825.0;6175.0;2386.0;6132.0;7180.0;719.0
71;Totaal geladen;Duitsland;1999;33425.0;13877.0;19548.0;89959.0;682.0;5009.0;13422.0;18405.0;29523.0;1657.0;5344.0;2546.0;6738.0;6634.0;811.0
72;Totaal geladen;Duitsland;2000;34778.0;14357.0;20421.0;92209.0;783.0;4827.0;14913.0;18501.0;28353.0;1989.0;5505.0;2719.0;7680.0;6939.0;842.0
73;Totaal geladen;Duitsland;2001;34460.0;14136.0;20324.0;92730.0;907.0;5471.0;17571.0;17159.0;28182.0;2456.0;6072.0;2107.0;7197.0;5607.0;671.0
74;Totaal geladen;Duitsland;2002;33734.0;13834.0;19900.0;90002.0;628.0;5070.0;18671.0;15059.0;26780.0;1902.0;5322.0;2815.0;9115.0;4640.0;592.0
75;Totaal geladen;Duitsland;2003;30598.0;13166.0;17432.0;84226.0;813.0;5089.0;16239.0;13811.0;26786.0;2164.0;5319.0;1951.0;7971.0;4086.0;460.0
76;Totaal geladen;Duitsland;2004;32989.0;14185.0;18804.0;91430.0;751.0;5214.0;18558.0;13807.0;29274.0;3129.0;5595.0;1937.0;7873.0;5293.0;538.0
77;Totaal geladen;Duitsland;2005;32655.0;13963.0;18692.0;89490.0;554.0;5046.0;16949.0;13843.0;28138.0;3548.0;5390.0;1852.0;8240.0;5930.0;564.0
78;Totaal geladen;Duitsland;2006;33775.0;14411.0;19364.0;93216.0;675.0;4983.0;18375.0;15172.0;28009.0;3665.0;5464.0;1829.0;8843.0;6200.0;568.0
79;Totaal geladen;Duitsland;2007;32529.0;13192.0;19337.0;89317.0;874.0;4762.0;19351.0;10477.0;27510.0;3805.0;5696.0;1772.0;9015.0;6057.0;566.0
80;Totaal geladen;Duitsland;2008;32371.0;13073.0;19298.0;88495.0;924.0;4673.0;18694.0;13161.0;26558.0;3304.0;5720.0;1876.0;8083.0;5501.0;452.0
81;Totaal geladen;Duitsland;2009;23457.0;8951.0;14506.0;60080.0;704.0;3923.0;13434.0;11937.0;12544.0;1806.0;4024.0;1398.0;6700.0;3610.0;318.0
82;Totaal geladen;Duitsland;2010;;;;96256.0;;;;;;;;;;;
83;Totaal geladen;Duitsland;2011;;;;97003.0;;;;;;;;;;;
84;Totaal geladen;Duitsland;2012;;;;96803.0;;;;;;;;;;;
85;Totaal geladen;Frankrijk;1996;5131.0;1084.0;4047.0;7200.0;158.0;152.0;2079.0;1289.0;1951.0;106.0;463.0;396.0;376.0;231.0;1.0
86;Totaal geladen;Frankrijk;1997;4608.0;1071.0;3537.0;6420.0;83.0;166.0;2013.0;1208.0;1335.0;86.0;426.0;410.0;471.0;222.0;7.0
87;Totaal geladen;Frankrijk;1998;4776.0;1112.0;3664.0;6724.0;110.0;140.0;2287.0;1245.0;1097.0;217.0;426.0;447.0;471.0;284.0;9.0
88;Totaal geladen;Frankrijk;1999;5567.0;1331.0;4236.0;7811.0;102.0;157.0;2552.0;1547.0;1308.0;267.0;492.0;480.0;495.0;413.0;20.0
89;Totaal geladen;Frankrijk;2000;4921.0;1144.0;3777.0;6878.0;104.0;158.0;2505.0;1002.0;1007.0;335.0;473.0;376.0;511.0;408.0;22.0
90;Totaal geladen;Frankrijk;2001;6061.0;1259.0;4802.0;8684.0;102.0;226.0;3540.0;1127.0;1412.0;511.0;442.0;465.0;534.0;325.0;28.0
91;Totaal geladen;Frankrijk;2002;5446.0;1162.0;4284.0;7947.0;76.0;234.0;3627.0;989.0;1094.0;358.0;373.0;435.0;471.0;292.0;30.0
92;Totaal geladen;Frankrijk;2003;5895.0;1346.0;4549.0;8091.0;112.0;374.0;3054.0;1098.0;1249.0;346.0;590.0;442.0;569.0;258.0;24.0
93;Totaal geladen;Frankrijk;2004;5506.0;1281.0;4225.0;7883.0;73.0;205.0;3366.0;844.0;1116.0;417.0;521.0;452.0;651.0;240.0;26.0
94;Totaal geladen;Frankrijk;2005;5271.0;1234.0;4037.0;7515.0;49.0;229.0;3002.0;969.0;970.0;465.0;489.0;457.0;631.0;254.0;32.0
95;Totaal geladen;Frankrijk;2006;5125.0;1207.0;3918.0;7318.0;67.0;186.0;3213.0;560.0;964.0;533.0;422.0;449.0;653.0;270.0;30.0
