ID;Milieucompartimenten;Sectoren;Perioden;MilieuInvesteringen_1;TotaalMilieukosten_2;Personeelskosten_3;GoederenEnDiensten_4;Kapitaallasten_5;Onverdeeld_6;OpbrengstenEnBesparingen_7;TotaalMilieukosten_8;Personeelskosten_9;GoederenEnDiensten_10;Kapitaallasten_11;Onverdeeld_12;OpbrengstenEnBesparingen_13;TotaalMilieukosten_14;Personeelskosten_15;GoederenEnDiensten_16;Kapitaallasten_17;Onverdeeld_18;OpbrengstenEnBesparingen_19;TotaalMilieukosten_20;Personeelskosten_21;GoederenEnDiensten_22;Kapitaallasten_23;Onverdeeld_24;OpbrengstenEnBesparingen_25;TotaalMilieukosten_26;Personeelskosten_27;GoederenEnDiensten_28;Kapitaallasten_29;Onverdeeld_30;OpbrengstenEnBesparingen_31;TotaalSectoren_32;Rijksoverheid_33;Provincies_34;Waterschappen_35;Gemeenten_36;GemeenschappelijkeRegelingen_37;BedrijvenExclMilieudienstverlening_38;Milieudienstverlening_39;Huishoudens_40;Onverdeeld_41;NettoMilieulasten_42
0;Totaal milieucompartimenten;0;1985;;2520.0;316.0;787.0;620.0;880.0;-83.0;274.0;144.0;73.0;12.0;47.0;-2.0;119.0;15.0;66.0;0.0;38.0;;746.0;5.0;40.0;10.0;692.0;-1.0;1381.0;152.0;608.0;598.0;103.0;-80.0;1654.0;430.0;16.0;54.0;93.0;4.0;382.0;;671.0;5.0;2520.0
1;Totaal milieucompartimenten;0;1986;;2658.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal milieucompartimenten;0;1987;;2841.0;384.0;979.0;951.0;608.0;-81.0;318.0;166.0;103.0;15.0;36.0;-2.0;120.0;15.0;69.0;0.0;36.0;0.0;787.0;19.0;88.0;243.0;438.0;-1.0;1616.0;184.0;719.0;693.0;98.0;-77.0;1896.0;518.0;20.0;47.0;115.0;3.0;428.0;;763.0;3.0;2841.0
3;Totaal milieucompartimenten;0;1988;;3129.0;384.0;1051.0;821.0;915.0;-44.0;325.0;175.0;106.0;18.0;28.0;-2.0;124.0;15.0;70.0;0.0;39.0;;809.0;6.0;50.0;2.0;753.0;-1.0;1869.0;188.0;825.0;802.0;95.0;-41.0;;;;;;;;;;;
4;Totaal milieucompartimenten;0;1989;1101.0;3373.0;412.0;1208.0;868.0;936.0;-51.0;352.0;184.0;122.0;15.0;32.0;-1.0;152.0;15.0;90.0;0.0;47.0;0.0;812.0;6.0;54.0;2.0;752.0;-2.0;2057.0;208.0;941.0;851.0;105.0;-47.0;2279.0;577.0;20.0;39.0;159.0;13.0;587.0;;874.0;9.0;3373.0
5;Totaal milieucompartimenten;0;1990;1445.0;3864.0;456.0;1465.0;1003.0;997.0;-57.0;465.0;210.0;203.0;18.0;35.0;-1.0;176.0;15.0;111.0;0.0;51.0;0.0;866.0;7.0;76.0;3.0;783.0;-2.0;2357.0;224.0;1075.0;983.0;129.0;-53.0;;;;;;;;;;;
6;Totaal milieucompartimenten;0;1991;1435.0;4420.0;519.0;1732.0;1110.0;1120.0;-60.0;578.0;241.0;276.0;18.0;45.0;-1.0;185.0;14.0;120.0;1.0;52.0;0.0;980.0;8.0;109.0;4.0;862.0;-4.0;2677.0;256.0;1227.0;1087.0;161.0;-55.0;3019.0;623.0;23.0;40.0;205.0;2.0;938.0;;1173.0;15.0;4420.0
7;Totaal milieucompartimenten;0;1992;1646.0;4959.0;580.0;1962.0;1257.0;1233.0;-72.0;669.0;279.0;334.0;21.0;37.0;-2.0;185.0;15.0;115.0;0.0;54.0;0.0;1107.0;8.0;108.0;6.0;989.0;-4.0;2998.0;277.0;1405.0;1229.0;153.0;-66.0;;;;;;;;;;;
8;Totaal milieucompartimenten;0;1993;2407.0;5531.0;894.0;2086.0;1453.0;1181.0;-82.0;751.0;315.0;397.0;27.0;17.0;-4.0;202.0;16.0;128.0;0.0;58.0;0.0;1398.0;172.0;190.0;66.0;980.0;-9.0;3179.0;391.0;1372.0;1360.0;126.0;-69.0;4158.0;648.0;26.0;76.0;460.0;103.0;1347.0;110.0;1377.0;10.0;5531.0
9;Totaal milieucompartimenten;0;1994;2149.0;6146.0;1176.0;2605.0;1825.0;641.0;-102.0;832.0;365.0;434.0;25.0;12.0;-4.0;211.0;16.0;133.0;0.0;62.0;0.0;1558.0;362.0;442.0;219.0;550.0;-15.0;3545.0;432.0;1597.0;1581.0;18.0;-83.0;;;;;;;;;;;
