ID;ZorginstellingenSBI2008;Perioden;AantalMiddelgrEnGroteOndernemingen_1;Totaal_2;KleinerDan0_3;k_0Tot10_4;k_10Tot20_5;k_20Tot35_6;k_35OfMeer_7;Totaal_8;KleinerDan0_9;k_0Tot10_10;k_10Tot15_11;k_15Tot20_12;k_20Tot30_13;k_30OfMeer_14;Totaal_15;KleinerDan30_16;k_30Tot70_17;k_70Tot130_18;k_130OfMeer_19;Totaal_20;KleinerDan30_21;k_30Tot70_22;k_70Tot130_23;k_130OfMeer_24;Totaal_25;KleinerDan0_26;k_0Tot2_27;k_2Tot4_28;k_4OfMeer_29;Leverage_30;AandeelKapitaallasten_31;GemLeeftijdMaterieleVasteActiva_32;Debiteurentermijn_33;AandeelPersoneelskosten_34;OpbrengstenPerArbeidsjaar_35;ArbeidskostenPerArbeidsjaar_36;Parttimefactor_37;KleinerDan0_38;k_0Tot10_39;k_10Tot20_40;k_20Tot35_41;k_35OfMeer_42;KleinerDan0_43;k_0Tot10_44;k_10Tot15_45;k_15Tot20_46;k_20Tot30_47;k_30OfMeer_48;KleinerDan30_49;k_30Tot70_50;k_70Tot130_51;k_130OfMeer_52;KleinerDan30_53;k_30Tot70_54;k_70Tot130_55;k_130OfMeer_56;KleinerDan0_57;k_0Tot2_58;k_2Tot4_59;k_4OfMeer_60;MinderDan4MlnEuro_61;k_4Tot10MlnEuro_62;k_10Tot25MlnEuro_63;k_25Tot75MlnEuro_64;k_75Tot125MlnEuro_65;k_125MlnEuroOfMeer_66
0;800030;2015;93;24;;;16.0;26.0;38.0;23;;;13.0;18.0;24.0;34.0;102;27.0;54.0;101.0;148.0;122;;54.0;105.0;149.0;2;-2.0;1.0;3.0;6.0;66;9;9;46;54;126650;60350;75;;;25.0;60.0;9.0;;;5.0;20.0;54.0;14.0;4.0;19.0;52.0;25.0;0.0;5.0;49.0;45.0;14.0;49.0;25.0;12.0;;;;14.0;12.0;68.0
1;800030;2016;89;25;;;16.0;27.0;;24;;;13.0;18.0;24.0;34.0;97;;;97.0;148.0;128;;;;;2;-2.0;1.0;3.0;6.0;64;8;9;32;54;130050;62050;75;;;21.0;58.0;;;;6.0;16.0;53.0;20.0;;;55.0;24.0;1.0;1.0;48.0;49.0;11.0;49.0;28.0;11.0;;;;16.0;10.0;70.0
2;800030;2017;86;27;;;;27.0;39.0;25;;;13.0;19.0;24.0;35.0;85;23.0;58.0;94.0;161.0;128;;;105.0;162.0;2;-2.0;1.0;3.0;5.0;62;8;10;30;55;130500;62550;75;;;;58.0;24.0;;;7.0;11.0;52.0;27.0;7.0;32.0;41.0;20.0;;;47.0;48.0;14.0;46.0;24.0;16.0;0.0;0.0;0.0;18.0;9.0;73.0
3;800030;2018;85;30;;;;27.0;39.0;26;;;;19.0;25.0;34.0;95;;54.0;99.0;185.0;136;;64.0;106.0;162.0;2;-1.0;1.0;3.0;6.0;63;8;9;27;54;132750;63450;76;;;;53.0;35.0;;;;7.0;54.0;27.0;0.0;28.0;47.0;25.0;0.0;4.0;44.0;53.0;12.0;53.0;29.0;6.0;0.0;0.0;0.0;18.0;8.0;74.0
4;800030;2019;82;31;;;16.0;28.0;41.0;27;;;14.0;18.0;25.0;34.0;93;;50.0;96.0;159.0;135;;63.0;110.0;169.0;1;;1.0;2.0;;62;8;9;26;55;136400;65700;76;0.0;0.0;7.0;55.0;38.0;0.0;0.0;7.0;10.0;54.0;29.0;0.0;28.0;50.0;22.0;0.0;4.0;46.0;50.0;;65.0;27.0;;0.0;0.0;0.0;17.0;6.0;77.0
5;800030;2020;82;32;;;17.0;29.0;40.0;27;;;14.0;19.0;26.0;34.0;85;;57.0;97.0;156.0;130;;59.0;106.0;159.0;1;-2.0;1.0;3.0;;58;7;9;24;55;141250;68950;76;0.0;0.0;7.0;46.0;46.0;0.0;0.0;6.0;9.0;55.0;30.0;1.0;30.0;57.0;11.0;0.0;5.0;52.0;43.0;11.0;71.0;15.0;4.0;0.0;0.0;0.0;15.0;6.0;79.0
6;800030;2021;81;33;;;17.0;29.0;40.0;28;;;;17.0;26.0;34.0;81;;54.0;92.0;142.0;133;;58.0;112.0;157.0;2;-2.0;1.0;3.0;;56;7;9;24;55;143250;70100;76;0.0;0.0;7.0;46.0;47.0;0.0;0.0;4.0;10.0;48.0;38.0;2.0;33.0;56.0;9.0;0.0;6.0;48.0;46.0;11.0;58.0;27.0;4.0;0.0;0.0;0.0;15.0;6.0;79.0
7;800030;2022;82;34;;;18.0;30.0;41.0;28;;;;17.0;26.0;34.0;119;;58.0;106.0;150.0;133;;65.0;114.0;157.0;1;-1.0;1.0;3.0;5.0;54;7;9;24;55;147150;72050;76;0.0;0.0;6.0;48.0;46.0;0.0;0.0;4.0;11.0;45.0;40.0;0.0;6.0;65.0;29.0;0.0;6.0;45.0;49.0;11.0;66.0;17.0;6.0;0.0;0.0;0.0;15.0;6.0;79.0
8;800030;2023;82;35;;;;30.0;41.0;28;;;13.0;17.0;26.0;33.0;121;;61.0;109.0;162.0;134;;;107.0;159.0;2;-1.0;1.0;3.0;5.0;51;7;9;23;55;156250;76300;76;0.0;0.0;4.0;48.0;49.0;0.0;0.0;5.0;11.0;43.0;41.0;0.0;9.0;57.0;34.0;0.0;2.0;45.0;52.0;16.0;49.0;30.0;5.0;0.0;0.0;0.0;15.0;4.0;82.0
9;422800;2015;8;26;;;;;;25;;;;;;;115;;;;;138;;;;;3;;;;;64;8;10;45;60;134200;70650;81;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;100.0
