ID;Achtergrondkenmerken;Perioden;RechtshulpTotaal_1;Advocaat_2;BureauVoorRechtshulp_3;SemiParticuliereOrganisatie_4;Notaris_5;Werk_6;Uitkering_7;Huurhuis_8;EigenHuis_9;Verbintenissen_10;Familiezaken_11;OndervondenDelicten_12;OverigeRedenen_13
0;10;1997;29.1;5.5;5.2;8.4;17.0;3.4;1.4;2.1;9.1;2.4;5.9;0.1;8.6
1;10;1998;30.9;5.8;5.7;9.3;18.3;4.0;1.2;2.1;11.1;2.1;5.8;0.4;8.8
2;10;1999;32.9;5.9;5.9;9.5;20.8;3.9;1.2;2.1;12.7;2.5;6.2;0.3;9.0
3;10;2000;31.3;6.0;5.3;9.1;19.4;4.0;1.0;2.0;11.6;2.5;6.2;0.2;8.8
4;10;2001;29.2;5.9;5.3;9.0;16.9;4.0;1.0;1.7;9.9;2.2;6.0;0.3;8.5
5;10;2002;30.0;6.2;5.4;10.4;16.9;4.0;1.1;1.7;10.1;2.8;6.1;0.2;8.8
6;10;2003;31.0;6.3;5.4;10.6;17.6;4.4;1.1;1.3;10.9;2.5;6.1;0.2;9.2
7;10;2004;30.2;6.6;4.7;9.6;17.6;4.5;1.1;1.4;11.0;2.0;6.0;0.2;8.8
8;11;1997;30.6;6.1;5.3;9.0;18.0;4.2;1.4;2.1;9.6;2.8;5.5;0.1;9.2
9;11;1998;32.4;6.1;6.1;9.8;19.7;4.6;1.2;1.9;12.4;2.6;5.4;0.3;9.1
10;11;1999;35.6;6.6;6.3;10.2;22.9;4.8;1.3;1.8;14.3;3.1;6.1;0.4;9.8
11;11;2000;33.8;6.9;5.9;10.3;20.5;4.8;1.1;2.2;12.1;3.2;6.1;0.2;9.9
12;11;2001;30.7;6.6;5.1;10.4;17.3;4.7;1.0;1.7;10.3;2.6;5.6;0.3;9.2
13;11;2002;31.7;7.0;5.8;10.8;18.0;4.7;1.2;1.1;11.4;3.2;5.8;0.2;9.4
14;11;2003;33.4;7.0;6.0;11.7;18.9;4.9;1.4;1.3;12.1;2.8;5.7;0.3;10.3
15;11;2004;32.4;7.6;4.7;10.5;18.5;5.9;1.3;1.2;12.1;2.3;5.3;0.2;9.1
16;12;1997;27.6;5.0;5.2;7.9;15.9;2.7;1.4;2.2;8.7;1.9;6.4;0.2;8.0
17;12;1998;29.5;5.5;5.2;8.9;17.0;3.5;1.2;2.3;9.8;1.7;6.1;0.4;8.5
18;12;1999;30.3;5.2;5.5;8.8;18.9;3.0;1.1;2.3;11.3;1.9;6.3;0.3;8.3
19;12;2000;28.9;5.0;4.8;7.9;18.4;3.2;0.9;1.9;11.0;1.9;6.3;0.2;7.7
20;12;2001;27.8;5.2;5.4;7.8;16.5;3.2;0.9;1.7;9.5;1.8;6.3;0.4;7.8
21;12;2002;28.3;5.5;5.0;10.0;15.8;3.4;0.9;2.3;8.8;2.4;6.4;0.2;8.2
22;12;2003;28.7;5.6;4.9;9.5;16.4;3.8;0.9;1.4;9.6;2.1;6.5;0.1;8.1
23;12;2004;28.1;5.6;4.8;8.8;16.8;3.2;0.8;1.5;10.0;1.8;6.8;0.3;8.4
24;15;1997;20.7;4.3;6.1;6.5;8.1;3.5;1.3;3.1;5.2;2.1;1.3;0.2;5.8
25;15;1998;20.6;2.7;5.9;7.3;8.8;2.9;0.8;2.6;6.8;1.6;1.3;0.8;6.4
26;15;1999;23.7;3.1;7.1;9.5;9.0;3.9;0.9;3.8;6.0;1.8;2.4;0.0;7.1
27;15;2000;23.4;4.0;6.2;8.3;9.6;3.0;0.6;3.4;6.8;3.1;1.7;0.4;6.6
28;15;2001;22.9;3.6;7.2;8.9;8.5;3.5;1.0;3.4;6.6;2.1;1.6;0.4;6.9
29;15;2002;25.6;5.7;8.8;8.7;9.8;3.3;1.0;3.6;7.2;2.4;2.1;0.5;9.6
30;15;2003;26.2;5.1;6.1;9.3;11.1;4.1;0.7;1.8;8.8;2.1;2.1;0.4;9.1
31;15;2004;20.3;3.7;5.7;6.9;8.6;3.0;0.7;2.6;7.1;1.4;1.2;0.2;6.6
32;16;1997;39.9;7.4;8.0;12.4;24.1;5.6;1.7;3.0;15.8;3.4;6.2;0.3;11.2
