ID;Geslacht;Leeftijden;RegioS;Perioden;AOWUitkeringenTotaal_1;AOWUitkeringenVolledig_2;AOWUitkeringenGekort_3
0;Totaal mannen en vrouwen;Totaal;Totaal regio;2006 4e kwartaal;2604560.0;2192600.0;411960.0
1;Totaal mannen en vrouwen;Totaal;Totaal regio;2007 1e kwartaal;2614350.0;2196370.0;417980.0
2;Totaal mannen en vrouwen;Totaal;Totaal regio;2007 2e kwartaal;2630170.0;2206210.0;423960.0
3;Totaal mannen en vrouwen;Totaal;Totaal regio;2007 3e kwartaal;2649550.0;2217290.0;432260.0
4;Totaal mannen en vrouwen;Totaal;Totaal regio;2007 4e kwartaal;2664420.0;2226170.0;438250.0
5;Totaal mannen en vrouwen;Totaal;Totaal regio;2008 1e kwartaal;2677330.0;2233050.0;444280.0
6;Totaal mannen en vrouwen;Totaal;Totaal regio;2008 2e kwartaal;2692810.0;2242750.0;450060.0
7;Totaal mannen en vrouwen;Totaal;Totaal regio;2008 3e kwartaal;2714340.0;2256410.0;457930.0
8;Totaal mannen en vrouwen;Totaal;Totaal regio;2008 4e kwartaal;2734510.0;2270360.0;464150.0
9;Totaal mannen en vrouwen;Totaal;Totaal regio;2009 1e kwartaal;2749000.0;2278780.0;470220.0
10;Totaal mannen en vrouwen;Totaal;Totaal regio;2009 2e kwartaal;2768400.0;2291980.0;476420.0
11;Totaal mannen en vrouwen;Totaal;Totaal regio;2009 3e kwartaal;2793590.0;2309200.0;484390.0
12;Totaal mannen en vrouwen;Totaal;Totaal regio;2009 4e kwartaal;2812870.0;2322620.0;490240.0
13;Totaal mannen en vrouwen;Totaal;Totaal regio;2010 1e kwartaal;2831410.0;2334220.0;497190.0
14;Totaal mannen en vrouwen;Totaal;Totaal regio;2010 2e kwartaal;2852240.0;2348550.0;503690.0
15;Totaal mannen en vrouwen;Totaal;Totaal regio;2010 3e kwartaal;2870470.0;2359240.0;511230.0
16;Totaal mannen en vrouwen;Totaal;Totaal regio;2010 4e kwartaal;2881340.0;2365020.0;516310.0
17;Totaal mannen en vrouwen;Totaal;Totaal regio;2011 1e kwartaal;2907160.0;2384000.0;523160.0
18;Totaal mannen en vrouwen;Totaal;Totaal regio;2011 2e kwartaal;2947040.0;2416290.0;530750.0
19;Totaal mannen en vrouwen;Totaal;Totaal regio;2011 3e kwartaal;2986120.0;2446370.0;539740.0
20;Totaal mannen en vrouwen;Totaal;Totaal regio;2011 4e kwartaal;3016960.0;2470070.0;546890.0
21;Totaal mannen en vrouwen;Totaal;Totaal regio;2012 1e kwartaal;3044860.0;2490680.0;554170.0
22;Totaal mannen en vrouwen;Totaal;Totaal regio;2012 2e kwartaal;3075580.0;2514470.0;561110.0
23;Totaal mannen en vrouwen;Totaal;Totaal regio;2012 3e kwartaal;3107660.0;2538230.0;569440.0
24;Totaal mannen en vrouwen;Totaal;Totaal regio;2012 4e kwartaal;3135930.0;2560190.0;575750.0
25;Totaal mannen en vrouwen;Totaal;Totaal regio;2013 1e kwartaal;3139150.0;2560180.0;578960.0
26;Totaal mannen en vrouwen;Totaal;Totaal regio;2013 2e kwartaal;3166540.0;2580920.0;585620.0
27;Totaal mannen en vrouwen;Totaal;Totaal regio;2013 3e kwartaal;3197060.0;2603010.0;594050.0
28;Totaal mannen en vrouwen;Totaal;Totaal regio;2013 4e kwartaal;3222600.0;2622570.0;600030.0
29;Totaal mannen en vrouwen;Totaal;Totaal regio;2014 1e kwartaal;3228380.0;2625500.0;602890.0
30;Totaal mannen en vrouwen;Totaal;Totaal regio;2014 2e kwartaal;3255100.0;2645730.0;609380.0
31;Totaal mannen en vrouwen;Totaal;Totaal regio;2014 3e kwartaal;3281450.0;2665140.0;616310.0
32;Totaal mannen en vrouwen;Totaal;Totaal regio;2014 4e kwartaal;3303800.0;2681910.0;621900.0
