ID;Persoonskenmerken;Perioden;SlachtofferschapTotaal_1;EnkelvoudigSlachtoffer_2;MeervoudigSlachtoffer_3;GeweldsdelictenTotaal_4;SeksueleDelicten_5;SeksueleDelictenAlleenVrouwen_6;Mishandeling_7;Bedreiging_8;VermogensdelictenTotaal_9;Inbraak_10;InbraakAlleenHuishoudens_11;Fietsdiefstal_12;FietsdiefstalAlleenFietsbezitters_13;Autodiefstal_14;AutodiefstalAlleenAutogebruikers_15;DiefstalUitAuto_16;DiefstalUitAutoAlleenAutogebruikers_17;Zakkenrollerij_18;OverigeDiefstal_19;VandalismedelictenTotaal_20;DiefstalVanafBeschadigingAuto_21;DiefstalBeschadigingAutoAutogebruiker_22;OverigeVernielingen_23;DoorrijdenNaAanrijding_24;KwaadwilligeTelefoontjes_25;OverigeDelicten_26
0;10;1997;25.8;20.6;5.3;5.2;1.2;2.1;1.6;2.9;13.3;2.3;2.6;4.9;5.7;0.2;0.4;1.9;3.5;2.0;3.4;10.4;6.2;11.2;5.0;1.4;7.2;0.5
1;10;1998;26.4;20.9;5.5;5.7;1.1;2.0;1.9;3.2;13.0;1.6;1.8;5.0;5.8;0.2;0.3;1.6;2.9;2.2;3.9;11.1;6.6;12.0;5.3;1.3;6.9;0.7
2;10;1999;26.5;21.0;5.5;5.6;1.1;1.9;1.8;3.4;12.6;1.9;2.1;4.6;5.3;0.2;0.4;1.9;3.3;2.1;3.1;11.6;7.1;12.5;5.4;1.5;6.9;0.6
3;10;2000;26.0;21.0;5.1;5.1;1.0;1.8;1.4;3.1;12.4;1.8;1.8;5.0;5.7;0.3;0.4;1.8;3.1;2.1;3.1;11.1;7.0;12.1;5.1;1.5;5.7;0.6
4;10;2001;25.2;19.8;5.4;5.9;1.1;1.8;1.8;3.5;12.1;1.6;1.7;4.6;5.3;0.1;0.2;2.1;3.6;2.0;3.0;10.6;6.6;11.2;4.7;1.4;5.2;0.7
5;10;2002;27.3;21.5;5.8;6.0;1.2;2.2;1.8;3.7;12.9;1.8;2.0;4.6;5.2;0.2;0.3;2.6;4.3;2.2;3.1;12.0;7.8;13.0;5.2;1.6;4.6;0.7
6;10;2003;25.7;20.7;5.0;5.8;0.9;1.5;1.9;3.6;11.9;1.3;1.3;4.6;5.2;0.1;0.2;2.4;4.0;2.0;2.8;11.0;7.6;12.6;4.3;1.5;4.8;0.8
7;10;2004;25.6;20.2;5.4;5.3;0.8;1.5;1.7;3.3;12.1;1.5;1.5;4.8;5.4;0.2;0.3;2.1;3.5;1.7;3.1;11.4;7.5;12.3;5.0;1.4;4.7;0.8
8;11;1997;27.9;21.7;6.2;6.0;0.3;;2.2;3.9;13.4;2.4;;4.6;5.9;0.3;0.5;2.6;3.8;1.2;3.9;12.3;7.9;11.3;5.5;1.9;5.1;0.6
9;11;1998;28.8;22.4;6.4;7.3;0.3;;2.8;4.8;13.1;1.8;;5.1;5.8;0.2;0.3;2.4;3.4;1.8;3.6;12.5;8.4;11.9;5.3;1.4;5.1;0.6
