ID;Landen;Perioden;BbpTotaal_1;BbpPerHoofdVanDeBevolking_2;ExportVanGoederenEnDiensten_3;ExportVanHightechgoederen_4;DirecteBuitenlandseInvesteringen_5;ToegevoegdeWaardeInDeDienstensector_6;Bevolkingsomvang_7
0;België;1990;202563.0;18940.0;67.0;;8047.0;67.0;10.0
1;België;1991;207673.0;20190.0;66.0;;9363.0;69.0;10.0
2;België;1992;231616.0;22720.0;64.0;;11286.0;69.0;10.0
3;België;1993;221692.0;22960.0;61.0;;10750.0;70.0;10.1
4;België;1994;241582.0;24610.0;64.0;;8514.0;70.0;10.1
5;België;1995;284142.0;26550.0;65.0;;10689.0;70.0;10.1
6;België;1996;275433.0;28050.0;66.0;;14064.0;70.0;10.2
7;België;1997;249438.0;27940.0;70.0;;11998.0;70.0;10.2
8;België;1998;255268.0;26000.0;70.0;;22690.0;71.0;10.2
9;België;1999;254175.0;25530.0;70.0;9.0;142703.0;72.0;10.2
10;België;2000;232371.0;25400.0;78.0;10.0;214941.0;72.0;10.3
11;België;2001;232155.0;23900.0;78.0;11.0;73635.0;73.0;10.3
12;België;2002;252452.0;23400.0;77.0;8.0;18081.0;73.0;10.3
13;België;2003;311192.0;26350.0;74.0;9.0;34544.0;74.0;10.4
14;België;2004;361110.0;31980.0;77.0;8.0;44415.0;74.0;10.4
15;België;2005;376617.0;36530.0;80.0;9.0;34040.0;75.0;10.5
16;België;2006;399114.0;38780.0;82.0;8.0;56744.0;75.0;10.5
17;België;2007;458620.0;41360.0;83.0;7.0;120626.0;75.0;10.6
18;België;2008;505374.0;44720.0;86.0;8.0;106093.0;76.0;10.7
19;België;2009;471161.0;45270.0;73.0;;-38860.0;78.0;10.8
20;Bulgarije;1990;20726.0;2260.0;33.0;;4.0;34.0;8.7
21;Bulgarije;1991;10944.0;1620.0;43.0;;56.0;39.0;8.6
22;Bulgarije;1992;10372.0;1430.0;47.0;;42.0;44.0;8.5
23;Bulgarije;1993;10832.0;1250.0;38.0;;40.0;52.0;8.5
24;Bulgarije;1994;9705.0;1250.0;45.0;;105.0;52.0;8.4
25;Bulgarije;1995;13069.0;1360.0;52.0;;90.0;56.0;8.4
26;Bulgarije;1996;8890.0;1160.0;59.0;4.0;109.0;61.0;8.4
27;Bulgarije;1997;10053.0;1170.0;59.0;4.0;505.0;47.0;8.3
28;Bulgarije;1998;13061.0;1240.0;59.0;3.0;537.0;54.0;8.3
29;Bulgarije;1999;13228.0;1450.0;56.0;3.0;819.0;59.0;8.2
30;Bulgarije;2000;12904.0;1640.0;50.0;3.0;1002.0;61.0;8.1
31;Bulgarije;2001;13869.0;1760.0;49.0;3.0;813.0;60.0;7.9
32;Bulgarije;2002;15979.0;1900.0;47.0;4.0;905.0;61.0;7.9
33;Bulgarije;2003;20668.0;2300.0;49.0;4.0;2097.0;61.0;7.8
34;Bulgarije;2004;25283.0;2960.0;52.0;4.0;2662.0;62.0;7.8
35;Bulgarije;2005;28895.0;3640.0;41.0;5.0;4312.0;62.0;7.7
36;Bulgarije;2006;33209.0;4080.0;61.0;6.0;7758.0;62.0;7.7
37;Bulgarije;2007;42114.0;4530.0;59.0;6.0;13215.0;62.0;7.7
38;Bulgarije;2008;51825.0;5700.0;58.0;7.0;9205.0;63.0;7.6
39;Bulgarije;2009;48722.0;6060.0;48.0;;4595.0;64.0;7.6
40;Cyprus;1990;5590.0;9520.0;52.0;6.0;127.0;67.0;0.7
41;Cyprus;1991;5769.0;9670.0;47.0;5.0;82.0;67.0;0.7
42;Cyprus;1992;6914.0;11230.0;49.0;5.0;107.0;69.0;0.7
43;Cyprus;1993;6589.0;11190.0;47.0;4.0;83.0;70.0;0.7
44;Cyprus;1994;7428.0;11900.0;48.0;4.0;75.0;72.0;0.7
45;Cyprus;1995;9254.0;12720.0;50.0;5.0;243.0;72.0;0.7
46;Cyprus;1996;9350.0;13600.0;51.0;6.0;234.0;73.0;0.7
47;Cyprus;1997;8903.0;13690.0;52.0;4.0;547.0;75.0;0.8
48;Cyprus;1998;9556.0;14770.0;50.0;4.0;345.0;75.0;0.8
49;Cyprus;1999;9780.0;13630.0;52.0;4.0;813.0;76.0;0.8
50;Cyprus;2000;9317.0;13440.0;55.0;2.0;855.0;77.0;0.8
51;Cyprus;2001;9678.0;13410.0;56.0;3.0;945.0;78.0;0.8
52;Cyprus;2002;10558.0;13590.0;51.0;3.0;1103.0;77.0;0.8
53;Cyprus;2003;13324.0;15480.0;47.0;5.0;908.0;77.0;0.8
54;Cyprus;2004;15823.0;18410.0;48.0;9.0;1119.0;77.0;0.8
55;Cyprus;2005;16996.0;21490.0;48.0;18.0;1162.0;78.0;0.8
56;Cyprus;2006;18424.0;22890.0;48.0;24.0;1871.0;79.0;0.8
57;Cyprus;2007;21447.0;24430.0;49.0;31.0;2295.0;79.0;0.9
58;Cyprus;2008;24910.0;26940.0;47.0;32.0;3854.0;78.0;0.9
59;Cyprus;2009;;;;;5908.0;;0.9
60;Denemarken;1990;135838.0;24120.0;37.0;15.0;1132.0;70.0;5.1
61;Denemarken;1991;136694.0;25290.0;39.0;15.0;1553.0;71.0;5.2
62;Denemarken;1992;150195.0;28450.0;38.0;14.0;1017.0;71.0;5.2
63;Denemarken;1993;140627.0;28300.0;37.0;15.0;1713.0;72.0;5.2
64;Denemarken;1994;153593.0;30090.0;38.0;16.0;5006.0;72.0;5.2
65;Denemarken;1995;181984.0;32310.0;38.0;15.0;4139.0;71.0;5.2
66;Denemarken;1996;184436.0;34430.0;38.0;16.0;773.0;71.0;5.3
67;Denemarken;1997;170435.0;34670.0;39.0;18.0;2792.0;71.0;5.3
68;Denemarken;1998;173653.0;32960.0;38.0;18.0;6675.0;72.0;5.3
69;Denemarken;1999;173945.0;32400.0;41.0;19.0;16848.0;72.0;5.3
70;Denemarken;2000;160083.0;31850.0;47.0;21.0;36013.0;71.0;5.3
71;Denemarken;2001;160476.0;30640.0;47.0;20.0;9286.0;71.0;5.4
