ID;Periods;TheValueOfSharesOnTheTotalMarket_1;TheValueOfSharesOnTheOffMarket_2;TotalCompaniesExchangeValue_3;Internationals_4;TotalLocalInstitutions_5;FinancialInstitutions_6;NonFinancialInstitutions_7;Mining_8;ManufacturingOfConsumerGoods_9;ManufacturingOfCapitalGoods_10;ManufacturingOfBasicGoods_11;ConstructionAndInstallation_12;TransportStorageAndCommunication_13;NonFinancialServices_14;Trade_15;BankingFinancialActivities_16;Insurance_17;ExchangeValueOfMutualFunds_18;TheShareMarketValueOfPropertyFunds_19;TheShareMarketOfOtherFunds_20;TheShareMarketValueOnTheNewMarket_21
0;1983 December;49646.0;49646.0;39306;25769.0;13537.0;6735.0;6802.0;16765.0;6213.0;4084.0;2260.0;412.0;1037.0;857.0;944.0;3097.0;3638.0;7660.0;1308.0;1372.0;
1;1984 January;;;45424;;;;;;;;;;;;;;;;;;
2;1984 February;;;42267;;;;;;;;;;;;;;;;;;
3;1984 March;;;42367;;;;;;;;;;;;;;;;;;
4;1984 April;;;42292;;;;;;;;;;;;;;;;;;
5;1984 May;;;40192;;;;;;;;;;;;;;;;;;
6;1984 June;;;41088;;;;;;;;;;;;;;;;;;
7;1984 July;;;39347;;;;;;;;;;;;;;;;;;
8;1984 August;;;44758;;;;;;;;;;;;;;;;;;
9;1984 September;;;48404;;;;;;;;;;;;;;;;;;
10;1984 October;;;48300;;;;;;;;;;;;;;;;;;
11;1984 November;;;47919;;;;;;;;;;;;;;;;;;
12;1984 December;61061.0;61061.0;49262;33199.0;16063.0;8098.0;7965.0;20885.0;7246.0;6402.0;2758.0;301.0;1373.0;1149.0;1049.0;3111.0;4987.0;8440.0;1718.0;1642.0;
13;1985 January;;;53629;;;;;;;;;;;;;;;;;;
14;1985 February;;;55570;;;;;;;;;;;;;;;;;;
15;1985 March;;;55814;;;;;;;;;;;;;;;;;;
16;1985 April;;;58102;;;;;;;;;;;;;;;;;;
17;1985 May;;;56946;;;;;;;;;;;;;;;;;;
18;1985 June;;;57463;;;;;;;;;;;;;;;;;;
19;1985 July;;;57844;;;;;;;;;;;;;;;;;;
20;1985 August;;;58912;;;;;;;;;;;;;;;;;;
21;1985 September;;;57117;;;;;;;;;;;;;;;;;;
22;1985 October;;;59206;;;;;;;;;;;;;;;;;;
23;1985 November;;;62146;;;;;;;;;;;;;;;;;;
24;1985 December;79965.0;79965.0;64940;36858.0;28082.0;14461.0;13621.0;21251.0;10428.0;7661.0;4882.0;447.0;1687.0;2122.0;2001.0;5780.0;8681.0;10713.0;2213.0;2100.0;
25;1986 January;;;63116;;;;;;;;;;;;;;;;;;
26;1986 February;;;61153;;;;;;;;;;;;;;;;;;
27;1986 March;;;67164;;;;;;;;;;;;;;;;;;
28;1986 April;;;67706;;;;;;;;;;;;;;;;;;
29;1986 May;;;71104;;;;;;;;;;;;;;;;;;
30;1986 June;;;70487;;;;;;;;;;;;;;;;;;
31;1986 July;;;67674;;;;;;;;;;;;;;;;;;
32;1986 August;;;73013;;;;;;;;;;;;;;;;;;
33;1986 September;;;70027;;;;;;;;;;;;;;;;;;
34;1986 October;;;69888;;;;;;;;;;;;;;;;;;
35;1986 November;;;71893;;;;;;;;;;;;;;;;;;
36;1986 December;88012.0;88012.0;70933;40841.0;30092.0;13130.0;16962.0;25470.0;12779.0;5922.0;5578.0;437.0;1572.0;3063.0;2982.0;5696.0;7434.0;12158.0;2554.0;2367.0;
37;1987 January;;;69396;;;;;;;;;;;;;;;;;;
