ID;Perioden;TotaalTerZittingGebracht_1;Arbeidszaken_2;VorderingenInHuurzaken_3;OverigeVorderingenInHuurzaken_4;OverigeZaken_5;NietVoorHogerBeroepVatbaar_6;TotaalBeeindigdeZaken_7;TotaalBijEindvonnisAfgedaan_8;EindvonnisAfgedaneArbeidszaken_9;EindvonnissenInVoorlopigeVoorziening_10;OverigeEindvonnissen_11;AndersBeeindigdeZaken_12;GewezenIncidenteleVonnissen_13;TotaalIngediend_14;Huurzaken_15;ArbeidszakenExArt7685BW_16;OverigeZaken_17;TotaalEindbeschikkingen_18;Huurzaken_19;ArbeidszakenExArt7685BW_20;TotaalFamiliezaken_21;MBTRegelingOuderlijkGezagVoogdij_22;MBTInstellingOpheffing_23;OverigeFamiliezaken_24;OverigeEindbeschikkingen_25;TotaalTerZittingGebracht_26;KortGedingen_27;OverigeZaken_28;TotaalAfgedaanBijEindvonnis_29;KortGedingen_30;OverigeZaken_31;TotaalIngediend_32;Echtscheidingsverzoeken_33;OndertoezichtstellingVanMinderjarigen_34;GezagOverMinderjarigen_35;AdoptieEnHerroepingAdoptie_36;VerzoekenTotFaillietverklaring_37;OverigIngediend_38;TotaalAfgedaan_39;Echtscheidingsverzoeken_40;OndertoezichtstellingVanMinderjarigen_41;GezagOverMinderjarigen_42;AdoptieEnHerroepingAdoptie_43;VerzoekenTotFaillietverklaring_44;OverigAfgedaan_45;Op1JanuariAanhangig_46;InDeLoopVanDePeriodeIngediend_47;TotaalBeeindigd_48;Contradictoir_49;Verstek_50;OpAndereWijzeBeeindigd_51;Op31DecemberAanhangig_52;Op1JanuariAanhangig_53;InDeLoopVanDePeriodeIngediend_54;TotaalBeeindigd_55;BijBeschikking_56;OpAndereWijze_57;Op31DecemberAanhangig_58;Op1JanuariAanhangig_59;InDeLoopVanDePeriodeIngediend_60;TotaalBeeindigd_61;Contradictoir_62;Verstek_63;OpAndereWijzeBeeindigd_64;Op31DecemberAanhangig_65;Op1JanuariAanhangig_66;InDeLoopVanDePeriodeIngediend_67;TotaalBeeindigd_68;BijBeschikking_69;OpAndereWijze_70;Op31DecemberAanhangig_71;Op1JanuariAanhangig_72;InDeLoopVanDePeriodeIngediend_73;TotaalBeeindigd_74;Contradictoir_75;Verstek_76;OpAndereWijzeBeeindigd_77;Op31DecemberAanhangig_78;Op1JanuariAanhangig_79;InDeLoopVanDePeriodeIngediend_80;TotaalBeeindigd_81;BijBeschikking_82;OpAndereWijze_83;Op31DecemberAanhangig_84;Op1JanuariAanhangig_85;InDeLoopVanDePeriodeIngediend_86;TotaalBeeindigd_87;Contradictoir_88;Verstek_89;OpAndereWijzeBeeindigd_90;Op31DecemberAanhangig_91;Op1JanuariAanhangig_92;InDeLoopVanDePeriodeIngediend_93;TotaalBeeindigd_94;BijBeschikking_95;OpAndereWijze_96;Op31DecemberAanhangig_97;Op1JanuariAanhangig_98;InDeLoopVanDePeriodeIngediend_99;TotaalBeeindigd_100;Contradictoir_101;Verstek_102;OpAndereWijzeBeeindigd_103;Op31DecemberAanhangig_104;Op1JanuariAanhangig_105;InDeLoopVanDePeriodeIngediend_106;TotaalBeeindigd_107;BijBeschikking_108;OpAndereWijze_109;Op31DecemberAanhangig_110;Op1JanuariAanhangig_111;InDeLoopVanDePeriodeIngediend_112;TotaalBeeindigd_113;Contradictoir_114;Verstek_115;OpAndereWijzeBeeindigd_116;Op31DecemberAanhangig_117;Op1JanuariAanhangig_118;InDeLoopVanDePeriodeIngediend_119;TotaalBeeindigd_120;BijBeschikking_121;OpAndereWijze_122;Op31DecemberAanhangig_123;Op1JanuariAanhangig_124;Ingediend_125;EindarrestEindbeschikking_126;OpAndereWijze_127;Op31DecemberAanhangig_128;Op1JanuariAanhangig_129;Ingediend_130;EindarrestEindbeschikking_131;OpAndereWijze_132;Op31DecemberAanhangig_133
0;1997;232.4;13.8;43.2;15.7;159.7;139.3;233.9;219.7;7.4;8.0;204.3;14.2;23.3;149.3;2.6;38.1;108.6;144.0;2.2;35.0;77.4;12.3;8.2;56.9;29.4;52.0;14.7;37.3;35.3;9.2;26.1;103.8;35.4;5.5;3.1;1.0;11.3;47.5;92.3;35.3;5.7;2.9;1.1;5.5;41.8;9138;5559;3281;3232;49;1500;9916;1754;3706;3402;2906;496;2058;1395;1201;722;702;20;287;1587;285;757;646;504;142;396;961;866;513;505;8;215;1099;212;604;576;489;87;240;3512;1439;786;774;12;527;3628;489;877;851;666;185;515;2500;1549;947;944;3;329;2773;612;1109;974;936;38;747;842;504;313;307;6;142;819;156;359;355;311;44;160;375;340;290;32;393;99;191;141;9;140
1;1998;234.6;13.5;42.4;15.9;162.8;144.8;238.1;226.4;7.9;7.8;210.7;11.7;22.7;151.7;2.8;39.9;109.0;144.6;2.0;37.6;85.0;15.8;9.3;59.9;20.0;52.6;14.6;38.0;35.2;9.3;25.9;106.0;35.7;5.4;3.1;1.1;10.7;50.0;92.7;34.7;5.2;2.8;1.0;5.0;44.0;9916;5325;3254;3193;61;1530;10457;2048;3538;3533;3015;518;2053;1587;1160;722;702;20;353;1672;395;707;721;599;122;381;1099;874;567;550;17;208;1198;231;634;594;502;92;271;3638;1467;812;797;15;537;3756;515;890;948;755;193;457;2773;1387;913;908;5;293;2954;747;950;935;877;58;762;819;437;240;236;4;139;877;160;357;335;282;53;182;393;386;240;29;510;140;179;157;1;161
2;1999;251.7;13.4;45.5;20.2;172.6;163.1;251.3;241.2;7.5;8.5;225.2;10.1;22.5;145.9;2.5;31.6;111.8;134.3;1.9;28.5;91.0;19.6;8.9;62.5;12.9;41.2;11.6;29.6;31.2;9.3;22.0;111.9;36.7;6.1;3.2;1.0;9.2;55.7;96.0;35.1;5.8;2.8;1.1;4.0;47.2;10448;5252;3265;3209;56;1583;10852;2053;3838;3640;3243;397;2251;1672;1109;781;755;26;297;1703;381;758;750;629;121;389;1189;921;624;616;8;236;1250;271;697;713;602;111;255;3756;1346;720;708;12;612;3770;457;886;896;830;66;447;2954;1360;878;872;6;296;3140;762;1159;902;846;56;1019;877;516;262;258;4;142;989;182;338;379;336;43;141;510;376;268;36;582;161;218;182;10;187
3;2000;255.1;14.2;43.0;18.8;179.1;163.1;245.9;235.4;7.2;8.8;219.4;10.5;24.2;151.6;2.2;34.4;115.0;129.1;1.8;31.1;89.7;23.2;9.9;56.6;6.5;42.0;11.2;30.7;30.2;9.2;21.0;118.1;38.0;6.0;2.9;1.1;9.3;60.8;100.5;35.8;5.9;2.6;1.1;4.6;50.5;10852;5174;3171;3118;53;1458;11397;2251;3837;3508;3075;433;2580;1703;1183;751;720;31;293;1842;389;770;776;684;92;383;1250;827;537;534;3;266;1274;255;720;685;619;66;290;3770;1338;762;750;12;490;3856;447;923;748;662;86;622;3140;1385;813;810;3;276;3436;1019;1032;947;784;163;1104;989;441;308;304;4;133;989;141;392;352;326;26;181;582;350;265;38;629;187;172;213;13;133
