ID;Periode;Totaal_1;Vetgehalte_2;Eiwitgehalte_3;Room_4;Totaal_5;Vol_6;Halfvol_7;MagerInclKarnemelk_8;Boter_9;Totaal_10;Volvet_11;k_303540_12;k_20EnMinder_13;Kwark_14;Totaal_15;NietMager_16;Mager_17;Totaal_18;MetSuiker_19;ZonderSuiker_20;Koffiemelk_21;Totaal_22;SuikerarmEnOfOntzout_23;NietVerderVerwerkt_24
0;1995 Januari;911673;4.58;3.54;2153;132787;43754;55731;33302;14385;58074;45771;12131;173;819;13201;9247;3954;29399;7016;15567;6816;25270;12210;13060
1;1995 Februari;837614;4.52;3.48;2318;123293;40461;51014;31818;12267;53422;42178;11088;157;893;10957;8347;2610;28296;7709;14697;5890;24669;12220;12449
2;1995 Maart;940080;4.51;3.46;2888;136125;44354;56683;35088;12703;59802;45889;13700;213;1041;13824;11083;2742;31104;8169;15806;7130;27245;12732;14513
3;1995 April;935334;4.5;3.44;3403;132168;43930;57018;31220;12706;57399;43638;13523;239;1036;14753;12191;2563;30829;7120;16901;6808;26746;12668;14078
4;1995 Mei;985105;4.34;3.45;3199;136978;43117;58218;35643;11983;59329;45808;13307;213;997;17877;13526;4351;31919;6979;17813;7127;26828;12441;14387
5;1995 Juni;922880;4.26;3.45;2915;133752;42190;55825;35737;10979;54078;41474;12420;183;924;16663;13017;3646;31016;7669;17575;5771;25116;13038;12078
6;1995 Juli;936755;4.17;3.39;2635;135519;39984;54314;41221;11347;54379;41998;12226;155;900;13779;10266;3513;29878;8522;15420;5936;24380;13174;11206
7;1995 Augustus;910401;4.14;3.37;2350;142317;42560;58699;41058;9482;55860;42687;13022;151;1029;11976;9550;2426;29166;5852;17072;6241;26988;12498;14490
8;1995 September;848163;4.3;3.46;2592;135667;43041;58368;34258;8814;55540;42100;13255;186;911;8991;6831;2160;30016;6794;16842;6380;24379;11290;13089
9;1995 Oktober;869097;4.39;3.55;2683;138915;44555;59987;34373;8756;59212;45160;13859;193;959;9647;8358;1289;27017;8110;12113;6794;27390;12183;15207
10;1995 November;839262;4.49;3.59;2663;133372;43464;58348;31560;8613;57993;44419;13385;189;939;9294;7983;1311;26886;7055;13262;6569;25444;11522;13922
11;1995 December;874602;4.62;3.58;3651;127979;41713;57974;28292;10310;57845;44013;13650;182;911;12990;11456;1534;27596;5699;14237;7659;24423;11551;12872
12;1995;10810967;4.4;3.48;33452;1608876;513124;682181;413571;132344;682933;525135;155564;2234;11358;153953;121855;32097;353122;86695;187306;79121;308877;147526;161351
13;1996 Januari;879467;4.64;3.55;2030;132518;42289;58523;31706;11480;58476;45246;13055;175;896;11388;8993;2395;27258;7285;13468;6506;26149;11850;14299
14;1996 Februari;816361;4.63;3.52;2328;127462;40695;56505;30262;10764;55326;43805;11359;162;909;10191;9067;1125;28362;7160;15719;5484;25560;12049;13511
15;1996 Maart;865437;4.58;3.47;2840;137483;42998;60240;34245;11596;59032;46103;12713;215;1089;10722;9242;1480;28269;6681;14811;6777;26197;12444;13753
16;1996 April;919558;4.53;3.41;2755;132731;40045;57826;34860;13261;56763;43900;12629;234;1096;13840;10877;2963;25986;5857;14493;5635;26431;12375;14056
17;1996 Mei;978972;4.42;3.4;3010;134109;40190;58523;35396;14007;58804;45713;12879;211;1120;17580;13030;4550;29053;6568;16359;6127;25029;12757;12272
18;1996 Juni;935022;4.25;3.42;2639;135246;38122;56613;40511;11198;54955;42307;12465;183;1071;15229;11910;3319;29962;8144;15637;6181;25462;12519;12943
19;1996 Juli;963807;4.19;3.42;2030;125500;37936;52260;35304;12649;56140;42879;13049;213;1016;17761;12738;5022;26918;5151;16007;5760;26781;13827;12954
