ID;Sex;Age;LevelOfEducation;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;TemporaryEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;PartTime_11;LessThan20WorkingHoursAWeek_12;LessThan12WorkingHoursAWeek_13;k_12To19WorkingHoursAWeek_14;k_20To34WorkingHoursAWeek_15;k_20To27WorkingHoursAWeek_16;k_28To34WorkingHoursAWeek_17;FullTime_18;UnemployedLabourForce_19;UnemploymentRate_20;NotInTheLabourForce_21;GrossLabourParticipationRate_22;NetLabourParticipationRate_23
0;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2012;17490;12600;11940;10400;8500;1900;1550;950;540;70;1960;500;250;250;1460;800;650;9990;660;5.2;4890;72.0;68.3
1;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2014;19220;13980;13060;11560;9580;1990;1500;920;510;70;1860;380;240;140;1480;950;540;11200;910;6.5;5250;72.7;67.9
2;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2016;19320;14220;13290;11470;9380;2100;1820;980;740;90;1990;550;400;150;1440;820;630;11300;930;6.5;5100;73.6;68.8
3;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2018;19760;14750;14270;12150;9790;2360;2110;1190;870;60;2690;680;410;260;2020;1210;810;11550;480;3.3;5020;74.6;72.2
4;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2020;20400;14960;14330;11790;9590;2200;2550;1510;940;100;2420;630;330;290;1790;840;950;11920;630;4.2;5450;73.3;70.2
5;Total male and female;15 to 74 years;Total;Caribbean Netherlands;2022;21710;16160;15670;12920;10700;2230;2740;1450;1000;300;2700;700;420;270;2000;1020;970;12960;490;3.0;5550;74.4;72.2
6;Total male and female;15 to 74 years;Total;Bonaire;2012;12860;9360;8810;7740;6340;1400;1070;670;380;20;1260;290;100;190;970;600;370;7550;550;5.8;3500;72.8;68.5
7;Total male and female;15 to 74 years;Total;Bonaire;2014;14460;10640;9960;8840;7150;1690;1120;690;370;60;1400;300;180;120;1100;700;410;8560;680;6.4;3820;73.6;68.9
8;Total male and female;15 to 74 years;Total;Bonaire;2016;15300;11480;10700;9240;7590;1660;1460;770;620;70;1480;400;270;130;1080;620;460;9230;770;6.7;3830;75.0;69.9
9;Total male and female;15 to 74 years;Total;Bonaire;2018;15390;11610;11240;9530;7690;1840;1720;970;710;40;2210;570;340;230;1630;1010;620;9020;370;3.2;3780;75.4;73.1
10;Total male and female;15 to 74 years;Total;Bonaire;2020;16450;12040;11490;9360;7510;1850;2130;1240;820;80;1920;510;250;260;1410;640;760;9570;550;4.6;4410;73.2;69.8
11;Total male and female;15 to 74 years;Total;Bonaire;2022;17710;13240;12840;10510;8580;1920;2340;1200;850;290;2330;620;370;250;1710;920;800;10500;390;3.0;4480;74.7;72.5
12;Total male and female;15 to 74 years;Total;St. Eustatius;2012;2980;2160;2090;1760;1440;320;330;200;90;40;490;150;120;30;340;120;220;1610;70;3.2;820;72.4;70.1
13;Total male and female;15 to 74 years;Total;St. Eustatius;2014;3250;2420;2200;1970;1810;170;230;140;80;10;270;30;30;10;240;160;80;1930;210;8.8;840;74.3;67.8
14;Total male and female;15 to 74 years;Total;St. Eustatius;2016;2430;1730;1610;1380;1150;230;230;120;110;10;300;100;90;10;200;100;100;1310;120;7.1;700;71.2;66.2
15;Total male and female;15 to 74 years;Total;St. Eustatius;2018;2600;1940;1860;1630;1370;270;230;110;110;10;210;40;30;10;170;80;90;1650;80;4.3;660;74.7;71.5
16;Total male and female;15 to 74 years;Total;St. Eustatius;2020;2420;1760;1720;1490;1390;90;230;140;70;20;220;20;20;0;190;90;110;1500;40;2.3;660;72.6;71.0
17;Total male and female;15 to 74 years;Total;St. Eustatius;2022;2480;1880;1810;1550;1380;170;260;160;100;0;230;60;40;30;170;60;100;1580;70;3.9;600;75.8;72.9
18;Total male and female;15 to 74 years;Total;Saba;2012;1650;1080;1040;890;720;180;150;80;60;10;210;60;40;30;150;90;70;830;40;3.9;570;65.6;63.1
19;Total male and female;15 to 74 years;Total;Saba;2014;1520;920;900;750;620;140;150;90;60;10;190;60;40;20;140;90;50;710;20;2.5;590;60.8;59.3
20;Total male and female;15 to 74 years;Total;Saba;2016;1580;1010;970;850;640;210;120;90;20;10;210;50;40;10;160;90;70;760;30;3.3;580;63.7;61.6
21;Total male and female;15 to 74 years;Total;Saba;2018;1770;1200;1170;990;740;260;170;110;50;10;280;60;50;20;220;120;100;880;30;2.4;580;67.4;65.8
22;Total male and female;15 to 74 years;Total;Saba;2020;1540;1170;1130;950;690;250;180;130;50;10;290;100;70;30;190;110;80;840;40;3.1;370;75.8;73.4
23;Total male and female;15 to 74 years;Total;Saba;2022;1510;1040;1010;870;740;140;140;90;40;10;140;20;20;0;120;40;70;880;30;2.5;470;68.7;67.0
24;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2012;10200;6930;6530;5800;4720;1080;730;460;260;10;1010;340;180;160;670;380;300;5520;400;5.8;3270;67.9;64.0
25;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2014;10180;7290;6720;6110;5210;890;610;420;190;10;910;210;100;100;710;480;230;5810;570;7.8;2900;71.6;66.0
26;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2016;9820;6450;5830;5180;4250;930;650;390;250;20;970;310;200;110;660;400;250;4860;620;9.6;3380;65.6;59.3
27;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2018;9750;6980;6650;5770;4790;980;880;540;320;20;1220;270;170;90;960;580;370;5410;330;4.7;2780;71.5;68.2
28;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2020;10530;7170;6810;5630;4640;990;1180;670;450;70;1090;310;180;140;780;390;380;5730;360;5.0;3360;68.1;64.7
29;Total male and female;15 to 74 years;1 Lower education;Caribbean Netherlands;2022;11020;7710;7410;6360;5300;1060;1050;590;340;120;1170;330;200;130;840;420;430;6230;310;4.0;3310;70.0;67.2
30;Total male and female;15 to 74 years;1 Lower education;Bonaire;2012;7630;5120;4790;4290;3460;830;500;320;190;0;560;160;30;130;400;240;160;4230;330;6.5;2510;67.1;62.8
31;Total male and female;15 to 74 years;1 Lower education;Bonaire;2014;7780;5590;5170;4730;3940;800;440;310;130;0;610;140;60;80;470;330;130;4560;420;7.5;2190;71.9;66.5
32;Total male and female;15 to 74 years;1 Lower education;Bonaire;2016;7560;4930;4440;4000;3300;700;440;260;170;10;690;200;110;100;480;300;180;3750;490;9.9;2630;65.3;58.8
33;Total male and female;15 to 74 years;1 Lower education;Bonaire;2018;7650;5470;5200;4520;3780;740;680;440;230;10;990;210;140;80;770;490;290;4200;270;4.8;2180;71.5;68.0
34;Total male and female;15 to 74 years;1 Lower education;Bonaire;2020;8290;5610;5310;4310;3460;850;1000;550;410;50;830;250;120;130;570;280;290;4480;310;5.5;2680;67.7;64.0
35;Total male and female;15 to 74 years;1 Lower education;Bonaire;2022;8950;6250;6000;5160;4240;920;840;460;270;110;990;280;170;110;710;360;350;5010;250;4.0;2700;69.9;67.0
36;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2012;1740;1230;1180;1020;860;160;170;110;50;10;310;130;110;20;180;70;110;870;50;3.7;520;70.3;67.8
37;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2014;1890;1320;1180;1070;1030;40;110;70;40;10;190;20;20;10;180;110;70;990;140;10.4;580;69.6;62.3
38;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2016;1580;1060;960;810;670;140;160;80;70;0;190;90;70;10;100;50;50;780;100;9.5;520;67.1;60.7
39;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2018;1450;1040;990;880;730;150;120;50;70;0;100;20;10;0;90;30;50;890;50;4.6;410;71.6;68.3
40;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2020;1630;1100;1070;950;890;60;120;80;30;20;140;20;20;0;120;60;60;930;30;2.7;530;67.4;65.6
41;Total male and female;15 to 74 years;1 Lower education;St. Eustatius;2022;1530;1090;1040;890;790;100;150;90;60;0;130;40;20;20;90;30;60;910;40;4.0;440;71.0;68.1
42;Total male and female;15 to 74 years;1 Lower education;Saba;2012;830;590;560;500;400;100;60;40;20;0;140;50;30;20;90;60;30;420;30;4.6;240;70.6;67.4
43;Total male and female;15 to 74 years;1 Lower education;Saba;2014;520;380;370;310;250;60;60;50;10;0;110;40;30;20;70;40;30;260;10;3.4;130;74.2;71.7
44;Total male and female;15 to 74 years;1 Lower education;Saba;2016;680;450;430;370;290;80;60;50;10;0;100;20;20;10;70;50;30;330;30;5.8;230;66.0;62.4
45;Total male and female;15 to 74 years;1 Lower education;Saba;2018;650;470;460;370;280;90;80;50;30;10;140;40;20;20;100;60;40;320;10;3.0;180;71.8;69.7
46;Total male and female;15 to 74 years;1 Lower education;Saba;2020;610;460;430;380;290;80;60;40;10;0;120;40;40;0;90;50;40;310;30;5.5;150;74.8;70.9
47;Total male and female;15 to 74 years;1 Lower education;Saba;2022;550;380;370;310;270;40;50;40;10;10;50;10;10;0;40;20;20;310;10;2.9;170;69.0;67.0
48;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2012;4160;3270;3080;2660;2210;450;420;230;150;30;570;70;40;30;500;290;220;2510;190;5.8;900;78.5;73.9
49;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2014;5070;3810;3580;3120;2500;630;450;270;140;40;570;140;100;40;430;270;160;3010;240;6.2;1260;75.2;70.5
50;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2016;5440;4380;4150;3450;2810;650;690;360;320;10;540;160;120;30;390;240;140;3600;230;5.3;1060;80.5;76.3
51;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2018;6400;5110;5030;4330;3400;930;700;430;270;0;1020;300;180;120;720;430;280;4010;80;1.5;1300;79.8;78.6
52;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2020;6000;4680;4520;3920;3150;780;600;340;240;20;690;130;80;50;560;280;290;3830;160;3.4;1320;78.0;75.3
53;Total male and female;15 to 74 years;2 Intermediate education;Caribbean Netherlands;2022;6200;4860;4720;3820;3200;620;900;410;380;110;880;240;130;100;640;370;280;3830;140;2.8;1350;78.3;76.1
54;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2012;3170;2490;2320;2050;1700;360;270;170;100;10;440;40;30;10;400;260;140;1880;170;6.8;670;78.7;73.4
55;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2014;3840;2810;2660;2310;1790;530;350;210;100;40;480;120;90;40;350;210;140;2190;150;5.3;1030;73.3;69.4
56;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2016;4750;3820;3610;2980;2420;570;630;310;300;10;440;140;110;30;300;190;110;3170;210;5.5;930;80.4;76.0
57;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2018;5200;4170;4130;3510;2750;770;610;380;240;0;890;280;170;110;610;390;220;3240;40;1.1;1030;80.2;79.4
58;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2020;5100;3960;3820;3330;2640;690;490;270;200;20;590;110;70;50;480;240;240;3230;140;3.5;1140;77.6;74.8
59;Total male and female;15 to 74 years;2 Intermediate education;Bonaire;2022;5250;4100;3980;3200;2660;540;790;330;340;110;800;220;120;100;580;340;240;3160;120;2.9;1160;78.0;75.8
60;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2012;750;570;550;450;380;70;100;40;40;20;90;10;0;10;80;20;60;460;20;2.7;190;75.2;73.2
61;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2014;870;710;640;570;520;60;60;50;20;0;50;10;10;0;40;40;0;580;80;10.7;160;81.9;73.2
62;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2016;380;310;290;250;210;40;30;20;10;0;40;0;0;0;40;20;20;250;20;7.2;70;80.6;74.8
63;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2018;760;570;540;480;410;70;60;30;30;0;60;10;0;10;50;20;30;480;30;5.0;200;74.0;70.4
64;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2020;480;380;380;320;300;20;60;40;20;0;30;0;0;0;30;10;30;340;10;2.3;90;80.7;78.8
65;Total male and female;15 to 74 years;2 Intermediate education;St. Eustatius;2022;540;440;420;360;310;40;70;40;30;0;40;10;10;0;30;20;10;380;10;3.2;110;80.6;78.0
66;Total male and female;15 to 74 years;2 Intermediate education;Saba;2012;240;210;200;160;140;30;40;30;10;0;30;10;0;10;20;10;20;170;0;1.9;40;85.5;83.5
67;Total male and female;15 to 74 years;2 Intermediate education;Saba;2014;370;290;280;240;200;40;40;20;20;0;40;10;10;0;30;20;10;240;10;3.1;80;78.9;76.4
68;Total male and female;15 to 74 years;2 Intermediate education;Saba;2016;310;250;250;220;180;40;30;20;10;0;70;20;20;0;50;30;20;180;0;0.0;60;82.0;82.0
69;Total male and female;15 to 74 years;2 Intermediate education;Saba;2018;440;370;360;340;240;90;30;20;10;0;70;10;10;0;60;30;30;290;10;1.4;70;83.7;82.5
70;Total male and female;15 to 74 years;2 Intermediate education;Saba;2020;420;340;330;280;210;70;50;30;20;0;70;20;10;10;50;40;20;260;10;2.4;90;79.6;77.5
71;Total male and female;15 to 74 years;2 Intermediate education;Saba;2022;410;320;320;270;230;40;50;40;10;0;30;0;0;0;30;10;20;280;10;1.9;80;79.1;77.8
72;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2012;3100;2390;2330;1920;1550;370;410;250;130;20;380;100;40;60;280;140;140;1950;60;2.7;710;77.2;75.1
73;Total male and female;15 to 74 years;3 Higher education;Caribbean Netherlands;2014;3440;2590;2490;2100;1690;420;390;220;140;20;360;30;30;0;330;180;150;2140;100;3.7;860;75.1;72.4
