ID;RegioS;Perioden;GeenKerkelijkeGezindte_1;TotaalKerkelijkeGezindte_2;RoomsKatholiek_3;ProtestantseKerkInNederland_4;NederlandsHervormd_5;Gereformeerd_6;Islam_7;OverigeGezindte_8;EenKeerPerWeekOfVaker_9;TweeTotDrieKeerPerMaand_10;EenKeerPerMaand_11;MinderDanEenKeerPerMaand_12;ZeldenOfNooit_13
0;Nederland;2010;45;55;27;6;8;4;5;5;10;4;4;8;74
1;Nederland;2011;47;53;26;6;7;4;5;5;10;4;3;8;75
2;Nederland;2012;48;52;26;6;7;3;5;5;10;3;3;7;76
3;Nederland;2013;47;53;26;5;7;4;5;6;10;4;3;7;77
4;Nederland;2014;49;51;24;6;7;3;5;6;10;3;3;7;77
5;Nederland;2015;50;50;24;6;6;3;5;6;10;3;3;6;77
6;Noord-Nederland (LD);2010;57;43;7;11;11;8;1;5;11;4;3;5;77
7;Noord-Nederland (LD);2011;57;43;7;11;10;8;2;6;11;5;3;5;77
8;Noord-Nederland (LD);2012;59;42;7;12;10;7;1;5;11;4;3;5;77
9;Noord-Nederland (LD);2013;59;41;8;9;9;8;1;6;10;4;3;5;79
10;Noord-Nederland (LD);2014;62;38;6;11;8;7;2;6;10;4;3;5;79
11;Noord-Nederland (LD);2015;63;37;7;10;7;6;1;6;10;5;2;4;79
12;Oost-Nederland (LD);2010;42;58;24;8;13;5;3;5;13;5;4;8;71
13;Oost-Nederland (LD);2011;45;55;23;7;11;6;3;6;13;4;4;8;72
14;Oost-Nederland (LD);2012;45;55;21;7;12;5;4;6;14;4;3;7;72
15;Oost-Nederland (LD);2013;45;55;22;7;11;5;4;6;13;4;3;7;73
16;Oost-Nederland (LD);2014;47;53;20;7;11;5;4;5;13;4;3;6;74
17;Oost-Nederland (LD);2015;46;54;21;7;11;5;4;6;13;4;3;6;73
18;West-Nederland (LD);2010;53;47;17;6;7;4;6;6;11;4;3;6;77
19;West-Nederland (LD);2011;54;46;17;6;7;4;7;6;11;3;3;6;78
20;West-Nederland (LD);2012;54;46;17;6;7;3;7;6;10;3;3;5;79
21;West-Nederland (LD);2013;53;47;17;5;7;3;7;7;11;3;3;6;78
22;West-Nederland (LD);2014;55;45;16;6;6;3;7;7;11;3;3;6;78
23;West-Nederland (LD);2015;56;44;15;6;6;3;7;7;10;3;3;5;79
24;Zuid-Nederland (LD);2010;28;72;61;2;2;1;4;3;7;4;5;14;71
25;Zuid-Nederland (LD);2011;29;71;60;2;2;1;4;2;7;3;5;13;73
26;Zuid-Nederland (LD);2012;31;69;58;2;2;1;4;3;6;3;4;11;76
27;Zuid-Nederland (LD);2013;30;70;58;2;2;1;5;3;6;3;4;11;76
28;Zuid-Nederland (LD);2014;34;66;55;2;2;1;4;3;6;3;4;11;77
29;Zuid-Nederland (LD);2015;36;64;53;2;2;1;4;3;5;3;4;11;77
30;Groningen (PV);2010;61;39;5;7;9;10;1;6;13;3;2;5;77
31;Groningen (PV);2011;63;37;8;7;7;9;2;5;10;3;2;4;81
32;Groningen (PV);2012;64;36;5;10;7;8;2;4;12;3;2;3;80
33;Groningen (PV);2013;64;36;6;8;7;8;2;6;10;3;2;4;80
34;Groningen (PV);2014;66;34;5;8;6;6;2;6;11;3;2;3;81
35;Groningen (PV);2015;69;31;5;8;5;6;1;6;11;4;2;2;81
36;Friesland (PV);2010;55;45;6;16;10;8;1;4;11;5;4;5;75
37;Friesland (PV);2011;53;48;7;15;10;9;1;6;14;6;4;5;72
38;Friesland (PV);2012;53;47;7;17;10;8;1;4;13;5;3;6;73
39;Friesland (PV);2013;54;46;8;12;9;9;1;6;10;5;4;5;75
40;Friesland (PV);2014;58;42;5;15;7;8;1;5;10;4;3;6;77
41;Friesland (PV);2015;58;42;7;14;6;7;1;7;11;6;3;5;76
42;Drenthe (PV);2010;55;45;9;10;14;6;1;5;9;5;4;5;77
43;Drenthe (PV);2011;55;45;8;10;14;6;1;6;9;5;3;5;79
44;Drenthe (PV);2012;59;41;8;8;14;5;1;6;9;3;3;6;80
45;Drenthe (PV);2013;60;40;10;5;11;7;1;6;9;4;2;5;81
46;Drenthe (PV);2014;61;39;8;8;10;6;1;6;10;4;3;4;79
47;Drenthe (PV);2015;62;38;9;8;11;5;1;4;8;4;3;4;82
48;Overijssel (PV);2010;39;61;26;8;14;6;3;4;13;6;5;8;68
49;Overijssel (PV);2011;42;58;25;7;12;6;3;5;13;6;5;8;68
50;Overijssel (PV);2012;43;57;22;7;12;7;3;7;16;5;3;8;68
51;Overijssel (PV);2013;43;56;23;7;11;7;3;6;15;5;4;7;69
52;Overijssel (PV);2014;43;57;22;8;12;7;4;5;14;4;4;8;70
53;Overijssel (PV);2015;42;58;23;8;12;6;3;6;14;5;4;7;70
