ID;Geslacht;Leeftijd;DiagnoseIndelingVTV;Perioden;TotaalOverledenen_1;OverledenenPer10000Inwoners_2;VerpleegdagenVanKlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemiddeldeVerpleegduurOverledenen_5
26;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2007;41498.0;25.3;483980.0;295.5;11.7
27;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2008;41700.0;25.4;474551.0;288.5;11.4
28;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2009;41144.0;24.9;454210.0;274.8;11.0
29;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2010;39541.0;23.8;420812.0;253.3;10.6
30;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2011;37531.0;22.5;383324.0;229.7;10.2
31;Totaal mannen en vrouwen;Totaal alle leeftijden;1;2012;36052.0;21.5;348908.0;208.3;9.7
32;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1981;501.0;0.4;10360.0;7.3;20.7
33;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1982;475.0;0.3;8867.0;6.2;18.7
34;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1983;476.0;0.3;9833.0;6.8;20.7
35;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1984;514.0;0.4;9818.0;6.8;19.1
36;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1985;558.0;0.4;10852.0;7.5;19.5
37;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1986;598.0;0.4;10424.0;7.2;17.4
38;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1987;621.0;0.4;12426.0;8.5;20.0
39;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1988;664.0;0.4;11040.0;7.5;16.6
40;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1989;805.0;0.5;15942.0;10.7;19.8
41;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1990;750.0;0.5;12750.0;8.5;17.0
42;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1991;859.0;0.6;15453.0;10.3;18.0
43;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1992;858.0;0.6;15886.0;10.5;18.5
44;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1993;995.0;0.7;15994.0;10.5;16.1
45;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1994;1004.0;0.7;16670.0;10.8;16.6
46;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1995;1073.0;0.7;16474.0;10.7;15.4
47;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1996;1102.0;0.7;17519.0;11.3;15.9
48;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1997;1048.0;0.7;17684.0;11.3;16.9
49;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1998;1066.0;0.7;16718.0;10.6;15.7
50;Totaal mannen en vrouwen;Totaal alle leeftijden;2;1999;1094.0;0.7;17476.0;11.1;16.0
51;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2000;1117.0;0.7;16184.0;10.2;14.5
52;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2001;1131.0;0.7;14457.0;9.0;12.8
53;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2002;1226.0;0.8;17530.0;10.9;14.3
54;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2003;1221.0;0.8;16393.0;10.1;13.4
55;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2004;1224.0;0.8;16660.0;10.2;13.6
56;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2005;1178.0;0.7;15043.0;9.2;12.8
57;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2006;1276.0;0.8;15605.0;9.5;12.2
58;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2007;1266.0;0.8;15287.0;9.3;12.1
59;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2008;1487.0;0.9;17874.0;10.9;12.0
60;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2009;1541.0;0.9;18348.0;11.1;11.9
61;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2010;1703.0;1.0;17916.0;10.8;10.5
62;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2011;1773.0;1.1;17392.0;10.4;9.8
63;Totaal mannen en vrouwen;Totaal alle leeftijden;2;2012;1990.0;1.2;19886.0;11.9;10.0
64;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1981;51.0;0.0;1064.0;0.7;20.9
65;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1982;34.0;0.0;447.0;0.3;13.1
66;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1983;29.0;0.0;568.0;0.4;19.5
67;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1984;32.0;0.0;478.0;0.3;14.9
68;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1985;37.0;0.0;685.0;0.5;18.5
69;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1986;30.0;0.0;493.0;0.3;16.4
70;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1987;20.0;0.0;691.0;0.5;34.6
71;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1988;25.0;0.0;395.0;0.3;15.8
72;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1989;25.0;0.0;817.0;0.6;32.7
73;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1990;26.0;0.0;331.0;0.2;12.7
74;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1991;23.0;0.0;364.0;0.2;15.8
75;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1992;16.0;0.0;212.0;0.1;13.2
76;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1993;24.0;0.0;411.0;0.3;17.1
77;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1994;32.0;0.0;463.0;0.3;14.5
78;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1995;23.0;0.0;283.0;0.2;12.3
79;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1996;21.0;0.0;367.0;0.2;17.5
80;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1997;27.0;0.0;590.0;0.4;21.9
81;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1998;11.0;0.0;94.0;0.1;8.5
82;Totaal mannen en vrouwen;Totaal alle leeftijden;3;1999;21.0;0.0;417.0;0.3;19.9
83;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2000;26.0;0.0;486.0;0.3;18.7
84;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2001;23.0;0.0;305.0;0.2;13.3
85;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2002;19.0;0.0;406.0;0.3;21.4
86;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2003;26.0;0.0;330.0;0.2;12.7
87;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2004;39.0;0.0;632.0;0.4;16.2
88;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2005;36.0;0.0;494.0;0.3;13.7
89;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2006;44.0;0.0;692.0;0.4;15.7
90;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2007;39.0;0.0;801.0;0.5;20.5
91;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2008;57.0;0.0;935.0;0.6;16.4
92;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2009;51.0;0.0;747.0;0.5;14.6
93;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2010;62.0;0.0;1021.0;0.6;16.5
94;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2011;55.0;0.0;612.0;0.4;11.1
95;Totaal mannen en vrouwen;Totaal alle leeftijden;3;2012;82.0;0.0;1028.0;0.6;12.5
