ID;Periods;PriceIndexSellingPrices_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;SoldHomes_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
0;1995 January;28.8;;;8793;;;88991;782
1;1995 February;28.9;0.7;;10103;14.9;;89741;907
2;1995 March ;29.0;0.2;;11838;17.2;;90432;1071
3;1995 1st quarter;28.9;;;30734;;;89792;2760
4;1995 April;29.2;0.6;;10626;-10.2;;89808;954
5;1995 May;29.3;0.3;;12746;20.0;;92326;1177
6;1995 June;29.5;0.7;;13682;7.3;;93652;1281
7;1995 2nd quarter;29.3;1.4;;37054;20.6;;92094;3412
8;1995 July;29.8;1.0;;14346;4.9;;95222;1366
9;1995 August;30.0;0.9;;13580;-5.3;;96583;1312
10;1995 September;30.1;0.3;;12572;-7.4;;95676;1203
11;1995 3rd quarter;30.0;2.3;;40498;9.3;;95819;3880
12;1995 October;30.2;0.2;;13629;8.4;;95076;1296
13;1995 November;30.4;0.7;;13363;-2.0;;95408;1275
14;1995 December;30.6;0.7;;19290;44.4;;96804;1867
15;1995 4th quarter;30.4;1.4;;46282;14.3;;95892;4438
16;1995;29.6;;;154568;;;93750;14491
17;1996 January;31.0;1.2;7.7;10193;-47.2;15.9;96767;986
18;1996 February;31.2;0.6;7.6;12061;18.3;19.4;96539;1164
19;1996 March ;31.3;0.6;8.1;13415;11.2;13.3;98188;1317
20;1996 1st quarter;31.2;2.5;7.8;35669;-22.9;16.1;97224;3468
21;1996 April;31.8;1.5;9.0;14610;8.9;37.5;99609;1455
22;1996 May;32.2;1.3;10.1;15548;6.4;22.0;101317;1575
23;1996 June;32.4;0.4;9.8;13652;-12.2;-0.2;99819;1363
24;1996 2nd quarter;32.1;3.1;9.6;43810;22.8;18.2;100280;4393
25;1996 July;32.8;1.3;10.1;17802;30.4;24.1;104167;1854
26;1996 August;33.2;1.2;10.5;14922;-16.2;9.9;105608;1576
27;1996 September;33.5;0.9;11.1;13858;-7.1;10.2;104589;1449
28;1996 3rd quarter;33.1;3.2;10.5;46582;6.3;15.0;104754;4880
29;1996 October;33.7;0.6;11.5;14781;6.7;8.5;104819;1549
30;1996 November;34.0;1.1;12.0;14700;-0.5;10.0;106055;1559
31;1996 December;34.2;0.4;11.7;20209;37.5;4.8;108073;2184
32;1996 4th quarter;34.0;2.5;11.7;49690;6.7;7.4;106508;5292
33;1996;32.6;10.0;10.0;175751;13.7;13.7;102607;18033
34;1997 January;34.5;0.8;11.2;10660;-47.3;4.6;105876;1129
35;1997 February;34.9;1.4;12.1;11837;11.0;-1.9;107567;1273
36;1997 March ;35.2;0.9;12.4;13266;12.1;-1.1;107769;1430
37;1997 1st quarter;34.9;2.7;11.9;35763;-28.0;0.3;107138;3832
38;1997 April;35.6;0.9;11.8;15328;15.5;4.9;109670;1681
39;1997 May;35.9;0.9;11.3;15688;2.3;0.9;110859;1739
40;1997 June;36.1;0.7;11.7;16144;2.9;18.3;112207;1811
41;1997 2nd quarter;35.9;2.8;11.6;47160;31.9;7.6;110934;5232
42;1997 July;36.6;1.1;11.5;18483;14.5;3.8;114344;2113
43;1997 August;37.0;1.3;11.6;15506;-16.1;3.9;116161;1801
44;1997 September;37.0;0.0;10.7;15630;0.8;12.8;116411;1820
45;1997 3rd quarter;36.9;2.8;11.3;49619;5.2;6.5;115563;5734
46;1997 October;37.5;1.3;11.4;16640;6.5;12.6;116785;1943
