ID;BedrijfskenmerkenSBI1993;Perioden;Ziekteverzuimpercentage_1
242;22 Grafische industrie;2006;4.5
243;22 Grafische industrie;2007 1e kwartaal;
244;22 Grafische industrie;2007 2e kwartaal;
245;22 Grafische industrie;2007 3e kwartaal;
246;22 Grafische industrie;2007 4e kwartaal;
247;22 Grafische industrie;2007;4.6
248;22 Grafische industrie;2008 1e kwartaal;4.6
249;22 Grafische industrie;2008 2e kwartaal;4.0
250;22 Grafische industrie;2008 3e kwartaal;3.7
251;22 Grafische industrie;2008 4e kwartaal;4.3
252;22 Grafische industrie;2008;4.2
253;22 Grafische industrie;2009 1e kwartaal;4.5
254;22 Grafische industrie;2009 2e kwartaal;4.4
255;22 Grafische industrie;2009 3e kwartaal;3.7
256;22 Grafische industrie;2009 4e kwartaal;4.6
257;22 Grafische industrie;2009;4.3
258;22 Grafische industrie;2010 1e kwartaal;4.2
259;22 Grafische industrie;2010 2e kwartaal;3.7
260;22 Grafische industrie;2010 3e kwartaal;3.6
261;22 Grafische industrie;2010 4e kwartaal;3.9
262;22 Grafische industrie;2010;3.8
263;22 Grafische industrie;2011 1e kwartaal;4.1
264;22 Grafische industrie;2011 2e kwartaal;3.9
265;22 Grafische industrie;2011 3e kwartaal;3.8
266;2300b Aardolie/chem.i/rubber/kunstst.ind;2004 1e kwartaal;
267;2300b Aardolie/chem.i/rubber/kunstst.ind;2004 2e kwartaal;
268;2300b Aardolie/chem.i/rubber/kunstst.ind;2004 3e kwartaal;
269;2300b Aardolie/chem.i/rubber/kunstst.ind;2004 4e kwartaal;
270;2300b Aardolie/chem.i/rubber/kunstst.ind;2004;4.5
271;2300b Aardolie/chem.i/rubber/kunstst.ind;2005 1e kwartaal;
272;2300b Aardolie/chem.i/rubber/kunstst.ind;2005 2e kwartaal;
273;2300b Aardolie/chem.i/rubber/kunstst.ind;2005 3e kwartaal;
274;2300b Aardolie/chem.i/rubber/kunstst.ind;2005 4e kwartaal;
275;2300b Aardolie/chem.i/rubber/kunstst.ind;2005;4.7
276;2300b Aardolie/chem.i/rubber/kunstst.ind;2006 1e kwartaal;
277;2300b Aardolie/chem.i/rubber/kunstst.ind;2006 2e kwartaal;
278;2300b Aardolie/chem.i/rubber/kunstst.ind;2006 3e kwartaal;
279;2300b Aardolie/chem.i/rubber/kunstst.ind;2006 4e kwartaal;
280;2300b Aardolie/chem.i/rubber/kunstst.ind;2006;4.1
281;2300b Aardolie/chem.i/rubber/kunstst.ind;2007 1e kwartaal;
282;2300b Aardolie/chem.i/rubber/kunstst.ind;2007 2e kwartaal;
283;2300b Aardolie/chem.i/rubber/kunstst.ind;2007 3e kwartaal;
284;2300b Aardolie/chem.i/rubber/kunstst.ind;2007 4e kwartaal;
285;2300b Aardolie/chem.i/rubber/kunstst.ind;2007;4.3
286;2300b Aardolie/chem.i/rubber/kunstst.ind;2008 1e kwartaal;4.9
287;2300b Aardolie/chem.i/rubber/kunstst.ind;2008 2e kwartaal;4.2
288;2300b Aardolie/chem.i/rubber/kunstst.ind;2008 3e kwartaal;3.7
289;2300b Aardolie/chem.i/rubber/kunstst.ind;2008 4e kwartaal;4.3
290;2300b Aardolie/chem.i/rubber/kunstst.ind;2008;4.3
291;2300b Aardolie/chem.i/rubber/kunstst.ind;2009 1e kwartaal;4.5
292;2300b Aardolie/chem.i/rubber/kunstst.ind;2009 2e kwartaal;4.1
293;2300b Aardolie/chem.i/rubber/kunstst.ind;2009 3e kwartaal;4.0
294;2300b Aardolie/chem.i/rubber/kunstst.ind;2009 4e kwartaal;4.5
295;2300b Aardolie/chem.i/rubber/kunstst.ind;2009;4.3
296;2300b Aardolie/chem.i/rubber/kunstst.ind;2010 1e kwartaal;4.4
297;2300b Aardolie/chem.i/rubber/kunstst.ind;2010 2e kwartaal;4.4
298;2300b Aardolie/chem.i/rubber/kunstst.ind;2010 3e kwartaal;4.1
299;2300b Aardolie/chem.i/rubber/kunstst.ind;2010 4e kwartaal;4.5
300;2300b Aardolie/chem.i/rubber/kunstst.ind;2010;4.3
301;2300b Aardolie/chem.i/rubber/kunstst.ind;2011 1e kwartaal;4.8
302;2300b Aardolie/chem.i/rubber/kunstst.ind;2011 2e kwartaal;4.1
303;2300b Aardolie/chem.i/rubber/kunstst.ind;2011 3e kwartaal;4.1
304;2700b Metaal(prod-),machine-,vervrmind.;2004 1e kwartaal;
305;2700b Metaal(prod-),machine-,vervrmind.;2004 2e kwartaal;
306;2700b Metaal(prod-),machine-,vervrmind.;2004 3e kwartaal;
307;2700b Metaal(prod-),machine-,vervrmind.;2004 4e kwartaal;
308;2700b Metaal(prod-),machine-,vervrmind.;2004;4.5
309;2700b Metaal(prod-),machine-,vervrmind.;2005 1e kwartaal;
310;2700b Metaal(prod-),machine-,vervrmind.;2005 2e kwartaal;
311;2700b Metaal(prod-),machine-,vervrmind.;2005 3e kwartaal;
312;2700b Metaal(prod-),machine-,vervrmind.;2005 4e kwartaal;
313;2700b Metaal(prod-),machine-,vervrmind.;2005;4.6
314;2700b Metaal(prod-),machine-,vervrmind.;2006 1e kwartaal;
315;2700b Metaal(prod-),machine-,vervrmind.;2006 2e kwartaal;
316;2700b Metaal(prod-),machine-,vervrmind.;2006 3e kwartaal;
317;2700b Metaal(prod-),machine-,vervrmind.;2006 4e kwartaal;
318;2700b Metaal(prod-),machine-,vervrmind.;2006;4.2
319;2700b Metaal(prod-),machine-,vervrmind.;2007 1e kwartaal;
320;2700b Metaal(prod-),machine-,vervrmind.;2007 2e kwartaal;
321;2700b Metaal(prod-),machine-,vervrmind.;2007 3e kwartaal;
322;2700b Metaal(prod-),machine-,vervrmind.;2007 4e kwartaal;
323;2700b Metaal(prod-),machine-,vervrmind.;2007;4.3
324;2700b Metaal(prod-),machine-,vervrmind.;2008 1e kwartaal;4.7
325;2700b Metaal(prod-),machine-,vervrmind.;2008 2e kwartaal;4.0
326;2700b Metaal(prod-),machine-,vervrmind.;2008 3e kwartaal;3.6
327;2700b Metaal(prod-),machine-,vervrmind.;2008 4e kwartaal;4.2
328;2700b Metaal(prod-),machine-,vervrmind.;2008;4.1
329;2700b Metaal(prod-),machine-,vervrmind.;2009 1e kwartaal;4.4
330;2700b Metaal(prod-),machine-,vervrmind.;2009 2e kwartaal;3.9
331;2700b Metaal(prod-),machine-,vervrmind.;2009 3e kwartaal;3.8
332;2700b Metaal(prod-),machine-,vervrmind.;2009 4e kwartaal;4.4
333;2700b Metaal(prod-),machine-,vervrmind.;2009;4.1
334;2700b Metaal(prod-),machine-,vervrmind.;2010 1e kwartaal;4.4
335;2700b Metaal(prod-),machine-,vervrmind.;2010 2e kwartaal;3.9
336;2700b Metaal(prod-),machine-,vervrmind.;2010 3e kwartaal;3.8
337;2700b Metaal(prod-),machine-,vervrmind.;2010 4e kwartaal;4.3
338;2700b Metaal(prod-),machine-,vervrmind.;2010;4.1
339;2700b Metaal(prod-),machine-,vervrmind.;2011 1e kwartaal;4.5
340;2700b Metaal(prod-),machine-,vervrmind.;2011 2e kwartaal;4.1
341;2700b Metaal(prod-),machine-,vervrmind.;2011 3e kwartaal;3.8
342;DN Verv.meubels.ov.ind,voorber recycl;2004 1e kwartaal;
343;DN Verv.meubels.ov.ind,voorber recycl;2004 2e kwartaal;
344;DN Verv.meubels.ov.ind,voorber recycl;2004 3e kwartaal;
345;DN Verv.meubels.ov.ind,voorber recycl;2004 4e kwartaal;
346;DN Verv.meubels.ov.ind,voorber recycl;2004;7.5
347;DN Verv.meubels.ov.ind,voorber recycl;2005 1e kwartaal;
348;DN Verv.meubels.ov.ind,voorber recycl;2005 2e kwartaal;
349;DN Verv.meubels.ov.ind,voorber recycl;2005 3e kwartaal;
350;DN Verv.meubels.ov.ind,voorber recycl;2005 4e kwartaal;
351;DN Verv.meubels.ov.ind,voorber recycl;2005;7.7
352;DN Verv.meubels.ov.ind,voorber recycl;2006 1e kwartaal;
353;DN Verv.meubels.ov.ind,voorber recycl;2006 2e kwartaal;
354;DN Verv.meubels.ov.ind,voorber recycl;2006 3e kwartaal;
355;DN Verv.meubels.ov.ind,voorber recycl;2006 4e kwartaal;
356;DN Verv.meubels.ov.ind,voorber recycl;2006;8.7
357;DN Verv.meubels.ov.ind,voorber recycl;2007 1e kwartaal;
358;DN Verv.meubels.ov.ind,voorber recycl;2007 2e kwartaal;
359;DN Verv.meubels.ov.ind,voorber recycl;2007 3e kwartaal;
360;DN Verv.meubels.ov.ind,voorber recycl;2007 4e kwartaal;
361;DN Verv.meubels.ov.ind,voorber recycl;2007;7.3
362;DN Verv.meubels.ov.ind,voorber recycl;2008 1e kwartaal;7.9
363;DN Verv.meubels.ov.ind,voorber recycl;2008 2e kwartaal;7.5
364;DN Verv.meubels.ov.ind,voorber recycl;2008 3e kwartaal;6.6
365;DN Verv.meubels.ov.ind,voorber recycl;2008 4e kwartaal;7.8
366;DN Verv.meubels.ov.ind,voorber recycl;2008;7.4
367;DN Verv.meubels.ov.ind,voorber recycl;2009 1e kwartaal;8.3
368;DN Verv.meubels.ov.ind,voorber recycl;2009 2e kwartaal;7.3
369;DN Verv.meubels.ov.ind,voorber recycl;2009 3e kwartaal;7.8
370;DN Verv.meubels.ov.ind,voorber recycl;2009 4e kwartaal;8.7
371;DN Verv.meubels.ov.ind,voorber recycl;2009;8.0
372;DN Verv.meubels.ov.ind,voorber recycl;2010 1e kwartaal;8.6
373;DN Verv.meubels.ov.ind,voorber recycl;2010 2e kwartaal;7.6
374;DN Verv.meubels.ov.ind,voorber recycl;2010 3e kwartaal;7.3
375;DN Verv.meubels.ov.ind,voorber recycl;2010 4e kwartaal;8.1
376;DN Verv.meubels.ov.ind,voorber recycl;2010;7.9
377;DN Verv.meubels.ov.ind,voorber recycl;2011 1e kwartaal;8.7
378;DN Verv.meubels.ov.ind,voorber recycl;2011 2e kwartaal;8.1
379;DN Verv.meubels.ov.ind,voorber recycl;2011 3e kwartaal;7.8
380;E Openbare voorzieningsbedrijven;2004 1e kwartaal;
381;E Openbare voorzieningsbedrijven;2004 2e kwartaal;
382;E Openbare voorzieningsbedrijven;2004 3e kwartaal;
383;E Openbare voorzieningsbedrijven;2004 4e kwartaal;
384;E Openbare voorzieningsbedrijven;2004;4.5
385;E Openbare voorzieningsbedrijven;2005 1e kwartaal;
386;E Openbare voorzieningsbedrijven;2005 2e kwartaal;
387;E Openbare voorzieningsbedrijven;2005 3e kwartaal;
388;E Openbare voorzieningsbedrijven;2005 4e kwartaal;
389;E Openbare voorzieningsbedrijven;2005;4.8
390;E Openbare voorzieningsbedrijven;2006 1e kwartaal;
391;E Openbare voorzieningsbedrijven;2006 2e kwartaal;
392;E Openbare voorzieningsbedrijven;2006 3e kwartaal;
393;E Openbare voorzieningsbedrijven;2006 4e kwartaal;
394;E Openbare voorzieningsbedrijven;2006;4.0
395;E Openbare voorzieningsbedrijven;2007 1e kwartaal;
396;E Openbare voorzieningsbedrijven;2007 2e kwartaal;
397;E Openbare voorzieningsbedrijven;2007 3e kwartaal;
398;E Openbare voorzieningsbedrijven;2007 4e kwartaal;
399;E Openbare voorzieningsbedrijven;2007;3.9
400;E Openbare voorzieningsbedrijven;2008 1e kwartaal;4.7
401;E Openbare voorzieningsbedrijven;2008 2e kwartaal;3.5
402;E Openbare voorzieningsbedrijven;2008 3e kwartaal;3.6
403;E Openbare voorzieningsbedrijven;2008 4e kwartaal;4.2
404;E Openbare voorzieningsbedrijven;2008;4.0
405;E Openbare voorzieningsbedrijven;2009 1e kwartaal;4.7
406;E Openbare voorzieningsbedrijven;2009 2e kwartaal;3.4
407;E Openbare voorzieningsbedrijven;2009 3e kwartaal;3.5
408;E Openbare voorzieningsbedrijven;2009 4e kwartaal;4.6
409;E Openbare voorzieningsbedrijven;2009;4.1
410;E Openbare voorzieningsbedrijven;2010 1e kwartaal;4.6
411;E Openbare voorzieningsbedrijven;2010 2e kwartaal;3.9
412;E Openbare voorzieningsbedrijven;2010 3e kwartaal;3.7
413;E Openbare voorzieningsbedrijven;2010 4e kwartaal;3.8
414;E Openbare voorzieningsbedrijven;2010;4.0
415;E Openbare voorzieningsbedrijven;2011 1e kwartaal;4.6
416;E Openbare voorzieningsbedrijven;2011 2e kwartaal;3.8
417;E Openbare voorzieningsbedrijven;2011 3e kwartaal;3.4
418;F Bouwnijverheid;2004 1e kwartaal;
419;F Bouwnijverheid;2004 2e kwartaal;
420;F Bouwnijverheid;2004 3e kwartaal;
421;F Bouwnijverheid;2004 4e kwartaal;
422;F Bouwnijverheid;2004;4.7
423;F Bouwnijverheid;2005 1e kwartaal;
424;F Bouwnijverheid;2005 2e kwartaal;
425;F Bouwnijverheid;2005 3e kwartaal;
426;F Bouwnijverheid;2005 4e kwartaal;
427;F Bouwnijverheid;2005;4.7
428;F Bouwnijverheid;2006 1e kwartaal;
429;F Bouwnijverheid;2006 2e kwartaal;
430;F Bouwnijverheid;2006 3e kwartaal;
431;F Bouwnijverheid;2006 4e kwartaal;
432;F Bouwnijverheid;2006;4.3
433;F Bouwnijverheid;2007 1e kwartaal;
434;F Bouwnijverheid;2007 2e kwartaal;
435;F Bouwnijverheid;2007 3e kwartaal;
436;F Bouwnijverheid;2007 4e kwartaal;
437;F Bouwnijverheid;2007;4.6
438;F Bouwnijverheid;2008 1e kwartaal;4.7
439;F Bouwnijverheid;2008 2e kwartaal;4.1
440;F Bouwnijverheid;2008 3e kwartaal;3.8
441;F Bouwnijverheid;2008 4e kwartaal;4.1
442;F Bouwnijverheid;2008;4.2
443;F Bouwnijverheid;2009 1e kwartaal;4.4
