ID;PriceComponents;VATAndTax;Periods;LessThan569M3_1;k_569Until5687M3_2;k_5687M3AndHigher_3;LessThan28433M3_4;k_28433Until284333M3_5;k_284333Until2843332M3_6;k_2843332Until28433324M3_7;k_28433324M3AndHigher_8;LessThan1MWh_9;k_1Until25MWh_10;k_25Until5MWh_11;k_5Until15MWh_12;k_15MWhAndHigher_13;LessThan20MWh_14;k_20Unitl500MWh_15;k_500Until2000MWh_16;k_2000Until20000MWh_17;k_20000Until70000MWh_18;k_70000Until150000MWh_19;k_150000MWhAndHigher_20
0;Total price;Including VAT and tax;2009 1st semester;1.057;0.791;0.722;0.752;0.662;0.459;0.374;0.276;-0.103;0.144;0.198;0.216;0.257;0.212;0.187;0.132;0.118;0.108;0.104;0.08
1;Total price;Including VAT and tax;2009 2nd semester;1.031;0.658;0.572;0.622;0.612;0.407;0.33;0.24;-0.117;0.136;0.19;0.209;0.205;0.211;0.147;0.127;0.116;0.099;0.094;0.072
2;Total price;Including VAT and tax;2009;1.045;0.735;0.656;0.706;0.644;0.435;0.352;0.255;-0.11;0.14;0.195;0.213;0.232;0.211;0.167;0.129;0.117;0.104;0.098;0.076
3;Total price;Including VAT and tax;2010 1st semester;0.943;0.664;0.593;0.621;0.545;0.39;0.296;0.226;-0.142;0.12;0.177;0.196;0.237;0.211;0.175;0.12;0.106;0.091;0.087;0.074
4;Total price;Including VAT and tax;2010 2nd semester;1.06;0.703;0.608;0.621;0.59;0.36;0.302;0.256;-0.131;0.125;0.179;0.197;0.189;0.198;0.134;0.115;0.106;0.085;0.086;0.076
5;Total price;Including VAT and tax;2010;0.994;0.681;0.599;0.623;0.565;0.377;0.299;0.241;-0.137;0.123;0.178;0.197;0.216;0.204;0.154;0.118;0.106;0.088;0.087;0.075
6;Total price;Including VAT and tax;2011 1st semester;0.955;0.674;0.627;0.612;0.57;0.417;0.323;0.287;-0.123;0.128;0.18;0.196;0.244;0.182;0.166;0.117;0.103;0.089;0.087;0.076
7;Total price;Including VAT and tax;2011 2nd semester;1.17;0.768;0.687;0.685;0.61;0.376;0.316;0.298;-0.126;0.127;0.18;0.197;0.195;0.183;0.129;0.113;0.104;0.084;0.089;0.078
8;Total price;Including VAT and tax;2011;1.045;0.713;0.653;0.644;0.588;0.4;0.319;0.292;-0.125;0.128;0.18;0.196;0.219;0.182;0.148;0.116;0.104;0.087;0.088;0.077
9;Total price;Including VAT and tax;2012 1st semester;1.001;0.724;0.667;0.689;0.606;0.439;0.346;0.311;-0.116;0.134;0.185;0.2;0.254;0.194;0.171;0.116;0.101;0.087;0.083;0.07
