ID;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;WoonWerkAfstand_2
0;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2014 december;7733.3;
1;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2015 december;7846.2;
2;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2016 december;7978.5;
3;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2017 december;8208.6;
4;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2018 december;8422.0;
5;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2019 december;8560.6;
6;Nederland, Buitenland, Niet in te delen;Nederland, Buitenland, Niet in te delen;2020 december;8401.6;
7;Nederland, Buitenland, Niet in te delen;Nederland;2014 december;7718.3;
8;Nederland, Buitenland, Niet in te delen;Nederland;2015 december;7831.6;
9;Nederland, Buitenland, Niet in te delen;Nederland;2016 december;7963.8;
10;Nederland, Buitenland, Niet in te delen;Nederland;2017 december;8193.9;
11;Nederland, Buitenland, Niet in te delen;Nederland;2018 december;8406.9;
12;Nederland, Buitenland, Niet in te delen;Nederland;2019 december;8543.8;
13;Nederland, Buitenland, Niet in te delen;Nederland;2020 december;8384.8;
14;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2014 december;15.0;
15;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2015 december;14.6;
16;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2016 december;14.6;
17;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2017 december;14.8;
18;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2018 december;15.2;
19;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2019 december;16.8;
20;Nederland, Buitenland, Niet in te delen;"Nederland; niet in te delen";2020 december;16.8;
21;Nederland, Buitenland, Niet in te delen;Groningen (PV);2014 december;244.2;
22;Nederland, Buitenland, Niet in te delen;Groningen (PV);2015 december;245.2;
23;Nederland, Buitenland, Niet in te delen;Groningen (PV);2016 december;252.0;
