ID;Perioden;TotaalInstitutioneleBeleggers_1;Pensioenfondsen_2;Verzekeringsinstellingen_3;BeleggingsfondsenMUVGeldmarktfondsen_4;TotaalInstitutioneleBeleggers_5;Pensioenfondsen_6;Verzekeringsinstellingen_7;BeleggingsfondsenMUVGeldmarktfondsen_8;BeleggingenExclAandelenInFondsen_9
0;1998;684.2;383.8;236.8;63.6;19.3;10.3;8.1;1.0;664.9
1;1999;795.7;450.3;258.6;86.7;21.2;10.9;9.4;0.9;774.5
2;2000;830.1;461.8;266.3;102.0;27.5;16.1;9.7;1.8;802.5
3;2001;831.2;458.2;273.8;99.2;25.9;14.5;10.2;1.1;805.3
4;2002;779.4;436.6;261.9;81.0;25.9;13.5;11.1;1.3;753.6
5;2003;854.9;488.3;279.0;87.5;31.4;15.9;14.1;1.4;823.5
6;2004;933.0;547.1;299.4;86.5;36.6;18.1;15.6;2.9;896.3
7;2005;1069.9;635.9;340.5;93.5;43.6;20.0;22.1;1.5;1026.4
8;2006;1156.4;710.0;347.7;98.8;49.4;22.6;24.8;1.9;1107.0
9;2007;1170.3;720.0;360.4;89.9;43.4;18.6;22.2;2.6;1127.0
10;2008 voor revisie;1043.9;622.8;353.5;67.7;33.0;15.3;16.4;1.3;1010.9
11;2008 na revisie;1218.6;695.1;327.4;196.1;140.5;95.1;23.9;21.4;1078.1
12;2009 1e kwartaal;1174.8;667.4;317.5;189.9;137.5;92.7;23.1;21.7;1037.3
13;2009 2e kwartaal;1296.8;679.9;322.8;294.1;223.4;174.5;23.5;25.5;1073.3
14;2009 3e kwartaal;1479.5;714.8;335.9;428.7;342.2;286.7;28.4;27.1;1137.3
15;2009 4e kwartaal;1517.9;729.5;337.1;451.4;365.6;310.6;27.5;27.5;1152.3
16;2009;1517.9;729.5;337.1;451.4;365.6;310.6;27.5;27.5;1152.3
17;2010 1e kwartaal;1599.4;757.7;351.9;489.8;412.3;346.9;33.8;31.6;1187.1
18;2010 2e kwartaal;1587.2;758.4;355.8;473.0;399.2;335.3;34.0;29.9;1188.0
19;2010 3e kwartaal;1666.9;808.7;371.3;486.8;408.5;342.3;36.0;30.1;1258.4
20;2010 4e kwartaal;1629.8;777.4;365.2;487.1;416.5;343.9;41.9;30.8;1213.3
21;2010;1629.8;777.4;365.2;487.1;416.5;343.9;41.9;30.8;1213.3
22;2011 1e kwartaal;1650.3;781.6;369.4;499.3;427.1;354.7;44.9;27.5;1223.2
23;2011 2e kwartaal;1660.5;783.9;371.3;505.3;436.1;361.2;45.2;29.7;1224.4
24;2011 3e kwartaal;1695.5;806.5;384.1;504.9;438.6;366.9;43.6;28.1;1256.9
25;2011 4e kwartaal;1740.9;848.1;387.4;505.4;451.0;377.9;46.4;26.8;1289.9
26;2011;1740.9;848.1;387.4;505.4;451.0;377.9;46.4;26.8;1289.9
27;2012 1e kwartaal;1832.0;898.0;391.1;542.9;483.9;409.6;46.9;27.3;1348.2
