ID;ParticuliereExploitanten;Perioden;TotaalBaten_1;EntreeEnLesgelden_2;VerhuurLigplaatsen_3;SponsorEnReclamegelden_4;SubsidiesEnBijdragen_5;OverigeBaten_6;TotaalLasten_7;LonenEnSocialeLasten_8;PersoneelNietInLoondienst_9;Huisvestingskosten_10;OnderhoudEnSchoonmaak_11;Kapitaallasten_12;OverigeLasten_13;PersonenInLoondienst_14;PersoneelInLoondienst_15;TotaalPersoneelNietInLoondienst_16;DirecteurEigenaar_17;Uitzendkrachten_18;OverigePersonen_19;BezoekersPerJaar_20;BezoekersInReferentieweek_21
0;Totaal particuliere exploitanten;1988;275;;;;;;269;86;3;48;22;54;54;6060;4130;680.0;;;;;
1;Totaal particuliere exploitanten;1991;365;;;;;;354;102;4;62;29;74;84;7270;4460;770.0;;;;;
2;Totaal particuliere exploitanten;1994;530;;;;;;511;151;8;88;36;99;128;9950;5840;1190.0;;;;;
3;Totaal particuliere exploitanten;1997;631;;;;;;598;175;10;110;45;106;152;12090;7070;;;;;;
4;Totaal particuliere exploitanten;2000;849;;;;;;794;249;16;143;65;127;194;15810;8890;1740.0;72.0;22.0;6.0;;
5;Totaal particuliere exploitanten;2003;1044;;;;;;977;320;22;180;82;130;243;18170;9520;1900.0;69.0;19.0;12.0;;
6;Totaal particuliere exploitanten;2006;1123;;;;;;1031;318;30;194;89;143;256;17590;8720;1850.0;61.0;29.0;10.0;;
7;Totaal particuliere exploitanten;2009;1317;;;;;;1251;398;27;249;130;151;296;18950;9620;1690.0;64.0;25.0;11.0;;
8;Totaal particuliere exploitanten;2012;1339;;;;;;1267;411;29;258;136;145;290;18670;9480;1750.0;62.0;25.0;14.0;;
9;Zwembaden;1988;73;44.0;;0.0;25.0;4.0;78;32;1;16;7;11;10;2170;1360;50.0;;;;29.0;
10;Zwembaden;1991;99;56.0;;0.0;34.0;8.0;102;42;1;22;9;14;15;2970;1680;40.0;;;;33.0;
11;Zwembaden;1994;137;81.0;;0.0;40.0;15.0;141;59;2;30;13;15;21;4210;2080;60.0;;;;40.0;
12;Zwembaden;1997;213;110.0;;0.0;70.0;32.0;212;84;3;44;15;23;42;5650;3210;;;;;51.0;
13;Zwembaden;2000;275;151.0;;1.0;95.0;28.0;273;117;6;61;21;26;41;7320;3720;310.0;34.0;51.0;15.0;51.0;
14;Zwembaden;2003;370;203.0;;1.0;131.0;35.0;364;158;10;81;33;27;54;8670;4140;410.0;33.0;48.0;18.0;61.0;
15;Zwembaden;2006;402;218.0;;1.0;143.0;40.0;390;158;15;91;38;27;60;8320;3980;450.0;18.0;69.0;13.0;54.0;
16;Zwembaden;2009;524;287.0;;1.0;181.0;55.0;515;215;11;121;52;31;86;9650;4770;330.0;22.0;58.0;20.0;53.0;
17;Zwembaden;2012;526;289.0;;1.0;187.0;49.0;514;216;11;120;54;30;82;9420;4730;370.0;19.0;55.0;26.0;48.0;
18;Overige accommodaties;1988;167;96.0;;3.0;25.0;44.0;161;47;2;28;13;36;35;3440;2410;400.0;;;;;870.0
19;Overige accommodaties;1991;213;124.0;;5.0;14.0;70.0;205;51;2;33;16;49;53;3830;2380;460.0;;;;;990.0
20;Overige accommodaties;1994;321;185.0;;9.0;15.0;112.0;306;78;5;50;18;68;87;5070;3250;840.0;;;;;1254.0
21;Overige accommodaties;1997;342;217.0;;11.0;8.0;106.0;318;75;7;57;25;66;89;5700;3270;;;;;;1408.0
22;Overige accommodaties;2000;467;304.0;;16.0;13.0;134.0;428;111;9;69;36;81;122;7700;4500;1160.0;78.0;18.0;4.0;;1552.0
23;Overige accommodaties;2003;559;353.0;;18.0;16.0;173.0;512;140;10;84;41;83;154;8700;4730;1200.0;76.0;13.0;11.0;;1610.0
24;Overige accommodaties;2006;584;364.0;;19.0;16.0;186.0;521;134;13;87;42;91;153;8320;4020;1120.0;71.0;18.0;11.0;;1664.0
25;Overige accommodaties;2009;652;386.0;;22.0;24.0;219.0;612;156;14;109;68;97;168;8420;4180;1050.0;71.0;20.0;9.0;;1830.0
26;Overige accommodaties;2012;671;396.0;;26.0;25.0;224.0;628;168;15;117;71;92;165;8380;4100;1060.0;69.0;20.0;11.0;;1931.0
27;Jachthavens;1988;34;;21.0;;;12.0;30;7;0;4;2;7;9;440;360;230.0;;;;;
28;Jachthavens;1991;53;;40.0;;;14.0;47;9;1;7;4;11;16;470;400;260.0;;;;;
29;Jachthavens;1994;72;;50.0;;;22.0;64;14;1;8;5;16;20;660;510;280.0;;;;;
30;Jachthavens;1997;77;;50.0;;;27.0;68;16;0;9;5;17;21;730;590;340.0;;;;;
31;Jachthavens;2000;107;;58.0;;;49.0;94;21;1;13;8;20;31;790;670;280.0;93.0;6.0;1.0;;
32;Jachthavens;2003;114;;60.0;;;54.0;102;22;1;14;9;20;36;810;650;290.0;92.0;4.0;4.0;;
33;Jachthavens;2006;137;;75.0;;;62.0;120;26;1;16;9;24;43;940;720;280.0;90.0;7.0;3.0;;
34;Jachthavens;2009;142;;78.0;;;65.0;123;26;2;19;10;23;42;890;670;310.0;87.0;5.0;8.0;;
35;Jachthavens;2012;141;;81.0;;;60.0;125;26;2;21;11;23;43;870;650;320.0;88.0;5.0;7.0;;
