ID;SoortBouwwerk;Bouwfasen;Perioden;BouwkostenGebouwen_1
0;Totaal gebouwen;Ontvangen orders;2015 januari;929.0
1;Totaal gebouwen;Ontvangen orders;2015 februari;1415.0
2;Totaal gebouwen;Ontvangen orders;2015 maart;1397.0
3;Totaal gebouwen;Ontvangen orders;2015 1e kwartaal;3741.0
4;Totaal gebouwen;Ontvangen orders;2015 april;1380.0
5;Totaal gebouwen;Ontvangen orders;2015 mei;1047.0
6;Totaal gebouwen;Ontvangen orders;2015 juni;952.0
7;Totaal gebouwen;Ontvangen orders;2015 2e kwartaal;3380.0
8;Totaal gebouwen;Ontvangen orders;2015 juli;1055.0
9;Totaal gebouwen;Ontvangen orders;2015 augustus;838.0
10;Totaal gebouwen;Ontvangen orders;2015 september;988.0
11;Totaal gebouwen;Ontvangen orders;2015 3e kwartaal;2881.0
12;Totaal gebouwen;Ontvangen orders;2015 oktober;953.0
13;Totaal gebouwen;Ontvangen orders;2015 november;868.0
14;Totaal gebouwen;Ontvangen orders;2015 december;1054.0
15;Totaal gebouwen;Ontvangen orders;2015 4e kwartaal;2874.0
16;Totaal gebouwen;Ontvangen orders;2015;12877.0
17;Totaal gebouwen;Ontvangen orders;2016 januari;780.0
18;Totaal gebouwen;Ontvangen orders;2016 februari;943.0
19;Totaal gebouwen;Ontvangen orders;2016 maart;1082.0
20;Totaal gebouwen;Ontvangen orders;2016 1e kwartaal;2805.0
21;Totaal gebouwen;Ontvangen orders;2016 april;1165.0
22;Totaal gebouwen;Ontvangen orders;2016 mei;1079.0
23;Totaal gebouwen;Ontvangen orders;2016 juni;1207.0
24;Totaal gebouwen;Ontvangen orders;2016 2e kwartaal;3451.0
25;Totaal gebouwen;Ontvangen orders;2016 juli;1069.0
26;Totaal gebouwen;Ontvangen orders;2016 augustus;1023.0
27;Totaal gebouwen;Ontvangen orders;2016 september;1382.0
28;Totaal gebouwen;Ontvangen orders;2016 3e kwartaal;3475.0
29;Totaal gebouwen;Ontvangen orders;2016 oktober;1121.0
30;Totaal gebouwen;Ontvangen orders;2016 november;1256.0
31;Totaal gebouwen;Ontvangen orders;2016 december;1367.0
32;Totaal gebouwen;Ontvangen orders;2016 4e kwartaal;3745.0
33;Totaal gebouwen;Ontvangen orders;2016;13475.0
34;Totaal gebouwen;Ontvangen orders;2017 januari;1000.0
35;Totaal gebouwen;Ontvangen orders;2017 februari;1368.0
36;Totaal gebouwen;Ontvangen orders;2017 maart;1560.0
37;Totaal gebouwen;Ontvangen orders;2017 1e kwartaal;3928.0
38;Totaal gebouwen;Ontvangen orders;2017 april;1348.0
39;Totaal gebouwen;Ontvangen orders;2017 mei;1434.0
40;Totaal gebouwen;Ontvangen orders;2017 juni;1205.0
41;Totaal gebouwen;Ontvangen orders;2017 2e kwartaal;3987.0
42;Totaal gebouwen;Ontvangen orders;2017 juli;1826.0
43;Totaal gebouwen;Ontvangen orders;2017 augustus;1162.0
44;Totaal gebouwen;Ontvangen orders;2017 september;1438.0
45;Totaal gebouwen;Ontvangen orders;2017 3e kwartaal;4426.0
46;Totaal gebouwen;Ontvangen orders;2017 oktober;1703.0
47;Totaal gebouwen;Ontvangen orders;2017 november;1619.0
48;Totaal gebouwen;Ontvangen orders;2017 december;1353.0
49;Totaal gebouwen;Ontvangen orders;2017 4e kwartaal;4675.0
50;Totaal gebouwen;Ontvangen orders;2017;17016.0
51;Totaal gebouwen;Ontvangen orders;2018 januari;1160.0
52;Totaal gebouwen;Ontvangen orders;2018 februari;1459.0
53;Totaal gebouwen;Ontvangen orders;2018 maart;1509.0
54;Totaal gebouwen;Ontvangen orders;2018 1e kwartaal;4128.0
55;Totaal gebouwen;Ontvangen orders;2018 april;1483.0
56;Totaal gebouwen;Ontvangen orders;2018 mei;1382.0
57;Totaal gebouwen;Ontvangen orders;2018 juni;1589.0
58;Totaal gebouwen;Ontvangen orders;2018 2e kwartaal;4454.0
59;Totaal gebouwen;Ontvangen orders;2018 juli;1723.0
60;Totaal gebouwen;Ontvangen orders;2018 augustus;1416.0
61;Totaal gebouwen;Ontvangen orders;2018 september;1540.0
62;Totaal gebouwen;Ontvangen orders;2018 3e kwartaal;4678.0
63;Totaal gebouwen;Ontvangen orders;2018 oktober;2159.0
64;Totaal gebouwen;Ontvangen orders;2018 november;1448.0
65;Totaal gebouwen;Ontvangen orders;2018 december;1432.0
66;Totaal gebouwen;Ontvangen orders;2018 4e kwartaal;5039.0
67;Totaal gebouwen;Ontvangen orders;2018;18299.0
68;Totaal gebouwen;Ontvangen orders;2019 januari;1238.0
69;Totaal gebouwen;Ontvangen orders;2019 februari;1278.0
70;Totaal gebouwen;Ontvangen orders;2019 maart;1420.0
71;Totaal gebouwen;Ontvangen orders;2019 1e kwartaal;3936.0
72;Totaal gebouwen;Ontvangen orders;2019 april;1482.0
73;Totaal gebouwen;Ontvangen orders;2019 mei;1218.0
74;Totaal gebouwen;Ontvangen orders;2019 juni;1290.0
75;Totaal gebouwen;Ontvangen orders;2019 2e kwartaal;3989.0
76;Totaal gebouwen;Ontvangen orders;2019 juli;1885.0
77;Totaal gebouwen;Ontvangen orders;2019 augustus;963.0
78;Totaal gebouwen;Ontvangen orders;2019 september;1286.0
79;Totaal gebouwen;Ontvangen orders;2019 3e kwartaal;4133.0
80;Totaal gebouwen;Ontvangen orders;2019 oktober;1815.0
81;Totaal gebouwen;Ontvangen orders;2019 november;1690.0
82;Totaal gebouwen;Ontvangen orders;2019 december;1740.0
83;Totaal gebouwen;Ontvangen orders;2019 4e kwartaal;5244.0
84;Totaal gebouwen;Ontvangen orders;2019;17303.0
85;Totaal gebouwen;Ontvangen orders;2020 januari;1228.0
86;Totaal gebouwen;Ontvangen orders;2020 februari;1472.0
87;Totaal gebouwen;Ontvangen orders;2020 maart;1652.0
88;Totaal gebouwen;Ontvangen orders;2020 1e kwartaal;4352.0
