ID;Perioden;TotalRevenue_1;Taxes_2;SocialSecurityContributions_3;SalesOfGoodsAndServices_4;Other_5;TotalExpenditure_6;CompensationOfEmployees_7;UseOfGoodsAndServices_8;SocialBenefits_9;GrossFixedCapitalFormation_10;Other_11;BalanceOfTheGeneralGovernmentSector_12;GovernmentDebtEMU_13;FinalConsumptionOfGeneralGovernment_14;Revenue_15;Expenditure_16;BalanceOfTheGeneralGovernmentSector_17;TotalRevenue_18;Taxes_19;SocialSecurityContributions_20;SalesOfGoodsAndServices_21;Other_22;TotalExpenditure_23;CompensationOfEmployees_24;UseOfGoodsAndServices_25;SocialBenefits_26;GrossFixedCapitalFormation_27;Other_28;BalanceOfTheGeneralGovernmentSector_29;GovernmentDebtEMU_30;FinalConsumptionOfGeneralGovernment_31;TaxBurden_32;Revenue_33;Expenditure_34;BalanceOfTheGeneralGovernmentSector_35;FinalConsumptionVolumeChanges_36;LabourInput_37
0;1995;146760;72605;48532;9290;16333;174713;32391;19090;65543;11956;45733;-27953;239108.0;72790;;;;45.1;22.3;14.9;2.9;5.0;53.7;10.0;5.9;20.1;3.7;14.1;-8.6;73.5;22.4;37.2;;;;;972.5
1;1996;154096;78336;48822;9982;16956;159985;32621;19709;65238;13028;29389;-5889;243795.0;72847;;;;45.2;23.0;14.3;2.9;5.0;46.9;9.6;5.8;19.1;3.8;8.6;-1.7;71.5;21.4;37.3;;;;-0.9;966.7
2;1997;160855;82349;51750;10596;16160;165501;33951;20232;66711;13165;31442;-4646;240118.0;76260;;;;44.1;22.6;14.2;2.9;4.4;45.3;9.3;5.5;18.3;3.6;8.6;-1.3;65.8;20.9;36.7;;;;2.9;976.2
3;1998;168195;86958;54363;11009;15865;171717;35703;21674;67895;13777;32668;-3522;244166.0;80618;;;;43.2;22.3;14.0;2.8;4.1;44.1;9.2;5.6;17.4;3.5;8.4;-0.9;62.7;20.7;36.3;;;;3.7;1003.3
4;1999 1st quarter;43038;21742;14736;3120;3440;43340;8402;5552;17000;3468;8918;-302;;20023;44977.0;44360.0;617.0;;;;;;;;;;;;;;20.7;;44.5;43.9;0.6;2.1;
5;1999 2nd quarter;46186;22971;16164;2668;4383;47257;10461;5681;18746;3808;8561;-1071;;22286;44247.0;44769.0;-522.0;;;;;;;;;;;;;;20.6;;43.1;43.7;-0.5;2.0;
6;1999 3rd quarter;43607;22936;13911;2743;4017;42739;8439;5577;16514;3896;8313;868;;20055;46254.0;45244.0;1010.0;;;;;;;;;;;;;;20.6;;44.3;43.4;1.0;2.0;
7;1999 4th quarter;48835;26524;15234;3327;3750;46977;10300;6277;17246;4480;8674;1858;242472.0;22508;46234.0;45899.0;335.0;43.8;22.7;14.5;2.9;3.8;43.5;9.1;5.6;16.8;3.8;8.3;0.3;58.4;20.5;37.2;43.3;43.0;0.3;2.9;
8;1999;181666;94173;60045;11858;15590;180313;37602;23087;69506;15652;34466;1353;242472.0;84872;;;;43.8;22.7;14.5;2.9;3.8;43.5;9.1;5.6;16.8;3.8;8.3;0.3;58.4;20.5;37.2;;;;2.2;1012.2
9;2000 1st quarter;44955;22531;15310;3306;3808;45476;8886;6047;17796;3680;9067;-521;251029.0;21624;46970.0;46606.0;364.0;43.4;22.4;14.3;2.8;3.8;43.1;9.0;5.6;16.6;3.7;8.2;0.3;59.3;20.4;36.8;43.1;42.8;0.3;3.0;
10;2000 2nd quarter;51290;25567;17718;2910;5095;49658;11066;6185;19682;4011;8714;1632;242615.0;24016;49093.0;47023.0;2070.0;43.7;22.6;14.4;2.8;3.9;42.8;9.0;5.6;16.5;3.7;8.1;0.9;56.2;20.4;37.0;44.3;42.4;1.9;3.9;
11;2000 3rd quarter;46083;23765;14777;2959;4582;42115;8927;6070;17349;3992;5777;3968;242630.0;21664;48941.0;44747.0;4194.0;43.4;22.4;14.3;2.8;3.9;41.9;8.9;5.6;16.4;3.7;7.3;1.6;55.1;20.4;36.7;43.2;39.5;3.7;3.9;
12;2000 4th quarter;53229;28845;16717;3475;4192;49888;10901;6849;17962;5137;9039;3341;231552.0;24268;50447.0;48692.0;1755.0;43.6;22.5;14.4;2.8;3.9;41.8;8.9;5.6;16.2;3.8;7.3;1.9;51.7;20.4;36.9;43.8;42.3;1.5;3.4;
13;2000;195557;100708;64522;12650;17677;187137;39780;25151;72789;16820;32597;8420;231552.0;91572;;;;43.6;22.5;14.4;2.8;3.9;41.8;8.9;5.6;16.2;3.8;7.3;1.9;51.7;20.4;36.9;;;;3.5;1021.5
14;2001 1st quarter;48176;24508;16032;3461;4175;48703;9517;6668;18891;4171;9456;-527;233056.0;23516;50185.0;50024.0;161.0;43.5;22.5;14.3;2.8;3.9;41.7;8.8;5.6;16.2;3.8;7.2;1.8;51.0;20.5;36.8;42.6;42.5;0.1;4.6;
15;2001 2nd quarter;53069;26608;16685;3075;6701;53850;11849;6817;20976;4418;9790;-781;242248.0;26085;50828.0;50982.0;-154.0;43.1;22.3;13.8;2.8;4.2;41.8;8.9;5.7;16.2;3.8;7.3;1.3;52.1;20.5;36.1;42.8;42.9;-0.1;4.6;
16;2001 3rd quarter;48732;26309;14252;2981;5190;49087;9557;6708;18628;4535;9659;-355;238893.0;23581;51881.0;51907.0;-26.0;43.1;22.6;13.5;2.8;4.3;42.8;8.9;5.7;16.2;3.9;8.1;0.4;50.7;20.7;36.1;43.4;43.4;0.0;4.0;
17;2001 4th quarter;53935;31357;14354;3575;4649;53932;11634;7569;19107;5482;10140;3;233944.0;26350;51103.0;52541.0;-1438.0;42.8;22.8;12.9;2.7;4.3;43.1;8.9;5.8;16.3;3.9;8.2;-0.3;49.1;20.9;35.7;42.4;43.5;-1.2;4.3;
18;2001;203912;108782;61323;13092;20715;205572;42557;27762;77602;18606;39045;-1660;233944.0;99532;;;;42.8;22.8;12.9;2.7;4.3;43.1;8.9;5.8;16.3;3.9;8.2;-0.3;49.1;20.9;35.7;;;;4.4;1047.9
19;2002 1st quarter;49846;25676;16647;3425;4098;51519;10157;7222;20593;4622;8925;-1673;238379.0;25808;51720.0;53089.0;-1369.0;42.8;22.9;12.9;2.7;4.3;43.4;9.0;5.9;16.5;4.0;8.0;-0.6;49.6;21.2;35.8;42.5;43.6;-1.1;3.5;
20;2002 2nd quarter;53758;29599;15186;3344;5629;57378;12640;7372;22682;5007;9677;-3620;241541.0;28547;51585.0;54313.0;-2728.0;42.5;23.3;12.5;2.7;4.0;43.7;9.1;6.0;16.7;4.0;7.9;-1.2;49.8;21.5;35.7;41.9;44.1;-2.2;5.2;
21;2002 3rd quarter;48326;25592;14980;3034;4720;51480;10196;7265;20119;4959;8941;-3154;240608.0;25862;51675.0;54394.0;-2719.0;42.0;22.9;12.5;2.7;3.9;43.7;9.1;6.0;16.8;4.1;7.7;-1.7;49.1;21.7;35.4;41.4;43.6;-2.2;4.6;
22;2002 4th quarter;54796;31467;14958;3625;4746;56632;12422;8190;20574;5911;9535;-1836;239574.0;28887;51721.0;55061.0;-3340.0;41.8;22.7;12.5;2.7;3.9;43.9;9.2;6.1;17.0;4.1;7.5;-2.1;48.4;22.1;35.2;41.4;44.1;-2.7;4.2;
23;2002;206726;112334;61771;13428;19193;217009;45415;30049;83968;20499;37078;-10283;239574.0;109104;;;;41.8;22.7;12.5;2.7;3.9;43.9;9.2;6.1;17.0;4.1;7.5;-2.1;48.4;22.1;35.2;;;;4.4;1063.4
24;2003 1st quarter;51198;25722;17648;3674;4154;54029;10709;7756;21869;4845;8850;-2831;247020.0;27444;52938.0;55771.0;-2833.0;41.7;22.5;12.6;2.7;3.9;44.0;9.2;6.1;17.1;4.2;7.4;-2.3;49.5;22.2;35.1;42.1;44.3;-2.3;3.6;
25;2003 2nd quarter;54849;27807;17629;3514;5899;59450;13306;7899;24161;5156;8928;-4601;245823.0;30290;52894.0;56347.0;-3453.0;41.7;22.1;13.0;2.8;3.9;44.2;9.3;6.2;17.3;4.2;7.2;-2.5;49.0;22.4;35.1;41.9;44.7;-2.7;2.2;
26;2003 3rd quarter;48494;25565;14957;3294;4678;54502;10745;7804;21616;5412;8925;-6008;251635.0;27499;52023.0;57565.0;-5542.0;41.6;22.0;13.0;2.8;3.9;44.6;9.4;6.3;17.5;4.2;7.2;-3.0;50.0;22.7;34.9;41.0;45.4;-4.4;2.5;
27;2003 4th quarter;56842;32094;15654;3926;5168;58685;13048;8794;21995;5937;8911;-1843;251180.0;30678;53312.0;56965.0;-3653.0;41.7;21.9;13.0;2.8;3.9;44.7;9.4;6.4;17.7;4.2;7.0;-3.0;49.6;22.9;34.9;41.6;44.5;-2.9;3.6;
28;2003;211383;111188;65888;14408;19899;226666;47808;32253;89641;21350;35614;-15283;251180.0;115911;;;;41.7;21.9;13.0;2.8;3.9;44.7;9.4;6.4;17.7;4.2;7.0;-3.0;49.6;22.9;34.9;;;;3.0;1077.7
29;2004 1st quarter;51541;25612;17675;3636;4618;54713;10932;7781;22108;4947;8945;-3172;257719.0;27866;53238.0;56448.0;-3210.0;41.5;21.8;12.9;2.8;4.0;44.6;9.4;6.3;17.6;4.2;7.0;-3.1;50.5;22.8;34.7;41.2;43.7;-2.5;-1.8;
30;2004 2nd quarter;56299;29666;16274;3816;6543;60080;13531;7925;24795;4958;8871;-3781;261567.0;30739;54556.0;57031.0;-2475.0;41.4;21.9;12.5;2.9;4.1;44.3;9.4;6.3;17.6;4.1;6.9;-2.9;50.8;22.7;34.5;41.8;43.7;-1.9;0.1;
31;2004 3rd quarter;52152;26603;16210;3430;5909;54361;10959;7826;22028;4903;8645;-2209;265800.0;27929;56106.0;57481.0;-1375.0;41.8;22.0;12.7;2.9;4.3;43.9;9.3;6.2;17.5;4.0;6.8;-2.1;51.2;22.6;34.6;42.7;43.7;-1.0;-0.5;
32;2004 4th quarter;59619;32384;18240;4155;4840;59483;13278;8811;22658;5553;9183;136;260790.0;31116;55643.0;57725.0;-2082.0;41.9;21.8;13.1;2.9;4.2;43.6;9.3;6.2;17.5;3.9;6.8;-1.7;49.8;22.5;34.9;41.9;43.5;-1.6;0.5;
33;2004;219611;114265;68399;15037;21910;228637;48700;32343;91589;20361;35644;-9026;260790.0;117650;;;;41.9;21.8;13.1;2.9;4.2;43.6;9.3;6.2;17.5;3.9;6.8;-1.7;49.8;22.5;34.9;;;;-0.4;1053.1
34;2005 1st quarter;53417;27579;17559;3645;4634;54646;11114;8141;22515;4768;8108;-1229;261941.0;28872;54941.0;56151.0;-1210.0;41.9;22.0;12.9;2.8;4.2;43.3;9.3;6.2;17.4;3.8;6.6;-1.3;49.6;22.5;34.9;41.2;42.1;-0.9;0.7;
35;2005 2nd quarter;57265;31237;16287;3727;6014;60070;13743;8298;25315;4982;7732;-2805;276470.0;31774;55798.0;57154.0;-1356.0;41.7;22.1;12.8;2.8;4.0;42.8;9.2;6.2;17.3;3.8;6.3;-1.1;51.8;22.4;34.9;41.2;42.2;-1.0;0.8;
