ID;NGEKlassen;Bedrijfstypen;Perioden;AantalBedrijven_1;OppervlakteCultuurgrond_2;EconomischeOmvangNGE_3
0;Alle NGE-klassen;Alle bedrijfstypen;2000;97390;1976743;7801609
1;Alle NGE-klassen;Alle bedrijfstypen;2001;92645;1946132;7675503
2;Alle NGE-klassen;Alle bedrijfstypen;2002;89480;1964075;7577889
3;Alle NGE-klassen;Alle bedrijfstypen;2003;85410;1945650;7205869
4;Alle NGE-klassen;Alle bedrijfstypen;2004;83795;1949403;7226875
5;Alle NGE-klassen;Alle bedrijfstypen;2005;81750;1937695;7195011
6;Alle NGE-klassen;Alle bedrijfstypen;2006;79435;1919704;7216896
7;Alle NGE-klassen;Alle bedrijfstypen;2007;76740;1914332;7215040
8;Alle NGE-klassen;Alle bedrijfstypen;2008;75150;1929274;7337197
9;Alle NGE-klassen;Alle bedrijfstypen;2009;73010;1917482;7429661
10;Alle NGE-klassen;Akkerbouwbedrijven (groep);2000;13665;483373;784214
11;Alle NGE-klassen;Akkerbouwbedrijven (groep);2001;12790;469739;706588
12;Alle NGE-klassen;Akkerbouwbedrijven (groep);2002;12620;464124;698910
13;Alle NGE-klassen;Akkerbouwbedrijven (groep);2003;12475;469726;663987
14;Alle NGE-klassen;Akkerbouwbedrijven (groep);2004;12510;477346;679106
15;Alle NGE-klassen;Akkerbouwbedrijven (groep);2005;12255;476531;642572
16;Alle NGE-klassen;Akkerbouwbedrijven (groep);2006;12170;466671;634834
17;Alle NGE-klassen;Akkerbouwbedrijven (groep);2007;11365;465123;632423
18;Alle NGE-klassen;Akkerbouwbedrijven (groep);2008;11175;462878;623863
19;Alle NGE-klassen;Akkerbouwbedrijven (groep);2009;10925;463350;628291
20;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2000;1090;20703;19787
21;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2001;1055;21335;17841
22;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2002;1185;22710;19656
23;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2003;1250;26166;21604
24;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2004;1285;26042;21711
25;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2005;1315;28411;22884
26;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2006;1470;31055;25468
27;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2007;1155;27539;21200
28;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2008;1435;33834;26374
29;Alle NGE-klassen;Maaidorsbare gewassenbedrijven;2009;1245;30346;23966
30;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2000;3760;158176;282050
31;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2001;3530;159226;262987
32;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2002;3270;149741;247900
33;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2003;2855;137909;215966
34;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2004;2695;140498;219994
35;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2005;2555;136085;207819
36;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2006;2260;127036;195012
37;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2007;2425;138288;210647
38;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2008;2205;125927;192827
39;Alle NGE-klassen;Gespecialiseerde hakvruchtenbedrijven;2009;2250;132491;202411
40;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2000;1660;48585;61111
41;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2001;1535;41818;46296
42;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2002;1615;46075;52435
43;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2003;1525;45630;49570
44;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2004;1460;42234;46477
45;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2005;1510;47725;51193
46;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2006;1440;46021;49846
47;Alle NGE-klassen;Maaidors/hakvruchtenbedrijven;2007;1285;41847;45006
