ID;Sportaccommodaties;Perioden;TotaalSportaccommodaties_1;OverdekteSportaccommodaties_2;OpenluchtSportaccommodaties_3;InLoondienst_4;NietInLoondienst_5;WerkzamePersonenInLoondienst_6;TotaalWerkzamePersonen_7;WerkzamePersonenInLoondienst_8;WerkzamePersonenNietInLoondienst_9;DirecteurEigenaar_10;Inhuur_11;ExploitantenMetVrijwilligers_12;TotaalBaten_13;EntreeEnLesgelden_14;SponsorEnReclamegelden_15;SubsidiesEnBijdragen_16;OverigeBaten_17;TotaalLasten_18;LonenEnSocialeLasten_19;PersoneelNietInLoondienst_20;Huisvestingskosten_21;OnderhoudEnSchoonmaak_22;Kapitaallasten_23;OverigeLasten_24;Saldo_25
0;Totaal sportaccommodaties;2000;2525;;;;;15020;9690;8220;1470;;;;742;455;17;108;162;701;228;15;130;57;107;163;41
1;Totaal sportaccommodaties;2003;2540;;;;;17370;10480;8870;1610;;;;929;556;19;147;208;876;298;20;165;74;110;208;53
2;Totaal sportaccommodaties;2006;2370;;;;;16640;9570;8000;1570;;;;986;582;20;159;226;911;292;28;178;80;118;213;75
3;Totaal sportaccommodaties;2009;2680;;;;;18070;10330;8950;1380;;;;1176;673;23;205;274;1127;371;25;230;120;128;254;49
4;Totaal sportaccommodaties;2012;2805;;;;;17800;10260;8830;1430;;;;1197;685;27;212;273;1142;384;26;237;125;122;247;55
5;Totaal sportaccommodaties;2015;3170;;;47.0;62.0;17400;10450;8740;1710;57.0;43.0;54.0;1215;649;30;241;296;1161;386;43;252;110;120;249;54
6;Totaal sportaccommodaties;2018;3480;;;47.0;49.0;17830;10325;8645;1680;67.0;33.0;63.0;1289;695;26;208;358;1209;405;46;260;123;124;250;80
7;Totaal sportaccommodaties;2020;3685;;;41.0;45.0;17620;9475;8515;960;53.0;47.0;53.0;1115;570;15;326;203;1182;374;34;246;144;132;253;-68
8;Totaal sportaccommodaties;2021;3535;;;44.0;47.0;17670;8810;8050;760;58.0;42.0;54.0;1205;634;10;325;236;1196;347;80;293;119;127;230;44
9;Zwembaden;2000;440;;;;;7320;4030;3720;310;34.0;66.0;;275;151;1;95;28;273;117;6;61;21;26;41;2
10;Zwembaden;2003;495;;;;;8670;4550;4140;410;33.0;67.0;;370;203;1;131;35;364;158;10;81;33;27;54;6
11;Zwembaden;2006;455;;;;;8320;4430;3980;450;18.0;82.0;;402;218;1;143;40;390;158;15;91;38;27;60;12
12;Zwembaden;2009;490;;;;;9650;5100;4770;330;22.0;78.0;;524;287;1;181;55;515;215;11;121;52;31;86;9
13;Zwembaden;2012;475;;;;;9420;5100;4730;370;19.0;81.0;;526;289;1;187;49;514;216;11;120;54;30;82;12
14;Zwembaden;2015;480;;;79.0;71.0;9250;5090;4600;490;24.0;76.0;48.0;540;272;2;196;70;531;213;20;136;43;25;95;9
15;Zwembaden;2018;505;;;77.0;60.0;8870;4695;4305;390;36.0;64.0;57.0;531;266;1;153;111;513;212;19;130;50;29;73;19
16;Zwembaden;2020;495;;;65.0;52.0;8190;3940;3770;170;11.0;89.0;49.0;405;176;1;203;25;434;179;12;117;38;30;58;-30
17;Zwembaden;2021;505;;;76.0;54.0;7060;3400;3300;100;16.0;84.0;52.0;402;161;1;207;32;419;163;24;116;40;25;50;-6
18;Overige sportaccommodaties;2000;2085;1240.0;850.0;;;7700;5660;4500;1160;78.0;22.0;;467;304;16;13;134;428;111;9;69;36;81;122;39
19;Overige sportaccommodaties;2003;2045;1165.0;880.0;;;8700;5930;4730;1200;76.0;24.0;;559;353;18;16;173;512;140;10;84;41;83;154;47
20;Overige sportaccommodaties;2006;1915;1130.0;785.0;;;8320;5140;4020;1120;71.0;29.0;;584;364;19;16;186;521;134;13;87;42;91;153;63
21;Overige sportaccommodaties;2009;2190;1250.0;940.0;;;8420;5230;4180;1050;71.0;29.0;;652;386;22;24;219;612;156;14;109;68;97;168;40
22;Overige sportaccommodaties;2012;2330;1240.0;1090.0;;;8380;5160;4100;1060;69.0;31.0;;671;396;26;25;224;628;168;15;117;71;92;165;43
23;Overige sportaccommodaties;2015;2690;1440.0;1250.0;42.0;61.0;8150;5360;4140;1220;70.0;30.0;55.0;675;376;28;45;226;630;173;24;116;67;95;154;46
24;Overige sportaccommodaties;2018;2975;1585.0;1390.0;41.0;47.0;8960;5630;4340;1290;76.0;24.0;64.0;757;429;25;55;247;696;192;28;130;74;95;177;61
25;Overige sportaccommodaties;2020;3190;1765.0;1420.0;36.0;43.0;9430;5535;4745;790;63.0;37.0;54.0;710;394;14;124;178;748;195;22;129;105;102;195;-38
26;Overige sportaccommodaties;2021;3030;1635.0;1395.0;38.0;45.0;10610;5410;4750;660;65.0;35.0;54.0;804;473;9;118;203;777;184;56;177;79;102;180;50
