ID;AlleLeeftijden;Geslacht;RegioS2007;Perioden;TotaleBevolking_1;Autochtoon_2;Totaal1eEn2eGeneratie_3;k_1eGeneratie_4;k_2eGeneratie_5;Totaal1eEn2eGeneratie_6;k_1eGeneratie_7;k_2eGeneratie_8;Regiocode_9
0;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2008;16377048;13178824;1439077;591196;847881;1759147;1014009;745138;1
1;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2009;16403183;13172678;1448240;597793;850447;1782265;1014856;767409;1
2;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2010;16432585;13167161;1458894;605868;853026;1806530;1017220;789310;1
3;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2011;16464309;13161650;1471160;615053;856107;1831499;1020143;811356;1
4;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2012;16497210;13156282;1484282;624877;859405;1856646;1023460;833186;1
5;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2013;16530426;13151225;1497840;634987;862853;1881361;1027155;854206;1
6;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2014;16563236;13146172;1511320;644970;866350;1905744;1031303;874441;1
7;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2015;16595318;13140696;1524757;654786;869971;1929865;1035785;894080;1
8;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2016;16626943;13135037;1538212;664485;873727;1953694;1040673;913021;1
9;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2017;16657862;13128944;1551650;674096;877554;1977268;1045889;931379;1
10;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2018;16688289;13122499;1565096;683629;881467;2000694;1051444;949250;1
11;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2019;16718321;13115851;1578676;693191;885485;2023794;1057272;966522;1
12;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2020;16747844;13108792;1592313;702759;889554;2046739;1063299;983440;1
13;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2021;16776805;13101239;1606092;712395;893697;2069474;1069552;999922;1
14;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2022;16804899;13092993;1619960;722064;897896;2091946;1075945;1016001;1
15;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2023;16832048;13083571;1633994;731826;902168;2114483;1082569;1031914;1
16;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2024;16857955;13072993;1648150;741644;906506;2136812;1089243;1047569;1
17;Totaal over alle leeftijden;Mannen en vrouwen;Nederland;2025;16882447;13060855;1662476;751556;910920;2159116;1096053;1063063;1
18;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2008;1701636;1531522;96035;36810;59225;74079;44802;29277;1
19;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2009;1702772;1529610;96175;36675;59500;76987;45850;31137;1
20;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2010;1703935;1527412;96589;36830;59759;79934;47007;32927;1
21;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2011;1705140;1525410;96834;36799;60035;82896;48234;34662;1
22;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2012;1706473;1523609;97147;36900;60247;85717;49405;36312;1
23;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2013;1707887;1521753;97576;36998;60578;88558;50508;38050;1
24;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2014;1709361;1520048;97999;37078;60921;91314;51602;39712;1
25;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2015;1710964;1518271;98489;37286;61203;94204;52788;41416;1
26;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2016;1712601;1516572;98924;37455;61469;97105;53951;43154;1
27;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2017;1714217;1514825;99436;37686;61750;99956;55212;44744;1
28;Totaal over alle leeftijden;Mannen en vrouwen;Noord-Nederland (LD);2018;1715805;1513467;99631;37757;61874;102707;56295;46412;1
