ID;Perioden;TotaalAantalZeeschepen_1;Passagiersschepen_2;TotaalAantalBulkgoedschepen_3;Tankschepen_4;OverigeBulkschepen_5;TotaalAantalStukgoedschepen_6;Eenheidslading_7;OverigeStukgoedschepen_8;TotaleGTInhoud_9;GTInhoudPassagiersschepen_10;TotaleGTInhoudBulkschepen_11;GTInhoudTankschepen_12;GTInhoudOverigeBulkschepen_13;TotaleGTInhoudStukgoedschepen_14;GTInhoudSchepenVoorEenheidslading_15;GTInhoudOverigeStukgoedschepen_16
0;1900;600.0;;;;;;;;575.0;;;;;;;
1;1901;652.0;;;;;;;;;;;;;;;
2;1902;693.0;;;;;;;;;;;;;;;
3;1903;707.0;;;;;;;;;;;;;;;
4;1904;732.0;;;;;;;;;;;;;;;
5;1905;700.0;;;;;;;;715.0;;;;;;;
6;1906;775.0;;;;;;;;;;;;;;;
7;1907;727.0;;;;;;;;;;;;;;;
8;1908;686.0;;;;;;;;;;;;;;;
9;1909;729.0;;;;;;;;;;;;;;;
10;1910;715.0;;;;;;;;950.0;;;;;;;
11;1911;775.0;;;;;;;;;;;;;;;
12;1912;780.0;;;;;;;;;;;;;;;
13;1913;787.0;;;;;;;;;;;;;;;
14;1914;809.0;;;;;;;;;;;;;;;
15;1915;800.0;;;;;;;;1400.0;;;;;;;
16;1916;786.0;;;;;;;;3424.0;;;;;;;
17;1917;799.0;;;;;;;;3431.0;;;;;;;
18;1918;907.0;;;;;;;;3653.0;;;;;;;
19;1919;853.0;;;;;;;;3808.0;;;;;;;
20;1920;865.0;;;;;;;;1550.0;;;;;;;
21;1921;;;;;;;;;;;;;;;;
22;1922;;;;;;;;;;;;;;;;
23;1923;;;;;;;;;;;;;;;;
24;1924;;;;;;;;;;;;;;;;
25;1925;927.0;;;;;;;;2500.0;;;;;;;
26;1926;;;;;;;;;;;;;;;;
27;1927;;;;;;;;;;;;;;;;
28;1928;;;;;;;;;;;;;;;;
29;1929;;;;;;;;;;;;;;;;
30;1930;;;;;;;;;;;;;;;;
31;1931;990.0;;;;;;;;2852.0;;;;;;;
32;1932;1014.0;;;;;;;;2840.0;;;;;;;
33;1933;995.0;;;;;;;;2658.0;;;;;;;
34;1934;943.0;;;;;;;;2461.0;;;;;;;
35;1935;921.0;;;;;;;;2379.0;;;;;;;
36;1936;916.0;;;;;;;;2313.0;;;;;;;
37;1937;930.0;;;;;;;;2324.0;;;;;;;
38;1938;979.0;;;;;;;;2449.0;;;;;;;
39;1939;1028.0;;;;;;;;2650.0;;;;;;;
40;1940;1102.0;;;;;;;;2764.0;;;;;;;
41;1941;;;;;;;;;;;;;;;;
42;1942;;;;;;;;;;;;;;;;
43;1943;;;;;;;;;;;;;;;;
44;1944;;;;;;;;;;;;;;;;
45;1945;;;;;;;;;;;;;;;;
46;1946;;;;;;;;;;;;;;;;
47;1947;855.0;;;;;;;;1946.0;;;;;;;
48;1948;921.0;;;;;;;;2366.0;;;;;;;
49;1949;937.0;;;;;;;;2584.0;;;;;;;
50;1950;1035.0;117.0;;75.0;;;;;2796.0;820.0;;370.0;;;;
51;1951;1108.0;119.0;;87.0;;;;;2958.0;838.0;;484.0;;;;
52;1952;1141.0;120.0;;84.0;;;;;2983.0;850.0;;478.0;;;;
53;1953;1200.0;121.0;;92.0;;;;;3072.0;859.0;;498.0;;;;
54;1954;1226.0;118.0;;92.0;;;;;3166.0;831.0;;546.0;;;;
55;1955;1272.0;117.0;;98.0;;;;;3287.0;832.0;;607.0;;;;
56;1956;1338.0;112.0;;119.0;;;;;3608.0;823.0;;858.0;;;;
57;1957;1425.0;107.0;;130.0;;;;;3900.0;805.0;;1016.0;;;;
58;1958;1549.0;107.0;;131.0;;;;;4242.0;838.0;;1086.0;;;;
59;1959;1544.0;94.0;;133.0;;;;;4489.0;744.0;;1247.0;;;;
60;1960;1501.0;78.0;;118.0;;;;;4486.0;704.0;;1232.0;;;;
61;1961;1476.0;65.0;;115.0;;;;;4661.0;666.0;;1304.0;;;;
62;1962;1482.0;60.0;;114.0;;;;;4787.0;637.0;;1425.0;;;;
63;1963;1496.0;57.0;;121.0;;;;;5021.0;610.0;;1609.0;;;;
64;1964;1455.0;50.0;;121.0;;;;;4950.0;530.0;;1699.0;;;;
65;1965;1441.0;46.0;;126.0;;;;;4911.0;504.0;;1696.0;;;;
66;1966;1402.0;41.0;;115.0;;;;;4686.0;450.0;;1518.0;;;;
67;1967;1349.0;39.0;;108.0;;;;;4560.0;420.0;;1451.0;;;;
68;1968;1297.0;31.0;;107.0;;;;;4545.0;369.0;;1427.0;;;;
69;1969;1218.0;21.0;;103.0;;;;;4256.0;257.0;;1326.0;;;;
70;1970;1088.0;16.0;;102.0;;;;;4089.0;216.0;;1301.0;;;;
71;1971;1017.0;14.0;;98.0;;;;;3955.0;196.0;;1232.0;;;;
72;1972;941.0;12.0;;92.0;;;;;3878.0;177.0;;1167.0;;;;
73;1973;786.0;6.0;;80.0;;;;;3326.0;77.0;;1023.0;;;;
74;1974;702.0;5.0;;78.0;;;;;3355.0;39.0;;1123.0;;;;
75;1975;649.0;5.0;;84.0;;;;;3303.0;30.0;;1110.0;;;;
76;1976;615.0;5.0;;73.0;;;;;3223.0;32.0;;1015.0;;;;
77;1977;591.0;5.0;;73.0;;;;;3173.0;32.0;;980.0;;;;
78;1978;553.0;5.0;;69.0;;;;;3040.0;32.0;;920.0;;;;
79;1979;541.0;5.0;;58.0;;;;;2927.0;38.0;;772.0;;;;
80;1980;557.0;5.0;;57.0;;;;;3305.0;38.0;;897.0;;;;
81;1981;552.0;4.0;;58.0;;;;;3443.0;32.0;;1006.0;;;;
82;1982;550.0;5.0;;63.0;;;;;3417.0;34.0;;989.0;;;;
83;1983;554.0;7.0;;62.0;;;;;3467.0;39.0;;1008.0;;;;
84;1984;562.0;7.0;;60.0;;;20.0;;3563.0;39.0;;854.0;;;586.0;
85;1985;550.0;6.0;;58.0;;;21.0;;3462.0;36.0;;734.0;;;632.0;
86;1986;558.0;4.0;;65.0;;;21.0;;3387.0;20.0;;631.0;;;615.0;
87;1987;549.0;4.0;;69.0;;;22.0;;3276.0;49.0;;721.0;;;599.0;
88;1988;473.0;4.0;;59.0;;;22.0;;2892.0;77.0;;677.0;;;607.0;
89;1989;428.0;4.0;;57.0;;;19.0;;2804.0;77.0;;667.0;;;546.0;
90;1990;401.0;3.0;251.0;55.0;196.0;147.0;24.0;123.0;2767.0;90.0;1395.0;650.0;745.0;1282.0;603.0;679.0
91;1991;395.0;4.0;258.0;55.0;203.0;133.0;26.0;107.0;2840.0;97.0;1484.0;672.0;812.0;1259.0;616.0;643.0
92;1992;393.0;4.0;265.0;57.0;208.0;124.0;30.0;94.0;2856.0;97.0;1507.0;676.0;831.0;1252.0;718.0;534.0
93;1993;397.0;6.0;272.0;50.0;222.0;119.0;34.0;85.0;2864.0;120.0;1424.0;638.0;786.0;1320.0;890.0;430.0
94;1994;368.0;6.0;254.0;50.0;204.0;108.0;40.0;68.0;2653.0;136.0;1180.0;646.0;534.0;1337.0;1003.0;334.0
95;1995;383.0;6.0;253.0;50.0;203.0;124.0;45.0;79.0;2881.0;147.0;1177.0;614.0;563.0;1557.0;1186.0;371.0
96;1996;383.0;6.0;153.0;50.0;103.0;224.0;41.0;183.0;2828.0;147.0;932.0;591.0;341.0;1749.0;1120.0;629.0
97;1997;439.0;12.0;181.0;63.0;118.0;246.0;48.0;198.0;3425.0;453.0;1093.0;744.0;349.0;1879.0;1223.0;656.0
98;1998;481.0;12.0;196.0;57.0;139.0;273.0;53.0;220.0;3329.0;462.0;855.0;432.0;423.0;2012.0;1251.0;761.0
99;1999;524.0;12.0;214.0;59.0;155.0;298.0;64.0;234.0;3644.0;462.0;962.0;458.0;504.0;2220.0;1399.0;821.0
100;2000;558.0;13.0;222.0;56.0;166.0;323.0;75.0;248.0;3971.0;523.0;1027.0;481.0;546.0;2421.0;1516.0;905.0
101;2001;591.0;15.0;220.0;61.0;159.0;356.0;80.0;276.0;4393.0;644.0;1033.0;518.0;515.0;2716.0;1588.0;1128.0
102;2002;607.0;17.0;231.0;59.0;172.0;359.0;81.0;278.0;4760.0;733.0;1157.0;510.0;647.0;2870.0;1655.0;1215.0
103;2003;619.0;15.0;253.0;59.0;194.0;351.0;80.0;271.0;4780.0;653.0;1237.0;491.0;746.0;2890.0;1659.0;1231.0
104;2004;622.0;17.0;262.0;61.0;201.0;343.0;87.0;256.0;4755.0;619.0;1275.0;497.0;778.0;2861.0;1671.0;1190.0
105;2005;600.0;19.0;269.0;60.0;209.0;312.0;81.0;231.0;4934.0;943.0;1339.0;481.0;858.0;2652.0;1559.0;1093.0
