ID;TypeJeugdzorg;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;TotaalJongerenMetJeugdzorg_5;k_0Tot4Jaar_6;k_4Tot12Jaar_7;k_12Tot18Jaar_8;k_18Tot23Jaar_9;ThuiswonendKindInEenouderGezin_10;ThuiswonendKindInTweeouderGezin_11;AndereHuishoudens_12;TotaalJeugdzorgtrajecten_13;StabilisatieVanEenCrisissituatie_14;Diagnostiek_15;Begeleiden_16;Behandelen_17;GemeentelijkeToegang_18;Huisarts_19;Jeugdarts_20;GecertificeerdeInstelling_21;MedischSpecialist_22;RechterOfficierVanJustitie_23;GeenVerwijzer_24;VerwijzerOnbekend_25
0;Totaal jeugdzorg;Nederland;1e halfjaar 2016;                                        ;         ;NL01      ;;328210.0;17835.0;162030.0;136385.0;11960.0;88455.0;208400.0;31355.0;448445.0;6260.0;19770.0;93590.0;281450.0;88335.0;160605.0;7120.0;38775.0;24685.0;450.0;41975.0;39125.0
1;Totaal jeugdzorg;Nederland;2e halfjaar 2016;                                        ;         ;NL01      ;;345220.0;23195.0;173880.0;137880.0;10265.0;93405.0;218940.0;32870.0;476915.0;7065.0;23530.0;105505.0;294365.0;101835.0;167545.0;8245.0;40265.0;26145.0;765.0;47905.0;37755.0
2;Totaal jeugdzorg;Nederland;2016;                                        ;         ;NL01      ;;392960.0;25480.0;196285.0;158100.0;13095.0;106420.0;250945.0;35595.0;570830.0;10995.0;30020.0;121290.0;352355.0;118980.0;203600.0;9865.0;49100.0;30990.0;850.0;56455.0;44820.0
3;Totaal jeugdzorg;Aa en Hunze;1e halfjaar 2016;Aa en Hunze                             ;Gemeente ;GM1680    ;;470.0;10.0;220.0;220.0;20.0;85.0;320.0;65.0;600.0;;35.0;45.0;445.0;65.0;265.0;;55.0;55.0;;;75.0
4;Totaal jeugdzorg;Aa en Hunze;2e halfjaar 2016;Aa en Hunze                             ;Gemeente ;GM1680    ;;475.0;15.0;215.0;220.0;20.0;85.0;330.0;60.0;620.0;;40.0;50.0;450.0;70.0;265.0;;60.0;65.0;;;75.0
5;Totaal jeugdzorg;Aa en Hunze;2016;Aa en Hunze                             ;Gemeente ;GM1680    ;;520.0;15.0;240.0;245.0;20.0;90.0;365.0;65.0;695.0;10.0;45.0;55.0;515.0;90.0;305.0;10.0;70.0;65.0;;;75.0
6;Totaal jeugdzorg;Wijk 00 Annen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0;65.0;;40.0;25.0;;10.0;50.0;;85.0;;;;65.0;10.0;45.0;;;15.0;;;
7;Totaal jeugdzorg;Wijk 00 Annen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0;65.0;;40.0;30.0;;10.0;50.0;;85.0;;;;65.0;10.0;45.0;;;15.0;;;
8;Totaal jeugdzorg;Wijk 00 Annen;2016;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0;75.0;;40.0;35.0;;10.0;55.0;;100.0;;;;75.0;10.0;55.0;;;15.0;;;
9;Totaal jeugdzorg;Wijk 01 Eext;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0;25.0;;10.0;15.0;;;25.0;;30.0;;;;25.0;;20.0;;;;;;
10;Totaal jeugdzorg;Wijk 01 Eext;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0;25.0;;10.0;10.0;;;20.0;;30.0;;;;25.0;;15.0;;;;;;
11;Totaal jeugdzorg;Wijk 01 Eext;2016;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0;25.0;;10.0;15.0;;;25.0;;30.0;;;;25.0;;20.0;;;;;;
12;Totaal jeugdzorg;Wijk 02 Anloo;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0;10.0;;;;;;;;10.0;;;;;;;;;;;;
13;Totaal jeugdzorg;Wijk 02 Anloo;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0;10.0;;;;;;;;10.0;;;;;;;;;;;;
14;Totaal jeugdzorg;Wijk 02 Anloo;2016;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0;10.0;;;;;;;;10.0;;;;;;;;;;;;
15;Totaal jeugdzorg;Wijk 03 Gasteren;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0;;;;;;;;;;;;;;;;;;;;;
16;Totaal jeugdzorg;Wijk 03 Gasteren;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0;;;;;;;;;;;;;;;;;;;;;
17;Totaal jeugdzorg;Wijk 03 Gasteren;2016;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0;;;;;;;;;10.0;;;;;;;;;;;;
18;Totaal jeugdzorg;Wijk 04 Anderen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0;;;;;;;;;;;;;;;;;;;;;
19;Totaal jeugdzorg;Wijk 04 Anderen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0;;;;;;;;;;;;;;;;;;;;;
20;Totaal jeugdzorg;Wijk 04 Anderen;2016;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0;;;;;;;;;;;;;;;;;;;;;
21;Totaal jeugdzorg;Wijk 05 Schipborg;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0;10.0;;;;;;;;10.0;;;;10.0;;;;;;;;
22;Totaal jeugdzorg;Wijk 05 Schipborg;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0;;;;;;;;;10.0;;;;10.0;;;;;;;;
23;Totaal jeugdzorg;Wijk 05 Schipborg;2016;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0;10.0;;;;;;;;10.0;;;;10.0;;;;;;;;
24;Totaal jeugdzorg;Wijk 06 Eexterveen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0;10.0;;;;;;10.0;;10.0;;;;10.0;;10.0;;;;;;
25;Totaal jeugdzorg;Wijk 06 Eexterveen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0;10.0;;;;;;10.0;;10.0;;;;10.0;;;;;;;;
26;Totaal jeugdzorg;Wijk 06 Eexterveen;2016;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0;10.0;;;;;;10.0;;10.0;;;;10.0;;10.0;;;;;;
27;Totaal jeugdzorg;Wijk 07 Spijkerboor;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0;;;;;;;;;;;;;;;;;;;;;
28;Totaal jeugdzorg;Wijk 07 Spijkerboor;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0;;;;;;;;;;;;;;;;;;;;;
29;Totaal jeugdzorg;Wijk 07 Spijkerboor;2016;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0;;;;;;;;;;;;;;;;;;;;;
30;Totaal jeugdzorg;Wijk 08 Nieuw-Annerveen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0;;;;;;;;;;;;;;;;;;;;;
31;Totaal jeugdzorg;Wijk 08 Nieuw-Annerveen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0;;;;;;;;;;;;;;;;;;;;;
32;Totaal jeugdzorg;Wijk 08 Nieuw-Annerveen;2016;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0;;;;;;;;;;;;;;;;;;;;;
33;Totaal jeugdzorg;Wijk 09 Oud-Annerveen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0;;;;;;;;;;;;;;;;;;;;;
34;Totaal jeugdzorg;Wijk 09 Oud-Annerveen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0;;;;;;;;;;;;;;;;;;;;;
35;Totaal jeugdzorg;Wijk 09 Oud-Annerveen;2016;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0;;;;;;;;;;;;;;;;;;;;;
36;Totaal jeugdzorg;Wijk 11 Annerveenschekanaal;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0;15.0;;;;;;;10.0;30.0;;;;10.0;;;;10.0;;;;
37;Totaal jeugdzorg;Wijk 11 Annerveenschekanaal;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0;10.0;;;;;;;10.0;25.0;;;;10.0;;;;10.0;;;;
38;Totaal jeugdzorg;Wijk 11 Annerveenschekanaal;2016;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0;15.0;;;;;;;10.0;30.0;;;;10.0;;;;10.0;;;;
39;Totaal jeugdzorg;Wijk 12 Eexterveenschekanaal;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0;;;;;;;;;10.0;;;;;;;;;;;;
40;Totaal jeugdzorg;Wijk 12 Eexterveenschekanaal;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0;;;;;;;;;10.0;;;;;;;;;;;;
41;Totaal jeugdzorg;Wijk 12 Eexterveenschekanaal;2016;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0;;;;;;;;;10.0;;;;;;;;;;;;
42;Totaal jeugdzorg;Wijk 13 Eexterzandvoort;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0;;;;;;;;;;;;;;;;;;;;;
43;Totaal jeugdzorg;Wijk 13 Eexterzandvoort;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0;;;;;;;;;;;;;;;;;;;;;
44;Totaal jeugdzorg;Wijk 13 Eexterzandvoort;2016;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0;;;;;;;;;;;;;;;;;;;;;
45;Totaal jeugdzorg;Wijk 14 Gasselte;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0;40.0;;20.0;20.0;;;30.0;;45.0;;;;35.0;;20.0;;;;;;10.0
46;Totaal jeugdzorg;Wijk 14 Gasselte;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0;40.0;;20.0;20.0;;10.0;30.0;;45.0;;;;40.0;;20.0;;;;;;10.0
47;Totaal jeugdzorg;Wijk 14 Gasselte;2016;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0;45.0;;20.0;20.0;;10.0;35.0;;50.0;;;;40.0;;25.0;;;;;;10.0
48;Totaal jeugdzorg;Wijk 15 Gasselternijveen;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0;40.0;;25.0;10.0;;10.0;25.0;10.0;65.0;;;10.0;35.0;;20.0;;10.0;;;;10.0
49;Totaal jeugdzorg;Wijk 15 Gasselternijveen;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0;35.0;;20.0;15.0;;;25.0;;60.0;;;10.0;35.0;;20.0;;15.0;10.0;;;10.0
50;Totaal jeugdzorg;Wijk 15 Gasselternijveen;2016;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0;40.0;;25.0;15.0;;;30.0;;75.0;;;10.0;45.0;;20.0;;20.0;10.0;;;10.0
51;Totaal jeugdzorg;Wijk 16 Gasselternijveenschemond;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0;15.0;;;;;;10.0;;20.0;;;;15.0;;10.0;;;;;;
52;Totaal jeugdzorg;Wijk 16 Gasselternijveenschemond;2e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0;10.0;;;;;;10.0;;15.0;;;;15.0;;;;;;;;
53;Totaal jeugdzorg;Wijk 16 Gasselternijveenschemond;2016;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0;15.0;;;;;;10.0;;20.0;;;;15.0;;10.0;;;;;;
54;Totaal jeugdzorg;Wijk 17 Gieten;1e halfjaar 2016;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0;95.0;;40.0;50.0;;30.0;55.0;10.0;125.0;;;;95.0;20.0;55.0;;;;;;25.0
