ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantHuishBehorendeTotDoelpopulatie_2;AantHuishMetEenLaagInkomen_3;AantHuishOnderOfRondSocMin_4
0;Nederland;Totaal particulier huishouden;6725.6;6432.3;9.0;9.0
1;Nederland;Eenpersoonshuishouden;2123.2;2014.2;14.0;13.0
2;Nederland;Paar zonder kinderen;1992.6;1932.8;4.0;4.0
3;Nederland;Paar met kinderen;1983.0;1901.8;8.0;5.0
4;Nederland;Eenoudergezin;411.3;383.1;22.0;27.0
5;Noord-Nederland (LD);Totaal particulier huishouden;700.7;673.9;10.0;9.0
6;Noord-Nederland (LD);Eenpersoonshuishouden;213.0;204.3;15.0;14.0
7;Noord-Nederland (LD);Paar zonder kinderen;224.6;217.8;4.0;5.0
8;Noord-Nederland (LD);Paar met kinderen;207.8;199.9;9.0;6.0
9;Noord-Nederland (LD);Eenoudergezin;38.6;36.3;23.0;29.0
10;Oost-Nederland (LD);Totaal particulier huishouden;1354.8;1303.5;9.0;8.0
11;Oost-Nederland (LD);Eenpersoonshuishouden;378.8;361.8;13.0;12.0
12;Oost-Nederland (LD);Paar zonder kinderen;410.6;399.7;4.0;4.0
13;Oost-Nederland (LD);Paar met kinderen;443.9;428.0;7.0;5.0
14;Oost-Nederland (LD);Eenoudergezin;74.5;69.6;21.0;26.0
15;West-Nederland (LD);Totaal particulier huishouden;3225.7;3071.7;10.0;9.0
16;West-Nederland (LD);Eenpersoonshuishouden;1123.0;1059.2;14.0;14.0
17;West-Nederland (LD);Paar zonder kinderen;896.5;868.8;4.0;4.0
18;West-Nederland (LD);Paar met kinderen;881.3;843.0;8.0;5.0
19;West-Nederland (LD);Eenoudergezin;219.2;203.5;22.0;27.0
20;Zuid-Nederland (LD);Totaal particulier huishouden;1444.4;1383.2;9.0;8.0
21;Zuid-Nederland (LD);Eenpersoonshuishouden;408.4;388.9;13.0;13.0
22;Zuid-Nederland (LD);Paar zonder kinderen;460.9;446.5;4.0;4.0
23;Zuid-Nederland (LD);Paar met kinderen;449.9;430.9;7.0;5.0
24;Zuid-Nederland (LD);Eenoudergezin;79.1;73.6;22.0;26.0
25;Groningen (PV);Totaal particulier huishouden;239.9;229.8;11.0;10.0
26;Groningen (PV);Eenpersoonshuishouden;79.7;76.1;17.0;15.0
27;Groningen (PV);Paar zonder kinderen;75.2;72.6;5.0;5.0
28;Groningen (PV);Paar met kinderen;64.7;62.1;9.0;6.0
29;Groningen (PV);Eenoudergezin;14.5;13.7;25.0;31.0
30;Friesland (PV);Totaal particulier huishouden;263.2;253.1;10.0;9.0
31;Friesland (PV);Eenpersoonshuishouden;79.2;75.9;15.0;14.0
32;Friesland (PV);Paar zonder kinderen;82.7;80.3;5.0;5.0
33;Friesland (PV);Paar met kinderen;81.2;78.2;9.0;6.0
34;Friesland (PV);Eenoudergezin;14.3;13.5;22.0;27.0
35;Drenthe (PV);Totaal particulier huishouden;197.6;191.0;8.0;8.0
36;Drenthe (PV);Eenpersoonshuishouden;54.1;52.3;12.0;11.0
37;Drenthe (PV);Paar zonder kinderen;66.6;64.9;4.0;4.0
38;Drenthe (PV);Paar met kinderen;61.9;59.6;8.0;6.0
39;Drenthe (PV);Eenoudergezin;9.7;9.2;23.0;29.0
40;Overijssel (PV);Totaal particulier huishouden;435.2;419.2;9.0;8.0
41;Overijssel (PV);Eenpersoonshuishouden;122.3;117.2;13.0;12.0
42;Overijssel (PV);Paar zonder kinderen;132.6;129.0;4.0;4.0
43;Overijssel (PV);Paar met kinderen;143.2;138.1;8.0;5.0
44;Overijssel (PV);Eenoudergezin;22.2;20.8;21.0;27.0
45;Flevoland (PV);Totaal particulier huishouden;140.1;133.1;10.0;9.0
46;Flevoland (PV);Eenpersoonshuishouden;35.6;33.3;15.0;14.0
47;Flevoland (PV);Paar zonder kinderen;38.3;37.1;4.0;4.0
48;Flevoland (PV);Paar met kinderen;50.3;48.0;8.0;6.0
49;Flevoland (PV);Eenoudergezin;10.9;10.0;24.0;28.0
50;Gelderland (PV);Totaal particulier huishouden;779.5;751.2;8.0;8.0
51;Gelderland (PV);Eenpersoonshuishouden;220.9;211.4;13.0;12.0
52;Gelderland (PV);Paar zonder kinderen;239.7;233.6;4.0;4.0
53;Gelderland (PV);Paar met kinderen;250.5;241.8;7.0;5.0
