ID;Afzet;Producten;Perioden;Prijsindexcijfers_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3
0;Totale Nederlandse afzet;CDE Nijverheid;1995 januari;100.0;0.0;0.0
1;Totale Nederlandse afzet;CDE Nijverheid;1995 februari;101.0;0.19;0.0
2;Totale Nederlandse afzet;CDE Nijverheid;1995 maart;100.0;-0.36;0.0
3;Totale Nederlandse afzet;CDE Nijverheid;1995 april;100.0;0.03;0.0
4;Totale Nederlandse afzet;CDE Nijverheid;1995 mei;100.0;0.02;0.0
5;Totale Nederlandse afzet;CDE Nijverheid;1995 juni;100.0;-0.11;0.0
6;Totale Nederlandse afzet;CDE Nijverheid;1995 juli;100.0;-0.45;0.0
7;Totale Nederlandse afzet;CDE Nijverheid;1995 augustus;100.0;0.3;0.0
8;Totale Nederlandse afzet;CDE Nijverheid;1995 september;100.0;0.06;0.0
9;Totale Nederlandse afzet;CDE Nijverheid;1995 oktober;99.0;-0.83;0.0
10;Totale Nederlandse afzet;CDE Nijverheid;1995 november;99.0;-0.05;0.0
11;Totale Nederlandse afzet;CDE Nijverheid;1995 december;99.0;0.24;0.0
12;Totale Nederlandse afzet;CDE Nijverheid;1995;100.0;;0.0
13;Totale Nederlandse afzet;CDE Nijverheid;1996 januari;100.0;0.64;-0.34
14;Totale Nederlandse afzet;CDE Nijverheid;1996 februari;100.0;0.17;-0.36
15;Totale Nederlandse afzet;CDE Nijverheid;1996 maart;101.0;0.43;0.43
16;Totale Nederlandse afzet;CDE Nijverheid;1996 april;101.0;0.81;1.21
17;Totale Nederlandse afzet;CDE Nijverheid;1996 mei;102.0;0.07;1.27
18;Totale Nederlandse afzet;CDE Nijverheid;1996 juni;101.0;-0.4;0.98
19;Totale Nederlandse afzet;CDE Nijverheid;1996 juli;101.0;0.19;1.63
20;Totale Nederlandse afzet;CDE Nijverheid;1996 augustus;101.0;0.1;1.43
21;Totale Nederlandse afzet;CDE Nijverheid;1996 september;102.0;0.82;2.2
22;Totale Nederlandse afzet;CDE Nijverheid;1996 oktober;103.0;0.36;3.44
23;Totale Nederlandse afzet;CDE Nijverheid;1996 november;102.0;-0.4;3.07
24;Totale Nederlandse afzet;CDE Nijverheid;1996 december;103.0;0.36;3.19
25;Totale Nederlandse afzet;CDE Nijverheid;1996;101.0;;1.51
26;Totale Nederlandse afzet;CDE Nijverheid;1997 januari;103.0;0.87;3.42
27;Totale Nederlandse afzet;CDE Nijverheid;1997 februari;103.0;-0.1;3.15
28;Totale Nederlandse afzet;CDE Nijverheid;1997 maart;103.0;0.07;2.78
29;Totale Nederlandse afzet;CDE Nijverheid;1997 april;104.0;0.71;2.68
30;Totale Nederlandse afzet;CDE Nijverheid;1997 mei;105.0;0.59;3.21
31;Totale Nederlandse afzet;CDE Nijverheid;1997 juni;104.0;-0.37;3.24
32;Totale Nederlandse afzet;CDE Nijverheid;1997juli;105.0;0.41;3.46
33;Totale Nederlandse afzet;CDE Nijverheid;1997 augustus;106.0;0.97;4.36
34;Totale Nederlandse afzet;CDE Nijverheid;1997 september;106.0;-0.2;3.31
35;Totale Nederlandse afzet;CDE Nijverheid;1997 oktober;106.0;0.12;3.06
36;Totale Nederlandse afzet;CDE Nijverheid;1997 november;106.0;-0.19;3.28
37;Totale Nederlandse afzet;CDE Nijverheid;1997 december;105.0;-0.47;2.43
38;Totale Nederlandse afzet;CDE Nijverheid;1997;105.0;;3.2
39;Totale Nederlandse afzet;CDE Nijverheid;1998 januari;105.0;0.02;1.56
40;Totale Nederlandse afzet;CDE Nijverheid;1998 februari;105.0;-0.36;1.29
41;Totale Nederlandse afzet;CDE Nijverheid;1998 maart;104.0;-0.28;0.93
42;Totale Nederlandse afzet;CDE Nijverheid;1998 april;104.0;-0.47;-0.26
43;Totale Nederlandse afzet;CDE Nijverheid;1998 mei;103.0;-0.46;-1.29
44;Totale Nederlandse afzet;CDE Nijverheid;1998 juni;103.0;-0.47;-1.39
45;Totale Nederlandse afzet;CDE Nijverheid;1998 juli;102.0;-0.56;-2.35
46;Totale Nederlandse afzet;CDE Nijverheid;1998 augustus;102.0;-0.58;-3.85
47;Totale Nederlandse afzet;CDE Nijverheid;1998 september;101.0;-0.29;-3.93
48;Totale Nederlandse afzet;CDE Nijverheid;1998 oktober;101.0;-0.8;-4.81
49;Totale Nederlandse afzet;CDE Nijverheid;1998 november;100.0;-0.23;-4.85
50;Totale Nederlandse afzet;CDE Nijverheid;1998 december;100.0;-0.47;-4.85
51;Totale Nederlandse afzet;CDE Nijverheid;1998;103.0;;-2.0
52;Totale Nederlandse afzet;CDE Nijverheid;1999 januari;99.0;-0.48;-5.32
53;Totale Nederlandse afzet;CDE Nijverheid;1999 februari;99.0;-0.26;-5.22
54;Totale Nederlandse afzet;CDE Nijverheid;1999 maart;100.0;0.73;-4.26
55;Totale Nederlandse afzet;CDE Nijverheid;1999 april;100.0;0.46;-3.37
56;Totale Nederlandse afzet;CDE Nijverheid;1999 mei;101.0;0.17;-2.77
57;Totale Nederlandse afzet;CDE Nijverheid;1999 juni;101.0;0.51;-1.81
58;Totale Nederlandse afzet;CDE Nijverheid;1999 juli;102.0;1.35;0.08
59;Totale Nederlandse afzet;CDE Nijverheid;1999 augustus;103.0;0.62;1.29
60;Totale Nederlandse afzet;CDE Nijverheid;1999 september;104.0;0.88;2.48
61;Totale Nederlandse afzet;CDE Nijverheid;1999 oktober;105.0;0.95;4.28
62;Totale Nederlandse afzet;CDE Nijverheid;1999 november;106.0;1.08;5.65
63;Totale Nederlandse afzet;CDE Nijverheid;1999 december;107.0;0.97;7.18
64;Totale Nederlandse afzet;CDE Nijverheid;1999;102.0;;-0.22
65;Totale Nederlandse afzet;CDE Nijverheid;2000 januari;109.0;1.46;9.28
66;Totale Nederlandse afzet;CDE Nijverheid;2000 februari;110.0;1.34;11.02
67;Totale Nederlandse afzet;CDE Nijverheid;2000 maart;111.0;1.14;11.47
68;Totale Nederlandse afzet;CDE Nijverheid;2000 april;112.0;0.58;11.61
69;Totale Nederlandse afzet;CDE Nijverheid;2000 mei;114.0;1.58;13.19
70;Totale Nederlandse afzet;CDE Nijverheid;2000 juni;115.0;0.65;13.35
71;Totale Nederlandse afzet;CDE Nijverheid;2000 juli;116.0;0.88;12.83
72;Totale Nederlandse afzet;CDE Nijverheid;2000 augustus;116.0;0.79;13.02
73;Totale Nederlandse afzet;CDE Nijverheid;2000 september;119.0;1.92;14.19
74;Totale Nederlandse afzet;CDE Nijverheid;2000 oktober;120.0;1.06;14.32
75;Totale Nederlandse afzet;CDE Nijverheid;2000 november;120.0;0.04;13.14
76;Totale Nederlandse afzet;CDE Nijverheid;2000 december;118.0;-1.66;10.2
77;Totale Nederlandse afzet;CDE Nijverheid;2000;115.0;;12.32
78;Totale Nederlandse afzet;CDE Nijverheid;2001 januari;118.0;0.24;8.86
79;Totale Nederlandse afzet;CDE Nijverheid;2001 februari;120.0;1.0;8.51
80;Totale Nederlandse afzet;CDE Nijverheid;2001 maart;119.0;-0.17;7.1
81;Totale Nederlandse afzet;CDE Nijverheid;2001 april;119.0;0.07;6.55
82;Totale Nederlandse afzet;CDE Nijverheid;2001 mei;120.0;0.87;5.8
83;Totale Nederlandse afzet;CDE Nijverheid;2001 juni;120.0;-0.64;4.44
84;Totale Nederlandse afzet;CDE Nijverheid;2001 juli;118.0;-1.54;1.94
85;Totale Nederlandse afzet;CDE Nijverheid;2001 augustus;117.0;-0.58;0.55
86;Totale Nederlandse afzet;CDE Nijverheid;2001 september;118.0;0.34;-1.01
87;Totale Nederlandse afzet;CDE Nijverheid;2001 oktober;116.0;-1.55;-3.57
88;Totale Nederlandse afzet;CDE Nijverheid;2001 november;115.0;-0.69;-4.27
89;Totale Nederlandse afzet;CDE Nijverheid;2001 december;115.0;-0.31;-2.95
90;Totale Nederlandse afzet;CDE Nijverheid;2001;118.0;;2.52
91;Totale Nederlandse afzet;CDE Nijverheid;2002 januari;115.0;0.31;-2.89
92;Totale Nederlandse afzet;CDE Nijverheid;2002 februari;115.0;0.11;-3.75
93;Totale Nederlandse afzet;CDE Nijverheid;2002 maart;116.0;0.66;-2.94
94;Totale Nederlandse afzet;CDE Nijverheid;2002 april;117.0;1.17;-1.87
95;Totale Nederlandse afzet;CDE Nijverheid;2002 mei;117.0;-0.53;-3.23
96;Totale Nederlandse afzet;CDE Nijverheid;2002 juni;116.0;-0.48;-3.07
97;Totale Nederlandse afzet;CDE Nijverheid;2002 juli;117.0;0.99;-0.58
98;Totale Nederlandse afzet;CDE Nijverheid;2002 augustus;118.0;0.96;0.96
99;Totale Nederlandse afzet;CDE Nijverheid;2002 september;120.0;1.37;1.99
100;Totale Nederlandse afzet;CDE Nijverheid;2002 oktober;120.0;0.44;4.05
101;Totale Nederlandse afzet;CDE Nijverheid;2002 november;119.0;-1.05;3.67
102;Totale Nederlandse afzet;CDE Nijverheid;2002 december;120.0;1.14;5.18
103;Totale Nederlandse afzet;CDE Nijverheid;2002;118.0;;-0.25
104;Totale Nederlandse afzet;CDE Nijverheid;2003 januari;123.0;1.72;6.67
105;Totale Nederlandse afzet;CDE Nijverheid;2003 februari;124.0;1.22;7.85
106;Totale Nederlandse afzet;CDE Nijverheid;2003 maart;123.0;-0.71;6.39
107;Totale Nederlandse afzet;CDE Nijverheid;2003 april;121.0;-1.84;3.22
108;Totale Nederlandse afzet;CDE Nijverheid;2003 mei;120.0;-1.17;2.55
109;Totale Nederlandse afzet;CDE Nijverheid;2003 juni;120.0;0.16;3.21
110;Totale Nederlandse afzet;CDE Nijverheid;2003 juli;119.0;-0.66;1.52
111;Totale Nederlandse afzet;CDE Nijverheid;2003 augustus;121.0;1.4;1.97
112;Totale Nederlandse afzet;CDE Nijverheid;2003 september;121.0;0.19;0.79
113;Totale Nederlandse afzet;CDE Nijverheid;2003 oktober;121.0;0.41;0.76
114;Totale Nederlandse afzet;CDE Nijverheid;2003 november;122.0;0.48;2.32
115;Totale Nederlandse afzet;CDE Nijverheid;2003 december;121.0;-0.81;0.34
116;Totale Nederlandse afzet;CDE Nijverheid;2003;121.0;;3.1
117;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 januari;100.0;0.0;0.0
118;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 februari;101.0;0.21;0.0
119;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 maart;100.0;-0.39;0.0
120;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 april;100.0;0.02;0.0
121;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 mei;100.0;0.01;0.0
122;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 juni;100.0;-0.12;0.0
123;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 juli;100.0;-0.38;0.0
124;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 augustus;100.0;0.32;0.0
125;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 september;100.0;0.06;0.0
126;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 oktober;99.0;-0.9;0.0
127;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 november;99.0;-0.05;0.0
128;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995 december;99.0;0.26;0.0
129;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1995;100.0;;0.0
130;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 januari;100.0;0.6;-0.37
131;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 februari;100.0;0.18;-0.4
132;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 maart;101.0;0.46;0.45
133;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 april;102.0;0.88;1.32
134;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 mei;102.0;0.1;1.41
135;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 juni;101.0;-0.43;1.1
136;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 juli;101.0;0.09;1.57
137;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 augustus;101.0;0.11;1.36
138;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 september;102.0;0.85;2.16
139;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 oktober;103.0;0.38;3.48
140;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 november;102.0;-0.43;3.09
141;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996 december;103.0;0.38;3.21
142;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1996;101.0;;1.53
143;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 januari;103.0;0.72;3.33
144;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 februari;103.0;-0.11;3.03
145;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 maart;103.0;0.07;2.63
146;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 april;104.0;0.69;2.44
147;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 mei;105.0;0.61;2.96
148;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 juni;104.0;-0.4;2.99
149;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997juli;105.0;0.4;3.31
150;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 augustus;106.0;1.04;4.26
151;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 september;105.0;-0.22;3.15
152;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 oktober;106.0;0.11;2.88
153;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 november;105.0;-0.2;3.12
154;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997 december;105.0;-0.5;2.22
155;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1997;105.0;;3.03
156;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 januari;105.0;0.04;1.52
157;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 februari;104.0;-0.39;1.24
158;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 maart;104.0;-0.3;0.86
159;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 april;104.0;-0.5;-0.33
160;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 mei;103.0;-0.49;-1.41
161;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 juni;103.0;-0.5;-1.52
162;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 juli;102.0;-0.46;-2.36
163;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 augustus;102.0;-0.62;-3.96
164;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 september;101.0;-0.31;-4.04
165;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 oktober;100.0;-0.89;-5.01
166;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 november;100.0;-0.25;-5.06
167;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998 december;100.0;-0.5;-5.05
168;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1998;102.0;;-2.11
169;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 januari;99.0;-0.34;-5.41
