ID;PlantProtectionProducts;Periods;SalesActiveIngredient_1;SalesActiveIngredientIndexnumber_2
119;F02 Fung. carbamates , dithiocarbamates;2017;2806.0;119.0
120;F02 Fung. carbamates , dithiocarbamates;2018;2501.0;106.0
121;F02 Fung. carbamates , dithiocarbamates;2019;2284.0;97.0
122;F02 Fung. carbamates , dithiocarbamates;2020;2293.0;98.0
123;F02 Fung. carbamates , dithiocarbamates;2021;1370.0;58.0
124;F02 Fung. carbamates , dithiocarbamates;2022;378.0;16.0
125;F02 Fung. carbamates , dithiocarbamates;2023;473.0;20.0
126;F03 Fungicides benzimidazoles;2010;110.0;102.0
127;F03 Fungicides benzimidazoles;2011;108.0;100.0
128;F03 Fungicides benzimidazoles;2012;90.0;84.0
129;F03 Fungicides benzimidazoles;2013;97.0;90.0
130;F03 Fungicides benzimidazoles;2014;97.0;90.0
131;F03 Fungicides benzimidazoles;2015;96.0;89.0
132;F03 Fungicides benzimidazoles;2016;97.0;90.0
133;F03 Fungicides benzimidazoles;2017;100.0;93.0
134;F03 Fungicides benzimidazoles;2018;92.0;85.0
135;F03 Fungicides benzimidazoles;2019;95.0;88.0
136;F03 Fungicides benzimidazoles;2020;97.0;90.0
137;F03 Fungicides benzimidazoles;2021;52.0;48.0
138;F03 Fungicides benzimidazoles;2022;0.0;0.0
139;F03 Fungicides benzimidazoles;2023;0.0;0.0
140;F04 Fungicides, imidazoles, triazoles;2010;144.0;85.0
141;F04 Fungicides, imidazoles, triazoles;2011;171.0;100.0
142;F04 Fungicides, imidazoles, triazoles;2012;244.0;143.0
143;F04 Fungicides, imidazoles, triazoles;2013;217.0;127.0
144;F04 Fungicides, imidazoles, triazoles;2014;279.0;164.0
145;F04 Fungicides, imidazoles, triazoles;2015;250.0;146.0
146;F04 Fungicides, imidazoles, triazoles;2016;304.0;178.0
147;F04 Fungicides, imidazoles, triazoles;2017;332.0;194.0
148;F04 Fungicides, imidazoles, triazoles;2018;292.0;171.0
149;F04 Fungicides, imidazoles, triazoles;2019;275.0;161.0
150;F04 Fungicides, imidazoles, triazoles;2020;325.0;191.0
151;F04 Fungicides, imidazoles, triazoles;2021;320.0;188.0
152;F04 Fungicides, imidazoles, triazoles;2022;337.0;198.0
153;F04 Fungicides, imidazoles, triazoles;2023;367.0;215.0
154;F05 Fungicides based on morpholines;2010;86.0;87.0
155;F05 Fungicides based on morpholines;2011;99.0;100.0
156;F05 Fungicides based on morpholines;2012;100.0;101.0
157;F05 Fungicides based on morpholines;2013;87.0;88.0
158;F05 Fungicides based on morpholines;2014;102.0;103.0
159;F05 Fungicides based on morpholines;2015;64.0;65.0
160;F05 Fungicides based on morpholines;2016;57.0;57.0
161;F05 Fungicides based on morpholines;2017;60.0;60.0
162;F05 Fungicides based on morpholines;2018;68.0;69.0
163;F05 Fungicides based on morpholines;2019;74.0;75.0
164;F05 Fungicides based on morpholines;2020;40.0;40.0
165;F05 Fungicides based on morpholines;2021;43.0;44.0
166;F05 Fungicides based on morpholines;2022;35.0;35.0
167;F05 Fungicides based on morpholines;2023;30.0;30.0
168;F06 Fungicides of microbiol, botanic.;2010;0.0;93.0
169;F06 Fungicides of microbiol, botanic.;2011;0.0;100.0
170;F06 Fungicides of microbiol, botanic.;2012;0.0;38.0
171;F06 Fungicides of microbiol, botanic.;2013;1.0;133.0
172;F06 Fungicides of microbiol, botanic.;2014;1.0;106.0
173;F06 Fungicides of microbiol, botanic.;2015;1.0;127.0
174;F06 Fungicides of microbiol, botanic.;2016;1.0;146.0
175;F06 Fungicides of microbiol, botanic.;2017;1.0;158.0
176;F06 Fungicides of microbiol, botanic.;2018;1.0;248.0
177;F06 Fungicides of microbiol, botanic.;2019;4.0;732.0
178;F06 Fungicides of microbiol, botanic.;2020;3.0;592.0
179;F06 Fungicides of microbiol, botanic.;2021;7.0;1420.0
180;F06 Fungicides of microbiol, botanic.;2022;182.0;37923.0
181;F06 Fungicides of microbiol, botanic.;2023;183.0;38261.0
182;F07 Bactericides;2010;33.0;273.0
183;F07 Bactericides;2011;12.0;100.0
184;F07 Bactericides;2012;26.0;216.0
185;F07 Bactericides;2013;18.0;150.0
186;F07 Bactericides;2014;18.0;145.0
187;F07 Bactericides;2015;15.0;119.0
188;F07 Bactericides;2016;15.0;120.0
189;F07 Bactericides;2017;14.0;118.0
190;F07 Bactericides;2018;14.0;118.0
191;F07 Bactericides;2019;17.0;137.0
192;F07 Bactericides;2020;13.0;103.0
193;F07 Bactericides;2021;11.0;89.0
194;F07 Bactericides;2022;9.0;77.0
195;F07 Bactericides;2023;10.0;82.0
196;F99 Other fungicides;2010;1188.0;86.0
197;F99 Other fungicides;2011;1375.0;100.0
198;F99 Other fungicides;2012;1686.0;123.0
199;F99 Other fungicides;2013;1532.0;111.0
200;F99 Other fungicides;2014;1656.0;120.0
201;F99 Other fungicides;2015;1382.0;101.0
202;F99 Other fungicides;2016;1351.0;98.0
203;F99 Other fungicides;2017;1262.0;92.0
204;F99 Other fungicides;2018;1174.0;85.0
205;F99 Other fungicides;2019;1041.0;76.0
206;F99 Other fungicides;2020;1086.0;79.0
207;F99 Other fungicides;2021;1335.0;97.0
208;F99 Other fungicides;2022;1777.0;129.0
209;F99 Other fungicides;2023;1222.0;89.0
210;H01 Herbicides phenoxy-phytohormones;2010;455.0;109.0
211;H01 Herbicides phenoxy-phytohormones;2011;416.0;100.0
212;H01 Herbicides phenoxy-phytohormones;2012;406.0;98.0
213;H01 Herbicides phenoxy-phytohormones;2013;376.0;91.0
214;H01 Herbicides phenoxy-phytohormones;2014;420.0;101.0
215;H01 Herbicides phenoxy-phytohormones;2015;346.0;83.0
216;H01 Herbicides phenoxy-phytohormones;2016;277.0;67.0
217;H01 Herbicides phenoxy-phytohormones;2017;263.0;63.0
218;H01 Herbicides phenoxy-phytohormones;2018;292.0;70.0
219;H01 Herbicides phenoxy-phytohormones;2019;338.0;81.0
220;H01 Herbicides phenoxy-phytohormones;2020;269.0;65.0
221;H01 Herbicides phenoxy-phytohormones;2021;255.0;61.0
222;H01 Herbicides phenoxy-phytohormones;2022;298.0;72.0
223;H01 Herbicides phenoxy-phytohormones;2023;165.0;40.0
224;H02 Herbicides triazines, triazinones;2010;254.0;80.0
225;H02 Herbicides triazines, triazinones;2011;317.0;100.0
226;H02 Herbicides triazines, triazinones;2012;340.0;107.0
227;H02 Herbicides triazines, triazinones;2013;273.0;86.0
228;H02 Herbicides triazines, triazinones;2014;309.0;97.0
229;H02 Herbicides triazines, triazinones;2015;244.0;77.0
230;H02 Herbicides triazines, triazinones;2016;249.0;79.0
231;H02 Herbicides triazines, triazinones;2017;339.0;107.0
232;H02 Herbicides triazines, triazinones;2018;353.0;111.0
233;H02 Herbicides triazines, triazinones;2019;323.0;102.0
234;H02 Herbicides triazines, triazinones;2020;319.0;100.0
235;H02 Herbicides triazines, triazinones;2021;306.0;97.0
236;H02 Herbicides triazines, triazinones;2022;346.0;109.0
237;H02 Herbicides triazines, triazinones;2023;313.0;99.0
238;H03 Herbicides, amides, anilides;2010;269.0;87.0
239;H03 Herbicides, amides, anilides;2011;311.0;100.0
240;H03 Herbicides, amides, anilides;2012;330.0;106.0
241;H03 Herbicides, amides, anilides;2013;303.0;98.0
242;H03 Herbicides, amides, anilides;2014;327.0;105.0
243;H03 Herbicides, amides, anilides;2015;310.0;100.0
244;H03 Herbicides, amides, anilides;2016;329.0;106.0
245;H03 Herbicides, amides, anilides;2017;332.0;107.0
246;H03 Herbicides, amides, anilides;2018;305.0;98.0
247;H03 Herbicides, amides, anilides;2019;287.0;92.0
248;H03 Herbicides, amides, anilides;2020;253.0;81.0
249;H03 Herbicides, amides, anilides;2021;293.0;94.0
250;H03 Herbicides, amides, anilides;2022;278.0;90.0
251;H03 Herbicides, amides, anilides;2023;373.0;120.0
252;H04 Herbicides carbamates, bis-carba...;2010;211.0;84.0
253;H04 Herbicides carbamates, bis-carba...;2011;253.0;100.0
254;H04 Herbicides carbamates, bis-carba...;2012;159.0;63.0
255;H04 Herbicides carbamates, bis-carba...;2013;164.0;65.0
256;H04 Herbicides carbamates, bis-carba...;2014;226.0;89.0
257;H04 Herbicides carbamates, bis-carba...;2015;166.0;66.0
258;H04 Herbicides carbamates, bis-carba...;2016;174.0;69.0
259;H04 Herbicides carbamates, bis-carba...;2017;199.0;79.0
260;H04 Herbicides carbamates, bis-carba...;2018;204.0;81.0
261;H04 Herbicides carbamates, bis-carba...;2019;191.0;76.0
262;H04 Herbicides carbamates, bis-carba...;2020;133.0;52.0
263;H04 Herbicides carbamates, bis-carba...;2021;122.0;48.0
264;H04 Herbicides carbamates, bis-carba...;2022;78.0;31.0
265;H04 Herbicides carbamates, bis-carba...;2023;72.0;29.0
266;H05 Herbicides dinitroaniline derivates;2010;63.0;79.0
267;H05 Herbicides dinitroaniline derivates;2011;80.0;100.0
268;H05 Herbicides dinitroaniline derivates;2012;77.0;96.0
269;H05 Herbicides dinitroaniline derivates;2013;79.0;98.0
270;H05 Herbicides dinitroaniline derivates;2014;86.0;108.0
271;H05 Herbicides dinitroaniline derivates;2015;98.0;122.0
272;H05 Herbicides dinitroaniline derivates;2016;121.0;152.0
273;H05 Herbicides dinitroaniline derivates;2017;113.0;142.0
274;H05 Herbicides dinitroaniline derivates;2018;116.0;145.0
275;H05 Herbicides dinitroaniline derivates;2019;122.0;153.0
276;H05 Herbicides dinitroaniline derivates;2020;139.0;174.0
277;H05 Herbicides dinitroaniline derivates;2021;158.0;198.0
278;H05 Herbicides dinitroaniline derivates;2022;168.0;210.0
279;H05 Herbicides dinitroaniline derivates;2023;165.0;207.0
280;H06  Herb urea, uracil, sulfonylurea;2010;128.0;102.0
281;H06  Herb urea, uracil, sulfonylurea;2011;126.0;100.0
282;H06  Herb urea, uracil, sulfonylurea;2012;121.0;96.0
283;H06  Herb urea, uracil, sulfonylurea;2013;100.0;80.0
284;H06  Herb urea, uracil, sulfonylurea;2014;119.0;94.0
285;H06  Herb urea, uracil, sulfonylurea;2015;121.0;96.0
286;H06  Herb urea, uracil, sulfonylurea;2016;223.0;177.0
287;H06  Herb urea, uracil, sulfonylurea;2017;51.0;41.0
288;H06  Herb urea, uracil, sulfonylurea;2018;28.0;22.0
289;H06  Herb urea, uracil, sulfonylurea;2019;70.0;56.0
290;H06  Herb urea, uracil, sulfonylurea;2020;72.0;57.0
291;H06  Herb urea, uracil, sulfonylurea;2021;81.0;64.0
292;H06  Herb urea, uracil, sulfonylurea;2022;93.0;74.0
293;H06  Herb urea, uracil, sulfonylurea;2023;72.0;57.0
294;H99 Other herbicides;2010;1255.0;83.0
295;H99 Other herbicides;2011;1510.0;100.0
296;H99 Other herbicides;2012;1597.0;106.0
297;H99 Other herbicides;2013;1454.0;96.0
298;H99 Other herbicides;2014;1760.0;117.0
299;H99 Other herbicides;2015;1581.0;105.0
300;H99 Other herbicides;2016;1361.0;90.0
301;H99 Other herbicides;2017;1586.0;105.0
302;H99 Other herbicides;2018;1664.0;110.0
303;H99 Other herbicides;2019;1390.0;92.0
304;H99 Other herbicides;2020;1438.0;95.0
305;H99 Other herbicides;2021;1372.0;91.0
306;H99 Other herbicides;2022;1448.0;96.0
307;H99 Other herbicides;2023;1255.0;83.0
308;I01 Insecticides based on pyrethroids;2010;8.0;94.0
309;I01 Insecticides based on pyrethroids;2011;9.0;100.0
310;I01 Insecticides based on pyrethroids;2012;12.0;135.0
311;I01 Insecticides based on pyrethroids;2013;12.0;132.0
312;I01 Insecticides based on pyrethroids;2014;13.0;143.0
313;I01 Insecticides based on pyrethroids;2015;16.0;178.0
314;I01 Insecticides based on pyrethroids;2016;12.0;137.0
315;I01 Insecticides based on pyrethroids;2017;14.0;160.0
316;I01 Insecticides based on pyrethroids;2018;9.0;108.0
317;I01 Insecticides based on pyrethroids;2019;13.0;148.0
318;I01 Insecticides based on pyrethroids;2020;13.0;143.0
319;I01 Insecticides based on pyrethroids;2021;13.0;149.0
320;I01 Insecticides based on pyrethroids;2022;13.0;154.0
321;I01 Insecticides based on pyrethroids;2023;13.0;144.0
322;I02 Insecticides chlorinated hydrocar...;2010;;
323;I02 Insecticides chlorinated hydrocar...;2011;;
324;I02 Insecticides chlorinated hydrocar...;2012;;
325;I02 Insecticides chlorinated hydrocar...;2013;;
326;I02 Insecticides chlorinated hydrocar...;2014;;
327;I02 Insecticides chlorinated hydrocar...;2015;;
328;I02 Insecticides chlorinated hydrocar...;2016;;
329;I02 Insecticides chlorinated hydrocar...;2017;;
330;I02 Insecticides chlorinated hydrocar...;2018;2.0;
331;I02 Insecticides chlorinated hydrocar...;2019;3.0;
332;I02 Insecticides chlorinated hydrocar...;2020;3.0;
333;I02 Insecticides chlorinated hydrocar...;2021;3.0;
334;I02 Insecticides chlorinated hydrocar...;2022;4.0;
335;I02 Insecticides chlorinated hydrocar...;2023;5.0;
336;I03 Insecticides based on carbamat, ...;2010;86.0;90.0
337;I03 Insecticides based on carbamat, ...;2011;96.0;100.0
338;I03 Insecticides based on carbamat, ...;2012;86.0;90.0
339;I03 Insecticides based on carbamat, ...;2013;78.0;82.0
340;I03 Insecticides based on carbamat, ...;2014;93.0;97.0
341;I03 Insecticides based on carbamat, ...;2015;56.0;59.0
342;I03 Insecticides based on carbamat, ...;2016;32.0;33.0
343;I03 Insecticides based on carbamat, ...;2017;82.0;86.0
344;I03 Insecticides based on carbamat, ...;2018;64.0;67.0
345;I03 Insecticides based on carbamat, ...;2019;67.0;70.0
346;I03 Insecticides based on carbamat, ...;2020;69.0;72.0
347;I03 Insecticides based on carbamat, ...;2021;181.0;189.0
348;I03 Insecticides based on carbamat, ...;2022;93.0;97.0
349;I03 Insecticides based on carbamat, ...;2023;76.0;80.0
350;I04 Insecticides based on organopho...;2010;81.0;119.0
351;I04 Insecticides based on organopho...;2011;68.0;100.0
352;I04 Insecticides based on organopho...;2012;59.0;86.0
353;I04 Insecticides based on organopho...;2013;44.0;65.0
354;I04 Insecticides based on organopho...;2014;39.0;57.0
355;I04 Insecticides based on organopho...;2015;63.0;92.0
356;I04 Insecticides based on organopho...;2016;30.0;45.0
357;I04 Insecticides based on organopho...;2017;41.0;61.0
358;I04 Insecticides based on organopho...;2018;40.0;59.0
359;I04 Insecticides based on organopho...;2019;58.0;85.0
360;I04 Insecticides based on organopho...;2020;1.0;2.0
361;I04 Insecticides based on organopho...;2021;0.0;0.0
362;I04 Insecticides based on organopho...;2022;0.0;0.0
363;I04 Insecticides based on organopho...;2023;0.0;0.0
364;I05 Insecticides microbiol., botanic.;2010;4.0;89.0
365;I05 Insecticides microbiol., botanic.;2011;5.0;100.0
366;I05 Insecticides microbiol., botanic.;2012;6.0;127.0
367;I05 Insecticides microbiol., botanic.;2013;5.0;115.0
368;I05 Insecticides microbiol., botanic.;2014;7.0;148.0
369;I05 Insecticides microbiol., botanic.;2015;49.0;1048.0
370;I05 Insecticides microbiol., botanic.;2016;5.0;109.0
371;I05 Insecticides microbiol., botanic.;2017;15.0;317.0
372;I05 Insecticides microbiol., botanic.;2018;36.0;756.0
373;I05 Insecticides microbiol., botanic.;2019;12.0;263.0
374;I05 Insecticides microbiol., botanic.;2020;14.0;305.0
375;I05 Insecticides microbiol., botanic.;2021;44.0;930.0
376;I05 Insecticides microbiol., botanic.;2022;77.0;1642.0
377;I05 Insecticides microbiol., botanic.;2023;60.0;1265.0
378;I06 Acaricides;2010;2.0;48.0
379;I06 Acaricides;2011;3.0;100.0
380;I06 Acaricides;2012;4.0;123.0
381;I06 Acaricides;2013;7.0;218.0
382;I06 Acaricides;2014;6.0;203.0
383;I06 Acaricides;2015;6.0;208.0
384;I06 Acaricides;2016;6.0;200.0
385;I06 Acaricides;2017;4.0;129.0
386;I06 Acaricides;2018;4.0;128.0
387;I06 Acaricides;2019;3.0;105.0
388;I06 Acaricides;2020;3.0;110.0
389;I06 Acaricides;2021;2.0;70.0
390;I06 Acaricides;2022;4.0;118.0
391;I06 Acaricides;2023;3.0;110.0
392;I99 Other insecticides;2010;1524.0;88.0
393;I99 Other insecticides;2011;1723.0;100.0
394;I99 Other insecticides;2012;1702.0;99.0
395;I99 Other insecticides;2013;1517.0;88.0
396;I99 Other insecticides;2014;1565.0;91.0
397;I99 Other insecticides;2015;2039.0;118.0
398;I99 Other insecticides;2016;2523.0;146.0
399;I99 Other insecticides;2017;2335.0;136.0
400;I99 Other insecticides;2018;1472.0;85.0
401;I99 Other insecticides;2019;1815.0;105.0
402;I99 Other insecticides;2020;2312.0;134.0
403;I99 Other insecticides;2021;2412.0;140.0
404;I99 Other insecticides;2022;2071.0;120.0
405;I99 Other insecticides;2023;1504.0;87.0
406;M01 Molluscicides;2010;16.0;81.0
407;M01 Molluscicides;2011;20.0;100.0
408;M01 Molluscicides;2012;27.0;133.0
409;M01 Molluscicides;2013;23.0;113.0
410;M01 Molluscicides;2014;27.0;136.0
411;M01 Molluscicides;2015;20.0;98.0
412;M01 Molluscicides;2016;20.0;99.0
413;M01 Molluscicides;2017;30.0;147.0
414;M01 Molluscicides;2018;11.0;54.0
415;M01 Molluscicides;2019;14.0;68.0
416;M01 Molluscicides;2020;16.0;80.0
417;M01 Molluscicides;2021;31.0;155.0
418;M01 Molluscicides;2022;19.0;92.0
419;M01 Molluscicides;2023;14.0;71.0
420;PGR01 Physiological plant growth re...;2010;207.0;103.0
421;PGR01 Physiological plant growth re...;2011;201.0;100.0
422;PGR01 Physiological plant growth re...;2012;299.0;149.0
423;PGR01 Physiological plant growth re...;2013;345.0;172.0
424;PGR01 Physiological plant growth re...;2014;444.0;221.0
425;PGR01 Physiological plant growth re...;2015;418.0;208.0
426;PGR01 Physiological plant growth re...;2016;447.0;223.0
427;PGR01 Physiological plant growth re...;2017;371.0;185.0
428;PGR01 Physiological plant growth re...;2018;367.0;183.0
429;PGR01 Physiological plant growth re...;2019;510.0;254.0
430;PGR01 Physiological plant growth re...;2020;542.0;270.0
431;PGR01 Physiological plant growth re...;2021;550.0;274.0
432;PGR01 Physiological plant growth re...;2022;708.0;353.0
433;PGR01 Physiological plant growth re...;2023;687.0;342.0
434;PGR02 Anti-sprouting products;2010;5.0;93.0
435;PGR02 Anti-sprouting products;2011;5.0;100.0
436;PGR02 Anti-sprouting products;2012;4.0;81.0
437;PGR02 Anti-sprouting products;2013;6.0;117.0
438;PGR02 Anti-sprouting products;2014;8.0;143.0
439;PGR02 Anti-sprouting products;2015;7.0;131.0
440;PGR02 Anti-sprouting products;2016;12.0;215.0
441;PGR02 Anti-sprouting products;2017;15.0;276.0
442;PGR02 Anti-sprouting products;2018;19.0;352.0
443;PGR02 Anti-sprouting products;2019;18.0;331.0
444;PGR02 Anti-sprouting products;2020;18.0;336.0
445;PGR02 Anti-sprouting products;2021;9.0;162.0
446;PGR02 Anti-sprouting products;2022;9.0;171.0
447;PGR02 Anti-sprouting products;2023;8.0;152.0
448;PGR03 Other plant growth regulators;2010;;
449;PGR03 Other plant growth regulators;2011;;
450;PGR03 Other plant growth regulators;2012;;
451;PGR03 Other plant growth regulators;2013;;
452;PGR03 Other plant growth regulators;2014;;
453;PGR03 Other plant growth regulators;2015;;
454;PGR03 Other plant growth regulators;2016;;
455;PGR03 Other plant growth regulators;2017;;
456;PGR03 Other plant growth regulators;2018;;
457;PGR03 Other plant growth regulators;2019;;
458;PGR03 Other plant growth regulators;2020;;
459;PGR03 Other plant growth regulators;2021;;
460;PGR03 Other plant growth regulators;2022;;
461;PGR03 Other plant growth regulators;2023;;
462;ZR01 Mineral oils;2010;;
463;ZR01 Mineral oils;2011;;
464;ZR01 Mineral oils;2012;;
465;ZR01 Mineral oils;2013;;
466;ZR01 Mineral oils;2014;;
467;ZR01 Mineral oils;2015;;
468;ZR01 Mineral oils;2016;;
469;ZR01 Mineral oils;2017;;
470;ZR01 Mineral oils;2018;;
471;ZR01 Mineral oils;2019;;
472;ZR01 Mineral oils;2020;;
473;ZR01 Mineral oils;2021;;
474;ZR01 Mineral oils;2022;;
475;ZR01 Mineral oils;2023;;
476;ZR02 Vegetal oils;2010;5.0;74.0
477;ZR02 Vegetal oils;2011;7.0;100.0
478;ZR02 Vegetal oils;2012;3.0;38.0
479;ZR02 Vegetal oils;2013;5.0;73.0
480;ZR02 Vegetal oils;2014;6.0;83.0
481;ZR02 Vegetal oils;2015;8.0;113.0
482;ZR02 Vegetal oils;2016;14.0;188.0
483;ZR02 Vegetal oils;2017;14.0;188.0
484;ZR02 Vegetal oils;2018;39.0;544.0
485;ZR02 Vegetal oils;2019;7.0;93.0
486;ZR02 Vegetal oils;2020;21.0;292.0
487;ZR02 Vegetal oils;2021;25.0;346.0
488;ZR02 Vegetal oils;2022;22.0;307.0
489;ZR02 Vegetal oils;2023;17.0;236.0
490;ZR03 Soil sterilants (incl. nematicides);2010;1327.0;87.0
491;ZR03 Soil sterilants (incl. nematicides);2011;1524.0;100.0
492;ZR03 Soil sterilants (incl. nematicides);2012;1427.0;94.0
493;ZR03 Soil sterilants (incl. nematicides);2013;1574.0;103.0
494;ZR03 Soil sterilants (incl. nematicides);2014;270.0;18.0
495;ZR03 Soil sterilants (incl. nematicides);2015;45.0;3.0
496;ZR03 Soil sterilants (incl. nematicides);2016;66.0;4.0
497;ZR03 Soil sterilants (incl. nematicides);2017;35.0;2.0
498;ZR03 Soil sterilants (incl. nematicides);2018;79.0;5.0
