ID;Smeermiddelen;Perioden;TotaalMineraleEnSynthSmeermiddelen_1;MineraleSmeermidddelen_2;SynthetischeSmeermiddelen_3
0;Totaal alle soorten smeermiddelen;2000 1e kwartaal;40626;36471;4155
1;Totaal alle soorten smeermiddelen;2000 2e kwartaal;36460;33679;2781
2;Totaal alle soorten smeermiddelen;2000 1e halfjaar;77086;70150;6936
3;Totaal alle soorten smeermiddelen;2000 3e kwartaal;34671;31419;3252
4;Totaal alle soorten smeermiddelen;2000 4e kwartaal;42928;39985;2943
5;Totaal alle soorten smeermiddelen;2000 2e halfjaar;77599;71373;6226
6;Totaal alle soorten smeermiddelen;2000;154685;141523;13162
7;Totaal alle soorten smeermiddelen;2001 1e kwartaal;38539;35512;3027
8;Totaal alle soorten smeermiddelen;2001 2e kwartaal;38076;35107;2969
9;Totaal alle soorten smeermiddelen;2001 1e halfjaar;76615;70619;5996
10;Totaal alle soorten smeermiddelen;2001 3e kwartaal;36740;33795;2945
11;Totaal alle soorten smeermiddelen;2001 4e kwartaal;41810;38275;3535
12;Totaal alle soorten smeermiddelen;2001 2e halfjaar;78550;72070;6480
13;Totaal alle soorten smeermiddelen;2001;155165;142689;12476
14;Totaal alle soorten smeermiddelen;2002 1e kwartaal;39899;37058;2841
15;Totaal alle soorten smeermiddelen;2002 2e kwartaal;42101;38613;3488
16;Totaal alle soorten smeermiddelen;2002 1e halfjaar;82000;75671;6329
17;Totaal alle soorten smeermiddelen;2002 3e kwartaal;38334;35304;3030
18;Totaal alle soorten smeermiddelen;2002 4e kwartaal;32360;29680;2680
19;Totaal alle soorten smeermiddelen;2002 2e halfjaar;70694;64984;5710
20;Totaal alle soorten smeermiddelen;2002;152694;140655;12039
21;Totaal alle soorten smeermiddelen;2003 1e kwartaal;31726;29028;2698
22;Totaal alle soorten smeermiddelen;2003 2e kwartaal;39702;36030;3672
23;Totaal alle soorten smeermiddelen;2003 1e halfjaar;71428;65058;6370
24;Totaal alle soorten smeermiddelen;2003 3e kwartaal;29832;26801;3031
25;Totaal alle soorten smeermiddelen;2003 4e kwartaal;39702;36030;3672
26;Totaal alle soorten smeermiddelen;2003 2e halfjaar;70263;63097;7166
27;Totaal alle soorten smeermiddelen;2003;141691;128155;13536
28;Motoroliën;2000 1e kwartaal;21480;17837;3643
29;Motoroliën;2000 2e kwartaal;17629;15344;2285
30;Motoroliën;2000 1e halfjaar;39109;33181;5928
31;Motoroliën;2000 3e kwartaal;16792;14215;2577
32;Motoroliën;2000 4e kwartaal;19631;17347;2284
33;Motoroliën;2000 2e halfjaar;38177;33314;4863
34;Motoroliën;2000;77286;66495;10791
35;Motoroliën;2001 1e kwartaal;18068;15775;2293
36;Motoroliën;2001 2e kwartaal;18268;15832;2436
37;Motoroliën;2001 1e halfjaar;36336;31607;4729
38;Motoroliën;2001 3e kwartaal;17876;15478;2398
39;Motoroliën;2001 4e kwartaal;18486;16020;2466
40;Motoroliën;2001 2e halfjaar;36362;31498;4864
41;Motoroliën;2001;72698;63105;9593
42;Motoroliën;2002 1e kwartaal;18619;16346;2273
43;Motoroliën;2002 2e kwartaal;19367;16563;2804
44;Motoroliën;2002 1e halfjaar;37986;32910;5076
45;Motoroliën;2002 3e kwartaal;18297;15819;2478
46;Motoroliën;2002 4e kwartaal;15858;13827;2031
