ID;RegioS;Perioden;VerrichteRDUitgavenEigenPersoneel_1;ArbeidsjarenEigenRDPersoneel_2
0;Nederland;2011;12235.0;117437.0
1;Nederland;2012;12512.0;122215.0
2;Nederland;2013;12746.0;123214.0
3;Nederland;2014;13268.0;124066.0
4;Nederland;2015;13696.0;129060.0
5;Nederland;2016;14142.0;131024.0
6;Noord-Nederland (LD);2011;750.0;7731.0
7;Noord-Nederland (LD);2012;746.0;7477.0
8;Noord-Nederland (LD);2013;766.0;7697.0
9;Noord-Nederland (LD);2014;785.0;7998.0
10;Noord-Nederland (LD);2015;807.0;8607.0
11;Noord-Nederland (LD);2016;815.0;8087.0
12;Oost-Nederland (LD);2011;2379.0;23935.0
13;Oost-Nederland (LD);2012;2327.0;24951.0
14;Oost-Nederland (LD);2013;2277.0;24051.0
15;Oost-Nederland (LD);2014;2344.0;24703.0
16;Oost-Nederland (LD);2015;2353.0;25099.0
17;Oost-Nederland (LD);2016;2443.0;26239.0
18;West-Nederland (LD);2011;6053.0;58087.0
19;West-Nederland (LD);2012;6259.0;59372.0
20;West-Nederland (LD);2013;6501.0;60612.0
21;West-Nederland (LD);2014;6725.0;61670.0
22;West-Nederland (LD);2015;7000.0;63786.0
23;West-Nederland (LD);2016;7139.0;64224.0
24;Zuid-Nederland (LD);2011;3044.0;27668.0
25;Zuid-Nederland (LD);2012;3181.0;30415.0
26;Zuid-Nederland (LD);2013;3201.0;30854.0
27;Zuid-Nederland (LD);2014;3413.0;29695.0
28;Zuid-Nederland (LD);2015;3536.0;31569.0
29;Zuid-Nederland (LD);2016;3746.0;32473.0
30;Groningen (PV);2011;;
31;Groningen (PV);2012;490.0;4387.0
32;Groningen (PV);2013;510.0;4533.0
33;Groningen (PV);2014;536.0;4778.0
34;Groningen (PV);2015;542.0;5021.0
35;Groningen (PV);2016;539.0;4803.0
36;Friesland (PV);2011;172.0;2058.0
37;Friesland (PV);2012;156.0;1859.0
38;Friesland (PV);2013;158.0;1958.0
39;Friesland (PV);2014;151.0;1642.0
40;Friesland (PV);2015;154.0;1861.0
41;Friesland (PV);2016;154.0;1859.0
42;Drenthe (PV);2011;;
43;Drenthe (PV);2012;100.0;1231.0
44;Drenthe (PV);2013;98.0;1206.0
45;Drenthe (PV);2014;98.0;1578.0
46;Drenthe (PV);2015;111.0;1724.0
47;Drenthe (PV);2016;122.0;1425.0
48;Overijssel (PV);2011;746.0;8542.0
49;Overijssel (PV);2012;608.0;7677.0
50;Overijssel (PV);2013;559.0;6770.0
51;Overijssel (PV);2014;614.0;6678.0
52;Overijssel (PV);2015;694.0;7808.0
53;Overijssel (PV);2016;683.0;7095.0
54;Flevoland (PV);2011;170.0;1882.0
55;Flevoland (PV);2012;202.0;2246.0
56;Flevoland (PV);2013;189.0;2221.0
57;Flevoland (PV);2014;224.0;2859.0
58;Flevoland (PV);2015;185.0;2646.0
59;Flevoland (PV);2016;214.0;3681.0
60;Gelderland (PV);2011;1464.0;13510.0
61;Gelderland (PV);2012;1516.0;15028.0
62;Gelderland (PV);2013;1529.0;15060.0
63;Gelderland (PV);2014;1506.0;15166.0
64;Gelderland (PV);2015;1473.0;14644.0
65;Gelderland (PV);2016;1545.0;15463.0
66;Utrecht (PV);2011;1138.0;10350.0
67;Utrecht (PV);2012;1148.0;10718.0
68;Utrecht (PV);2013;1338.0;12222.0
69;Utrecht (PV);2014;1335.0;11491.0
70;Utrecht (PV);2015;1325.0;11543.0
71;Utrecht (PV);2016;1400.0;11955.0
72;Noord-Holland (PV);2011;2234.0;22324.0
73;Noord-Holland (PV);2012;2390.0;23082.0
74;Noord-Holland (PV);2013;2296.0;22335.0
75;Noord-Holland (PV);2014;2248.0;21685.0
76;Noord-Holland (PV);2015;2437.0;23472.0
77;Noord-Holland (PV);2016;2611.0;23857.0
78;Zuid-Holland (PV);2011;2638.0;24840.0
79;Zuid-Holland (PV);2012;2659.0;24811.0
80;Zuid-Holland (PV);2013;2789.0;25254.0
81;Zuid-Holland (PV);2014;3065.0;27771.0
82;Zuid-Holland (PV);2015;3168.0;28031.0
83;Zuid-Holland (PV);2016;3063.0;27691.0
84;Zeeland (PV);2011;43.0;573.0
85;Zeeland (PV);2012;61.0;761.0
86;Zeeland (PV);2013;78.0;801.0
87;Zeeland (PV);2014;77.0;723.0
88;Zeeland (PV);2015;70.0;740.0
89;Zeeland (PV);2016;65.0;721.0
90;Noord-Brabant (PV);2011;2329.0;20691.0
91;Noord-Brabant (PV);2012;2499.0;23090.0
92;Noord-Brabant (PV);2013;2535.0;23581.0
93;Noord-Brabant (PV);2014;2733.0;22744.0
94;Noord-Brabant (PV);2015;2837.0;24747.0
95;Noord-Brabant (PV);2016;3012.0;25628.0
96;Limburg (PV);2011;715.0;6977.0
97;Limburg (PV);2012;682.0;7325.0
98;Limburg (PV);2013;666.0;7273.0
99;Limburg (PV);2014;680.0;6951.0
100;Limburg (PV);2015;699.0;6821.0
101;Limburg (PV);2016;734.0;6845.0
