ID;CPIMetOnderliggendeReeksen;Perioden;Prijsindices_1;Inflatie_2
0;CPI alle huishoudens;2001 januari;101.8;3.8
1;CPI alle huishoudens;2001 februari;102.6;4.0
2;CPI alle huishoudens;2001 maart;103.5;4.1
3;CPI alle huishoudens;2001 april;104.1;4.5
4;CPI alle huishoudens;2001 mei;104.4;4.5
5;CPI alle huishoudens;2001 juni;104.0;4.2
6;CPI alle huishoudens;2001 juli;104.0;4.3
7;CPI alle huishoudens;2001 augustus;104.3;4.2
8;CPI alle huishoudens;2001 september;105.5;4.2
9;CPI alle huishoudens;2001 oktober;105.4;4.0
10;CPI alle huishoudens;2001 november;105.3;3.8
11;CPI alle huishoudens;2001 december;105.0;4.2
12;CPI alle huishoudens;2002 januari;105.9;4.0
13;CPI alle huishoudens;2002 februari;106.4;3.7
14;CPI alle huishoudens;2002 maart;107.3;3.7
15;CPI alle huishoudens;2002 april;107.7;3.5
16;CPI alle huishoudens;2002 mei;107.8;3.3
17;CPI alle huishoudens;2002 juni;107.4;3.3
18;CPI alle huishoudens;2002 juli;107.4;3.3
19;CPI alle huishoudens;2002 augustus;107.7;3.3
20;CPI alle huishoudens;2002 september;108.8;3.1
21;CPI alle huishoudens;2002 oktober;108.5;2.9
22;CPI alle huishoudens;2002 november;108.2;2.8
23;CPI alle huishoudens;2002 december;107.9;2.8
24;CPI alle huishoudens;2003 januari;108.4;2.4
25;CPI alle huishoudens;2003 februari;109.0;2.4
26;CPI alle huishoudens;2003 maart;109.9;2.4
27;CPI alle huishoudens;2003 april;110.0;2.1
28;CPI alle huishoudens;2003 mei;110.0;2.0
29;CPI alle huishoudens;2003 juni;109.5;2.0
30;CPI alle huishoudens;2003 juli;109.7;2.1
31;CPI alle huishoudens;2003 augustus;110.0;2.1
32;CPI alle huishoudens;2003 september;111.0;2.0
33;CPI alle huishoudens;2003 oktober;110.7;2.0
34;CPI alle huishoudens;2003 november;110.4;2.0
35;CPI alle huishoudens;2003 december;109.7;1.7
36;CPI alle huishoudens;2004 januari;109.8;1.3
37;CPI alle huishoudens;2004 februari;110.3;1.2
38;CPI alle huishoudens;2004 maart;111.1;1.1
39;CPI alle huishoudens;2004 april;111.5;1.4
40;CPI alle huishoudens;2004 mei;111.7;1.5
41;CPI alle huishoudens;2004 juni;111.0;1.4
42;CPI alle huishoudens;2004 juli;110.9;1.1
43;CPI alle huishoudens;2004 augustus;111.2;1.1
44;CPI alle huishoudens;2004 september;112.1;1.0
45;CPI alle huishoudens;2004 oktober;112.2;1.4
46;CPI alle huishoudens;2004 november;111.8;1.3
47;CPI alle huishoudens;2004 december;111.0;1.2
48;CPI alle huishoudens;2005 januari;111.5;1.5
49;CPI alle huishoudens;2005 februari;112.1;1.6
50;CPI alle huishoudens;2005 maart;113.1;1.8
51;CPI alle huishoudens;2005 april;113.2;1.5
52;CPI alle huishoudens;2005 mei;113.2;1.3
53;CPI alle huishoudens;2005 juni;112.8;1.6
54;CPI alle huishoudens;2005 juli;112.7;1.6
55;CPI alle huishoudens;2005 augustus;113.2;1.8
56;CPI alle huishoudens;2005 september;114.1;1.8
57;CPI alle huishoudens;2005 oktober;114.0;1.6
58;CPI alle huishoudens;2005 november;113.8;1.8
59;CPI alle huishoudens;2005 december;113.2;2.0
60;CPI alle huishoudens;2006 januari;112.9;1.3
61;CPI alle huishoudens;2006 februari;113.3;1.1
62;CPI alle huishoudens;2006 maart;114.2;1.0
63;CPI alle huishoudens;2006 april;114.6;1.2
64;CPI alle huishoudens;2006 mei;114.6;1.2
65;CPI alle huishoudens;2006 juni;114.3;1.3
66;CPI alle huishoudens;2006 juli;114.2;1.3
67;CPI alle huishoudens;2006 augustus;114.8;1.4
68;CPI alle huishoudens;2006 september;115.3;1.1
69;CPI alle huishoudens;2006 oktober;115.0;0.9
70;CPI alle huishoudens;2006 november;114.9;1.0
71;CPI alle huishoudens;2006 december;114.5;1.1
72;CPI alle huishoudens afgeleid;2001 januari;100.8;2.6
73;CPI alle huishoudens afgeleid;2001 februari;101.6;2.9
74;CPI alle huishoudens afgeleid;2001 maart;102.5;3.0
75;CPI alle huishoudens afgeleid;2001 april;103.0;3.4
76;CPI alle huishoudens afgeleid;2001 mei;103.4;3.5
77;CPI alle huishoudens afgeleid;2001 juni;103.0;3.2
78;CPI alle huishoudens afgeleid;2001 juli;102.9;3.3
79;CPI alle huishoudens afgeleid;2001 augustus;103.3;3.3
80;CPI alle huishoudens afgeleid;2001 september;104.5;3.3
81;CPI alle huishoudens afgeleid;2001 oktober;104.3;3.0
82;CPI alle huishoudens afgeleid;2001 november;104.2;2.9
83;CPI alle huishoudens afgeleid;2001 december;104.0;3.2
84;CPI alle huishoudens afgeleid;2002 januari;104.7;3.9
85;CPI alle huishoudens afgeleid;2002 februari;105.3;3.6
86;CPI alle huishoudens afgeleid;2002 maart;106.1;3.5
87;CPI alle huishoudens afgeleid;2002 april;106.6;3.5
88;CPI alle huishoudens afgeleid;2002 mei;106.6;3.1
89;CPI alle huishoudens afgeleid;2002 juni;106.3;3.2
90;CPI alle huishoudens afgeleid;2002 juli;106.2;3.2
91;CPI alle huishoudens afgeleid;2002 augustus;106.5;3.1
92;CPI alle huishoudens afgeleid;2002 september;107.6;3.0
93;CPI alle huishoudens afgeleid;2002 oktober;107.4;3.0
94;CPI alle huishoudens afgeleid;2002 november;107.1;2.8
95;CPI alle huishoudens afgeleid;2002 december;106.8;2.7
96;CPI alle huishoudens afgeleid;2003 januari;106.9;2.1
97;CPI alle huishoudens afgeleid;2003 februari;107.5;2.1
98;CPI alle huishoudens afgeleid;2003 maart;108.5;2.3
99;CPI alle huishoudens afgeleid;2003 april;108.6;1.9
100;CPI alle huishoudens afgeleid;2003 mei;108.5;1.8
101;CPI alle huishoudens afgeleid;2003 juni;108.0;1.6
102;CPI alle huishoudens afgeleid;2003 juli;108.3;2.0
103;CPI alle huishoudens afgeleid;2003 augustus;108.6;2.0
104;CPI alle huishoudens afgeleid;2003 september;109.6;1.9
105;CPI alle huishoudens afgeleid;2003 oktober;109.3;1.8
106;CPI alle huishoudens afgeleid;2003 november;109.0;1.8
107;CPI alle huishoudens afgeleid;2003 december;108.4;1.5
108;CPI alle huishoudens afgeleid;2004 januari;108.2;1.2
109;CPI alle huishoudens afgeleid;2004 februari;108.6;1.0
110;CPI alle huishoudens afgeleid;2004 maart;109.4;0.8
111;CPI alle huishoudens afgeleid;2004 april;109.6;0.9
112;CPI alle huishoudens afgeleid;2004 mei;109.8;1.2
113;CPI alle huishoudens afgeleid;2004 juni;109.1;1.0
114;CPI alle huishoudens afgeleid;2004 juli;109.0;0.6
115;CPI alle huishoudens afgeleid;2004 augustus;109.3;0.6
116;CPI alle huishoudens afgeleid;2004 september;110.2;0.5
117;CPI alle huishoudens afgeleid;2004 oktober;110.2;0.8
118;CPI alle huishoudens afgeleid;2004 november;109.9;0.8
119;CPI alle huishoudens afgeleid;2004 december;109.0;0.6
120;CPI alle huishoudens afgeleid;2005 januari;109.3;1.0
121;CPI alle huishoudens afgeleid;2005 februari;109.9;1.2
122;CPI alle huishoudens afgeleid;2005 maart;110.9;1.4
123;CPI alle huishoudens afgeleid;2005 april;111.0;1.3
124;CPI alle huishoudens afgeleid;2005 mei;110.9;1.0
125;CPI alle huishoudens afgeleid;2005 juni;110.6;1.4
126;CPI alle huishoudens afgeleid;2005 juli;110.5;1.4
127;CPI alle huishoudens afgeleid;2005 augustus;111.0;1.6
128;CPI alle huishoudens afgeleid;2005 september;111.9;1.5
129;CPI alle huishoudens afgeleid;2005 oktober;111.8;1.5
130;CPI alle huishoudens afgeleid;2005 november;111.6;1.5
131;CPI alle huishoudens afgeleid;2005 december;111.0;1.8
132;CPI alle huishoudens afgeleid;2006 januari;111.1;1.6
133;CPI alle huishoudens afgeleid;2006 februari;111.6;1.5
134;CPI alle huishoudens afgeleid;2006 maart;112.4;1.4
135;CPI alle huishoudens afgeleid;2006 april;112.9;1.7
136;CPI alle huishoudens afgeleid;2006 mei;112.9;1.8
137;CPI alle huishoudens afgeleid;2006 juni;112.5;1.7
138;CPI alle huishoudens afgeleid;2006 juli;112.4;1.7
139;CPI alle huishoudens afgeleid;2006 augustus;113.0;1.8
140;CPI alle huishoudens afgeleid;2006 september;113.5;1.4
141;CPI alle huishoudens afgeleid;2006 oktober;113.2;1.3
142;CPI alle huishoudens afgeleid;2006 november;113.1;1.3
143;CPI alle huishoudens afgeleid;2006 december;112.7;1.5
144;Onderliggende reeks I;2001 januari;101.3;2.9
145;Onderliggende reeks I;2001 februari;102.3;3.4
146;Onderliggende reeks I;2001 maart;103.2;3.6
147;Onderliggende reeks I;2001 april;103.7;3.9
148;Onderliggende reeks I;2001 mei;103.8;3.9
149;Onderliggende reeks I;2001 juni;103.6;3.9
150;Onderliggende reeks I;2001 juli;103.5;4.1
151;Onderliggende reeks I;2001 augustus;103.9;4.0
152;Onderliggende reeks I;2001 september;105.2;4.2
153;Onderliggende reeks I;2001 oktober;105.4;4.2
154;Onderliggende reeks I;2001 november;105.4;4.0
155;Onderliggende reeks I;2001 december;105.1;4.2
156;Onderliggende reeks I;2002 januari;105.6;4.2
157;Onderliggende reeks I;2002 februari;106.2;3.8
158;Onderliggende reeks I;2002 maart;107.0;3.7
159;Onderliggende reeks I;2002 april;107.4;3.6
160;Onderliggende reeks I;2002 mei;107.5;3.6
161;Onderliggende reeks I;2002 juni;107.2;3.5
162;Onderliggende reeks I;2002 juli;107.0;3.4
163;Onderliggende reeks I;2002 augustus;107.4;3.4
164;Onderliggende reeks I;2002 september;108.4;3.0
165;Onderliggende reeks I;2002 oktober;108.4;2.8
166;Onderliggende reeks I;2002 november;108.2;2.7
167;Onderliggende reeks I;2002 december;107.8;2.6
168;Onderliggende reeks I;2003 januari;107.8;2.1
169;Onderliggende reeks I;2003 februari;108.4;2.1
170;Onderliggende reeks I;2003 maart;109.3;2.1
171;Onderliggende reeks I;2003 april;109.6;2.0
172;Onderliggende reeks I;2003 mei;109.7;2.0
173;Onderliggende reeks I;2003 juni;109.1;1.8
174;Onderliggende reeks I;2003 juli;109.2;2.1
175;Onderliggende reeks I;2003 augustus;109.4;1.9
176;Onderliggende reeks I;2003 september;110.4;1.8
177;Onderliggende reeks I;2003 oktober;110.3;1.8
178;Onderliggende reeks I;2003 november;110.0;1.7
179;Onderliggende reeks I;2003 december;109.4;1.5
180;Onderliggende reeks I;2004 januari;109.1;1.2
181;Onderliggende reeks I;2004 februari;109.7;1.2
182;Onderliggende reeks I;2004 maart;110.5;1.1
183;Onderliggende reeks I;2004 april;110.8;1.1
184;Onderliggende reeks I;2004 mei;110.8;1.0
185;Onderliggende reeks I;2004 juni;110.1;0.9
186;Onderliggende reeks I;2004 juli;109.9;0.6
187;Onderliggende reeks I;2004 augustus;110.3;0.8
188;Onderliggende reeks I;2004 september;111.2;0.7
189;Onderliggende reeks I;2004 oktober;111.3;0.9
190;Onderliggende reeks I;2004 november;111.2;1.1
191;Onderliggende reeks I;2004 december;110.3;0.8
192;Onderliggende reeks I;2005 januari;110.0;0.8
193;Onderliggende reeks I;2005 februari;110.6;0.8
194;Onderliggende reeks I;2005 maart;111.4;0.8
195;Onderliggende reeks I;2005 april;111.6;0.7
196;Onderliggende reeks I;2005 mei;111.5;0.6
197;Onderliggende reeks I;2005 juni;111.0;0.8
198;Onderliggende reeks I;2005 juli;110.7;0.7
199;Onderliggende reeks I;2005 augustus;110.9;0.5
200;Onderliggende reeks I;2005 september;111.8;0.5
201;Onderliggende reeks I;2005 oktober;111.9;0.5
202;Onderliggende reeks I;2005 november;111.8;0.5
203;Onderliggende reeks I;2005 december;111.2;0.8
204;Onderliggende reeks I;2006 januari;110.1;0.1
205;Onderliggende reeks I;2006 februari;110.7;0.1
206;Onderliggende reeks I;2006 maart;111.5;0.1
207;Onderliggende reeks I;2006 april;111.8;0.2
208;Onderliggende reeks I;2006 mei;111.7;0.2
209;Onderliggende reeks I;2006 juni;111.2;0.2
210;Onderliggende reeks I;2006 juli;110.9;0.2
211;Onderliggende reeks I;2006 augustus;111.4;0.5
212;Onderliggende reeks I;2006 september;112.4;0.5
213;Onderliggende reeks I;2006 oktober;112.4;0.4
214;Onderliggende reeks I;2006 november;112.4;0.5
215;Onderliggende reeks I;2006 december;111.9;0.6
216;Onderliggende reeks II;2001 januari;100.8;2.6
217;Onderliggende reeks II;2001 februari;101.6;2.9
218;Onderliggende reeks II;2001 maart;102.5;3.0
219;Onderliggende reeks II;2001 april;103.1;3.5
220;Onderliggende reeks II;2001 mei;103.4;3.5
221;Onderliggende reeks II;2001 juni;103.0;3.2
222;Onderliggende reeks II;2001 juli;102.9;3.3
223;Onderliggende reeks II;2001 augustus;103.2;3.3
224;Onderliggende reeks II;2001 september;104.4;3.3
225;Onderliggende reeks II;2001 oktober;104.4;3.1
226;Onderliggende reeks II;2001 november;104.3;2.9
227;Onderliggende reeks II;2001 december;104.1;3.3
228;Onderliggende reeks II;2002 januari;104.9;4.1
229;Onderliggende reeks II;2002 februari;105.4;3.7
230;Onderliggende reeks II;2002 maart;106.3;3.7
231;Onderliggende reeks II;2002 april;106.7;3.5
232;Onderliggende reeks II;2002 mei;106.7;3.2
233;Onderliggende reeks II;2002 juni;106.3;3.2
234;Onderliggende reeks II;2002 juli;106.2;3.2
235;Onderliggende reeks II;2002 augustus;106.5;3.2
236;Onderliggende reeks II;2002 september;107.6;3.1
237;Onderliggende reeks II;2002 oktober;107.4;2.9
238;Onderliggende reeks II;2002 november;107.1;2.7
239;Onderliggende reeks II;2002 december;106.8;2.6
240;Onderliggende reeks II;2003 januari;106.9;1.9
241;Onderliggende reeks II;2003 februari;107.5;2.0
242;Onderliggende reeks II;2003 maart;108.5;2.1
243;Onderliggende reeks II;2003 april;108.6;1.8
244;Onderliggende reeks II;2003 mei;108.5;1.7
245;Onderliggende reeks II;2003 juni;108.0;1.6
246;Onderliggende reeks II;2003 juli;108.3;2.0
247;Onderliggende reeks II;2003 augustus;108.6;2.0
248;Onderliggende reeks II;2003 september;109.5;1.8
249;Onderliggende reeks II;2003 oktober;109.3;1.8
250;Onderliggende reeks II;2003 november;109.0;1.8
251;Onderliggende reeks II;2003 december;108.3;1.4
252;Onderliggende reeks II;2004 januari;108.1;1.1
253;Onderliggende reeks II;2004 februari;108.6;1.0
254;Onderliggende reeks II;2004 maart;109.4;0.8
255;Onderliggende reeks II;2004 april;109.5;0.8
256;Onderliggende reeks II;2004 mei;109.7;1.1
257;Onderliggende reeks II;2004 juni;108.9;0.8
258;Onderliggende reeks II;2004 juli;108.8;0.5
259;Onderliggende reeks II;2004 augustus;109.0;0.4
260;Onderliggende reeks II;2004 september;109.9;0.4
261;Onderliggende reeks II;2004 oktober;110.0;0.6
262;Onderliggende reeks II;2004 november;109.7;0.6
263;Onderliggende reeks II;2004 december;108.8;0.5
264;Onderliggende reeks II;2005 januari;109.0;0.8
265;Onderliggende reeks II;2005 februari;109.8;1.1
266;Onderliggende reeks II;2005 maart;110.7;1.2
267;Onderliggende reeks II;2005 april;110.8;1.2
268;Onderliggende reeks II;2005 mei;110.7;0.9
