ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
0;Nederland;Nederland                               ;Land      ;NL00      ; ;7187455;1960110;5227350;6057765;1129695;0.9;213.0;640020;1124590
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;.;13835;3965;9865;10630;3205;1.3;50.0;1655;1345
2;Niet nader toe te delen;Aa en Hunze                             ;          ;          ; ;5;0;5;5;0;;;0;0
3;Wel nader toe te delen;Aa en Hunze                             ;          ;          ; ;13825;3965;9860;10625;3200;;;1655;1345
4;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1;1895;565;1330;1485;410;1.2;129.0;185;145
5;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1;1805;540;1265;1420;385;1.2;716.0;175;140
6;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1;90;25;65;70;25;1.4;8.0;10;5
7;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1;820;185;635;610;210;1.3;46.0;105;100
8;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1;715;160;550;530;185;1.3;418.0;100;80
9;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1;105;25;85;80;25;1.3;7.0;10;20
10;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1;260;80;180;200;60;1.3;32.0;25;25
11;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1;190;55;135;150;40;1.3;332.0;20;20
12;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1;70;20;45;50;15;1.2;9.0;5;5
13;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1;245;80;165;185;60;1.4;27.0;35;25
14;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1;240;75;165;185;60;1.5;448.0;35;25
15;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;1;5;0;0;0;0;;;0;0
16;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1;160;50;110;125;40;1.5;15.0;35;25
17;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1;160;50;110;125;35;1.6;374.0;35;25
18;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1;0;0;0;0;0;;;0;0
19;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;1;370;125;245;270;100;1.3;63.0;25;25
20;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;1;360;125;235;260;95;1.4;374.0;25;25
21;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;1;10;0;10;10;0;;;0;0
22;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;1;255;90;165;180;70;1.5;39.0;35;15
23;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;1;250;90;160;180;70;1.5;196.0;35;15
24;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;1;5;5;0;5;0;;;0;0
25;Wijk 07 Spijkerboor;Aa en Hunze                             ;Wijk      ;WK168007  ;1;85;25;60;75;10;1.3;231.0;15;5
26;Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800700;1;85;25;60;75;10;1.3;386.0;15;5
27;Verspreide huizen Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800709;1;0;0;0;0;0;;;0;0
28;Wijk 08 Nieuw-Annerveen;Aa en Hunze                             ;Wijk      ;WK168008  ;1;80;20;65;60;20;;;15;5
29;Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800800;1;80;20;65;60;20;;;15;5
30;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800809;1;0;0;0;0;0;;;0;0
31;Wijk 09 Oud-Annerveen;Aa en Hunze                             ;Wijk      ;WK168009  ;1;75;20;55;50;20;1.5;37.0;15;0
32;Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800900;1;75;20;55;50;20;;;15;0
33;Verspreide huizen Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800909;1;0;0;0;0;0;;;0;0
34;Wijk 11 Annerveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168011  ;1;255;70;190;195;60;1.5;80.0;40;20
35;Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801100;1;255;70;190;195;60;1.5;438.0;40;20
36;Verspreide huizen Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801109;1;0;0;0;0;0;;;0;0
37;Wijk 12 Eexterveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168012  ;1;165;25;140;125;45;1.3;60.0;30;15
38;Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801200;1;150;25;125;110;40;1.3;247.0;30;15
39;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801209;1;20;0;15;15;5;;;0;0
40;Wijk 13 Eexterzandvoort;Aa en Hunze                             ;Wijk      ;WK168013  ;1;80;20;60;55;25;1.3;12.0;5;10
41;Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801300;1;70;15;55;50;20;;;5;10
42;Verspreide huizen Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801309;1;10;5;5;10;5;;;0;0
43;Wijk 14 Gasselte;Aa en Hunze                             ;Wijk      ;WK168014  ;1;1090;300;790;840;255;1.2;56.0;110;105
44;Gasselte;Aa en Hunze                             ;Buurt     ;BU16801400;1;890;245;650;685;205;1.3;266.0;90;85
45;Kostvlies;Aa en Hunze                             ;Buurt     ;BU16801401;1;85;25;60;60;20;1.4;157.0;15;10
46;Verspreide huizen Gasselte;Aa en Hunze                             ;Buurt     ;BU16801409;1;115;35;85;90;25;0.9;8.0;5;15
47;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;1;955;210;745;750;200;1.2;162.0;135;125
48;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;1;930;210;725;740;190;1.2;470.0;125;120
49;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;1;25;5;20;15;10;;;10;5
50;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;1;0;0;0;0;0;;;0;0
51;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1;395;95;300;305;95;1.4;34.0;55;50
52;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;1;365;90;275;280;85;1.3;161.0;50;40
53;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;1;25;5;25;20;5;;;5;5
54;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;1;5;0;5;5;0;;;0;0
55;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;1;2620;845;1775;2055;565;1.2;106.0;260;265
56;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;1;2510;815;1690;1985;525;1.2;617.0;240;250
57;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;1;110;30;80;70;40;1.5;5.0;20;15
58;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;1;735;185;550;540;195;1.4;43.0;105;70
59;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;1;400;110;290;300;100;1.4;601.0;70;35
60;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;1;55;10;40;35;20;;;0;10
61;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;1;160;30;135;120;40;1.6;155.0;15;20
62;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;1;125;40;85;90;35;1.4;8.0;15;5
63;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;1;2345;715;1630;1850;495;1.2;67.0;245;175
64;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;1;1985;615;1365;1595;385;1.2;595.0;200;145
65;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;1;70;20;50;50;20;1.0;138.0;10;10
66;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;1;55;20;35;40;15;;;5;5
67;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;1;45;10;35;35;10;;;5;5
68;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;1;105;35;70;70;35;1.3;11.0;10;5
69;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;1;85;15;70;60;25;1.6;4.0;10;5
70;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;1;680;190;490;480;200;1.4;13.0;145;80
71;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;1;395;110;285;285;110;1.5;516.0;80;55
72;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;1;105;40;65;80;20;1.2;142.0;25;5
73;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;1;40;10;30;25;10;;;5;5
74;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;1;145;35;110;90;55;1.2;3.0;35;15
75;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;1;255;70;190;185;75;1.4;13.0;35;50
76;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;1;140;40;100;105;35;1.3;369.0;20;20
77;Amen;Aa en Hunze                             ;Buurt     ;BU16802101;1;50;15;35;40;15;;;5;20
78;Verspreide huizen Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802109;1;65;15;55;40;25;;;5;10
79;Aalburg;Aalburg                                 ;Gemeente  ;GM0738    ;.;6540;1670;4870;5050;1490;1.3;130.0;500;1045
80;Niet nader toe te delen;Aalburg                                 ;          ;          ; ;0;0;0;0;0;;;0;0
81;Wel nader toe te delen;Aalburg                                 ;          ;          ; ;6540;1670;4870;5050;1490;;;500;1045
82;Wijk 00 Wijk en Aalburg;Aalburg                                 ;Wijk      ;WK073800  ;1;3020;750;2270;2340;685;1.3;244.0;210;455
83;Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380000;1;2440;610;1830;1920;520;1.3;1079.0;160;365
84;Spijk;Aalburg                                 ;Buurt     ;BU07380001;1;430;105;325;315;115;1.5;168.0;35;65
85;Verspreide huizen Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380009;1;150;35;120;100;50;1.9;20.0;10;25
86;Wijk 01 Veen;Aalburg                                 ;Wijk      ;WK073801  ;1;1285;310;980;985;300;1.3;278.0;85;285
87;Veen;Aalburg                                 ;Buurt     ;BU07380100;1;1245;300;945;960;285;1.3;841.0;85;280
88;Verspreide huizen Veen;Aalburg                                 ;Buurt     ;BU07380109;1;40;5;35;30;15;;;0;10
89;Wijk 02 Genderen;Aalburg                                 ;Wijk      ;WK073802  ;1;920;265;655;720;200;1.4;143.0;60;115
90;Genderen;Aalburg                                 ;Buurt     ;BU07380200;1;880;255;620;690;190;1.4;576.0;60;110
91;Verspreide huizen Genderen;Aalburg                                 ;Buurt     ;BU07380209;1;45;10;35;30;10;;;5;5
92;Wijk 03 Eethen;Aalburg                                 ;Wijk      ;WK073803  ;1;425;135;295;325;100;1.3;55.0;40;75
93;Eethen;Aalburg                                 ;Buurt     ;BU07380300;1;375;115;260;280;95;1.5;981.0;40;70
94;Verspreide huizen Eethen;Aalburg                                 ;Buurt     ;BU07380309;1;50;15;35;45;5;0.7;7.0;0;5
