ID;VolgordeVanGeboorteUitDeMoeder;LeeftijdOp31December;GeboortegeneratieVrouw;Vruchtbaarheidcijfers_1
0;Totaal;Totaal;1935;2.49886
1;Totaal;Totaal;1936;2.43154
2;Totaal;Totaal;1937;2.40692
3;Totaal;Totaal;1938;2.31703
4;Totaal;Totaal;1939;2.26666
5;Totaal;Totaal;1940;2.21382
6;Totaal;Totaal;1941;2.18308
7;Totaal;Totaal;1942;2.12353
8;Totaal;Totaal;1943;2.08089
9;Totaal;Totaal;1944;2.04654
10;Totaal;Totaal;1945;1.99651
11;Totaal;Totaal;1946;1.94643
12;Totaal;Totaal;1947;1.91854
13;Totaal;Totaal;1948;1.91693
14;Totaal;Totaal;1949;1.88988
15;Totaal;Totaal;1950;1.9006
16;Totaal;Totaal;1951;1.87468
17;Totaal;Totaal;1952;1.87533
18;Totaal;Totaal;1953;1.86957
19;Totaal;Totaal;1954;1.87644
20;Totaal;Totaal;1955;1.86746
21;Totaal;Totaal;1956;1.87421
22;Totaal;Totaal;1957;1.87067
23;Totaal;Totaal;1958;1.86572
24;Totaal;Totaal;1959;1.8527
25;Totaal;Totaal;1960;1.86297
26;Totaal;Totaal;1961;1.83044
27;Totaal;Totaal;1962;1.83094
28;Totaal;Totaal;1963;1.8086
29;Totaal;Totaal;1964;1.794
30;Totaal;Totaal;1965;1.78494
31;Totaal;Totaal;1966;1.7771
32;Totaal;Totaal;1967;1.76963
33;Totaal;Totaal;1968;1.76817
34;Totaal;Totaal;1969;1.7558
35;Totaal;Totaal;1970;1.75771
36;Totaal;Totaal;1971;1.75281
37;Totaal;Totaal;1972;1.76539
38;Totaal;Totaal;1973;1.76856
39;Totaal;Totaal;1974;1.77771
40;Totaal;Totaal;1975;1.78136
41;Totaal;Totaal;1976;1.78069
42;Totaal;Totaal;1977;1.7949
43;Totaal;Totaal;1978;1.78205
44;Totaal;Totaal;1979;1.78858
45;Totaal;Totaal;1980;1.78768
46;Totaal;Totaal;1981;1.78519
47;Totaal;Totaal;1982;1.78154
48;Totaal;Totaal;1983;1.77697
49;Totaal;Totaal;1984;1.77192
50;Totaal;Totaal;1985;1.76739
51;Totaal;Totaal;1986;1.7616
52;Totaal;Totaal;1987;1.75703
53;Totaal;Totaal;1988;1.75335
54;Totaal;Totaal;1989;1.7509
55;Totaal;Totaal;1990;1.74996
56;Totaal;Totaal;1991;1.75
57;Totaal;Totaal;1992;1.74997
58;Totaal;Totaal;1993;1.75
59;Totaal;Totaal;1994;1.75
60;Totaal;Totaal;1995;1.75
61;Totaal;Totaal;1996;1.75
62;Totaal;Totaal;1997;1.75001
63;Totaal;Totaal;1998;1.75
64;Totaal;Totaal;1999;1.75
65;Totaal;Totaal;2000;1.75
66;Totaal;Totaal;2001;1.75
67;Totaal;Totaal;2002;1.75
68;Totaal;Totaal;2003;1.75
69;Totaal;Totaal;2004;1.75
70;Totaal;Totaal;2005;1.75
71;Totaal;Totaal;2006;1.75
72;Totaal;Totaal;2007;1.75
73;Totaal;Totaal;2008;1.75
74;Totaal;Totaal;2009;1.75
75;Totaal;Totaal;2010;1.75
76;Totaal;Totaal;2011;1.75
77;Totaal;Totaal;2012;1.75
78;Totaal;Totaal;2013;1.75
79;Totaal;Totaal;2014;1.75
80;Totaal;Totaal;2015;1.75
81;Totaal;Totaal;2016;1.75
82;Totaal;Totaal;2017;1.75
83;Totaal;Totaal;2018;1.75
84;Totaal;Totaal;2019;1.75
85;Totaal;Totaal;2020;1.75
86;Totaal;Jonger dan 16 jaar;1935;0.00027
87;Totaal;Jonger dan 16 jaar;1936;0.00032
88;Totaal;Jonger dan 16 jaar;1937;0.00024
89;Totaal;Jonger dan 16 jaar;1938;0.00029
90;Totaal;Jonger dan 16 jaar;1939;0.00029
91;Totaal;Jonger dan 16 jaar;1940;0.00028
92;Totaal;Jonger dan 16 jaar;1941;0.0003
93;Totaal;Jonger dan 16 jaar;1942;0.00054
94;Totaal;Jonger dan 16 jaar;1943;0.00053
95;Totaal;Jonger dan 16 jaar;1944;0.0005
96;Totaal;Jonger dan 16 jaar;1945;0.00054
97;Totaal;Jonger dan 16 jaar;1946;0.00061
98;Totaal;Jonger dan 16 jaar;1947;0.00054
99;Totaal;Jonger dan 16 jaar;1948;0.00052
100;Totaal;Jonger dan 16 jaar;1949;0.00069
101;Totaal;Jonger dan 16 jaar;1950;0.00054
102;Totaal;Jonger dan 16 jaar;1951;0.00074
103;Totaal;Jonger dan 16 jaar;1952;0.00076
104;Totaal;Jonger dan 16 jaar;1953;0.00078
105;Totaal;Jonger dan 16 jaar;1954;0.00087
106;Totaal;Jonger dan 16 jaar;1955;0.0008
107;Totaal;Jonger dan 16 jaar;1956;0.00088
108;Totaal;Jonger dan 16 jaar;1957;0.00083
109;Totaal;Jonger dan 16 jaar;1958;0.00058
110;Totaal;Jonger dan 16 jaar;1959;0.00058
111;Totaal;Jonger dan 16 jaar;1960;0.0005
112;Totaal;Jonger dan 16 jaar;1961;0.00045
113;Totaal;Jonger dan 16 jaar;1962;0.00043
114;Totaal;Jonger dan 16 jaar;1963;0.00046
115;Totaal;Jonger dan 16 jaar;1964;0.00046
116;Totaal;Jonger dan 16 jaar;1965;0.00044
117;Totaal;Jonger dan 16 jaar;1966;0.00035
