ID;KenmerkenBaan;BedrijfstakkenBranchesSBI93;Perioden;TotaalBanen_1;Minimumloon_2;k_105Minimumloon_3;k_110Minimumloon_4;k_115Minimumloon_5;k_120Minimumloon_6;k_130Minimumloon_7;TotaalArbeidsvolume_8;Minimumloon_9;k_105Minimumloon_10;k_110Minimumloon_11;k_115Minimumloon_12;k_120Minimumloon_13;k_130Minimumloon_14
0;Totaal;100010;2006;7542.5;450.4;595.3;775.6;1001.2;1224.0;1692.7;5722.5;251.9;332.1;433.4;561.2;698.1;995.4
1;Totaal;100010;2007;7755.5;486.1;642.3;832.0;1070.9;1309.4;1802.8;5902.5;280.2;367.1;476.1;612.7;758.5;1071.4
2;Totaal;100010;2008;7880.4;464.2;624.8;812.0;1028.5;1268.1;1758.9;6009.5;273.4;363.7;472.4;601.1;746.3;1060.2
3;Totaal;100010;2009;7818.7;478.4;639.7;826.7;1021.3;1251.8;1734.8;5923.1;275.3;365.2;474.2;590.9;730.1;1035.0
4;Totaal;100070;2006;125.7;12.6;16.3;21.0;26.1;31.5;42.7;84.3;6.2;8.0;10.2;12.7;15.5;21.3
5;Totaal;100070;2007;125.4;12.2;16.6;21.5;26.6;32.4;44.6;85.3;6.5;8.6;11.1;13.8;16.8;23.3
6;Totaal;100070;2008;123.2;11.4;15.4;19.9;24.9;30.6;42.1;85.3;6.2;8.3;10.7;13.4;16.4;22.8
7;Totaal;100070;2009;121.8;10.5;14.4;18.7;23.3;29.3;40.7;84.9;5.9;8.1;10.6;13.2;16.5;23.1
8;Totaal;101030;2006;7.7;0.1;0.1;0.1;0.2;0.2;0.3;7.3;0.1;0.1;0.1;0.1;0.1;0.2
9;Totaal;101030;2007;7.7;0.1;0.1;0.1;0.2;0.2;0.3;7.3;0.1;0.1;0.1;0.1;0.2;0.2
10;Totaal;101030;2008;7.5;0.1;0.1;0.1;0.1;0.2;0.2;7.1;0.1;0.1;0.1;0.1;0.1;0.2
11;Totaal;101030;2009;7.9;0.1;0.1;0.1;0.1;0.1;0.2;7.5;0.1;0.1;0.1;0.1;0.1;0.2
12;Totaal;101760;2006;847.4;32.1;46.2;62.8;81.7;103.1;153.9;761.4;23.5;34.1;47.0;62.3;79.4;121.9
13;Totaal;101760;2007;848.6;33.3;47.2;65.5;83.7;106.5;157.9;763.9;25.2;35.7;50.0;64.5;82.9;126.1
14;Totaal;101760;2008;859.8;34.1;49.1;67.6;85.9;107.4;156.8;772.5;26.0;37.3;51.9;66.5;83.8;125.2
15;Totaal;101760;2009;830.0;32.9;50.3;69.5;87.2;111.4;156.6;744.2;25.3;38.3;53.5;67.6;87.7;125.0
16;Totaal;112710;2006;24.3;0.2;0.2;0.2;0.3;0.3;0.3;22.9;0.2;0.2;0.2;0.2;0.2;0.3
17;Totaal;112710;2007;25.3;0.3;0.3;0.4;0.4;0.4;0.5;24.0;0.3;0.3;0.3;0.3;0.4;0.4
18;Totaal;112710;2008;24.8;0.3;0.3;0.4;0.4;0.4;0.5;23.4;0.3;0.3;0.3;0.3;0.4;0.4
19;Totaal;112710;2009;26.8;0.3;0.4;0.4;0.4;0.5;0.6;25.3;0.3;0.3;0.4;0.4;0.4;0.5
20;Totaal;113110;2006;378.8;7.7;9.8;11.8;14.2;17.6;25.6;346.3;5.5;6.9;8.3;10.1;12.8;19.3
21;Totaal;113110;2007;382.5;8.1;10.1;12.2;14.7;18.3;26.7;350.3;5.9;7.3;8.8;10.7;13.6;20.4
22;Totaal;113110;2008;386.2;7.2;9.1;11.0;13.3;16.3;24.1;351.6;5.3;6.7;8.1;9.8;12.1;18.3
23;Totaal;113110;2009;379.1;6.9;8.7;10.5;12.7;15.5;23.2;345.1;5.1;6.4;7.8;9.3;11.5;17.7
24;Totaal;114110;2006;1228.1;110.8;150.6;200.1;253.5;309.6;437.0;870.8;59.3;81.3;109.6;141.4;175.6;251.2
25;Totaal;114110;2007;1263.7;114.0;156.4;207.9;265.6;329.2;466.8;896.7;61.3;84.4;114.2;148.3;186.0;266.3
26;Totaal;114110;2008;1292.8;112.3;156.9;208.8;264.4;320.7;445.4;914.7;60.4;85.1;115.2;149.0;183.8;260.5
27;Totaal;114110;2009;1284.1;106.3;149.9;201.7;253.8;308.1;423.0;896.0;55.3;79.1;109.5;140.9;174.0;247.2
28;Totaal;122690;2006;302.2;41.7;55.7;72.6;91.8;111.8;148.9;157.6;17.1;22.7;29.6;38.0;47.3;66.2
29;Totaal;122690;2007;315.9;44.3;61.2;81.6;103.0;124.6;165.7;165.3;18.2;24.9;33.5;43.4;53.5;74.3
30;Totaal;122690;2008;322.0;42.0;60.6;83.1;105.3;128.1;171.8;168.5;17.5;25.0;34.6;44.8;55.2;77.3
31;Totaal;122690;2009;318.3;39.9;59.2;81.3;102.8;126.9;170.2;162.9;16.2;23.9;33.4;43.0;53.3;74.9
32;Totaal;123270;2006;444.3;21.2;26.3;32.4;41.3;52.3;74.9;363.2;11.9;14.7;18.4;23.8;31.1;46.7
33;Totaal;123270;2007;450.8;22.2;27.2;33.3;42.6;53.3;76.8;367.6;12.1;14.8;18.6;24.4;31.7;48.0
