ID;Geslacht;Leeftijd;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
0;Totaal mannen en vrouwen;Totaal;2001;140377;79354;46784;32570;61024;10610;25793;2055;17902;4664;3444;283;938
1;Totaal mannen en vrouwen;Totaal;2005;136402;78391;45928;32463;58011;11056;32229;1504;10261;2960;2297;113;551
2;Totaal mannen en vrouwen;Totaal;2010;136058;57331;27234;30096;78728;10713;47957;1606;14092;4360;3859;192;310
3;Totaal mannen en vrouwen;Totaal;2015;147134;61607;24542;37066;85527;7437;50911;1712;18213;7254;6672;150;431
4;Totaal mannen en vrouwen;Totaal;2021;170972;79268;22195;57073;91608;9931;48580;2657;20640;9799;9038;245;517
5;Totaal mannen en vrouwen;0 jaar;2001;1082;348;210;138;734;87;78;8;457;104;0;0;104
6;Totaal mannen en vrouwen;0 jaar;2005;927;376;169;207;551;144;75;16;237;79;0;0;79
7;Totaal mannen en vrouwen;0 jaar;2010;695;259;139;120;435;89;106;3;228;9;0;0;9
8;Totaal mannen en vrouwen;0 jaar;2015;561;195;85;111;366;52;96;10;208;0;0;0;0
9;Totaal mannen en vrouwen;0 jaar;2021;595;254;111;143;341;80;56;0;200;6;0;0;6
10;Totaal mannen en vrouwen;1 tot 17 jaar;2001;602;393;255;138;209;17;113;6;55;18;5;0;13
11;Totaal mannen en vrouwen;1 tot 17 jaar;2005;506;300;234;66;206;32;102;12;47;13;8;0;5
12;Totaal mannen en vrouwen;1 tot 17 jaar;2010;363;214;155;58;150;24;89;8;29;0;0;0;0
13;Totaal mannen en vrouwen;1 tot 17 jaar;2015;296;153;110;43;143;10;85;10;38;0;0;0;0
14;Totaal mannen en vrouwen;1 tot 17 jaar;2021;278;183;130;53;95;4;34;0;57;0;0;0;0
15;Totaal mannen en vrouwen;17 tot 65 jaar;2001;25703;15548;10527;5021;10155;1110;4377;461;2699;1508;1261;80;167
16;Totaal mannen en vrouwen;17 tot 65 jaar;2005;24774;15296;10463;4833;9478;1296;5047;366;1680;1089;875;39;175
17;Totaal mannen en vrouwen;17 tot 65 jaar;2010;24066;12046;7472;4573;12020;1000;7061;399;2092;1468;1324;91;52
18;Totaal mannen en vrouwen;17 tot 65 jaar;2015;22166;11378;6577;4801;10788;797;6515;379;1459;1638;1544;13;81
19;Totaal mannen en vrouwen;17 tot 65 jaar;2021;22721;11191;5068;6122;11530;730;6153;203;2635;1809;1660;0;148
20;Totaal mannen en vrouwen;65 tot 80 jaar;2001;48672;27707;16782;10925;20965;3234;9045;805;6120;1761;1431;117;213
21;Totaal mannen en vrouwen;65 tot 80 jaar;2005;44224;25533;14776;10757;18691;3227;10841;374;3162;1087;874;60;153
22;Totaal mannen en vrouwen;65 tot 80 jaar;2010;41731;17959;8893;9066;23772;2841;14149;588;4423;1771;1585;64;122
23;Totaal mannen en vrouwen;65 tot 80 jaar;2015;44866;18611;7965;10646;26255;2237;14605;416;5998;2999;2764;86;149
24;Totaal mannen en vrouwen;65 tot 80 jaar;2021;54916;25754;7856;17898;29162;2049;14492;1038;6512;5072;4708;200;164
25;Totaal mannen en vrouwen;80 jaar of ouder;2001;64317;35356;19009;16347;28961;6162;12180;774;8571;1274;747;85;442
26;Totaal mannen en vrouwen;80 jaar of ouder;2005;65970;36887;20286;16601;29083;6357;16163;736;5135;692;540;14;138
27;Totaal mannen en vrouwen;80 jaar of ouder;2010;69203;26853;10575;16279;42349;6758;26552;608;7319;1112;950;36;127
28;Totaal mannen en vrouwen;80 jaar of ouder;2015;79245;31269;9805;21464;47976;4340;29610;898;10511;2617;2365;52;201
29;Totaal mannen en vrouwen;80 jaar of ouder;2021;92366;41886;9030;32856;50480;7069;27846;1416;11237;2913;2669;45;198
30;Mannen;Totaal;2001;68308;40362;24691;15671;27946;4453;11851;982;8151;2509;1897;169;443
31;Mannen;Totaal;2005;66361;39687;23680;16007;26673;4431;15150;585;4899;1608;1255;86;268
32;Mannen;Totaal;2010;65977;29409;15394;14015;36568;4375;21905;870;6959;2459;2213;86;160
33;Mannen;Totaal;2015;71029;31793;14933;16860;39235;3139;22800;818;8639;3839;3603;65;171
34;Mannen;Totaal;2021;85708;42511;12186;30326;43197;4566;20391;1494;11641;5104;4763;101;240
35;Mannen;0 jaar;2001;611;234;125;109;377;51;32;0;245;49;0;0;49
36;Mannen;0 jaar;2005;506;210;85;125;296;84;37;16;105;54;0;0;54
37;Mannen;0 jaar;2010;378;138;85;53;241;57;47;0;132;5;0;0;5
38;Mannen;0 jaar;2015;313;110;50;61;203;25;49;5;124;0;0;0;0
39;Mannen;0 jaar;2021;332;156;71;85;176;29;34;0;108;6;0;0;6
40;Mannen;1 tot 17 jaar;2001;368;229;148;81;139;17;72;6;31;13;5;0;8
41;Mannen;1 tot 17 jaar;2005;284;190;153;37;94;13;49;0;27;5;0;0;5
42;Mannen;1 tot 17 jaar;2010;212;133;86;47;79;13;51;4;11;0;0;0;0
43;Mannen;1 tot 17 jaar;2015;163;72;40;32;91;10;37;10;34;0;0;0;0
44;Mannen;1 tot 17 jaar;2021;155;84;65;20;71;0;25;0;45;0;0;0;0
45;Mannen;17 tot 65 jaar;2001;15681;9979;7160;2819;5702;592;2414;249;1573;874;710;55;109
46;Mannen;17 tot 65 jaar;2005;14701;9512;6780;2732;5189;714;2609;189;1018;659;505;26;128
47;Mannen;17 tot 65 jaar;2010;14169;7619;5095;2524;6550;510;3837;205;1205;793;723;58;12
48;Mannen;17 tot 65 jaar;2015;12780;7465;4796;2669;5315;405;3330;85;753;742;718;0;23
49;Mannen;17 tot 65 jaar;2021;13217;6949;3282;3667;6268;529;3005;112;1707;915;800;0;115
50;Mannen;65 tot 80 jaar;2001;28365;17038;10154;6884;11327;1730;4908;353;3202;1134;904;76;154
51;Mannen;65 tot 80 jaar;2005;26080;15157;8752;6405;10923;1878;6465;208;1686;686;551;54;81
52;Mannen;65 tot 80 jaar;2010;24746;10759;5574;5185;13988;1551;8178;398;2704;1157;1072;7;78
53;Mannen;65 tot 80 jaar;2015;26316;11265;5071;6193;15051;1261;8249;297;3460;1784;1659;52;73
54;Mannen;65 tot 80 jaar;2021;31941;15267;4883;10384;16674;877;7988;505;4504;2800;2579;101;120
55;Mannen;80 jaar of ouder;2001;23280;12882;7104;5778;10398;2063;4424;373;3100;438;278;38;122
56;Mannen;80 jaar of ouder;2005;24792;14621;7911;6710;10171;1742;5991;171;2061;206;199;7;0
57;Mannen;80 jaar of ouder;2010;26472;10760;4554;6206;15712;2244;9793;264;2907;504;419;21;65
58;Mannen;80 jaar of ouder;2015;31457;12881;4976;7904;18577;1438;11135;422;4268;1314;1225;14;74
59;Mannen;80 jaar of ouder;2021;40063;20056;3885;16171;20007;3131;9339;878;5276;1383;1383;0;0
60;Vrouwen;Totaal;2001;72071;38992;22093;16899;33079;6157;13942;1073;9752;2155;1547;113;495
61;Vrouwen;Totaal;2005;70041;38704;22248;16456;31337;6625;17079;918;5363;1352;1042;27;283
62;Vrouwen;Totaal;2010;70081;27922;11841;16081;42159;6338;26051;735;7133;1902;1646;106;150
63;Vrouwen;Totaal;2015;76105;29814;9608;20206;46291;4298;28111;893;9574;3415;3069;85;261
64;Vrouwen;Totaal;2021;85168;36757;10010;26747;48411;5365;28190;1162;8999;4695;4274;144;276
65;Vrouwen;0 jaar;2001;471;114;85;29;357;36;46;8;212;55;0;0;55
66;Vrouwen;0 jaar;2005;422;166;84;82;256;61;39;0;131;25;0;0;25
67;Vrouwen;0 jaar;2010;317;122;54;67;195;32;59;3;96;5;0;0;5
68;Vrouwen;0 jaar;2015;248;85;35;50;163;27;47;5;84;0;0;0;0
69;Vrouwen;0 jaar;2021;263;97;39;58;166;51;22;0;92;0;0;0;0
70;Vrouwen;1 tot 17 jaar;2001;235;165;108;57;70;0;41;0;24;5;0;0;5
71;Vrouwen;1 tot 17 jaar;2005;222;110;81;29;112;19;53;12;20;8;8;0;0
72;Vrouwen;1 tot 17 jaar;2010;151;80;69;11;71;11;38;4;18;0;0;0;0
73;Vrouwen;1 tot 17 jaar;2015;133;81;71;11;52;0;48;0;4;0;0;0;0
74;Vrouwen;1 tot 17 jaar;2021;123;99;65;34;24;4;9;0;11;0;0;0;0
75;Vrouwen;17 tot 65 jaar;2001;10022;5570;3367;2203;4452;518;1962;212;1126;634;551;25;58
76;Vrouwen;17 tot 65 jaar;2005;10073;5784;3683;2101;4289;582;2438;176;662;431;371;13;47
77;Vrouwen;17 tot 65 jaar;2010;9897;4427;2378;2049;5470;490;3224;194;887;675;602;33;40
78;Vrouwen;17 tot 65 jaar;2015;9386;3913;1781;2132;5472;392;3185;293;706;896;825;13;58
79;Vrouwen;17 tot 65 jaar;2021;9504;4242;1786;2456;5262;202;3148;91;928;893;860;0;33
80;Vrouwen;65 tot 80 jaar;2001;20306;10669;6628;4041;9637;1504;4137;452;2918;626;527;41;58
81;Vrouwen;65 tot 80 jaar;2005;18145;10376;6024;4352;7769;1349;4376;166;1476;402;323;7;72
82;Vrouwen;65 tot 80 jaar;2010;16985;7200;3319;3881;9784;1290;5971;190;1719;614;513;58;43
83;Vrouwen;65 tot 80 jaar;2015;18550;7347;2894;4453;11204;977;6355;119;2538;1215;1105;34;76
84;Vrouwen;65 tot 80 jaar;2021;22975;10487;2973;7514;12488;1171;6503;533;2007;2272;2129;99;45
85;Vrouwen;80 jaar of ouder;2001;41038;22474;11905;10569;18564;4100;7756;401;5472;835;469;47;319
86;Vrouwen;80 jaar of ouder;2005;41176;22266;12375;9891;18910;4615;10172;564;3074;485;340;7;138
87;Vrouwen;80 jaar of ouder;2010;42731;16093;6021;10073;26637;4514;16759;344;4412;608;531;15;62
88;Vrouwen;80 jaar of ouder;2015;47788;18388;4828;13560;29401;2902;18476;476;6243;1304;1139;38;127
89;Vrouwen;80 jaar of ouder;2021;52303;21831;5146;16685;30472;3937;18507;538;5961;1529;1286;45;198
