ID;ZwareMetalen;Perioden;TotaalBrutoBelasting_1;DierlijkeMest_2;Kunstmest_3;DepositieNeerslag_4;OverigeBronnen_5;TotaalAfvoerMetGewassen_6;TotaalAkkerbouwgewassen_7;Snijmais_8;Tarwe_9;Aardappelen_10;Suikerbieten_11;OverigeAkkerbouwgewassen_12;TotaalGraslandgewassen_13;Hooi_14;Kuilgras_15;Weidegras_16;TotaalTuinbouwgewassen_17;GroenteEnFruit_18;OverigeTuinbouwgewassen_19;NettoBelastingAanvoerMinusAfvoer_20
0;Koper (Cu);1980;1360;1050;150;80;80;140;27.5;6.9;3.9;7.5;4.7;4.5;110.1;8.8;46.4;54.9;0.5;0;0.5;1220
1;Koper (Cu);1986;1140;850;140;90;60;140;33.6;10.7;4.1;8.2;6.2;4.4;109.4;6.1;44.0;59.3;0.5;0;0.5;1000
2;Koper (Cu);1990;970;750;120;50;50;130;33.2;9.5;4.7;8.5;6.9;3.6;100.0;4.9;47.7;47.4;0.5;0;0.5;840
3;Koper (Cu);1993;960;800;90;40;30;140;36.5;11.7;4.6;9.3;6.0;4.9;103.0;3.7;48.8;50.6;0.5;0;0.5;820
4;Koper (Cu);1994;910;800;70;20;20;120;33.4;10.9;4.3;8.5;4.9;4.8;87.6;3.5;39.9;44.2;0.5;0;0.5;790
5;Koper (Cu);1995;800;700;50;20;30;110;31.4;9.3;3.4;8.2;5.8;4.7;76.8;3.6;33.0;40.2;0.5;0;0.5;690
6;Koper (Cu);1996;860;750;60;20;30;100;33.5;10.0;3.7;9.1;5.8;4.9;66.3;2.2;30.1;34.0;0.5;0;0.5;760
7;Koper (Cu);1997;810;700;60;20;30;110;37.6;12.9;3.1;9.0;5.9;6.7;75.4;2.8;33.6;39.0;0.5;0;0.5;700
8;Koper (Cu);1998;810;700;60;20;30;100;26.9;9.9;3.1;5.9;5.0;3.0;70.3;2.0;38.2;30.1;0.5;0;0.5;710
9;Koper (Cu);1999;790;700;60;20;10;100;35.9;14.3;2.5;9.3;6.6;3.2;62.1;2.4;30.0;29.7;0.5;0;0.5;690
10;Koper (Cu);2000;780;700;50;20;10;100;32.3;10.3;3.3;9.1;6.1;3.5;65.5;2.5;35.3;27.7;0.5;0;0.5;680
11;Koper (Cu);2001;535;450;50;20;15;105;32.1;12.0;2.9;7.9;5.4;3.9;71.4;2.2;29.6;39.6;0.5;0;0.5;430
12;Koper (Cu);2002;525;450;40;20;15;100;31.9;11.3;3.1;8.2;5.6;3.7;69.4;2.9;37.6;28.9;0.5;0;0.5;425
13;Koper (Cu);2003;505;430;35;20;20;90;32.5;12.5;3.3;7.2;5.6;3.9;59.3;3.6;31.0;24.7;0.5;0;0.5;415
14;Koper (Cu);2004;490;415;35;20;20;100;32.1;10.7;3.6;8.5;5.7;3.5;66.4;4.0;39.1;23.2;0.5;0;0.5;390
15;Koper (Cu);2005;515;435;40;20;20;95;33.4;13.5;3.4;7.6;5.3;3.6;61.7;3.1;36.3;22.3;0.5;0;0.5;420
16;Koper (Cu);2006;505;425;50;20;10;95;32.4;14.1;3.5;7.0;4.9;2.9;62.6;2.8;31.2;28.6;0.5;0;0.5;410
17;Koper (Cu);2007;485;420;30;20;15;95;28.9;10.3;3.0;7.7;5.0;2.9;66.4;2.4;34.2;29.9;0.5;0;0.5;390
18;Koper (Cu);2008;480;420;25;20;15;100;32.3;12.9;4.0;7.9;4.7;2.8;68.8;1.1;38.0;29.6;0.5;0;0.5;380
19;Koper (Cu);2009;465;405;25;20;15;100;35.3;14.8;4.1;8.1;5.2;3.1;65.7;1.7;39.9;24.1;0.5;0;0.5;365
20;Zink (Zn);1980;2400;1800;150;260;190;700;215.5;68.8;24.7;28.2;38.6;55.2;475.3;32.1;168.6;274.6;7.0;5;2.0;1700
21;Zink (Zn);1986;2370;1900;160;130;180;750;266.4;106.7;26.3;30.9;50.1;52.4;478.5;22.3;159.9;296.3;7.0;5;2.0;1620
22;Zink (Zn);1990;2270;1750;140;180;200;690;253.2;94.5;30.1;31.7;56.1;40.8;428.2;17.8;173.4;237.0;7.0;5;2.0;1580
23;Zink (Zn);1993;2570;2200;90;140;140;730;277.3;116.7;29.0;34.7;48.6;48.3;443.4;13.4;177.3;252.8;7.0;5;2.0;1840
24;Zink (Zn);1994;2250;1950;60;120;120;640;257.3;109.1;27.5;31.9;40.0;48.8;378.8;12.8;145.1;220.9;7.0;5;2.0;1610
25;Zink (Zn);1995;2260;2000;60;100;100;720;248.2;118.8;32.7;21.3;37.4;38.0;469.0;21.9;201.5;245.7;7.0;5;2.0;1540
26;Zink (Zn);1996;2360;2100;60;110;90;650;263.7;126.6;35.5;23.4;37.2;41.0;381.3;13.6;184.5;183.2;7.0;5;2.0;1710
27;Zink (Zn);1997;2500;2250;60;90;100;730;272.7;135.7;29.8;23.1;38.3;45.8;445.0;16.1;190.7;238.2;7.0;5;2.0;1770
28;Zink (Zn);1998;2310;2050;60;90;110;600;200.7;101.7;30.0;15.2;31.9;21.9;385.7;11.6;199.7;174.4;7.0;5;2.0;1710
29;Zink (Zn);1999;2230;2000;50;70;110;570;240.7;126.3;23.8;23.8;42.4;24.4;321.1;12.6;157.9;150.6;7.0;5;2.0;1660
30;Zink (Zn);2000;2170;1900;60;70;140;570;223.9;102.7;32.0;23.6;39.0;26.6;340.8;12.9;182.8;145.2;7.0;5;2.0;1600
31;Zink (Zn);2001;1580;1300;50;70;160;570;230.9;116.6;27.7;20.3;34.5;31.8;336.3;12.4;164.2;159.7;7.0;5;2.0;1010
32;Zink (Zn);2002;1540;1300;50;80;110;580;221.9;106.6;29.6;21.3;36.3;28.1;355.0;15.4;200.1;139.4;7.0;5;2.0;960
33;Zink (Zn);2003;1530;1250;50;80;150;540;231.9;115.6;31.6;18.8;36.0;29.9;304.2;19.4;167.3;117.5;7.0;5;2.0;990
34;Zink (Zn);2004;1465;1200;45;60;160;570;221.3;100.6;34.3;21.7;36.5;28.2;338.5;21.2;208.4;108.9;7.0;5;2.0;895
35;Zink (Zn);2005;1515;1245;45;65;160;550;228.8;115.1;32.9;19.6;34.4;26.8;314.1;15.8;183.8;114.5;7.0;5;2.0;965
36;Zink (Zn);2006;1455;1220;45;70;120;570;227.1;122.5;33.2;18.1;31.4;21.9;333.0;14.6;160.0;158.4;7.0;5;2.0;885
37;Zink (Zn);2007;1435;1200;35;50;150;580;209.0;106.3;28.5;19.8;32.0;22.4;363.4;13.4;191.3;158.7;7.0;5;2.0;855
38;Zink (Zn);2008;1480;1220;30;80;150;630;240.6;129.4;38.3;20.3;30.3;22.3;378.0;6.3;209.8;162.0;7.0;5;2.0;850
39;Zink (Zn);2009;1430;1190;25;65;150;590;251.1;133.1;39.3;20.8;33.3;24.6;329.4;8.9;209.7;110.8;7.0;5;2.0;840
40;Cadmium (Cd);1980;16;6;7;2;1;3;1.1;0.7;0.1;0.2;0.1;0.0;2.1;0.2;0.8;1.1;0.0;0;0.0;12
41;Cadmium (Cd);1986;13;4;7;1;0;4;1.5;1.1;0.1;0.2;0.1;0.0;2.1;0.1;0.8;1.2;0.0;0;0.0;9
42;Cadmium (Cd);1990;9;4;4;1;0;3;1.4;0.9;0.1;0.2;0.1;0.1;1.9;0.1;0.9;0.9;0.0;0;0.0;6
43;Cadmium (Cd);1993;8;4;3;1;0;4;1.7;1.2;0.1;0.3;0.1;0.0;2.0;0.1;0.9;1.0;0.0;0;0.0;5
44;Cadmium (Cd);1994;7;4;2;1;0;3;1.6;1.1;0.1;0.2;0.1;0.1;1.7;0.1;0.7;0.9;0.0;0;0.0;4
45;Cadmium (Cd);1995;6;3;2;1;0;3;1.0;0.3;0.1;0.2;0.3;0.1;1.7;0.1;0.7;0.9;0.0;0;0.0;3
