ID;Werksoorten;Perioden;TotaalWerkzamePersonen_1;TotaalVolledigeWeektaak_2;AandeelInTotaalPersoneelLoondienst_3;TotaalGedeeltelijkeWeektaak_4;AandeelInTotaalPersoneelLoondienst_5;FteSExclOproepkrachten_6
0;Totaal alle werksoorten;1995;83708.0;16989.0;20.0;66719.0;80.0;50201
1;Totaal alle werksoorten;1996;83429.0;15704.0;19.0;67725.0;81.0;49666
2;Totaal alle werksoorten;1997;86103.0;15686.0;18.0;70417.0;82.0;51707
3;Totaal alle werksoorten;1998;86647.0;14783.0;17.0;71864.0;83.0;52462
4;Totaal alle werksoorten;1999;89797.0;13887.0;15.0;75910.0;85.0;53893
5;Totaal alle werksoorten;2000;91163.0;13711.0;15.0;77457.0;85.0;54333
6;Totaal alle werksoorten;2001;95058.0;13973.0;15.0;81085.0;85.0;55809
7;Totaal alle werksoorten;2002;104392.0;15102.0;14.0;89290.0;86.0;61442
8;Totaal alle werksoorten;2003;108605.0;15098.0;14.0;93507.0;86.0;64217
9;Totaal alle werksoorten;2004;111529.0;14716.0;13.0;96813.0;87.0;65504
10;Totaal alle werksoorten;2005;111674.0;14361.0;13.0;97313.0;87.0;64694
11;Totaal werksoorten excl. verzorging;1995;37520.0;8463.0;23.0;29057.0;77.0;21660
12;Totaal werksoorten excl. verzorging;1996;37278.0;7969.0;21.0;29309.0;79.0;21314
13;Totaal werksoorten excl. verzorging;1997;38232.0;8053.0;21.0;30179.0;79.0;22088
14;Totaal werksoorten excl. verzorging;1998;38087.0;7613.0;20.0;30474.0;80.0;22013
15;Totaal werksoorten excl. verzorging;1999;39278.0;6936.0;18.0;32342.0;82.0;22501
16;Totaal werksoorten excl. verzorging;2000;39419.0;6904.0;18.0;32515.0;82.0;22536
17;Totaal werksoorten excl. verzorging;2001;41165.0;6923.0;17.0;34242.0;83.0;23184
18;Totaal werksoorten excl. verzorging;2002;42983.0;7335.0;17.0;35648.0;83.0;24189
19;Totaal werksoorten excl. verzorging;2003;42352.0;7340.0;17.0;35012.0;83.0;24424
20;Totaal werksoorten excl. verzorging;2004;42653.0;7133.0;17.0;35520.0;83.0;24607
21;Totaal werksoorten excl. verzorging;2005;42497.0;7001.0;16.0;35496.0;84.0;24227
22;Algemeen beheer;1995;6922.0;1814.0;26.0;5108.0;74.0;3996
23;Algemeen beheer;1996;6933.0;1759.0;25.0;5174.0;75.0;3999
24;Algemeen beheer;1997;7151.0;1808.0;25.0;5344.0;75.0;4139
25;Algemeen beheer;1998;6951.0;1716.0;25.0;5236.0;75.0;4136
26;Algemeen beheer;1999;7330.0;1673.0;23.0;5657.0;77.0;4231
27;Algemeen beheer;2000;7083.0;1629.0;23.0;5454.0;77.0;4140
28;Algemeen beheer;2001;7368.0;1629.0;22.0;5739.0;78.0;4156
29;Algemeen beheer;2002;7619.0;1755.0;23.0;5864.0;77.0;4471
30;Algemeen beheer;2003;7453.0;1766.0;24.0;5687.0;76.0;4449
31;Algemeen beheer;2004;7632.0;1889.0;25.0;5743.0;75.0;4778
32;Algemeen beheer;2005;7549.0;1848.0;24.0;5701.0;76.0;4688
33;Huishouding;1995;12955.0;1598.0;12.0;11357.0;88.0;6991
34;Huishouding;1996;12814.0;1446.0;11.0;11368.0;89.0;6834
35;Huishouding;1997;13066.0;1453.0;11.0;11613.0;89.0;7116
36;Huishouding;1998;12923.0;1364.0;11.0;11559.0;89.0;6972
37;Huishouding;1999;13167.0;1320.0;10.0;11847.0;90.0;7178
38;Huishouding;2000;13413.0;1312.0;10.0;12101.0;90.0;7296
39;Huishouding;2001;14130.0;1249.0;9.0;12881.0;91.0;7601
40;Huishouding;2002;15179.0;1293.0;9.0;13885.0;91.0;7978
41;Huishouding;2003;15170.0;1336.0;9.0;13834.0;91.0;7889
42;Huishouding;2004;14879.0;1226.0;8.0;13653.0;92.0;7636
43;Huishouding;2005;14864.0;1192.0;8.0;13672.0;92.0;7560
44;Geestelijke en culturele zorg;1995;2435.0;219.0;9.0;2216.0;91.0;1309
45;Geestelijke en culturele zorg;1996;2535.0;230.0;9.0;2305.0;91.0;1354
46;Geestelijke en culturele zorg;1997;2560.0;211.0;8.0;2350.0;92.0;1407
47;Geestelijke en culturele zorg;1998;2922.0;245.0;8.0;2677.0;92.0;1649
48;Geestelijke en culturele zorg;1999;2691.0;86.0;3.0;2605.0;97.0;1564
49;Geestelijke en culturele zorg;2000;2573.0;99.0;4.0;2474.0;96.0;1485
50;Geestelijke en culturele zorg;2001;2867.0;115.0;4.0;2752.0;96.0;1656
51;Geestelijke en culturele zorg;2002;2739.0;129.0;5.0;2610.0;95.0;1591
52;Geestelijke en culturele zorg;2003;2632.0;131.0;5.0;2501.0;95.0;1662
53;Geestelijke en culturele zorg;2004;2603.0;117.0;4.0;2486.0;96.0;1538
54;Geestelijke en culturele zorg;2005;2540.0;135.0;5.0;2405.0;95.0;1493
55;Tuin/techniek/onderhoud;1995;2003.0;1084.0;52.0;919.0;48.0;1534
56;Tuin/techniek/onderhoud;1996;1959.0;1040.0;53.0;919.0;47.0;1496
57;Tuin/techniek/onderhoud;1997;1967.0;1052.0;53.0;915.0;47.0;1515
58;Tuin/techniek/onderhoud;1998;1854.0;1068.0;58.0;786.0;42.0;1511
