ID;Geslacht;Onderwijssoorten;Perioden;TotaalLeerlingen_1;CumiLeerlingen_2;CumiLeerlingenIn_3;Achterstandsleerlingen_4;AchterstandsleerlingenIn_5;k_025Leerlingen_6;k_030Leerlingen_7;k_040Leerlingen_8;k_070Leerlingen_9;k_090Leerlingen_10;k_120Leerlingen_11;k_4JaarOfJonger_12;k_5Jaar_13;k_6Jaar_14;k_7Jaar_15;k_8Jaar_16;k_9Jaar_17;k_10Jaar_18;k_11Jaar_19;k_12Jaar_20;k_13Jaar_21;k_14JaarOfOuder_22
0;Totaal mannen en vrouwen;Totaal primair onderwijs;1991/'92;1463191;167712.0;11.0;;;;;;;155939.0;;138461;184457;178747;175567;171208;172113;178472;177598;73770;11892;906
1;Totaal mannen en vrouwen;Totaal primair onderwijs;1992/'93;1470312;172512.0;12.0;;;;;;;161938.0;;137804;185548;184768;178712;175462;171796;172251;175752;75178;12137;904
2;Totaal mannen en vrouwen;Totaal primair onderwijs;1993/'94;1482918;184771.0;12.0;;;;;;;169825.0;;139313;185598;186487;185415;179522;176400;172422;169790;74396;12617;958
3;Totaal mannen en vrouwen;Totaal primair onderwijs;1994/'95;1508145;193906.0;13.0;;;;;;;176051.0;;145915;189064;186619;186982;186013;180276;176859;169838;73181;12458;940
4;Totaal mannen en vrouwen;Totaal primair onderwijs;1995/'96;1534553;204809.0;13.0;581524.0;38.0;395793.0;;1500.0;3870.0;180361.0;;147835;195958;189403;186625;187131;186346;180466;174045;73821;12061;862
5;Totaal mannen en vrouwen;Totaal primair onderwijs;1996/'97;1557176;211181.0;14.0;555148.0;36.0;365760.0;;1475.0;3639.0;184274.0;;146451;197363;196268;189609;186815;187538;186634;177662;75715;12321;800
6;Totaal mannen en vrouwen;Totaal primair onderwijs;1997/'98;1574831;218804.0;14.0;483208.0;31.0;289800.0;;1341.0;3630.0;188437.0;;144527;195396;197767;196531;189838;187348;187768;183855;78599;12413;789
7;Totaal mannen en vrouwen;Totaal primair onderwijs;1998/'99;1587539;227434.0;14.0;465205.0;29.0;266627.0;;1300.0;3507.0;193771.0;;144862;193827;196214;198356;197114;190576;187911;185040;80084;12797;758
8;Totaal mannen en vrouwen;Totaal primair onderwijs;1999/'00;1597268;235430.0;15.0;449651.0;28.0;246950.0;;1198.0;3430.0;198073.0;;141531;191480;194012;194883;196828;199069;197894;188120;80590;12246;615
9;Totaal mannen en vrouwen;Totaal primair onderwijs;2000/'01;1598106;241486.0;15.0;433348.0;27.0;228164.0;;1132.0;3341.0;200711.0;;141695;191656;194165;194826;197043;199302;198380;188117;80202;12115;605
