ID;BedrijfstakkenBranchesSBI2008;Bedrijfsomvang;Perioden;Percentage0_1;Percentage05_2;Percentage510_3;Percentage10_4;Percentage0_5;Percentage020_6;Percentage2035_7;Percentage35_8;Ratio0_9;Ratio005_10;Ratio051_11;Ratio1_12;Ratio0_13;Ratio011_14;Ratio1115_15;Ratio15_16
0;1;1 werkzame persoon;2006;32.5;12.0;10.4;45.1;24.0;15.6;11.5;48.9;7.7;25.8;14.0;52.6;4.6;39.0;7.1;49.2
1;1;1 werkzame persoon;2007;30.8;16.1;9.0;44.1;29.6;13.5;10.7;46.3;7.2;28.3;13.1;51.4;4.7;39.7;8.4;47.2
2;1;1 werkzame persoon;2008;32.0;11.8;9.1;47.0;23.0;16.2;10.9;49.9;6.2;29.5;15.2;49.2;4.0;41.4;7.6;47.1
3;1;2 tot 10 werkzame personen;2006;24.9;8.5;8.5;58.2;21.0;19.4;14.7;45.0;3.1;30.2;20.2;46.5;1.3;40.1;12.1;46.5
4;1;2 tot 10 werkzame personen;2007;22.9;9.9;8.4;59.0;20.4;20.3;14.3;44.9;3.5;31.1;20.8;44.6;1.6;42.3;11.8;44.3
5;1;2 tot 10 werkzame personen;2008;25.8;9.8;7.8;56.6;23.3;19.0;14.3;43.3;4.2;32.6;21.8;41.5;2.4;40.3;12.1;45.2
6;1;10 tot 50 werkzame personen;2006;19.5;9.3;7.6;63.6;21.5;27.1;19.1;32.3;2.0;30.4;26.7;41.0;0.8;42.2;19.0;38.0
7;1;10 tot 50 werkzame personen;2007;17.0;7.1;7.1;69.0;21.5;26.9;18.2;33.3;1.7;29.0;30.4;39.0;0.9;42.9;18.4;37.9
8;1;10 tot 50 werkzame personen;2008;20.9;8.5;9.1;61.5;19.9;28.1;19.6;32.3;1.7;30.4;29.2;38.8;0.5;42.9;14.0;42.7
9;1;50 tot 100 werkzame personen;2006;14.3;17.1;2.9;65.7;10.3;38.5;15.4;35.9;0.0;20.5;43.6;35.9;0.0;59.0;23.1;18.0
10;1;50 tot 100 werkzame personen;2007;9.1;3.0;3.0;84.9;10.8;45.9;13.5;29.7;0.0;13.5;48.7;37.8;0.0;51.4;32.4;16.2
11;1;50 tot 100 werkzame personen;2008;28.1;9.4;6.3;56.3;15.8;42.1;21.1;21.1;0.0;36.8;29.0;34.2;0.0;50.0;21.1;29.0
12;1;100 tot 250 werkzame personen;2006;9.1;18.2;0.0;72.7;8.3;8.3;16.7;66.7;0.0;25.0;25.0;50.0;0.0;50.0;0.0;50.0
13;1;100 tot 250 werkzame personen;2007;14.3;14.3;14.3;57.1;0.0;14.3;28.6;57.1;0.0;28.6;35.7;35.7;0.0;50.0;21.4;28.6
14;1;100 tot 250 werkzame personen;2008;11.1;33.3;0.0;55.6;0.0;22.2;11.1;66.7;0.0;22.2;44.4;33.3;0.0;44.4;11.1;44.4
15;1;250 of meer werkzame personen;2006;0.0;0.0;12.5;87.5;0.0;0.0;0.0;100.0;0.0;37.5;25.0;37.5;0.0;37.5;12.5;50.0
16;1;250 of meer werkzame personen;2007;0.0;0.0;0.0;100.0;0.0;0.0;14.3;85.7;0.0;28.6;28.6;42.9;0.0;42.9;14.3;42.9
17;1;250 of meer werkzame personen;2008;12.5;0.0;12.5;75.0;0.0;0.0;12.5;87.5;0.0;37.5;25.0;37.5;0.0;37.5;25.0;37.5
18;2;1 werkzame persoon;2006;;0.0;0.0;;0.0;0.0;;;0.0;;0.0;;0.0;;0.0;
19;2;1 werkzame persoon;2007;50.0;0.0;0.0;50.0;20.0;20.0;0.0;60.0;0.0;40.0;20.0;40.0;0.0;40.0;0.0;60.0
20;2;1 werkzame persoon;2008;44.4;0.0;0.0;55.6;18.2;0.0;0.0;81.8;0.0;18.2;18.2;63.6;0.0;27.3;18.2;54.6
21;2;2 tot 10 werkzame personen;2006;46.2;0.0;7.7;46.2;7.1;28.6;28.6;35.7;0.0;21.4;57.1;21.4;0.0;64.3;7.1;28.6
22;2;2 tot 10 werkzame personen;2007;21.4;7.1;0.0;71.4;6.7;20.0;20.0;53.3;0.0;13.3;46.7;40.0;0.0;66.7;6.7;26.7
23;2;2 tot 10 werkzame personen;2008;23.1;0.0;15.4;61.5;7.1;28.6;42.9;21.4;0.0;14.3;28.6;57.1;0.0;50.0;21.4;28.6
24;2;10 tot 50 werkzame personen;2006;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0
25;2;10 tot 50 werkzame personen;2007;33.3;0.0;0.0;66.7;25.0;25.0;50.0;0.0;0.0;50.0;0.0;50.0;0.0;50.0;25.0;25.0
26;2;10 tot 50 werkzame personen;2008;0.0;40.0;0.0;60.0;0.0;40.0;40.0;20.0;0.0;40.0;60.0;0.0;0.0;80.0;0.0;20.0
27;2;50 tot 100 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;2;50 tot 100 werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;2;50 tot 100 werkzame personen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;2;100 tot 250 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;2;100 tot 250 werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;2;100 tot 250 werkzame personen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;2;250 of meer werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2;250 of meer werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;2;250 of meer werkzame personen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;3;1 werkzame persoon;2006;33.3;19.1;14.3;33.3;27.6;6.9;3.4;62.1;7.7;26.9;19.2;46.2;7.7;46.2;11.5;34.6
37;3;1 werkzame persoon;2007;27.0;21.6;5.4;46.0;19.6;10.9;8.7;60.9;7.0;23.3;4.7;65.1;7.0;30.2;2.3;60.5
38;3;1 werkzame persoon;2008;39.6;13.2;1.9;45.3;28.4;10.8;8.1;52.7;8.8;27.9;14.7;48.5;7.4;42.7;2.9;47.1
39;3;2 tot 10 werkzame personen;2006;38.1;6.4;9.5;46.0;28.4;13.6;9.1;48.9;8.4;25.3;18.1;48.2;7.2;36.1;9.6;47.0
40;3;2 tot 10 werkzame personen;2007;30.7;11.3;4.8;53.2;30.3;14.6;2.2;52.8;8.3;34.5;19.1;38.1;6.0;50.0;9.5;34.5
41;3;2 tot 10 werkzame personen;2008;30.3;15.2;6.1;48.5;34.0;12.0;4.0;50.0;6.0;22.0;24.0;48.0;4.0;44.0;10.0;42.0
42;3;10 tot 50 werkzame personen;2006;60.0;0.0;0.0;40.0;0.0;0.0;20.0;80.0;0.0;20.0;0.0;80.0;0.0;40.0;0.0;60.0
43;3;10 tot 50 werkzame personen;2007;33.3;33.3;0.0;33.3;25.0;0.0;25.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0
44;3;10 tot 50 werkzame personen;2008;33.3;0.0;0.0;66.7;50.0;0.0;33.3;16.7;0.0;16.7;16.7;66.7;0.0;33.3;0.0;66.7
45;3;50 tot 100 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;3;50 tot 100 werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;3;50 tot 100 werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0
48;3;100 tot 250 werkzame personen;2006;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;
49;3;100 tot 250 werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;
50;3;100 tot 250 werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;
51;3;250 of meer werkzame personen;2006;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0
52;3;250 of meer werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0
53;3;250 of meer werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0
54;6;1 werkzame persoon;2006;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;
55;6;1 werkzame persoon;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;6;1 werkzame persoon;2008;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0
57;6;2 tot 10 werkzame personen;2006;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0
58;6;2 tot 10 werkzame personen;2007;0.0;25.0;0.0;75.0;20.0;20.0;0.0;60.0;0.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0
59;6;2 tot 10 werkzame personen;2008;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;0.0;;0.0;
60;6;10 tot 50 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61;6;10 tot 50 werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;
62;6;10 tot 50 werkzame personen;2008;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
63;6;50 tot 100 werkzame personen;2006;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;;0.0;
64;6;50 tot 100 werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;
65;6;50 tot 100 werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0
66;6;100 tot 250 werkzame personen;2006;0.0;0.0;0.0;;0.0;;;;;0.0;;;;;;0.0
67;6;100 tot 250 werkzame personen;2007;0.0;0.0;0.0;100.0;0.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0;0.0;50.0
68;6;100 tot 250 werkzame personen;2008;25.0;25.0;0.0;50.0;0.0;25.0;25.0;50.0;0.0;0.0;25.0;75.0;0.0;25.0;75.0;0.0
69;6;250 of meer werkzame personen;2006;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0
70;6;250 of meer werkzame personen;2007;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0
71;6;250 of meer werkzame personen;2008;0.0;0.0;0.0;;0.0;;;0.0;;;;0.0;;;0.0;0.0
72;8;1 werkzame persoon;2006;0.0;0.0;;0.0;;0.0;0.0;;0.0;;0.0;;0.0;;0.0;
73;8;1 werkzame persoon;2007;25.0;25.0;25.0;25.0;20.0;0.0;20.0;60.0;0.0;0.0;20.0;80.0;0.0;40.0;20.0;40.0
74;8;1 werkzame persoon;2008;42.9;0.0;0.0;57.1;12.5;12.5;12.5;62.5;0.0;25.0;12.5;62.5;0.0;37.5;12.5;50.0
75;8;2 tot 10 werkzame personen;2006;27.3;18.2;9.1;45.5;4.3;21.7;0.0;73.9;0.0;26.1;17.4;56.5;0.0;43.5;8.7;47.8
76;8;2 tot 10 werkzame personen;2007;21.1;5.3;5.3;68.4;9.5;9.5;19.0;61.9;4.8;28.6;19.1;47.6;4.8;42.9;23.8;28.6
77;8;2 tot 10 werkzame personen;2008;21.4;7.1;7.1;64.3;6.7;13.3;13.3;66.7;6.7;6.7;26.7;60.0;6.7;26.7;26.7;40.0
78;8;10 tot 50 werkzame personen;2006;7.1;7.1;14.3;71.4;6.7;13.3;33.3;46.7;6.7;33.3;13.3;46.7;6.7;40.0;20.0;33.3
79;8;10 tot 50 werkzame personen;2007;11.1;11.1;0.0;77.8;0.0;22.2;33.3;44.4;0.0;11.1;44.4;44.4;0.0;44.4;22.2;33.3
80;8;10 tot 50 werkzame personen;2008;7.7;30.8;0.0;61.5;0.0;15.4;46.2;38.5;0.0;7.7;46.2;46.2;0.0;46.2;15.4;38.5
81;8;50 tot 100 werkzame personen;2006;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;0.0
82;8;50 tot 100 werkzame personen;2007;0.0;;0.0;;0.0;0.0;;;0.0;;;;0.0;;;
83;8;50 tot 100 werkzame personen;2008;;0.0;0.0;;0.0;0.0;;;;0.0;;;0.0;;;
84;8;100 tot 250 werkzame personen;2006;0.0;0.0;50.0;50.0;0.0;0.0;25.0;75.0;0.0;100.0;0.0;0.0;0.0;75.0;0.0;25.0
85;8;100 tot 250 werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0
86;8;100 tot 250 werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0
87;8;250 of meer werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88;8;250 of meer werkzame personen;2007;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;
89;8;250 of meer werkzame personen;2008;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;;0.0
