ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;Superbenzine_28;SuperLoodvrij_29;EuroLoodvrij_30;Mengbenzine_31;Diesel_32;AutogasLpg_33;Motorolie_34;Zoetwaren_35;Ijs_36;Dranken_37;Snacks_38;TabakED_39;OverigeVoedingsmiddelen_40;TijdschriftenEnKranten_41;AudiovisueleProducten_42;Bloemen_43;AccessoiresOnderdelenEnBanden_44;OverigeArtikelen_45;OverigeHandelsactiviteiten_46;ReparatiesInclGebruikteOnderdelen_47;Verhuur_48;Autowassen_49;OverigeDienstverlening_50;OntvangstenVoorUitleenEnSubsidie_51;TotaalPersoneelskosten_52;BrutoLonenEnSalarissen_53;SocialeLasten_54;Pensioenpremies_55;KostenUitzendkrachten_56;KostenIngeleendPersoneel_57;OverigePersoneelskosten_58;TotaalOverigeBedrijfslasten_59;TotaalHuisvestingskosten_60;BetaaldeHurenPachtenEDVanLeasing_61;OnroerendeZaakbelastingMilieuheffing_62;Energiekosten_63;ReparatieEnOnderhoudskosten_64;Verzekeringen_65;OverigeHuisvestingskosten_66;TotaalInventarisEnMachinekosten_67;BetaaldeHurenEnKostenVanOperLease_68;Onderhoudskosten_69;OverigeInventarisEnMachinekosten_70;TotaalAutokosten_71;BetaaldeHurenEnKostenVanOperLease_72;Brandstof_73;OverigeAutokosten_74;TotaalVerkoopkosten_75;ReclameEnAdvertentiekosten_76;ReisVerblijfsEnRepresentatiekosten_77;OverigeVerkoopkosten_78;TotaalAndereKosten_79;AccountantsEnAdviesdiensten_80;KantoorbenodigdhDrukwerkVakliteratuur_81;OverigeVerzekeringen_82;OverigeKostprijsverhogendeBelastingen_83;Communicatiekosten_84;Beheerskosten_85;OverigeAutomatiseringskosten_86;NogNietEerderGenoemdeBedrijfskosten_87;TotaalAantalWerkzamePersonen_88;WerknemersOpDeLoonlijst_89;WerknemersNietOpLoonlijst_90;OverigPersoneel_91;AantalVte_92;TotaalInvesteringen_93;TotaalMaterieleVasteActiva_94;Bedrijfsruimten_95;Vervoermiddelen_96;Computers_97;OverigeMachinesApparatenED_98;OverigeMaterieleVasteActiva_99;TotaalImmaterieleVasteActiva_100
0;Totaal SBI 505;1996;16.6;5095;5086;58;5027;9;4962;91.5;3.5;0.5;4.4;221;79;8;6;55;73;133;-6;127;10.7;2.5;2.5;0.5;561.3;23.6;5086;8.5;8.8;41.9;0.3;21.5;5.0;0.4;1.5;0.2;1.1;0.5;6.8;0.2;0.4;0.1;0.2;0.6;0.7;0.3;0.4;0.1;0.6;0.1;0.8;174;84.3;7.8;2.0;1.9;0.9;4.0;221;79;65.3;2.1;18.5;6.6;1.4;6.0;8;15.2;70.4;14.4;6;14.4;17.4;68.3;55;32.5;2.9;64.6;73;16.1;4.9;4.0;0.3;6.4;44.9;2.0;21.4;131;86.1;12.5;1.4;91;27;88.9;34.1;12.9;2.2;28.0;11.7;11.1
1;Totaal SBI 505;1997;16.7;5438;5427;56;5370;11;5333;91.3;3.7;0.6;4.4;236;83;8;6;65;75;104;-5;99;10.3;1.7;1.8;0.6;560.4;23.5;5427;7.0;8.2;43.1;0.4;21.9;5.0;0.4;1.5;0.3;1.3;0.7;6.8;0.1;0.4;0.1;0.2;0.6;0.7;0.4;0.3;0.0;0.4;0.2;0.9;199;84.4;7.5;1.7;1.9;0.8;4.6;236;83;64.9;2.0;19.5;6.2;1.0;6.4;8;13.5;68.1;18.3;6;14.7;21.7;63.6;65;24.3;2.7;73.1;75;17.3;4.5;3.8;0.4;7.4;46.2;2.0;18.4;138;90.0;9.2;0.8;97;32;99.9;64.7;4.0;1.1;24.7;5.4;0.1
2;Totaal SBI 505;1998;15.6;5729;5711;57;5654;18;5617;91.4;3.7;0.6;4.4;245;83;8;7;68;78;112;-6;106;10.1;1.8;1.9;0.4;;;5711;5.7;7.5;44.6;0.4;21.7;4.4;0.5;1.6;0.3;1.3;0.8;7.4;0.2;0.4;0.1;0.2;0.7;0.9;0.5;0.2;0.0;0.5;0.2;1.0;209;80.0;10.4;2.2;3.8;0.7;3.9;245;83;;;;;;;8;;;;7;;;;68;;;;78;;;;;;;;;138;87.0;11.5;1.5;101;24;92.9;19.5;17.6;1.6;26.4;27.8;7.1
3;Totaal SBI 505;1999;15.4;6295;6281;60;6221;14;6182;91.2;3.7;0.5;4.7;288;104;8;8;79;88;113;-8;105;10.3;1.6;1.7;1.0;;;6281;4.3;6.9;44.3;0.4;23.7;4.2;0.4;1.5;0.2;1.4;1.1;7.3;0.2;0.5;0.1;0.2;0.7;1.1;0.4;0.3;0.0;0.1;0.1;0.8;228;79.0;11.1;2.6;3.9;0.2;4.2;288;104;;;;;;;8;;;;8;;;;79;;;;88;;;;;;;;;142;86.9;10.6;2.6;98;61;96.7;48.7;6.1;1.5;21.8;18.6;3.3
4;Tot 750 000 euro;1996;3.8;175;175;7;168;0;166;93.2;2.0;0.7;4.1;7;2;1;0;1;2;10;0;10;11.7;5.3;5.4;0.1;320.8;29.3;175;11.4;5.9;45.4;0.2;19.6;5.0;0.3;1.0;0.1;0.5;0.1;4.9;0.0;0.3;0.0;0.1;1.0;0.4;0.1;3.5;0.1;0.2;0.0;0.0;3;81.3;9.1;1.2;0.0;0.0;8.4;7;2;55.3;5.2;29.2;5.8;3.2;1.3;1;3.4;76.4;20.2;0;8.2;37.6;54.2;1;80.3;0.2;19.4;2;41.8;16.4;5.2;0.0;6.5;0.2;5.5;24.3;7;38.7;61.3;0.0;5;0;91.8;10.9;10.6;7.9;15.0;47.6;8.2
5;Tot 750 000 euro;1997;3.0;133;132;5;128;1;125;92.9;2.3;0.8;4.1;5;2;0;0;1;2;8;-2;6;12.6;4.6;4.7;0.2;346.2;16.1;132;9.7;3.7;48.3;0.1;19.3;4.8;0.2;0.7;0.1;0.4;0.3;5.1;0.0;0.2;0.0;0.0;1.8;1.1;0.6;3.4;0.0;0.1;0.0;0.7;3;86.1;5.8;1.9;3.1;0.0;3.8;5;2;59.8;3.1;23.9;6.1;3.0;4.2;0;3.5;64.4;32.1;0;3.7;19.8;76.5;1;55.9;0.8;43.4;2;39.1;11.9;8.7;0.3;15.4;8.2;4.4;12.0;6;62.9;35.0;2.0;4;0;100.0;44.6;0.0;0.0;40.5;14.9;0.0
6;Tot 750 000 euro;1998;2.8;186;184;4;180;2;176;92.3;2.5;1.0;4.2;7;2;0;0;2;3;10;0;10;11.7;4.8;5.6;0.3;;;184;8.2;4.0;48.3;0.1;19.3;5.3;0.2;0.9;0.1;0.3;0.1;4.6;0.0;0.2;0.0;0.0;3.7;2.1;0.5;0.7;0.1;1.1;0.1;0.1;4;81.0;9.0;2.5;2.2;0.0;5.4;7;2;;;;;;;0;;;;0;;;;2;;;;3;;;;;;;;;8;42.8;57.2;0.0;6;1;100.0;7.5;37.3;17.2;32.7;5.4;0.0
7;Tot 750 000 euro;1999;3.0;162;162;7;154;0;151;92.7;2.0;0.9;4.4;7;3;0;0;1;2;12;-1;11;13.4;6.5;7.0;6.6;;;162;8.0;3.7;48.3;0.1;19.4;3.8;0.2;0.5;0.1;0.3;0.0;4.7;0.0;0.2;0.0;0.0;3.0;2.2;1.0;4.3;0.0;0.0;0.0;0.6;3;82.9;11.6;1.6;1.6;0.0;2.8;7;3;;;;;;;0;;;;0;;;;1;;;;2;;;;;;;;;7;40.6;57.5;1.8;5;11;100.0;56.2;0.6;1.6;2.1;39.5;0.0
8;750 000 tot 1 500 000 euro;1996;2.9;341;340;2;338;1;325;94.2;2.1;0.7;3.0;10;3;0;1;2;3;16;2;18;10.0;5.1;5.4;1.0;445.6;26.5;340;9.3;7.6;44.1;0.3;20.8;6.6;0.3;1.0;0.2;0.6;0.1;6.3;0.2;0.2;0.0;0.1;0.5;0.7;0.3;0.1;0.1;0.3;0.1;0.7;7;86.9;7.5;1.0;0.7;0.2;4.3;10;3;49.2;5.6;29.2;11.6;0.9;3.6;0;9.5;85.7;4.8;1;8.8;23.9;67.3;2;38.9;2.4;58.6;3;37.5;7.8;8.7;0.0;10.1;0.5;3.5;32.0;11;54.7;45.3;0.0;8;4;39.8;27.1;5.5;1.7;2.8;2.8;60.2
9;750 000 tot 1 500 000 euro;1997;3.2;341;341;2;338;0;327;94.2;2.0;0.6;3.3;11;3;0;1;3;3;14;0;14;9.7;3.9;4.0;0.2;368.6;14.3;341;8.8;6.1;43.0;0.4;21.0;7.0;0.2;1.5;0.1;0.8;0.1;7.4;0.6;0.3;0.0;0.2;0.9;0.7;0.1;0.3;0.1;0.3;0.0;1.6;6;85.7;6.4;0.3;1.0;1.2;6.9;11;3;48.0;6.0;32.7;7.9;0.9;4.5;0;1.9;81.1;17.0;1;0.0;36.0;64.0;3;35.0;1.8;63.2;3;40.4;7.3;6.7;0.5;16.1;4.9;4.0;20.1;12;58.7;41.3;0.0;9;1;100.0;62.7;10.9;3.6;22.8;0.0;0.0
