ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;MoederNietWesters_10;MoederWesters_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2006;3147615;1604259;1543356;1720050;1019991;700059;1427565;584268;843297;24514.0;7871.0;35258.0;41396.0;36756.0;33136.0;-1498.0;8260.0
1;2007;3170115;1601744;1568371;1738105;1015211;722894;1432006;586534;845472;23747.0;7945.0;37295.0;43738.0;35566.0;33149.0;1729.0;10589.0
2;2008;3198064;1605080;1592984;1758989;1013880;745109;1439083;591205;847878;23015.0;8065.0;38728.0;45858.0;34613.0;33342.0;4115.0;12516.0
3;2009;3230348;1612532;1617816;1782128;1014750;767378;1448211;597778;850433;22302.0;8222.0;39576.0;47728.0;33778.0;33652.0;5798.0;14077.0
4;2010;3265446;1623001;1642445;1806544;1017136;789408;1458912;605868;853044;21600.0;8402.0;39663.0;49245.0;33027.0;34027.0;6636.0;15218.0
5;2011;3302738;1635214;1667524;1831604;1020173;811431;1471138;615045;856093;20903.0;8600.0;39406.0;50348.0;32300.0;34408.0;7106.0;15940.0
6;2012;3341024;1648368;1692656;1856721;1023476;833245;1484294;624888;859406;20217.0;8802.0;39278.0;50997.0;31606.0;34756.0;7673.0;16241.0
7;2013;3379225;1662142;1717083;1881421;1027162;854259;1497799;634977;862822;19564.0;9004.0;39279.0;51240.0;30947.0;35035.0;8332.0;16205.0
8;2014;3417131;1676256;1740875;1905815;1031283;874532;1511320;644974;866346;18955.0;9200.0;39276.0;51328.0;30330.0;35238.0;8946.0;16090.0
9;2015;3454701;1690600;1764101;1929928;1035812;894116;1524767;654787;869980;18388.0;9389.0;39274.0;51399.0;29738.0;35367.0;9536.0;16032.0
10;2016;3491987;1705186;1786801;1953790;1040715;913075;1538204;664479;873725;17865.0;9571.0;39274.0;51450.0;29179.0;35440.0;10095.0;16010.0
11;2017;3529030;1720005;1809025;1977395;1045926;931469;1551629;674074;877555;17386.0;9744.0;39274.0;51500.0;28638.0;35466.0;10636.0;16034.0
12;2018;3565875;1735089;1830786;2000757;1051451;949306;1565114;683636;881478;16952.0;9908.0;39274.0;51548.0;28117.0;35450.0;11157.0;16098.0
13;2019;3602568;1750434;1852134;2023901;1057251;966650;1578668;693181;885487;16560.0;10060.0;39274.0;51599.0;27609.0;35400.0;11665.0;16199.0
14;2020;3639142;1766057;1873085;2046825;1063295;983530;1592329;702768;889561;16207.0;10205.0;39274.0;51645.0;27124.0;35326.0;12150.0;16319.0
15;2021;3675636;1781937;1893699;2069548;1069548;1000000;1606082;712384;893698;15901.0;10343.0;39263.0;51693.0;26656.0;35230.0;12607.0;16463.0
16;2022;3712091;1798052;1914039;2092119;1075985;1016134;1619976;722068;897908;15636.0;10474.0;39255.0;51730.0;26203.0;35119.0;13052.0;16611.0
17;2023;3748556;1814382;1934174;2114564;1082566;1031998;1633994;731822;902172;15412.0;10596.0;39244.0;51781.0;25772.0;34993.0;13472.0;16788.0
18;2024;3785075;1830910;1954165;2136923;1089266;1047657;1648160;741649;906511;15228.0;10713.0;39235.0;51824.0;25357.0;34858.0;13878.0;16966.0
19;2025;3821685;1847623;1974062;2159200;1096055;1063145;1662487;751568;910919;15082.0;10827.0;39227.0;51864.0;24965.0;34711.0;14262.0;17153.0
20;2026;3858383;1864479;1993904;2181429;1102911;1078518;1676958;761569;915389;14968.0;10937.0;39220.0;51910.0;24589.0;34555.0;14631.0;17355.0
21;2027;3895192;1881479;2013713;2203573;1109797;1093776;1691615;771679;919936;14889.0;11049.0;39205.0;51953.0;24231.0;34391.0;14974.0;17562.0
22;2028;3932106;1898589;2033517;2225660;1116701;1108959;1706451;781888;924563;14839.0;11161.0;39194.0;52001.0;23890.0;34222.0;15304.0;17779.0
23;2029;3969152;1915792;2053360;2247683;1123586;1124097;1721478;792211;929267;14816.0;11272.0;39182.0;52046.0;23559.0;34046.0;15623.0;18001.0
24;2030;4006362;1933083;2073279;2269654;1130445;1139209;1736708;802642;934066;14815.0;11391.0;39179.0;52097.0;23237.0;33866.0;15942.0;18231.0
25;2031;4043797;1950475;2093322;2291624;1137262;1154362;1752173;813211;938962;14834.0;11509.0;39166.0;52142.0;22926.0;33682.0;16240.0;18460.0
26;2032;4081442;1967939;2113503;2313579;1144033;1169546;1767872;823905;943967;14870.0;11633.0;39157.0;52188.0;22624.0;33494.0;16533.0;18694.0
27;2033;4119312;1985464;2133848;2335489;1150727;1184762;1783816;834736;949080;14923.0;11757.0;39144.0;52233.0;22332.0;33301.0;16812.0;18932.0
28;2034;4157436;2003046;2154390;2357413;1157347;1200066;1800032;845706;954326;14988.0;11887.0;39132.0;52280.0;22051.0;33107.0;17081.0;19173.0
29;2035;4195832;2020679;2175153;2379293;1163857;1215436;1816532;856822;959710;15065.0;12019.0;39123.0;52325.0;21779.0;32910.0;17344.0;19416.0
30;2036;4234493;2038352;2196141;2401160;1170261;1230899;1833321;868082;965239;15149.0;12151.0;39112.0;52361.0;21517.0;32711.0;17595.0;19650.0
31;2037;4273409;2056040;2217369;2422994;1176548;1246446;1850411;879491;970920;15241.0;12286.0;39106.0;52414.0;21266.0;32511.0;17840.0;19903.0
32;2038;4312611;2073752;2238859;2444778;1182690;1262088;1867835;891059;976776;15337.0;12423.0;39097.0;52458.0;21027.0;32312.0;18070.0;20146.0
33;2039;4352039;2091465;2260574;2466458;1188672;1277786;1885578;902789;982789;15439.0;12559.0;39088.0;52498.0;20796.0;32115.0;18292.0;20383.0
34;2040;4391724;2109175;2282549;2488041;1194477;1293564;1903684;914694;988990;15540.0;12700.0;39079.0;52538.0;20577.0;31920.0;18502.0;20618.0
35;2041;4431633;2126869;2304764;2509504;1200107;1309397;1922148;926772;995376;15643.0;12835.0;39068.0;52591.0;20371.0;31729.0;18697.0;20862.0
36;2042;4471776;2144553;2327223;2530789;1205511;1325278;1940991;939040;1001951;15745.0;12973.0;39058.0;52637.0;20175.0;31544.0;18883.0;21094.0
37;2043;4512120;2162208;2349912;2551903;1210717;1341186;1960225;951501;1008724;15846.0;13105.0;39053.0;52684.0;19997.0;31364.0;19056.0;21320.0
38;2044;4552599;2179827;2372772;2572766;1215690;1357076;1979831;964138;1015693;15946.0;13242.0;39047.0;52721.0;19835.0;31191.0;19212.0;21530.0
39;2045;4593222;2197374;2395848;2593396;1220428;1372968;1999833;976956;1022877;16042.0;13374.0;39034.0;52760.0;19685.0;31025.0;19349.0;21736.0
40;2046;4633935;2214852;2419083;2613733;1224920;1388813;2020216;989945;1030271;16136.0;13506.0;39025.0;52813.0;19555.0;30867.0;19470.0;21946.0
41;2047;4674692;2232246;2442446;2633735;1229156;1404579;2040977;1003099;1037878;16224.0;13632.0;39008.0;52857.0;19444.0;30721.0;19564.0;22136.0
42;2048;4715438;2249528;2465910;2653350;1233119;1420231;2062090;1016414;1045676;16307.0;13759.0;39000.0;52900.0;19355.0;30584.0;19645.0;22316.0
43;2049;4756120;2266680;2489440;2672561;1236821;1435740;2083555;1029859;1053696;16386.0;13883.0;38993.0;52947.0;19292.0;30460.0;19702.0;22487.0
44;2050;4796673;2283679;2512994;2691340;1240254;1451086;2105344;1043428;1061916;;;;;;;;
