ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
0;A-U Alle economische activiteiten;Totaal werkzame personen;327.9;56.6;33.14;28.0;1707.0
1;A-U Alle economische activiteiten;1 tot 10 werkzame personen;38.6;49.8;28.52;24.58;1745.0
2;A-U Alle economische activiteiten;10 tot 100 werkzame personen;73.9;52.2;29.3;25.23;1782.0
3;A-U Alle economische activiteiten;100 tot 500 werkzame personen;67.4;58.1;33.88;28.57;1715.0
4;A-U Alle economische activiteiten;500 of meer werkzame personen;148.0;60.5;36.72;30.5;1647.0
5;A Landbouw, bosbouw en visserij;Totaal werkzame personen;2.8;39.5;21.6;18.87;1828.0
6;A Landbouw, bosbouw en visserij;1 tot 10 werkzame personen;1.0;35.1;20.01;17.08;1755.0
7;A Landbouw, bosbouw en visserij;10 tot 100 werkzame personen;1.3;39.4;20.94;18.6;1880.0
8;A Landbouw, bosbouw en visserij;100 tot 500 werkzame personen;0.3;53.7;28.88;25.36;1859.0
9;A Landbouw, bosbouw en visserij;500 of meer werkzame personen;0.2;53.7;28.55;25.19;1882.0
10;B Delfstoffenwinning;Totaal werkzame personen;0.8;105.3;58.2;50.08;1810.0
11;B Delfstoffenwinning;1 tot 10 werkzame personen;;;;;
12;B Delfstoffenwinning;10 tot 100 werkzame personen;0.2;84.8;44.89;39.6;1888.0
13;B Delfstoffenwinning;100 tot 500 werkzame personen;0.3;105.6;60.02;51.32;1760.0
14;B Delfstoffenwinning;500 of meer werkzame personen;;;;;
15;C Industrie;Totaal werkzame personen;38.8;57.9;33.16;28.12;1746.0
16;C Industrie;1 tot 10 werkzame personen;2.5;49.6;28.12;24.27;1764.0
17;C Industrie;10 tot 100 werkzame personen;11.2;52.8;29.49;25.31;1789.0
18;C Industrie;100 tot 500 werkzame personen;12.1;62.2;34.74;29.71;1789.0
19;C Industrie;500 of meer werkzame personen;12.9;61.1;36.85;30.48;1657.0
20;D Energievoorziening;Totaal werkzame personen;2.1;84.8;49.47;41.39;1715.0
21;D Energievoorziening;1 tot 10 werkzame personen;0.0;71.2;39.64;33.99;1796.0
22;D Energievoorziening;10 tot 100 werkzame personen;0.1;83.6;48.01;40.77;1741.0
23;D Energievoorziening;100 tot 500 werkzame personen;0.3;79.7;46.86;39.12;1701.0
24;D Energievoorziening;500 of meer werkzame personen;1.7;86.1;50.23;41.98;1714.0
25;E Waterbedrijven en afvalbeheer;Totaal werkzame personen;2.1;61.5;33.45;29.06;1838.0
26;E Waterbedrijven en afvalbeheer;1 tot 10 werkzame personen;0.1;55.4;30.6;26.15;1812.0
27;E Waterbedrijven en afvalbeheer;10 tot 100 werkzame personen;;;;;
28;E Waterbedrijven en afvalbeheer;100 tot 500 werkzame personen;0.6;59.9;32.74;28.35;1830.0
29;E Waterbedrijven en afvalbeheer;500 of meer werkzame personen;;;;;
30;F Bouwnijverheid;Totaal werkzame personen;18.8;58.6;32.84;27.74;1783.0
31;F Bouwnijverheid;1 tot 10 werkzame personen;3.0;50.9;28.97;24.75;1755.0
32;F Bouwnijverheid;10 tot 100 werkzame personen;7.4;55.0;31.11;26.18;1768.0
33;F Bouwnijverheid;100 tot 500 werkzame personen;3.7;62.0;34.31;28.89;1808.0
34;F Bouwnijverheid;500 of meer werkzame personen;4.7;69.3;38.17;32.25;1816.0
35;G Handel;Totaal werkzame personen;43.1;48.7;27.69;23.76;1757.0
36;G Handel;1 tot 10 werkzame personen;8.5;44.6;25.65;22.18;1739.0
37;G Handel;10 tot 100 werkzame personen;15.9;49.7;28.12;24.16;1767.0
38;G Handel;100 tot 500 werkzame personen;8.7;55.5;31.38;26.78;1769.0
39;G Handel;500 of meer werkzame personen;10.0;45.8;26.16;22.35;1752.0
40;H Vervoer en opslag;Totaal werkzame personen;16.8;56.8;28.53;25.87;1991.0
41;H Vervoer en opslag;1 tot 10 werkzame personen;1.2;50.5;24.91;22.99;2029.0
42;H Vervoer en opslag;10 tot 100 werkzame personen;4.5;53.2;23.51;22.78;2262.0
43;H Vervoer en opslag;100 tot 500 werkzame personen;3.6;55.7;26.71;24.59;2084.0
44;H Vervoer en opslag;500 of meer werkzame personen;7.4;61.2;35.08;29.7;1744.0
45;I Horeca;Totaal werkzame personen;5.4;31.2;18.04;15.43;1730.0
46;I Horeca;1 tot 10 werkzame personen;1.6;27.4;16.37;14.01;1674.0
47;I Horeca;10 tot 100 werkzame personen;2.1;30.6;17.91;15.25;1708.0
48;I Horeca;100 tot 500 werkzame personen;0.6;33.9;19.86;16.51;1707.0
49;I Horeca;500 of meer werkzame personen;1.1;39.0;20.31;17.86;1918.0
50;J Informatie en communicatie;Totaal werkzame personen;14.4;71.4;40.36;34.36;1768.0
51;J Informatie en communicatie;1 tot 10 werkzame personen;1.9;60.7;33.58;28.94;1808.0
52;J Informatie en communicatie;10 tot 100 werkzame personen;4.0;66.3;36.95;31.53;1793.0
53;J Informatie en communicatie;100 tot 500 werkzame personen;2.8;77.0;44.35;37.44;1736.0
54;J Informatie en communicatie;500 of meer werkzame personen;5.8;77.0;44.09;37.42;1747.0
55;K Financiële dienstverlening;Totaal werkzame personen;21.0;91.7;54.73;46.26;1676.0
56;K Financiële dienstverlening;1 tot 10 werkzame personen;2.6;66.9;37.74;32.61;1772.0
57;K Financiële dienstverlening;10 tot 100 werkzame personen;1.7;81.5;46.85;39.72;1739.0
58;K Financiële dienstverlening;100 tot 500 werkzame personen;1.7;84.9;50.12;42.09;1694.0
59;K Financiële dienstverlening;500 of meer werkzame personen;15.0;100.6;61.37;51.58;1640.0
60;L Verhuur en handel van onroerend goed;Totaal werkzame personen;3.5;62.9;37.8;31.87;1663.0
61;L Verhuur en handel van onroerend goed;1 tot 10 werkzame personen;0.9;55.4;31.35;27.16;1766.0
62;L Verhuur en handel van onroerend goed;10 tot 100 werkzame personen;1.1;64.0;38.56;32.38;1660.0
63;L Verhuur en handel van onroerend goed;100 tot 500 werkzame personen;1.1;67.2;42.04;34.85;1598.0
64;L Verhuur en handel van onroerend goed;500 of meer werkzame personen;;;;;
65;M Specialistische zakelijke diensten;Totaal werkzame personen;29.7;73.4;41.67;35.36;1762.0
66;M Specialistische zakelijke diensten;1 tot 10 werkzame personen;8.3;67.3;37.98;32.69;1772.0
67;M Specialistische zakelijke diensten;10 tot 100 werkzame personen;8.5;66.0;37.38;31.73;1765.0
68;M Specialistische zakelijke diensten;100 tot 500 werkzame personen;5.5;76.9;43.66;36.84;1762.0
69;M Specialistische zakelijke diensten;500 of meer werkzame personen;;;;;
70;N Verhuur en overige zakelijke diensten;Totaal werkzame personen;21.3;39.6;22.26;19.4;1781.0
71;N Verhuur en overige zakelijke diensten;1 tot 10 werkzame personen;1.7;44.3;24.84;21.58;1781.0
72;N Verhuur en overige zakelijke diensten;10 tot 100 werkzame personen;5.4;43.3;23.61;20.78;1833.0
73;N Verhuur en overige zakelijke diensten;100 tot 500 werkzame personen;4.6;39.7;21.98;19.25;1807.0
74;N Verhuur en overige zakelijke diensten;500 of meer werkzame personen;9.6;37.2;21.33;18.45;1743.0
75;O Openbaar bestuur en overheidsdiensten;Totaal werkzame personen;30.6;68.2;42.27;35.11;1613.0
76;O Openbaar bestuur en overheidsdiensten;1 tot 10 werkzame personen;0.0;68.3;41.47;35.07;1647.0
77;O Openbaar bestuur en overheidsdiensten;10 tot 100 werkzame personen;;;;;
78;O Openbaar bestuur en overheidsdiensten;100 tot 500 werkzame personen;4.5;61.0;38.21;32.0;1596.0
79;O Openbaar bestuur en overheidsdiensten;500 of meer werkzame personen;;;;;
80;P Onderwijs;Totaal werkzame personen;23.4;62.2;40.93;32.36;1520.0
81;P Onderwijs;1 tot 10 werkzame personen;0.4;49.6;29.35;24.92;1690.0
82;P Onderwijs;10 tot 100 werkzame personen;2.4;56.3;35.61;29.02;1580.0
83;P Onderwijs;100 tot 500 werkzame personen;8.6;60.4;40.21;31.59;1503.0
84;P Onderwijs;500 of meer werkzame personen;12.0;65.6;43.4;34.11;1511.0
85;Q Gezondheids- en welzijnszorg;Totaal werkzame personen;44.6;50.3;32.57;26.4;1545.0
86;Q Gezondheids- en welzijnszorg;1 tot 10 werkzame personen;2.7;51.3;31.64;26.73;1621.0
87;Q Gezondheids- en welzijnszorg;10 tot 100 werkzame personen;3.8;47.2;30.53;24.89;1547.0
88;Q Gezondheids- en welzijnszorg;100 tot 500 werkzame personen;6.3;47.5;31.33;25.18;1516.0
89;Q Gezondheids- en welzijnszorg;500 of meer werkzame personen;31.8;51.2;33.18;26.82;1544.0
