ID;Vervoerwijzen;Perioden;TotaalGoederenvervoer_1;BinnenlandsGoederenvervoer_2;Totaal_3;AanvoerNaarNederland_4;AfvoerNaarBuitenland_5
0;Totaal alle vervoerwijzen;1998;1458;567.0;891;480;410
1;Totaal alle vervoerwijzen;1999;1492;626.0;866;463;404
2;Totaal alle vervoerwijzen;2000;1502;613.0;890;476;414
3;Totaal alle vervoerwijzen;2001;1545;625.0;920;494;426
4;Totaal alle vervoerwijzen;2002;1514;594.0;920;491;429
5;Totaal alle vervoerwijzen;2003;1557;637.0;921;495;426
6;Totaal alle vervoerwijzen;2004;1620;615.0;1005;536;469
7;Totaal alle vervoerwijzen;2005;1636;617.0;1019;551;468
8;Totaal alle vervoerwijzen;2006;1682;626.0;1055;571;485
9;Totaal alle vervoerwijzen;2007;1753;654.0;1099;596;502
10;Totaal alle vervoerwijzen;2008;1746;632.0;1115;611;504
11;Totaal alle vervoerwijzen;2009;1608;634.0;973;523;451
12;Totaal alle vervoerwijzen;2010;1717;634.0;1083;575;507
13;Totaal alle vervoerwijzen;2011;1693;633.0;1060;571;489
14;Totaal alle vervoerwijzen;2012;1696;607.0;1089;575;514
15;Totaal alle vervoerwijzen;2013;1970;878.0;1092;565;527
16;Totaal alle vervoerwijzen;2014;1970;861.0;1109;579;529
17;Totaal alle vervoerwijzen;2015;1983;853.0;1130;597;533
18;Totaal alle vervoerwijzen;2016;2014;876.0;1137;599;539
19;Totaal alle vervoerwijzen;2017;2033;878.0;1156;615;541
20;Totaal alle vervoerwijzen;2018;2035;885.0;1151;619;531
21;Totaal alle vervoerwijzen;2019;2043;901.0;1142;621;521
22;Totaal alle vervoerwijzen;2020;1942;874.0;1068;585;482
23;Totaal alle vervoerwijzen;2021;2022;891.0;1131;616;515
24;Totaal alle vervoerwijzen;2022;2021;876.0;1145;637;508
25;Totaal alle vervoerwijzen;2023;1900;824.0;1076;595;481
26;Zeevaart;1998;406;;406;320;86
27;Zeevaart;1999;397;;397;305;92
28;Zeevaart;2000;424;;424;325;99
29;Zeevaart;2001;424;;424;326;98
30;Zeevaart;2002;432;;432;327;105
31;Zeevaart;2003;431;;431;329;102
32;Zeevaart;2004;464;;464;351;113
33;Zeevaart;2005;487;;487;364;122
34;Zeevaart;2006;505;;505;373;131
35;Zeevaart;2007;537;;537;392;145
36;Zeevaart;2008;560;;560;412;148
37;Zeevaart;2009;510;;510;356;153
38;Zeevaart;2010;568;;568;402;166
39;Zeevaart;2011;533;;533;385;147
40;Zeevaart;2012;552;;552;385;167
41;Zeevaart;2013;559;1.0;557;386;171
42;Zeevaart;2014;572;2.0;570;396;174
43;Zeevaart;2015;594;2.0;592;406;186
44;Zeevaart;2016;589;2.0;587;398;189
45;Zeevaart;2017;596;2.0;594;400;193
46;Zeevaart;2018;605;3.0;602;406;196
47;Zeevaart;2019;608;3.0;604;410;194
48;Zeevaart;2020;548;5.0;543;365;178
49;Zeevaart;2021;580;3.0;577;395;182
50;Zeevaart;2022;590;5.0;585;414;171
51;Zeevaart;2023;545;6.0;539;377;161
52;Binnenvaart;1998;282;98.0;184;52;132
53;Binnenvaart;1999;275;99.0;176;53;124
54;Binnenvaart;2000;275;102.0;173;50;123
55;Binnenvaart;2001;295;109.0;186;56;131
56;Binnenvaart;2002;279;102.0;177;53;123
57;Binnenvaart;2003;262;95.0;167;51;116
58;Binnenvaart;2004;285;99.0;186;60;125
59;Binnenvaart;2005;279;95.0;184;61;123
60;Binnenvaart;2006;287;97.0;190;64;126
61;Binnenvaart;2007;296;102.0;193;69;124
62;Binnenvaart;2008;285;97.0;188;66;122
63;Binnenvaart;2009;236;92.0;144;56;88
64;Binnenvaart;2010;302;103.0;199;66;133
65;Binnenvaart;2011;306;106.0;201;66;134
66;Binnenvaart;2012;301;102.0;200;68;131
67;Binnenvaart;2013;300;103.0;198;64;134
68;Binnenvaart;2014;310;110.0;200;64;136
69;Binnenvaart;2015;306;110.0;195;63;132
70;Binnenvaart;2016;306;113.0;193;65;127
71;Binnenvaart;2017;309;112.0;197;68;128
72;Binnenvaart;2018;304;119.0;185;65;120
73;Binnenvaart;2019;296;115.0;181;65;117
74;Binnenvaart;2020;291;116.0;175;66;109
75;Binnenvaart;2021;310;119.0;191;68;123
76;Binnenvaart;2022;301;115.0;186;61;125
77;Binnenvaart;2023;284;111.0;174;61;113
78;Wegvervoer;1998;635;465.0;170;84;85
79;Wegvervoer;1999;686;522.0;164;80;83
80;Wegvervoer;2000;669;506.0;164;79;85
81;Wegvervoer;2001;681;512.0;169;84;85
