ID;Perioden;TotaalActiva_1;OnroerendeZaken_2;NietGeconsolideerdeDeelnemingen_3;Aandelen_4;Obligaties_5;HypothecaireLeningen_6;LeningenOpSchuldbekentenis_7;DepositoSBijKredietinstellingen_8;OverigeBeleggingen_9;BeleggingenVoorRisicoPolishouders_10;KortlopendeVorderingen_11;OverigeActiva_12;OverlopendeActiva_13;TotaalPassiva_14;GestortEnOpgevraagdKapitaal_15;Agio_16;Herwaarderingsreserve_17;OverigeReserves_18;OnverdeeldeWinst_19;AchtergesteldeSchulden_20;TotaalTechnVoorzRisicoVerzekeraars_21;VoorNietVerdiendePremies_22;VoorLevensverzekering_23;VoorWinstverdelingEnKortingen_24;OverigeTechnischeVoorziening_25;TechnVoorzieningenRisicoPolishouders_26;BedrijfseconomischeVoorzieningen_27;KortlopendeSchulden_28;OverlopendePassiva_29;TotaalLasten_30;TotaalTechnischeRekening_31;UitkeringenEigenRekening_32;WijzigingOverigeTVEigenRekening_33;WinstdelingEnKortingen_34;Bedrijfskosten_35;Beleggingslasten_36;NietGerealiseerdVerliesOpBeleggingen_37;GeboektTenGunsteVanReserves_38;OverigeTechnischeLastenEigenRekening_39;AanNTRToegerekendeBeleggingsopbrengst_40;ResultaatTechnischeRekening_41;TotaalNietTechnischeRekening_42;AndereLasten_43;BelastingenResultaat_44;ResultaatNaBelastingen_45;TotaalBaten_46;TotaalTechnischeRekening_47;VerdiendePremiesEigenRekening_48;OpbrengstenUitBeleggingen_49;NietGerealiseerdeWinstOpBeleggingen_50;GeboektTenLasteVanReserves_51;OverigeTechnischeBatenEigenRekening_52;TotaalNietTechnischeRekening_53;ResultaatTechnischeRekening_54;ToegerekendeOpbrengstUitBeleggingen_55;AndereBaten_56
0;1980;621;61;40;56;24;126;258;26;0;0;22;8;0;621;4;0;0;17;0;0;585;0;585;0;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1981;669;60;41;63;31;127;279;31;0;0;29;8;0;669;4;0;0;21;0;0;624;0;624;0;0;0;6;14;0;155;148;62;40;0;39;0;7;0;0;0;0;7;5;1;1;155;141;85;52;4;0;0;14;0;0;14
2;1982;749;60;49;72;40;121;331;30;0;0;34;12;0;749;4;0;0;23;0;0;700;0;700;0;0;0;6;16;0;188;179;62;75;0;41;0;1;0;0;0;0;9;5;1;3;188;173;90;59;24;0;0;15;0;0;15
3;1983;835;53;69;105;45;113;366;27;0;0;31;26;0;835;4;0;0;26;0;0;781;0;781;0;0;0;5;19;0;190;181;71;81;0;27;0;2;0;0;0;0;9;5;2;2;190;190;95;63;32;0;0;0;0;0;0
4;1984;901;56;30;128;61;107;445;37;0;0;33;4;0;901;4;0;0;25;0;0;837;0;837;0;0;0;3;32;0;176;168;91;51;0;25;0;1;0;0;0;0;8;4;2;2;176;175;94;68;13;0;0;1;0;0;1
5;1985;967;54;42;162;81;103;461;24;0;0;36;4;0;967;4;0;0;26;0;0;905;0;905;0;0;0;3;29;0;205;199;95;67;0;34;0;3;0;0;0;0;6;1;2;3;205;197;95;72;30;0;0;8;0;0;8
6;1986;1016;52;51;174;112;107;444;30;0;0;44;2;0;1016;3;0;0;27;0;2;952;0;952;0;0;0;2;30;0;197;190;99;51;0;38;0;2;0;0;0;0;7;1;2;4;197;186;99;72;15;0;0;11;0;0;11
7;1987;1051;52;30;143;134;108;512;20;0;0;49;3;0;1051;3;0;0;34;0;0;979;0;979;0;0;0;0;35;0;165;155;90;26;0;42;0;0;0;0;0;-3;10;3;2;5;165;155;107;71;-23;0;0;10;-3;0;13
8;1988;1147;50;39;176;137;108;547;55;0;0;33;2;0;1147;3;0;0;38;0;0;1067;0;1067;0;0;0;0;39;0;237;225;99;87;0;44;0;0;0;0;0;-5;12;4;3;5;237;225;121;73;31;0;0;12;-5;0;17
9;1989;1246;57;33;183;135;108;589;82;0;0;57;2;0;1246;3;0;0;52;0;0;1145;0;1145;0;0;0;0;46;0;240;225;99;94;0;36;0;0;0;0;0;-4;15;5;3;7;240;225;137;78;10;0;0;15;-4;0;19
