ID;Perioden;Volumemutaties_1;VolumeIndexcijfers_2
0;2000 januari;;99.0
1;2000 februari;;108.6
2;2000 maart;;113.6
3;2000 1e kwartaal;;107.1
4;2000 april;;104.4
5;2000 mei;;110.2
6;2000 juni;;119.9
7;2000 2e kwartaal;;111.5
8;2000 juli;;79.7
9;2000 augustus;;70.8
10;2000 september;;128.8
11;2000 3e kwartaal;;93.1
12;2000 oktober;;124.1
13;2000 november;;122.7
14;2000 december;;90.2
15;2000 4e kwartaal;;112.3
16;2000;;106.0
17;2001 januari;4.2;103.1
18;2001 februari;-2.5;105.9
19;2001 maart;0.7;114.4
20;2001 1e kwartaal;0.7;107.8
21;2001 april;-1.3;103.0
22;2001 mei;-1.9;108.1
23;2001 juni;3.6;124.2
24;2001 2e kwartaal;0.3;111.8
25;2001 juli;7.1;85.4
26;2001 augustus;6.6;75.5
27;2001 september;0.4;129.4
28;2001 3e kwartaal;3.9;96.8
29;2001 oktober;4.9;130.2
30;2001 november;2.6;125.9
31;2001 december;0.3;90.5
32;2001 4e kwartaal;2.8;115.5
33;2001;1.9;108.0
34;2002 januari;2.8;106.1
35;2002 februari;-1.3;104.6
36;2002 maart;-0.3;114.0
37;2002 1e kwartaal;0.4;108.2
38;2002 april;1.8;104.9
39;2002 mei;-6.1;101.5
40;2002 juni;-3.9;119.4
41;2002 2e kwartaal;-2.8;108.6
42;2002 juli;-2.5;83.3
43;2002 augustus;-3.4;72.9
44;2002 september;0.2;129.6
45;2002 3e kwartaal;-1.5;95.3
46;2002 oktober;-5.5;123.0
47;2002 november;-6.8;117.3
48;2002 december;-13.2;78.5
49;2002 4e kwartaal;-8.0;106.3
50;2002;-3.1;104.6
51;2003 januari;-7.8;97.8
52;2003 februari;-7.0;97.3
53;2003 maart;-5.4;107.9
54;2003 1e kwartaal;-6.7;101.0
55;2003 april;-3.0;101.8
56;2003 mei;-1.4;100.1
57;2003 juni;-4.2;114.4
58;2003 2e kwartaal;-2.9;105.4
59;2003 juli;-6.1;78.2
60;2003 augustus;-6.9;67.9
61;2003 september;-3.9;124.5
62;2003 3e kwartaal;-5.3;90.2
63;2003 oktober;-6.5;115.0
64;2003 november;-8.0;107.9
65;2003 december;2.8;80.7
66;2003 4e kwartaal;-4.8;101.2
67;2003;-4.9;99.5
68;2004 januari;-0.4;97.4
69;2004 februari;-1.0;96.3
70;2004 maart;-0.5;107.3
71;2004 1e kwartaal;-0.7;100.3
72;2004 april;-3.8;97.9
73;2004 mei;-11.3;88.7
74;2004 juni;1.0;115.5
75;2004 2e kwartaal;-4.4;100.7
76;2004 juli;7.1;83.8
77;2004 augustus;-21.5;53.3
78;2004 september;-3.8;119.7
79;2004 3e kwartaal;-5.1;85.6
80;2004 oktober;-4.9;109.4
81;2004 november;4.7;112.9
82;2004 december;0.1;80.8
83;2004 4e kwartaal;-0.2;101.0
84;2004;-2.5;96.9
85;2005 januari;-4.3;93.2
86;2005 februari;0.5;96.8
87;2005 maart;-3.0;104.1
88;2005 1e kwartaal;-2.3;98.0
89;2005 april;8.9;106.6
90;2005 mei;9.2;96.9
91;2005 juni;6.0;122.4
92;2005 2e kwartaal;7.9;108.6
93;2005 juli;-0.8;83.1
94;2005 augustus;12.4;59.9
95;2005 september;5.3;126.1
96;2005 3e kwartaal;4.8;89.7
97;2005 oktober;2.0;111.5
98;2005 november;3.0;116.3
99;2005 december;2.7;83.0
100;2005 4e kwartaal;2.6;103.6
101;2005;3.2;100.0
102;2006 januari;0.8;94.0
103;2006 februari;2.7;99.4
104;2006 maart;7.2;111.7
105;2006 1e kwartaal;3.7;101.7
106;2006 april;-6.4;99.8
107;2006 mei;9.1;105.8
108;2006 juni;-2.4;119.5
109;2006 2e kwartaal;-0.3;108.3
110;2006 juli;0.4;83.5
111;2006 augustus;6.0;63.5
112;2006 september;3.8;130.9
113;2006 3e kwartaal;3.2;92.6
114;2006 oktober;3.9;115.9
115;2006 november;3.5;120.4
116;2006 december;1.4;84.2
117;2006 4e kwartaal;3.1;106.8
118;2006;2.4;102.4
119;2007 januari;9.0;102.5
120;2007 februari;8.7;108.0
121;2007 maart;6.7;119.1
122;2007 1e kwartaal;8.1;109.9
123;2007 april;9.0;108.8
124;2007 mei;3.0;109.0
125;2007 juni;8.2;129.3
126;2007 2e kwartaal;6.8;115.7
127;2007 juli;5.8;88.3
128;2007 augustus;11.3;70.7
129;2007 september;0.0;130.8
130;2007 3e kwartaal;4.3;96.6
131;2007 oktober;7.4;124.5
132;2007 november;3.2;124.2
133;2007 december;-3.2;81.5
