ID;BedrijfstakkenBranchesSBI93;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4
0;20360;2007;6670.0;2370.0;4300.0;35.5
1;Landbouw/visserij;2007;185.0;35.0;150.0;18.5
2;Industrie (incl. energie);2007;955.0;270.0;680.0;28.5
3;Bouwnijverheid;2007;485.0;110.0;375.0;22.2
4;Handel;2007;745.0;190.0;560.0;25.2
5;Horeca;2007;150.0;10.0;140.0;7.0
6;Vervoer en communicatie;2007;410.0;95.0;315.0;23.6
7;Financiële instellingen;2007;235.0;135.0;105.0;56.4
8;Zakelijke dienstverlening;2007;850.0;340.0;505.0;40.3
9;Openbaar bestuur;2007;570.0;310.0;260.0;54.6
10;Onderwijs;2007;460.0;235.0;225.0;51.1
11;Gezondheids- en welzijnszorg;2007;1140.0;475.0;665.0;41.5
12;Cultuur, ov. Dienstverl.;2007;205.0;80.0;125.0;38.6
13;Bedrijfstak: onbekend;2007;;;;
