ID;EnergySourcesTechniques;Periods;ProductionOfElectricity_1;RelativeToTotalUseOfElectricity_2;ProductionOfElectricity_3;RelativeToTotalUseOfElectricity_4;ProductionOfElectricity_5;RelativeToTotalUseOfElectricity_6;Electricity_7;RelativeToTotalUseOfElectricity_8;Electricity_9;RelativeToTotalUseOfElectricity_10
62;Total energy sources;2012 1st quarter;;;3504.0;11.1;3285.0;10.76;8845.0;28.97;1070.0;3.51
63;Total energy sources;2012 2nd quarter;;;2998.0;10.76;2799.0;10.39;6275.0;23.28;800.0;2.97
64;Total energy sources;2012 3rd quarter;;;2845.0;10.09;2635.0;9.66;5711.0;20.93;827.0;3.03
65;Total energy sources;2012 4th quarter;;;3232.0;10.11;3039.0;9.83;11944.0;38.62;1120.0;3.62
66;Total energy sources;2012;12532.0;10.48;12579.0;10.52;11758.0;10.16;32774.0;28.33;3817.0;3.3
67;Total energy sources;2013 1st quarter;;;3219.0;10.42;3027.0;10.1;13312.0;44.42;1990.0;6.64
68;Total energy sources;2013 2nd quarter;;;2976.0;10.93;2792.0;10.55;4685.0;17.71;621.0;2.35
69;Total energy sources;2013 3rd quarter;;;2514.0;9.04;2314.0;8.57;9041.0;33.48;1528.0;5.66
70;Total energy sources;2013 4th quarter;;;3376.0;10.6;3196.0;10.34;12798.0;41.4;1928.0;6.24
71;Total energy sources;2013;11849.0;10.06;12085.0;10.26;11329.0;9.91;39835.0;34.84;6067.0;5.31
72;Hydro power;1990;85.0;0.1;85.0;0.1;85.0;0.11;;;;
73;Hydro power;1991;95.0;0.11;104.0;0.12;104.0;0.13;;;;
74;Hydro power;1992;103.0;0.12;120.0;0.14;120.0;0.14;;;;
75;Hydro power;1993;100.0;0.11;92.0;0.11;92.0;0.11;;;;
76;Hydro power;1994;100.0;0.11;100.0;0.11;100.0;0.11;;;;
77;Hydro power;1995;98.0;0.11;88.0;0.1;88.0;0.1;;;;
78;Hydro power;1996;96.0;0.1;80.0;0.08;80.0;0.09;;;;
79;Hydro power;1997;95.0;0.1;92.0;0.09;92.0;0.1;;;;
80;Hydro power;1998;97.0;0.09;112.0;0.11;112.0;0.11;;;;
81;Hydro power;1999;96.0;0.09;90.0;0.09;90.0;0.09;;;;
82;Hydro power;2000;100.0;0.09;142.0;0.13;142.0;0.14;;;;
83;Hydro power;2001;102.0;0.09;117.0;0.11;117.0;0.11;;;;
84;Hydro power;2002 1st quarter;;;21.0;0.07;21.0;0.08;;;;
85;Hydro power;2002 2nd quarter;;;37.0;0.14;37.0;0.14;;;;
86;Hydro power;2002 3rd quarter;;;24.0;0.09;24.0;0.09;;;;
87;Hydro power;2002 4th quarter;;;28.0;0.09;28.0;0.1;;;;
88;Hydro power;2002;103.0;0.09;110.0;0.1;110.0;0.1;3731.0;3.44;;
89;Hydro power;2003 1st quarter;;;32.0;0.11;32.0;0.11;;;;
90;Hydro power;2003 2nd quarter;;;24.0;0.09;24.0;0.09;;;;
91;Hydro power;2003 3rd quarter;;;5.0;0.02;5.0;0.02;;;;
92;Hydro power;2003 4th quarter;;;11.0;0.04;11.0;0.04;;;;
93;Hydro power;2003;100.0;0.09;72.0;0.06;72.0;0.07;769.0;0.7;;
94;Hydro power;2004 1st quarter;;;30.0;0.1;30.0;0.1;;;;
95;Hydro power;2004 2nd quarter;;;24.0;0.08;24.0;0.09;;;;
96;Hydro power;2004 3rd quarter;;;15.0;0.05;15.0;0.06;;;;
97;Hydro power;2004 4th quarter;;;25.0;0.08;25.0;0.08;;;;
98;Hydro power;2004;100.0;0.08;95.0;0.08;95.0;0.08;2570.0;2.24;;
99;Hydro power;2005 1st quarter;;;40.0;0.13;40.0;0.14;;;;
100;Hydro power;2005 2nd quarter;;;22.0;0.08;22.0;0.08;;;;
101;Hydro power;2005 3rd quarter;;;11.0;0.04;11.0;0.04;;;;
102;Hydro power;2005 4th quarter;;;15.0;0.05;15.0;0.05;;;;
103;Hydro power;2005;100.0;0.08;88.0;0.07;88.0;0.08;8313.0;7.26;;
104;Hydro power;2006 1st quarter;;;30.0;0.09;30.0;0.1;;;;
105;Hydro power;2006 2nd quarter;;;34.0;0.12;34.0;0.12;;;;
106;Hydro power;2006 3rd quarter;;;15.0;0.05;15.0;0.05;;;;
107;Hydro power;2006 4th quarter;;;27.0;0.09;27.0;0.09;;;;
108;Hydro power;2006;100.0;0.08;106.0;0.09;106.0;0.09;7680.0;6.62;;
109;Hydro power;2007 1st quarter;;;30.0;0.09;30.0;0.1;;;;
110;Hydro power;2007 2nd quarter;;;29.0;0.1;29.0;0.1;;;;
111;Hydro power;2007 3rd quarter;;;29.0;0.1;29.0;0.1;;;;
112;Hydro power;2007 4th quarter;;;19.0;0.06;19.0;0.06;;;;
113;Hydro power;2007;99.0;0.08;107.0;0.09;107.0;0.09;10684.0;9.02;;
